la_fabrique_de_crimes_01_f000001|Voici déjà plusieurs années que les fabricants de crimes ne livrent rien.|Voici déjà plusieurs années que les fabricants de crimes ne livrent rien.
la_fabrique_de_crimes_01_f000026|au nombre desquelles, ne seront pas comptés les vols, viols, substitutions d'enfants, faux en écriture privée ou authentique, détournements de mineures,|au nombre desquelles, ne seront pas comptés les vols, viols, substitutions d'enfants, faux en écriture privée ou authentique, détournements de mineures,
la_fabrique_de_crimes_01_f000027|effractions, escalades, abus de confiance, bris de serrures, fraudes, escroqueries, captations, vente à faux poids, ni même les ATTENTATS À LA PUDEUR,|effractions, escalades, abus de confiance, bris de serrures, fraudes, escroqueries, captations, vente à faux poids, ni même les ATTENTATS À LA PUDEUR,
la_fabrique_de_crimes_01_f000028|ces différents crimes et délits se trouvant semés à pleines mains dans cette oeuvre sans précédent, saisissante, repoussante, renversante,|ces différents crimes et délits se trouvant semés à pleines mains dans cette oeuvre sans précédent, saisissante, repoussante, renversante,
la_fabrique_de_crimes_01_f000029|étourdissante, incisive, convulsive, véritable, incroyable, effroyable, monumentale, sépulcrale, audacieuse, furieuse et monstrueuse,|étourdissante, incisive, convulsive, véritable, incroyable, effroyable, monumentale, sépulcrale, audacieuse, furieuse et monstrueuse,
la_fabrique_de_crimes_01_f000030|en un mot, CONTRE NATURE, après laquelle, rien n'étant plus possible, pas même la Putréfaction avancée, il faudra Tirer l'échelle!|en un mot, CONTRE NATURE, après laquelle, rien n'étant plus possible, pas même la Putréfaction avancée, il faudra Tirer l'échelle!
la_fabrique_de_crimes_02_f000001|MESSA -- SALI -- LINA Il était dix heures du soir...|MESSA -- SALI -- LINA Il était dix heures du soir...
la_fabrique_de_crimes_02_f000002|Peut-être dix heures un quart, mais pas plus.|Peut-être dix heures un quart, mais pas plus.
la_fabrique_de_crimes_02_f000003|Du côté droit, le ciel était sombre; du côté gauche, on voyait à l'horizon une lueur dont l'origine est un mystère.|Du côté droit, le ciel était sombre; du côté gauche, on voyait à l'horizon une lueur dont l'origine est un mystère.
la_fabrique_de_crimes_02_f000004|Ce n'était pas la lune, la lune est bien connue. Les aurores boréales sont rares dans nos climats, et le Vésuve est situé en d'autres contrées.|Ce n'était pas la lune, la lune est bien connue. Les aurores boréales sont rares dans nos climats, et le Vésuve est situé en d'autres contrées.
la_fabrique_de_crimes_02_f000005|Qu'était-ce?...|Qu'était-ce?...
la_fabrique_de_crimes_02_f000006|Trois hommes suivaient en silence le trottoir de la rue de Sévigné et marchaient un à un. C'était des inconnus!|Trois hommes suivaient en silence le trottoir de la rue de Sévigné et marchaient un à un. C'était des inconnus!
la_fabrique_de_crimes_02_f000007|On le voyait à leurs chaussons de lisière et aussi à la précaution qu'ils prenaient d'éviter les sergents de ville.|On le voyait à leurs chaussons de lisière et aussi à la précaution qu'ils prenaient d'éviter les sergents de ville.
la_fabrique_de_crimes_02_f000008|La rue de Sévigné, centre d'un quartier populeux, ne présentait pas alors, le caractère de propreté qu'elle affecte aujourd'hui;|La rue de Sévigné, centre d'un quartier populeux, ne présentait pas alors, le caractère de propreté qu'elle affecte aujourd'hui;
la_fabrique_de_crimes_02_f000009|les trottoirs étaient étroits, le pavé inégal; on lui reprochait aussi d'être mal éclairée, et son ruisseau répandait des odeurs particulières,|les trottoirs étaient étroits, le pavé inégal; on lui reprochait aussi d'être mal éclairée, et son ruisseau répandait des odeurs particulières,
la_fabrique_de_crimes_02_f000010|où l'on démêlait aisément le sang et les larmes...|où l'on démêlait aisément le sang et les larmes...
la_fabrique_de_crimes_02_f000011|Un fiacre passa. Le Rémouleur imita le sifflement des merles; le Joueur d'orgue et le Cocher échangèrent un signe rapide.|Un fiacre passa. Le Rémouleur imita le sifflement des merles; le Joueur d'orgue et le Cocher échangèrent un signe rapide.
la_fabrique_de_crimes_02_f000012|C'était Mustapha.|C'était Mustapha.
la_fabrique_de_crimes_02_f000013|Il prononça quatre mots seulement: -- Ce soir! Silvio Pellico!|Il prononça quatre mots seulement: -- Ce soir! Silvio Pellico!
la_fabrique_de_crimes_02_f000014|Au moment même où la onzième heure sonnait à l'horloge Carnavalet, une femme jeune encore, à la physionomie ravagée, mais pleine de fraîcheur, entr'ouvrit sans bruit sa fenêtre, située au troisième étage de la Maison du Repris de justice.|Au moment même où la onzième heure sonnait à l'horloge Carnavalet, une femme jeune encore, à la physionomie ravagée, mais pleine de fraîcheur, entr'ouvrit sans bruit sa fenêtre, située au troisième étage de la Maison du Repris de justice.
la_fabrique_de_crimes_02_f000015|Une méditation austère était répandue sur ses traits, pâlis par la souffrance.|Une méditation austère était répandue sur ses traits, pâlis par la souffrance.
la_fabrique_de_crimes_02_f000016|Elle darda un long regard à la partie du ciel, éclairée par une lueur sinistre et dit en soupirant: -- L'occident est en feu.|Elle darda un long regard à la partie du ciel, éclairée par une lueur sinistre et dit en soupirant: -- L'occident est en feu.
la_fabrique_de_crimes_02_f000017|Le Fils de la Condamnée aurait-il porté l'incendie au sein du château de Mauruse!|Le Fils de la Condamnée aurait-il porté l'incendie au sein du château de Mauruse!
la_fabrique_de_crimes_02_f000018|Un cri de chouette se fit entendre presqu'aussitôt sur le toit voisin et les trois inconnus du trottoir s'arrêtèrent court.|Un cri de chouette se fit entendre presqu'aussitôt sur le toit voisin et les trois inconnus du trottoir s'arrêtèrent court.
la_fabrique_de_crimes_02_f000019|Ils levèrent simultanément la tête, -- en tressaillant!|Ils levèrent simultanément la tête, -- en tressaillant!
la_fabrique_de_crimes_02_f000020|Le premier était bel homme en dépit d'un emplâtre de poix de Bourgogne qui lui couvrait l'oeil droit, la joue, la moitié du nez, les trois quarts de la bouche et tout le menton.|Le premier était bel homme en dépit d'un emplâtre de poix de Bourgogne qui lui couvrait l'oeil droit, la joue, la moitié du nez, les trois quarts de la bouche et tout le menton.
la_fabrique_de_crimes_02_f000021|Â la vue de cet emplâtre d'une dimension inusitée, un observateur aurait conçu des doutes sur son identité.|Â la vue de cet emplâtre d'une dimension inusitée, un observateur aurait conçu des doutes sur son identité.
la_fabrique_de_crimes_02_f000022|Rien, du reste, en lui, ne semblait extraordinaire.|Rien, du reste, en lui, ne semblait extraordinaire.
la_fabrique_de_crimes_02_f000023|Il marchait en sautant, comme les oiseaux. Son vêtement consistait en une casquette moldave et une blouse, taillée à la mode garibaldienne.|Il marchait en sautant, comme les oiseaux. Son vêtement consistait en une casquette moldave et une blouse, taillée à la mode garibaldienne.
la_fabrique_de_crimes_02_f000024|La forme de son pantalon disait assez qu'on l'avait coupé dans les défilés du Caucase. Il n'avait point de bas, ni de décorations étrangères.|La forme de son pantalon disait assez qu'on l'avait coupé dans les défilés du Caucase. Il n'avait point de bas, ni de décorations étrangères.
la_fabrique_de_crimes_02_f000025|Sous sa blouse, il portait un cercueil d'enfant.|Sous sa blouse, il portait un cercueil d'enfant.
la_fabrique_de_crimes_02_f000026|Le second, plus jeune et vêtu comme les marchands de contremarques, avait en outre des lunettes en similor, pour dissimuler une loupe considérable qui déparait un peu la régularité de ses traits.|Le second, plus jeune et vêtu comme les marchands de contremarques, avait en outre des lunettes en similor, pour dissimuler une loupe considérable qui déparait un peu la régularité de ses traits.
la_fabrique_de_crimes_02_f000027|Le troisième et dernier, doué d'une physionomie insignifiante en apparence, mais féroce en réalité, portait la livrée des travailleurs de la mer,|Le troisième et dernier, doué d'une physionomie insignifiante en apparence, mais féroce en réalité, portait la livrée des travailleurs de la mer,
la_fabrique_de_crimes_02_f000028|sauf l'habit noir et la cravate blanche.|sauf l'habit noir et la cravate blanche.
la_fabrique_de_crimes_02_f000029|Le reste de son costume consistait en un gilet de satin lilas et un pantalon écossais.|Le reste de son costume consistait en un gilet de satin lilas et un pantalon écossais.
la_fabrique_de_crimes_02_f000030|Évidemment, ils avaient adopté tous les trois ces divers travestissements pour passer inaperçus dans la rue de Sévigné.|Évidemment, ils avaient adopté tous les trois ces divers travestissements pour passer inaperçus dans la rue de Sévigné.
la_fabrique_de_crimes_02_f000031|Quels étaient leurs desseins?|Quels étaient leurs desseins?
la_fabrique_de_crimes_02_f000032|Il était facile de reconnaître à première vue, malgré le masque de tranquille indifférence attaché sur leur visage que c'était trois malfaiteurs intelligents et endurcis.|Il était facile de reconnaître à première vue, malgré le masque de tranquille indifférence attaché sur leur visage que c'était trois malfaiteurs intelligents et endurcis.
la_fabrique_de_crimes_02_f000033|À l'instant où ils levaient les yeux vers le toit d'où le cri de chouette venait de ber, une fusée volante s'alluma et décrivit dans les airs une courbe arrondie.|À l'instant où ils levaient les yeux vers le toit d'où le cri de chouette venait de ber, une fusée volante s'alluma et décrivit dans les airs une courbe arrondie.
la_fabrique_de_crimes_02_f000034|-- C'est le signal! dit le premier inconnu.|-- C'est le signal! dit le premier inconnu.
la_fabrique_de_crimes_02_f000035|-- La route est libre, ajouta le second, rien n'arrêtera nos pas.|-- La route est libre, ajouta le second, rien n'arrêtera nos pas.
la_fabrique_de_crimes_02_f000036|Le troisième conclut: -- Mort aux malades du docteur Fandango!|Le troisième conclut: -- Mort aux malades du docteur Fandango!
la_fabrique_de_crimes_02_f000037|La fenêtre du troisième étage se referma avec précaution et Mandina de Hachecor, l'amante du gendarme (car c'était elle), pensa tout haut: -- Mustapha tarde bien!|La fenêtre du troisième étage se referma avec précaution et Mandina de Hachecor, l'amante du gendarme car c'était elle, pensa tout haut: -- Mustapha tarde bien!
la_fabrique_de_crimes_02_f000038|si le Fils de la Condamnée a réussi, tout n'est pas encore perdu!|si le Fils de la Condamnée a réussi, tout n'est pas encore perdu!
la_fabrique_de_crimes_02_f000039|Elle disparut après avoir jeté un dernier regard à la lueur lointaine qui rougissait la portion occidentale du ciel.|Elle disparut après avoir jeté un dernier regard à la lueur lointaine qui rougissait la portion occidentale du ciel.
la_fabrique_de_crimes_02_f000040|Les trois inconnus, cependant, s'étaient retournés au son de leurs propres voix et groupés en rond d'un air impassible.|Les trois inconnus, cependant, s'étaient retournés au son de leurs propres voix et groupés en rond d'un air impassible.
la_fabrique_de_crimes_02_f000041|L'école du danger leur avait appris à contenir l'expression de leurs craintes et de leurs espérances.|L'école du danger leur avait appris à contenir l'expression de leurs craintes et de leurs espérances.
la_fabrique_de_crimes_02_f000042|Tout le monde dans Paris, sait quelle est la grandeur des véhicules de l'ancienne Compagnie Richer, appartenant aujourd'hui à MM.|Tout le monde dans Paris, sait quelle est la grandeur des véhicules de l'ancienne Compagnie Richer, appartenant aujourd'hui à MM.
la_fabrique_de_crimes_02_f000043|Lesage et Cie, industriels de la Villette. Une de ces voitures, si propres par leur taille, à cacher des armes prohibées, des trappes et des double fonds, ainsi qu'à dissimuler des conspirateurs, était arrêtée devant le trottoir.|Lesage et Cie, industriels de la Villette. Une de ces voitures, si propres par leur taille, à cacher des armes prohibées, des trappes et des double fonds, ainsi qu'à dissimuler des conspirateurs, était arrêtée devant le trottoir.
la_fabrique_de_crimes_02_f000044|Elle abritait momentanément nos trois inconnus contre tous les regards.|Elle abritait momentanément nos trois inconnus contre tous les regards.
la_fabrique_de_crimes_02_f000045|Ils s'examinèrent l'un l'autre minutieusement.|Ils s'examinèrent l'un l'autre minutieusement.
la_fabrique_de_crimes_02_f000046|-- Messa! prononça avec mystère celui qui était bel homme en dépit d'un emplâtre de dimension inusitée.|-- Messa! prononça avec mystère celui qui était bel homme en dépit d'un emplâtre de dimension inusitée.
la_fabrique_de_crimes_02_f000047|-- Sali! fît le second.|-- Sali! fît le second.
la_fabrique_de_crimes_02_f000048|-- Lina! acheva le troisième.|-- Lina! acheva le troisième.
la_fabrique_de_crimes_02_f000049|Gringalet, l'enfant naturel de l'huissier de la place des Vosges, entendit ces trois étranges locutions. Il les réunit, les dédoubla et dit en lui-même: -- Ça fait Messalina!|Gringalet, l'enfant naturel de l'huissier de la place des Vosges, entendit ces trois étranges locutions. Il les réunit, les dédoubla et dit en lui-même: -- Ça fait Messalina!
la_fabrique_de_crimes_02_f000050|C'était un impubère vif, grêlé, gracieux, rieur et bancroche comme tous les gamins de Paris.|C'était un impubère vif, grêlé, gracieux, rieur et bancroche comme tous les gamins de Paris.
la_fabrique_de_crimes_02_f000051|À la voiture de vidange à air comprimé, trois grands chevaux percherons étaient attelés.|À la voiture de vidange à air comprimé, trois grands chevaux percherons étaient attelés.
la_fabrique_de_crimes_02_f000052|Gringalet, souple comme un serpent, eut l'idée de se glisser entre la queue et la croupe de l'un de ces animaux.|Gringalet, souple comme un serpent, eut l'idée de se glisser entre la queue et la croupe de l'un de ces animaux.
la_fabrique_de_crimes_02_f000053|Une fois installé là, convenablement, il prêta l'oreille.|Une fois installé là, convenablement, il prêta l'oreille.
la_fabrique_de_crimes_02_f000054|Sa curiosité était éveillée. Son intelligence précoce l'avertissait que ce nom coupé en trois était le symptôme d une situation saisissante.|Sa curiosité était éveillée. Son intelligence précoce l'avertissait que ce nom coupé en trois était le symptôme d une situation saisissante.
la_fabrique_de_crimes_02_f000055|En effet, celui qui avait prononcé le mot Messa, tendit ses mains aux deux autres.|En effet, celui qui avait prononcé le mot Messa, tendit ses mains aux deux autres.
la_fabrique_de_crimes_02_f000056|Ils échangèrent aussitôt plusieurs signes maçonniques, connus d'eux seuls.|Ils échangèrent aussitôt plusieurs signes maçonniques, connus d'eux seuls.
la_fabrique_de_crimes_02_f000057|Après quoi Sali tira de son sein un pli scellé aux armes de Rudelame de Carthagène, anciens seigneurs du pays, ruinés par des cataclysmes,|Après quoi Sali tira de son sein un pli scellé aux armes de Rudelame de Carthagène, anciens seigneurs du pays, ruinés par des cataclysmes,
la_fabrique_de_crimes_02_f000058|et Lina montra une bouteille, bouchée à l'aide d'un parchemin vert.|et Lina montra une bouteille, bouchée à l'aide d'un parchemin vert.
la_fabrique_de_crimes_02_f000059|-- Dix-huit! prononça-t-il à voix basse.|-- Dix-huit! prononça-t-il à voix basse.
la_fabrique_de_crimes_02_f000060|-- Vingt-quatre! répliqua Sali.|-- Vingt-quatre! répliqua Sali.
la_fabrique_de_crimes_02_f000061|-- Trente-trois! gronda Messa d'un accent caverneux: tous clients du docteur Fandango!|-- Trente-trois! gronda Messa d'un accent caverneux: tous clients du docteur Fandango!
la_fabrique_de_crimes_02_f000062|-- Tous clients du docteur Fandango! répétèrent Sali et Lina.|-- Tous clients du docteur Fandango! répétèrent Sali et Lina.
la_fabrique_de_crimes_02_f000063|Gringalet croyait rêver.|Gringalet croyait rêver.
la_fabrique_de_crimes_02_f000064|Messa poursuivit, en soulevant un peu son emplâtre pour respirer plus commodément l'air de la nuit: -- Total général soixante-treize! c'est notre compte.|Messa poursuivit, en soulevant un peu son emplâtre pour respirer plus commodément l'air de la nuit: -- Total général soixante-treize! c'est notre compte.
la_fabrique_de_crimes_02_f000065|Les deux autres firent écho, répétant: -- Soixante-treize! c'est notre compte.|Les deux autres firent écho, répétant: -- Soixante-treize! c'est notre compte.
la_fabrique_de_crimes_02_f000066|Et Messa avec une gaieté farouche ajouta: -- M. le duc sera content, je lui en apporte un petit par-dessus le marché.|Et Messa avec une gaieté farouche ajouta: -- M. le duc sera content, je lui en apporte un petit par-dessus le marché.
la_fabrique_de_crimes_02_f000067|En même temps, il frappa le cercueil d'enfant, qui rendit un son lugubre.|En même temps, il frappa le cercueil d'enfant, qui rendit un son lugubre.
la_fabrique_de_crimes_02_f000068|Gringalet comprenait vaguement. La moelle de ses os se figeait dans ses veines! -- C'est donc bien vrai! ce que disent les romans à un sou, pensa- t-il.|Gringalet comprenait vaguement. La moelle de ses os se figeait dans ses veines! -- C'est donc bien vrai! ce que disent les romans à un sou, pensa- t-il.
la_fabrique_de_crimes_02_f000069|Paris contient d'épouvantables mystères!|Paris contient d'épouvantables mystères!
la_fabrique_de_crimes_02_f000070|Ces inconnus sont peut-être les trois Pieuvres mâles de l'impasse Guéménée.|Ces inconnus sont peut-être les trois Pieuvres mâles de l'impasse Guéménée.
la_fabrique_de_crimes_02_f000071|Sa voix s'arrêta dans son gosier, tout son corps trembla.|Sa voix s'arrêta dans son gosier, tout son corps trembla.
la_fabrique_de_crimes_02_f000072|Si c'était vrai, une simple queue de cheval percheron le séparait d'un trépas inévitable.|Si c'était vrai, une simple queue de cheval percheron le séparait d'un trépas inévitable.
la_fabrique_de_crimes_02_f000073|Sali, cependant, toucha son pli, scellé d'armes nobiliaires et murmura: -- Le Fils de la Condamnée nourrit des projets.|Sali, cependant, toucha son pli, scellé d'armes nobiliaires et murmura: -- Le Fils de la Condamnée nourrit des projets.
la_fabrique_de_crimes_02_f000074|M. le duc nous convoque pour cette nuit dans les galeries qui s'étendent sur le fleuve.|M. le duc nous convoque pour cette nuit dans les galeries qui s'étendent sur le fleuve.
la_fabrique_de_crimes_02_f000075|-- C'est bien, dit Messa. Depuis la dernière assemblée, trois cents et quelques squelettes nouveaux ornent ces souterrains, dont Paris,|-- C'est bien, dit Messa. Depuis la dernière assemblée, trois cents et quelques squelettes nouveaux ornent ces souterrains, dont Paris,
la_fabrique_de_crimes_02_f000076|ville de plaisirs insouciants, ne soupçonne pas même l'existence.|ville de plaisirs insouciants, ne soupçonne pas même l'existence.
la_fabrique_de_crimes_02_f000077|-- Cette nuit, fit Sali avec un sarcasme cruel, il s'agit de la jeune et belle Elvire.|-- Cette nuit, fit Sali avec un sarcasme cruel, il s'agit de la jeune et belle Elvire.
la_fabrique_de_crimes_02_f000078|Un triple éclat de gaieté sinistre ponctua cette communication et Lina, débouchant sa bouteille de fer-blanc, ajouta: -- Donnez vos fioles;|Un triple éclat de gaieté sinistre ponctua cette communication et Lina, débouchant sa bouteille de fer-blanc, ajouta: -- Donnez vos fioles;
la_fabrique_de_crimes_02_f000079|pendant que la voiture de vidange à air comprimé nous protège contre tous les regards, je vais faire la distribution de l'élixir funeste!|pendant que la voiture de vidange à air comprimé nous protège contre tous les regards, je vais faire la distribution de l'élixir funeste!
la_fabrique_de_crimes_03_f000001|LA MACHINE INFERNALE Gringalet avait lu un grand nombre de romans criminels.|LA MACHINE INFERNALE Gringalet avait lu un grand nombre de romans criminels.
la_fabrique_de_crimes_03_f000002|Il n'était pas sans connaître les innombrables et horribles dangers que Paris dissimule sous le riant manteau de ses fêtes.|Il n'était pas sans connaître les innombrables et horribles dangers que Paris dissimule sous le riant manteau de ses fêtes.
la_fabrique_de_crimes_03_f000003|Mais à onze heures du soir, dans la rue de Sévigné, une distribution d'élixir funeste, destiné sans nul doute à décimer les populations! ceci dépassait toutes les bornes!|Mais à onze heures du soir, dans la rue de Sévigné, une distribution d'élixir funeste, destiné sans nul doute à décimer les populations! ceci dépassait toutes les bornes!
la_fabrique_de_crimes_03_f000004|Pour lui démontrer qu'il n'était pas le jouet d'une vaine illusion, il fallut un fait matériel.|Pour lui démontrer qu'il n'était pas le jouet d'une vaine illusion, il fallut un fait matériel.
la_fabrique_de_crimes_03_f000005|Au moment où Lina enlevait le parchemin qui fermait sa bouteille, afin de remplir les fioles de ses deux complices, une odeur se répandit dans l'atmosphère,|Au moment où Lina enlevait le parchemin qui fermait sa bouteille, afin de remplir les fioles de ses deux complices, une odeur se répandit dans l'atmosphère,
la_fabrique_de_crimes_03_f000006|une odeur indéfinissable et si pénétrante que les trois Pieuvres mâles, malgré l'habitude invétérée qu'ils avaient de cet aromate, éternuèrent à l'unanimité.|une odeur indéfinissable et si pénétrante que les trois Pieuvres mâles, malgré l'habitude invétérée qu'ils avaient de cet aromate, éternuèrent à l'unanimité.
la_fabrique_de_crimes_03_f000007|Gringalet en eut envie, mais il se contint, craignant de dévoiler sa présence. En dépit de sa jeunesse, il avait de la perspicacité.|Gringalet en eut envie, mais il se contint, craignant de dévoiler sa présence. En dépit de sa jeunesse, il avait de la perspicacité.
la_fabrique_de_crimes_03_f000008|Loin de se laisser abattre par la position précaire qu'il occupait entre la croupe et la queue du cheval, il se mit à fixer dans sa mémoire le nom à compartiment des trois inconnus:|Loin de se laisser abattre par la position précaire qu'il occupait entre la croupe et la queue du cheval, il se mit à fixer dans sa mémoire le nom à compartiment des trois inconnus:
la_fabrique_de_crimes_03_f000009|Messa, Sali, Lina et les divers détails de cette scène inconcevable afin de les révéler au docteur Fandango qui était son bienfaiteur et son parrain.|Messa, Sali, Lina et les divers détails de cette scène inconcevable afin de les révéler au docteur Fandango qui était son bienfaiteur et son parrain.
la_fabrique_de_crimes_03_f000010|En effet, l'huissier de la place des Vosges, dont il avait le malheur d'être le fils illégitime, l'avait abandonné dès sa plus tendre enfance aux soins du hasard.|En effet, l'huissier de la place des Vosges, dont il avait le malheur d'être le fils illégitime, l'avait abandonné dès sa plus tendre enfance aux soins du hasard.
la_fabrique_de_crimes_03_f000011|Nous n'aimons pas les digressions, mais nous déclarons qu'un homme comme il faut ne doit jamais détailler le fruit de ses débauches, surtout lorsqu'il est officier ministériel.|Nous n'aimons pas les digressions, mais nous déclarons qu'un homme comme il faut ne doit jamais détailler le fruit de ses débauches, surtout lorsqu'il est officier ministériel.
