sulamif_s000001|Все суета сует и томление духа, — так говорит Екклезиаст.|Все суета сует и томление духа, - так говорит Екклезиаст.
sulamif_s000025|наполнял свой изумрудный кубок золотистым вином из Мареотиса, и пил за здоровье своей возлюбленной, веселясь всем сердцем, и рассказывал он ей мудрые древние странные сказания.|наполнял свой изумрудный кубок золотистым вином из Мареотиса, и пил за здоровье своей возлюбленной, веселясь всем сердцем, и рассказывал он ей мудрые древние странные сказания.
sulamif_s000026|Любовь же бедной девушки из виноградника и великого царя никогда не пройдет и не забудется, потому что крепка, как смерть, любовь, потому что каждая женщина,|Любовь же бедной девушки из виноградника и великого царя никогда не пройдет и не забудется, потому что крепка, как смерть, любовь, потому что каждая женщина,
sulamif_s000027|Но царь рассмеялся и приказал каждому и каждой из посланных подать поодиночке серебряный таз и серебряный кувшин для умывания. И в то время когда мальчики смело брызгались в воде руками и бросали себе ее горстями в лицо,|Но царь рассмеялся и приказал каждому и каждой из посланных подать поодиночке серебряный таз и серебряный кувшин для умывания. И в то время когда мальчики смело брызгались в воде руками и бросали себе ее горстями в лицо,
sulamif_s000028|Через некоторое время возвратился домой и Ахиор. Первое, о чем он спросил свою жену, увидевшись с нею, — это о камне. Но она очень удивилась вопросу мужа и клятвенно подтвердила,|Через некоторое время возвратился домой и Ахиор. Первое, о чем он спросил свою жену, увидевшись с нею, - это о камне. Но она очень удивилась вопросу мужа и клятвенно подтвердила,
sulamif_s000029|И правда. Чем возлюбленный твой лучше других мужчин, милая девушка! Закрой глаза, и ты не отличишь меня от него. Я даже лучше, потому что, наверно, поопытнее его.|И правда. Чем возлюбленный твой лучше других мужчин, милая девушка! Закрой глаза, и ты не отличишь меня от него. Я даже лучше, потому что, наверно, поопытнее его.
sulamif_s000030|Но Суламифь уже спрыгнула с ложа, одним движением метнулась навстречу темной фигуре человека с блестящим мечом в руке. И тотчас же, пораженная насквозь коротким,|Но Суламифь уже спрыгнула с ложа, одним движением метнулась навстречу темной фигуре человека с блестящим мечом в руке. И тотчас же, пораженная насквозь коротким,
sulamif_s000031|И рука Суламифи покоилась на его голове, гладила его волнистые черные волосы.|И рука Суламифи покоилась на его голове, гладила его волнистые черные волосы.
sulamif_s000032|а на обеих щиколотках широкие браслеты, соединенные тонкой цепочкой;|а на обеих щиколотках широкие браслеты, соединенные тонкой цепочкой;
sulamif_s000033|Нужно было продеть сквозь этот алмаз шелковинку. И мудрый царь впустил в отверстие шелковичного червя, который, пройдя наружу, оставил за собою следом тончайшую шелковую паутинку.|Нужно было продеть сквозь этот алмаз шелковинку. И мудрый царь впустил в отверстие шелковичного червя, который, пройдя наружу, оставил за собою следом тончайшую шелковую паутинку.
sulamif_s000034|Младший. Прости меня, царь, я не мог настоять на том, чтобы твое повеление было исполнено в точности. Младший натянул тетиву и положил уже на нее стрелу,|Младший. Прости меня, царь, я не мог настоять на том, чтобы твое повеление было исполнено в точности. Младший натянул тетиву и положил уже на нее стрелу,
sulamif_s000035|И всех их очаровывал своей любовью Соломон, потому что бог дал ему такую неиссякаемую силу страсти, какой не было у людей обыкновенных. Он любил белолицых,|И всех их очаровывал своей любовью Соломон, потому что бог дал ему такую неиссякаемую силу страсти, какой не было у людей обыкновенных. Он любил белолицых,
sulamif_s000036|Это случилось сегодня утром, на заре.|Это случилось сегодня утром, на заре.
sulamif_s000037|Нет, царица, я хочу только тебя.|Нет, царица, я хочу только тебя.
sulamif_s000038|И так велика была власть души Соломона, что повиновались ей даже животные: львы и тигры ползали у ног царя, и терлись мордами о его колени, и лизали его рукн своими жесткими языками,|И так велика была власть души Соломона, что повиновались ей даже животные: львы и тигры ползали у ног царя, и терлись мордами о его колени, и лизали его рукн своими жесткими языками,
sulamif_s000039|Нет, Суламифь, в любви помогает только любовь. Скажи, у тебя есть отец или мать?|Нет, Суламифь, в любви помогает только любовь. Скажи, у тебя есть отец или мать?
sulamif_s000040|Пол был землею, потолок — небом, а их соединяли, точно могучие древесные стволы, круглые и многогранные колонны.|Пол был землею, потолок - небом, а их соединяли, точно могучие древесные стволы, круглые и многогранные колонны.
sulamif_s000041|Семь дней прошло с той поры, когда Соломон — поэт, мудрец и царь — привел в свой дворец бедную девушку, встреченную им в винограднике на рассвете.|Семь дней прошло с той поры, когда Соломон - поэт, мудрец и царь - привел в свой дворец бедную девушку, встреченную им в винограднике на рассвете.
sulamif_s000042|бархатные спины черных пантер и нежные лапы молодых пятнистых леопардов, любил слушать рев диких зверей, видеть их сильные и прекрасные движения и ощущать горячий запах их хищного дыхания.|бархатные спины черных пантер и нежные лапы молодых пятнистых леопардов, любил слушать рев диких зверей, видеть их сильные и прекрасные движения и ощущать горячий запах их хищного дыхания.
sulamif_s000043|Своим умом, ловкостью и умелым обхождением Соломон так понравился придворным, что в скором времени устроился во дворце, а когда старший повар умер, то он заступил его место.|Своим умом, ловкостью и умелым обхождением Соломон так понравился придворным, что в скором времени устроился во дворце, а когда старший повар умер, то он заступил его место.
sulamif_s000044|Щеки твои — точно половинки граната под кудрями твоими. Губы твои алы — наслаждение смотреть на них. А волосы твои. Знаешь, на что похожи твои волосы?|Щеки твои - точно половинки граната под кудрями твоими. Губы твои алы - наслаждение смотреть на них. А волосы твои. Знаешь, на что похожи твои волосы?
sulamif_s000045|Желая испытать царя загадками, она сначала послала к нему пятьдесят юношей в самом нежном возрасте и пятьдесят девушек. Все они так хитроумно были одеты,|Желая испытать царя загадками, она сначала послала к нему пятьдесят юношей в самом нежном возрасте и пятьдесят девушек. Все они так хитроумно были одеты,
sulamif_s000046|они осушили ее темно-огненные кудри, и перевили их нитями крупного черного жемчуга, и украсили ее руки звенящими запястьями.|они осушили ее темно-огненные кудри, и перевили их нитями крупного черного жемчуга, и украсили ее руки звенящими запястьями.
sulamif_s000047|Свидетели же, обличившие сами себя, пусть заплатят по пяти сиклей в казну за ложное показание.|Свидетели же, обличившие сами себя, пусть заплатят по пяти сиклей в казну за ложное показание.
sulamif_s000048|Подними лицо твое, — приказал Соломон.|Подними лицо твое, - приказал Соломон.
sulamif_s000049|Как и всегда по утрам, двое его писцов, Елихофер и Ахия, уже лежали на циновках, по обе стороны трона, держа наготове свертки папируса, тростник и чернила.|Как и всегда по утрам, двое его писцов, Елихофер и Ахия, уже лежали на циновках, по обе стороны трона, держа наготове свертки папируса, тростник и чернила.
sulamif_s000050|Царь, Элиав — мой внук!|Царь, Элиав - мой внук!
sulamif_s000051|И, помолчав так долго, что писцы в тревоге затаили дыхание, он сказал:|И, помолчав так долго, что писцы в тревоге затаили дыхание, он сказал:
sulamif_s000052|Вирсавии, но в последнее время благодаря преклонным летам она редко показывалась в городе.|Вирсавии, но в последнее время благодаря преклонным летам она редко показывалась в городе.
sulamif_s000053|быстрым ударом, она со слабым, точно удивленным криком упала на пол.|быстрым ударом, она со слабым, точно удивленным криком упала на пол.
sulamif_s000054|Сегодня был седьмой день египетского месяца Фаменота, посвященный мистериям Озириса и Изиды. С вечера торжественная процессия трижды обходила вокруг храма со светильниками,|Сегодня был седьмой день египетского месяца Фаменота, посвященный мистериям Озириса и Изиды. С вечера торжественная процессия трижды обходила вокруг храма со светильниками,
sulamif_s000055|Изида заклинает тебя, Изида, которая была зачата с тобою в одном чреве, жена твоя и сестра.|Изида заклинает тебя, Изида, которая была зачата с тобою в одном чреве, жена твоя и сестра.
sulamif_s000056|Покажи нам снова лицо твое, светлый бог. Вот Нефтис, сестра твоя. Она обливается слезами и в горести рвет свои волосы.|Покажи нам снова лицо твое, светлый бог. Вот Нефтис, сестра твоя. Она обливается слезами и в горести рвет свои волосы.
sulamif_s000057|И ты видела меня, когда я ехал в колеснице Аминодавовой в день праздника Пасхи. Но зачем ты стоишь далеко от меня? Подойди ближе, сестра моя!|И ты видела меня, когда я ехал в колеснице Аминодавовой в день праздника Пасхи. Но зачем ты стоишь далеко от меня? Подойди ближе, сестра моя!
sulamif_s000058|Он сам продел их в уши Суламифи и сказал:|Он сам продел их в уши Суламифи и сказал:
sulamif_s000059|И, ревнуя царицу друг к другу, ко всем женщинам, мужчинам и детям, ревнуя даже к ней самой, они поклонялись ей больше, чем Изиде, и, любя, ненавидели ее,|И, ревнуя царицу друг к другу, ко всем женщинам, мужчинам и детям, ревнуя даже к ней самой, они поклонялись ей больше, чем Изиде, и, любя, ненавидели ее,
sulamif_s000060|Но проницательный ум мудрого царя уже опередил их планы и уже вязал, в свою очередь, тонкую политическую сеть, которою он оплетет этих важных людей с надменными глазами и с льстивой речью.|Но проницательный ум мудрого царя уже опередил их планы и уже вязал, в свою очередь, тонкую политическую сеть, которою он оплетет этих важных людей с надменными глазами и с льстивой речью.
sulamif_s000061|Царь! Заклинаю тебя твоей радостью! Царь, окажи мне эту милость, и я открою тебе, какой опасности подвергается твоя жизнь.|Царь! Заклинаю тебя твоей радостью! Царь, окажи мне эту милость, и я открою тебе, какой опасности подвергается твоя жизнь.
sulamif_s000062|Ты слышал меня, Ванея?|Ты слышал меня, Ванея?
sulamif_s000063|седьмое же, предназначенное для живых младенцев, приносимых их матерями, давно пустовало по запрещению царя.|седьмое же, предназначенное для живых младенцев, приносимых их матерями, давно пустовало по запрещению царя.
sulamif_s000064|Еще однажды спросила Суламифь:|Еще однажды спросила Суламифь:
sulamif_s000065|Хочешь ты услышать одну из тех сказок, которые складываются в стране Офир? Хочешь, я расскажу тебе о чудесах Вакрамадитья?|Хочешь ты услышать одну из тех сказок, которые складываются в стране Офир? Хочешь, я расскажу тебе о чудесах Вакрамадитья?
sulamif_s000066|Три тысячи притчей сочинил Соломон и тысячу и пять песней. Диктовал он их двум искусным и быстрым писцам, Елихоферу и Ахии, сыновьям Сивы, и потом сличал написанное обоими.|Три тысячи притчей сочинил Соломон и тысячу и пять песней. Диктовал он их двум искусным и быстрым писцам, Елихоферу и Ахии, сыновьям Сивы, и потом сличал написанное обоими.
sulamif_s000067|потому что не было подобного ему между царями во все дни его.|потому что не было подобного ему между царями во все дни его.
sulamif_s000068|ты снарядишь караван и проводишь царицу до гавани в Иаффе, а оттуда в Египет, к фараону Суссакиму. Теперь пусть все выйдут.|ты снарядишь караван и проводишь царицу до гавани в Иаффе, а оттуда в Египет, к фараону Суссакиму. Теперь пусть все выйдут.
sulamif_s000069|Потому что голос твой сладок и лицо твое приятно! — говорит Соломон.|Потому что голос твой сладок и лицо твое приятно! - говорит Соломон.
sulamif_s000070|Гранатовые деревья, оливы и дикие яблони, вперемежку с кедрами и кипарисами, окаймляли его с трех сторон по горе, с четвертой же был он огражден от дороги высокой каменной стеной.|Гранатовые деревья, оливы и дикие яблони, вперемежку с кедрами и кипарисами, окаймляли его с трех сторон по горе, с четвертой же был он огражден от дороги высокой каменной стеной.
sulamif_s000071|обладавшие чудесной способностью обуздывать ветер, смягчать злобу, предохранять от опьянения и помогать при ловле диких зверей;|обладавшие чудесной способностью обуздывать ветер, смягчать злобу, предохранять от опьянения и помогать при ловле диких зверей;
sulamif_s000072|Освежите меня яблоками, подкрепите меня вином, ибо я изнемогаю от любви.|Освежите меня яблоками, подкрепите меня вином, ибо я изнемогаю от любви.
sulamif_s000073|Говори!|Говори!
sulamif_s000074|Суламифь, имя твое во многие века будет произноситься с умилением и благодарностью.|Суламифь, имя твое во многие века будет произноситься с умилением и благодарностью.
sulamif_s000075|Что нам делать с телом этой женщины? Теперь суббота.|Что нам делать с телом этой женщины? Теперь суббота.
sulamif_s000076|Нет, я и теперь не знаю этого. Я думала. Но мне стыдно признаться. Я боюсь, ты будешь смеяться надо мной. Рассказывают, что здесь, на горе Ватн-эль-Хав,|Нет, я и теперь не знаю этого. Я думала. Но мне стыдно признаться. Я боюсь, ты будешь смеяться надо мной. Рассказывают, что здесь, на горе Ватн-эль-Хав,
sulamif_s000077|увидеть среди придворной толпы гордое, незабвенно прекрасное лицо Соломона.|увидеть среди придворной толпы гордое, незабвенно прекрасное лицо Соломона.
sulamif_s000078|Мне стыдно говорить об этом. Они выручили деньги от продажи вина и послали меня в город купить хлеба и козьего сыра. А я.|Мне стыдно говорить об этом. Они выручили деньги от продажи вина и послали меня в город купить хлеба и козьего сыра. А я.
sulamif_s000079|Глава одинадцатая|Глава одинадцатая
sulamif_s000080|Она налила густую благовонную мирру себе на плечи, на грудь, на живот и, боясь потерять хоть одну драгоценную каплю, стала быстро растирать масло по ногам, под мышками и вокруг шеи.|Она налила густую благовонную мирру себе на плечи, на грудь, на живот и, боясь потерять хоть одну драгоценную каплю, стала быстро растирать масло по ногам, под мышками и вокруг шеи.
sulamif_s000081|дев Бактрии, красивших волосы и ногти в огненно-красный цвет и носивших шальвары; молчаливых, застенчивых моавитянок, у которых роскошные груди были прохладны в самые жаркие летние ночи;|дев Бактрии, красивших волосы и ногти в огненно-красный цвет и носивших шальвары; молчаливых, застенчивых моавитянок, у которых роскошные груди были прохладны в самые жаркие летние ночи;
sulamif_s000082|И вспомнил царь, как много лет тому назад скончался его отец, и лежал на песке, и уже начал быстро разлагаться. Собаки, привлеченные запахом падали,|И вспомнил царь, как много лет тому назад скончался его отец, и лежал на песке, и уже начал быстро разлагаться. Собаки, привлеченные запахом падали,
sulamif_s000083|Не говори так никогда. Не говори так, о Суламифь! Ты избранная богом, ты настоящая, ты царица души моей. Смерть не коснется тебя.|Не говори так никогда. Не говори так, о Суламифь! Ты избранная богом, ты настоящая, ты царица души моей. Смерть не коснется тебя.
sulamif_s000084|За что же, Суламифь, рассердились на тебя твои братья?|За что же, Суламифь, рассердились на тебя твои братья?
sulamif_s000085|Вот анфракс, священный камень земли Офир, — говорил царь. — Он горяч и влажен. Погляди, он красен, как кровь, как вечерняя заря, как распустившийся цвет граната,|Вот анфракс, священный камень земли Офир, - говорил царь. - Он горяч и влажен. Погляди, он красен, как кровь, как вечерняя заря, как распустившийся цвет граната,
sulamif_s000086|желая испытать его мудрость и покорить его сердце.|желая испытать его мудрость и покорить его сердце.
sulamif_s000087|и кошачий глаз — оберегающий имущество, разум и здоровье своего владельца; и бледный, сине-зеленый, как морская вода у берега, вериллий — средство от бельма и проказы, добрый спутник странников;|и кошачий глаз - оберегающий имущество, разум и здоровье своего владельца; и бледный, сине-зеленый, как морская вода у берега, вериллий - средство от бельма и проказы, добрый спутник странников;
sulamif_s000088|другие сидели на полу, впиваясь в царицу безумно-блаженными глазами.|другие сидели на полу, впиваясь в царицу безумно-блаженными глазами.
sulamif_s000089|среднее — для среднего, нижнее — для меньшего из братьев.|среднее - для среднего, нижнее - для меньшего из братьев.
sulamif_s000090|в которые она воткнула два цветка алого мака, упругими бесчисленными кудрями покрывают ее плечи, и разбегаются по спине, и пламенеют, пронзенные лучами солнца, как золотой пурпур.|в которые она воткнула два цветка алого мака, упругими бесчисленными кудрями покрывают ее плечи, и разбегаются по спине, и пламенеют, пронзенные лучами солнца, как золотой пурпур.
sulamif_s000091|Золотой священный уреус спускался у нее от шеи вниз, разделяя полуобнаженные груди.|Золотой священный уреус спускался у нее от шеи вниз, разделяя полуобнаженные груди.
sulamif_s000092|И вот глаза царицы остановились долго и внимательно, с напряженной мыслью, на красивом юношеском лице Элиава, одного из начальников царских телохранителей.|И вот глаза царицы остановились долго и внимательно, с напряженной мыслью, на красивом юношеском лице Элиава, одного из начальников царских телохранителей.
sulamif_s000093|И опять в великой скорби и рыданиях отправилась Изида в поиски за священными членами своего мужа и брата. К плачу ее присоединяет свои жалобы сестра ее,|И опять в великой скорби и рыданиях отправилась Изида в поиски за священными членами своего мужа и брата. К плачу ее присоединяет свои жалобы сестра ее,
sulamif_s000094|поджав под себя ноги и щуря ленивые глаза, неподвижный, сам весь благоухающий, старый, жирный, сморщенный скопец-египтянин.|поджав под себя ноги и щуря ленивые глаза, неподвижный, сам весь благоухающий, старый, жирный, сморщенный скопец-египтянин.
sulamif_s000095|Волосы ее, выкрашенные в синий цвет, были распущены по плечам и по спине, и концы их убраны бесчисленными ароматическими шариками. Лицо было сильно нарумянено и набелено,|Волосы ее, выкрашенные в синий цвет, были распущены по плечам и по спине, и концы их убраны бесчисленными ароматическими шариками. Лицо было сильно нарумянено и набелено,
sulamif_s000096|снежно-белой с розовыми, чуть заметными прожилками, служила ему рамою.|снежно-белой с розовыми, чуть заметными прожилками, служила ему рамою.
sulamif_s000097|что мать царицы Балкис однажды, после купанья, села на песок, где только что оставил свое семя некий бог, временно превратившийся в гуся, и что от этой случайности понесла она прекрасную царицу Савскую.|что мать царицы Балкис однажды, после купанья, села на песок, где только что оставил свое семя некий бог, временно превратившийся в гуся, и что от этой случайности понесла она прекрасную царицу Савскую.
sulamif_s000098|Выше, до самого потолка, стены так же, как и колонны, пестрели резными и раскрашенными изображениями с символами богов обоих Египтов. Здесь был Себех,|Выше, до самого потолка, стены так же, как и колонны, пестрели резными и раскрашенными изображениями с символами богов обоих Египтов. Здесь был Себех,
sulamif_s000099|покрытое золотым пухом, точно солнце оставило на нем свой поцелуй.|покрытое золотым пухом, точно солнце оставило на нем свой поцелуй.
sulamif_s000100|О Суламифь, — все, что хочешь! Попроси у меня мою жизнь — я с восторгом отдам ее тебе. Я буду только жалеть, что слишком малой ценой заплатил за твою любовь.|О Суламифь, - все, что хочешь! Попроси у меня мою жизнь - я с восторгом отдам ее тебе. Я буду только жалеть, что слишком малой ценой заплатил за твою любовь.
sulamif_s000101|Одни уверяли, что у царицы козлиные ноги, обросшие шерстью; другие клялись, что у нее вместо ступней перепончатые гусиные лапы. И даже рассказывали о том,|Одни уверяли, что у царицы козлиные ноги, обросшие шерстью; другие клялись, что у нее вместо ступней перепончатые гусиные лапы. И даже рассказывали о том,
sulamif_s000102|Слегка отодвинув занавеску, она неотступно глядела напротив, по ту сторону алтаря, где когда-то из-за темных изломов старинных златокованых занавесок показывалось прекрасное,|Слегка отодвинув занавеску, она неотступно глядела напротив, по ту сторону алтаря, где когда-то из-за темных изломов старинных златокованых занавесок показывалось прекрасное,
sulamif_s000103|С тех пор как Соломон охладел к царице Астис, утомленный ее необузданной чувственностью, она со всем пылом южного сладострастия и со всей яростью оскорбленной женской ревности предалась тем тайным оргиям извращенной похоти,|С тех пор как Соломон охладел к царице Астис, утомленный ее необузданной чувственностью, она со всем пылом южного сладострастия и со всей яростью оскорбленной женской ревности предалась тем тайным оргиям извращенной похоти,
