kleinzaches_01_f000001|Erstes Kapitel.|Erstes Kapitel.
kleinzaches_01_f000029|O du gerechter Himmel, fing sie an, wieviel Jammer und Not gibt es doch auf dieser Erde!|O du gerechter Himmel, fing sie an, wieviel Jammer und Not gibt es doch auf dieser Erde!
kleinzaches_01_f000030|Das arme unglückliche Weib!|Das arme unglückliche Weib!
kleinzaches_01_f000031|Ich weiß, daß sie kaum das liebe Leben hat, da arbeitet sie über ihre Kräfte und ist vor Hunger und Kummer hingesunken!|Ich weiß, daß sie kaum das liebe Leben hat, da arbeitet sie über ihre Kräfte und ist vor Hunger und Kummer hingesunken!
kleinzaches_01_f000032|Wie fühle ich jetzt erst recht empfindlich meine Armut und Ohnmacht!|Wie fühle ich jetzt erst recht empfindlich meine Armut und Ohnmacht!
kleinzaches_01_f000033|Ach, könnt' ich doch nur helfen, wie ich wollte!|Ach, könnt' ich doch nur helfen, wie ich wollte!
kleinzaches_01_f000034|Doch das, was mir noch übrig blieb, die wenigen Gaben, die das feindselige Verhängnis mir nicht zu rauben, nicht zu zerstören vermochte, die mir noch zu Gebote stehen, die will ich kräftig und getreu nützen, um dem Leidwesen zu steuern.|Doch das, was mir noch übrig blieb, die wenigen Gaben, die das feindselige Verhängnis mir nicht zu rauben, nicht zu zerstören vermochte, die mir noch zu Gebote stehen, die will ich kräftig und getreu nützen, um dem Leidwesen zu steuern.
kleinzaches_01_f000035|Geld, hätte ich auch darüber zu gebieten, würde dir gar nichts helfen, arme Frau, sondern deinen Zustand vielleicht noch gar verschlimmern.|Geld, hätte ich auch darüber zu gebieten, würde dir gar nichts helfen, arme Frau, sondern deinen Zustand vielleicht noch gar verschlimmern.
kleinzaches_01_f000036|Dir und deinem Mann, euch beiden ist nun einmal Reichtum nicht beschert, und wem Reichtum nicht beschert ist, dem verschwinden die Goldstücke aus der Tasche, er weiß selbst nicht wie,|Dir und deinem Mann, euch beiden ist nun einmal Reichtum nicht beschert, und wem Reichtum nicht beschert ist, dem verschwinden die Goldstücke aus der Tasche, er weiß selbst nicht wie,
kleinzaches_01_f000037|er hat davon nichts als großen Verdruß und wird, je mehr Geld ihm zuströmt, nur desto ärmer.|er hat davon nichts als großen Verdruß und wird, je mehr Geld ihm zuströmt, nur desto ärmer.
kleinzaches_01_f000038|Aber ich weiß es, mehr als alle Armut, als alle Not, nagt an deinem Herzen, daß du jenes kleine Untierchen gebarst, das sich wie eine böse unheimliche Last an dich hängt, die du durch das Leben tragen mußt.|Aber ich weiß es, mehr als alle Armut, als alle Not, nagt an deinem Herzen, daß du jenes kleine Untierchen gebarst, das sich wie eine böse unheimliche Last an dich hängt, die du durch das Leben tragen mußt.
kleinzaches_01_f000039|Groß – schön – stark – verständig, ja, das alles kann der Junge nun einmal nicht werden, aber es ist ihm vielleicht noch auf andere Weise zu helfen.|Groß - schön - stark - verständig, ja, das alles kann der Junge nun einmal nicht werden, aber es ist ihm vielleicht noch auf andere Weise zu helfen.
kleinzaches_01_f000040|Damit setzte sich das Fräulein nieder ins Gras und nahm den Kleinen auf den Schoß.|Damit setzte sich das Fräulein nieder ins Gras und nahm den Kleinen auf den Schoß.
kleinzaches_01_f000041|Das böse Alräunchen sträubte und spreizte sich, knurrte und wollte das Fräulein in den Finger beißen, die sprach aber: Ruhig, ruhig,[9] kleiner Maikäfer!|Das böse Alräunchen sträubte und spreizte sich, knurrte und wollte das Fräulein in den Finger beißen, die sprach aber: Ruhig, ruhig,neun kleiner Maikäfer!
kleinzaches_01_f000042|und strich leise und linde mit der flachen Hand ihm über den Kopf von der Stirn herüber bis in den Nacken.|und strich leise und linde mit der flachen Hand ihm über den Kopf von der Stirn herüber bis in den Nacken.
kleinzaches_01_f000043|Allmählich glättete sich während des Streichelns das struppige Haar des Kleinen aus, bis es gescheitelt, an der Stirne fest anliegend, in hübschen weichen Locken hinabwallte auf die hohen Schultern und den Kürbisrücken.|Allmählich glättete sich während des Streichelns das struppige Haar des Kleinen aus, bis es gescheitelt, an der Stirne fest anliegend, in hübschen weichen Locken hinabwallte auf die hohen Schultern und den Kürbisrücken.
kleinzaches_01_f000044|Der Kleine war immer ruhiger geworden und endlich fest eingeschlafen.|Der Kleine war immer ruhiger geworden und endlich fest eingeschlafen.
kleinzaches_01_f000045|Da legte ihn das Fräulein Rosenschön behutsam dicht neben der Mutter hin ins Gras, besprengte diese mit einem geistigen Wasser aus dem Riechfläschchen, das sie aus der Tasche gezogen, und entfernte sich dann schnellen Schrittes.|Da legte ihn das Fräulein Rosenschön behutsam dicht neben der Mutter hin ins Gras, besprengte diese mit einem geistigen Wasser aus dem Riechfläschchen, das sie aus der Tasche gezogen, und entfernte sich dann schnellen Schrittes.
kleinzaches_01_f000046|Als die Frau bald darauf erwachte, fühlte sie sich auf wunderbare Weise erquickt und gestärkt.|Als die Frau bald darauf erwachte, fühlte sie sich auf wunderbare Weise erquickt und gestärkt.
kleinzaches_01_f000047|Es war ihr, als habe sie eine tüchtige Mahlzeit gehalten und einen guten Schluck Wein getrunken.|Es war ihr, als habe sie eine tüchtige Mahlzeit gehalten und einen guten Schluck Wein getrunken.
kleinzaches_01_f000048|Ei, rief sie aus, wie ist mir doch in dem bißchen Schlaf so viel Trost, so viel Munterkeit gekommen!|Ei, rief sie aus, wie ist mir doch in dem bißchen Schlaf so viel Trost, so viel Munterkeit gekommen!
kleinzaches_01_f000049|Aber die Sonne ist schon bald herab hinter den Bergen, nun fort nach Hause!|Aber die Sonne ist schon bald herab hinter den Bergen, nun fort nach Hause!
kleinzaches_01_f000050|Damit wollte sie den Korb aufpacken, vermißte aber, als sie hineinsah, den Kleinen, der in demselben Augenblick sich aus dem Grase auf richtete und weinerlich quäkte.|Damit wollte sie den Korb aufpacken, vermißte aber, als sie hineinsah, den Kleinen, der in demselben Augenblick sich aus dem Grase auf richtete und weinerlich quäkte.
kleinzaches_01_f000051|Als nun die Mutter sich nach ihm umschaute, schlug sie vor Erstaunen die Hände zusammen und rief: Zaches – Klein Zaches, wer hat dir denn unterdessen die Haare so schön gekämmt!|Als nun die Mutter sich nach ihm umschaute, schlug sie vor Erstaunen die Hände zusammen und rief: Zaches - Klein Zaches, wer hat dir denn unterdessen die Haare so schön gekämmt!
kleinzaches_01_f000052|Zaches – Klein Zaches, wie hübsch würden dir die Locken kleiden, wenn du nicht solch ein abscheulich garstiger Junge wärst!|Zaches - Klein Zaches, wie hübsch würden dir die Locken kleiden, wenn du nicht solch ein abscheulich garstiger Junge wärst!
kleinzaches_01_f000053|Nun, komm nur, komm! hinein in den Korb!|Nun, komm nur, komm! hinein in den Korb!
kleinzaches_01_f000054|Sie wollte ihn fassen und quer über das Holz legen, da strampelte aber Klein Zaches mit den Beinen, grinste die Mutter an und miaute sehr vernehmlich: Ich mag nicht!|Sie wollte ihn fassen und quer über das Holz legen, da strampelte aber Klein Zaches mit den Beinen, grinste die Mutter an und miaute sehr vernehmlich: Ich mag nicht!
kleinzaches_01_f000055|Zaches! Klein Zaches!|Zaches! Klein Zaches!
kleinzaches_01_f000056|schrie die Frau ganz außer sich, wer hat dich denn unterdessen reden gelehrt?|schrie die Frau ganz außer sich, wer hat dich denn unterdessen reden gelehrt?
kleinzaches_01_f000057|Nun! wenn du solch schön gekämmte Haare hast, wenn du so artig redest, so wirst du auch wohl laufen können.|Nun! wenn du solch schön gekämmte Haare hast, wenn du so artig redest, so wirst du auch wohl laufen können.
kleinzaches_01_f000058|Die Frau huckte den Korb auf den Rücken, Klein Zaches hing sich an ihre Schürze, und so ging es fort nach dem Dorfe.|Die Frau huckte den Korb auf den Rücken, Klein Zaches hing sich an ihre Schürze, und so ging es fort nach dem Dorfe.
kleinzaches_01_f000059|Sie mußten bei dem Pfarrhause vorüber, da begab es sich, daß der Pfarrer mit seinem jüngsten Knaben, einem bildschönen goldlockigen Jungen von drei Jahren, in seiner Haustüre stand.|Sie mußten bei dem Pfarrhause vorüber, da begab es sich, daß der Pfarrer mit seinem jüngsten Knaben, einem bildschönen goldlockigen Jungen von drei Jahren, in seiner Haustüre stand.
kleinzaches_01_f000060|Als der nun die Frau mit dem schweren Holzkorbe und mit Klein Zaches, der an ihrer Schürze baumelte, daherkommen sah, rief er ihr entgegen: Guten Abend, Frau Liese, wie geht es Euch – Ihr habt ja eine gar zu schwere Bürde geladen,|Als der nun die Frau mit dem schweren Holzkorbe und mit Klein Zaches, der an ihrer Schürze baumelte, daherkommen sah, rief er ihr entgegen: Guten Abend, Frau Liese, wie geht es Euch - Ihr habt ja eine gar zu schwere Bürde geladen,
kleinzaches_01_f000061|Ihr könnt ja kaum mehr fort, kommt her, ruht Euch ein wenig aus auf dieser Bank vor meiner Türe, meine Magd soll Euch einen frischen Trunk reichen!|Ihr könnt ja kaum mehr fort, kommt her, ruht Euch ein wenig aus auf dieser Bank vor meiner Türe, meine Magd soll Euch einen frischen Trunk reichen!
kleinzaches_01_f000062|Frau Liese ließ sich das nicht zweimal sagen, sie setzte ihren Korb ab und wollte eben den Mund öffnen, um dem ehrwürdigen Herrn all ihren Jammer, ihre Not zu klagen,|Frau Liese ließ sich das nicht zweimal sagen, sie setzte ihren Korb ab und wollte eben den Mund öffnen, um dem ehrwürdigen Herrn all ihren Jammer, ihre Not zu klagen,
kleinzaches_01_f000063|als Klein Zaches bei der raschen Wendung der Mutter das Gleichgewicht verlor und dem Pfarrer vor die Füße flog.|als Klein Zaches bei der raschen Wendung der Mutter das Gleichgewicht verlor und dem Pfarrer vor die Füße flog.
kleinzaches_01_f000064|Der bückte sich rasch nieder und hob den Kleinen auf, indem er sprach: Ei, Frau Liese, Frau Liese, was habt Ihr da für einen bildschönen allerliebsten Knaben!|Der bückte sich rasch nieder und hob den Kleinen auf, indem er sprach: Ei, Frau Liese, Frau Liese, was habt Ihr da für einen bildschönen allerliebsten Knaben!
kleinzaches_01_f000065|Das ist ja ein wahrer Segen des Himmels, ein solch wunderbar schönes Kind zu besitzen.|Das ist ja ein wahrer Segen des Himmels, ein solch wunderbar schönes Kind zu besitzen.
kleinzaches_01_f000066|Und damit nahm er den Kleinen in die Arme und liebkoste ihn und schien es gar nicht zu bemerken, daß der unartige Däumling gar häßlich knurrte und mauzte und den ehrwürdigen Herrn sogar in die Nase beißen wollte.|Und damit nahm er den Kleinen in die Arme und liebkoste ihn und schien es gar nicht zu bemerken, daß der unartige Däumling gar häßlich knurrte und mauzte und den ehrwürdigen Herrn sogar in die Nase beißen wollte.
kleinzaches_01_f000067|Aber Frau Liese stand ganz verblüfft vor dem Geistlichen und schaute ihn an mit aufgerissenen starren Augen und wußte gar nicht, was sie denken sollte.|Aber Frau Liese stand ganz verblüfft vor dem Geistlichen und schaute ihn an mit aufgerissenen starren Augen und wußte gar nicht, was sie denken sollte.
kleinzaches_01_f000068|Ach, lieber Herr Pfarrer, begann sie endlich mit weinerlicher Stimme, ein Mann Gottes, wie Sie, treibt doch wohl nicht seinen Spott mit einem armen unglücklichen Weibe, das der Himmel,|Ach, lieber Herr Pfarrer, begann sie endlich mit weinerlicher Stimme, ein Mann Gottes, wie Sie, treibt doch wohl nicht seinen Spott mit einem armen unglücklichen Weibe, das der Himmel,
kleinzaches_01_f000069|mag er selbst wissen warum, mit diesem abscheulichen Wechselbalge gestraft hat!|mag er selbst wissen warum, mit diesem abscheulichen Wechselbalge gestraft hat!
kleinzaches_01_f000070|Was spricht, erwiderte der Geistliche sehr ernst, was spricht Sie da für tolles Zeug, liebe Frau!|Was spricht, erwiderte der Geistliche sehr ernst, was spricht Sie da für tolles Zeug, liebe Frau!
kleinzaches_01_f000071|von Spott – Wechselbalg – Strafe des Himmels – ich verstehe Sie gar nicht und weiß nur, daß Sie ganz verblendet sein muß, wenn Sie Ihren hübschen Knaben nicht recht herzlich liebt.|von Spott - Wechselbalg - Strafe des Himmels - ich verstehe Sie gar nicht und weiß nur, daß Sie ganz verblendet sein muß, wenn Sie Ihren hübschen Knaben nicht recht herzlich liebt.
kleinzaches_01_f000072|Küsse mich, artiger kleiner Mann!|Küsse mich, artiger kleiner Mann!
kleinzaches_01_f000073|Der Pfarrer herzte den Kleinen, aber Zaches knurrte: Ich mag nicht!|Der Pfarrer herzte den Kleinen, aber Zaches knurrte: Ich mag nicht!
kleinzaches_01_f000074|und schnappte aufs neue nach des Geistlichen Nase.|und schnappte aufs neue nach des Geistlichen Nase.
kleinzaches_01_f000075|Seht die arge Bestie! rief Liese erschrocken;|Seht die arge Bestie! rief Liese erschrocken;
kleinzaches_01_f000076|aber in dem Augenblick sprach der Knabe des Pfarrers: Ach, lieber Vater, du bist so gut, du tust so schön mit den Kindern, die müssen wohl alle dich recht herzlich lieb haben!|aber in dem Augenblick sprach der Knabe des Pfarrers: Ach, lieber Vater, du bist so gut, du tust so schön mit den Kindern, die müssen wohl alle dich recht herzlich lieb haben!
kleinzaches_01_f000077|O hört doch nur, rief der Pfarrer, indem ihm die Augen vor Freude glänzten, o hört doch nur, Frau Liese, den hübschen verständigen Knaben, Euren lieben Zaches, dem Ihr so übelwollt.|O hört doch nur, rief der Pfarrer, indem ihm die Augen vor Freude glänzten, o hört doch nur, Frau Liese, den hübschen verständigen Knaben, Euren lieben Zaches, dem Ihr so übelwollt.
kleinzaches_01_f000078|Ich merk' es schon, Ihr werdet Euch nimmermehr was aus dem Knaben machen, sei er auch noch so hübsch und verständig.|Ich merk' es schon, Ihr werdet Euch nimmermehr was aus dem Knaben machen, sei er auch noch so hübsch und verständig.
kleinzaches_01_f000079|Hört, Frau Liese, überlaßt mir Euer hoffnungsvolles Kind zur Pflege und Erziehung.|Hört, Frau Liese, überlaßt mir Euer hoffnungsvolles Kind zur Pflege und Erziehung.
kleinzaches_01_f000080|Bei Eurer drückenden Armut ist Euch der Knabe nur eine Last, und mir macht es Freude, ihn zu erziehen wie meinen eignen Sohn!|Bei Eurer drückenden Armut ist Euch der Knabe nur eine Last, und mir macht es Freude, ihn zu erziehen wie meinen eignen Sohn!
kleinzaches_01_f000081|Liese konnte vor Erstaunen gar nicht zu sich selbst kommen, ein Mal über das andere rief sie: Aber, lieber Herr Pfarrer – lieber Herr Pfarrer, ist denn das wirklich Ihr Ernst,|Liese konnte vor Erstaunen gar nicht zu sich selbst kommen, ein Mal über das andere rief sie: Aber, lieber Herr Pfarrer - lieber Herr Pfarrer, ist denn das wirklich Ihr Ernst,
kleinzaches_01_f000082|daß Sie die kleine Ungestalt zu sich nehmen und erziehen und mich von der Not befreien wollen, die ich mit dem Wechselbalg habe?|daß Sie die kleine Ungestalt zu sich nehmen und erziehen und mich von der Not befreien wollen, die ich mit dem Wechselbalg habe?
kleinzaches_01_f000083|Doch, je mehr die Frau die abscheuliche Häßlichkeit ihres Alräunchens dem Pfarrer vorhielt, desto eifriger behauptete dieser, daß sie in ihrer tollen Verblendung gar nicht verdiene,|Doch, je mehr die Frau die abscheuliche Häßlichkeit ihres Alräunchens dem Pfarrer vorhielt, desto eifriger behauptete dieser, daß sie in ihrer tollen Verblendung gar nicht verdiene,
kleinzaches_01_f000084|vom Himmel mit dem herrlichen Geschenk eines solchen Wunderknaben gesegnet zu sein, bis er zuletzt ganz zornig mit Klein Zaches auf dem Arm hineinlief in das Haus und die Türe von innen verriegelte.|vom Himmel mit dem herrlichen Geschenk eines solchen Wunderknaben gesegnet zu sein, bis er zuletzt ganz zornig mit Klein Zaches auf dem Arm hineinlief in das Haus und die Türe von innen verriegelte.
kleinzaches_01_f000085|Da stand nun Frau Liese wie versteinert vor des Pfarrers Haustüre und wußte gar nicht, was sie von dem allem denken sollte.|Da stand nun Frau Liese wie versteinert vor des Pfarrers Haustüre und wußte gar nicht, was sie von dem allem denken sollte.
kleinzaches_01_f000086|Was um aller Welt willen, sprach sie zu sich selbst, ist denn mit unserm würdigen Herrn Pfarrer geschehen, daß er in meinen Klein Zaches so ganz und gar vernarrt ist und den einfältigen Knirps für einen hübschen verständigen Knaben hält?|Was um aller Welt willen, sprach sie zu sich selbst, ist denn mit unserm würdigen Herrn Pfarrer geschehen, daß er in meinen Klein Zaches so ganz und gar vernarrt ist und den einfältigen Knirps für einen hübschen verständigen Knaben hält?
kleinzaches_01_f000087|Nun! helfe Gott dem lieben Herrn, er hat mir die Last von den Schultern genommen und sie sich selbst aufgeladen, mag er nun zusehen, wie er sie trägt!|Nun! helfe Gott dem lieben Herrn, er hat mir die Last von den Schultern genommen und sie sich selbst aufgeladen, mag er nun zusehen, wie er sie trägt!
kleinzaches_01_f000088|Hei! wie leicht geworden ist nun der Holzkorb, da Klein Zaches nicht mehr daraufsitzt und mit ihm die schwerste Sorge!|Hei! wie leicht geworden ist nun der Holzkorb, da Klein Zaches nicht mehr daraufsitzt und mit ihm die schwerste Sorge!
kleinzaches_01_f000089|Damit schritt Frau Liese, den Holzkorb auf dem Rücken, lustig und guter Dinge fort ihres Weges!|Damit schritt Frau Liese, den Holzkorb auf dem Rücken, lustig und guter Dinge fort ihres Weges!
kleinzaches_01_f000090|– Wollte ich auch zurzeit noch gänzlich darüber schweigen, du würdest, günstiger Leser, dennoch wohl ahnen, daß es mit dem Stiftsfräulein von Rosen schön, oder wie sie sich sonst nannte, Rosengrünschön, eine ganz besondere Bewandtnis haben müsse.|- Wollte ich auch zurzeit noch gänzlich darüber schweigen, du würdest, günstiger Leser, dennoch wohl ahnen, daß es mit dem Stiftsfräulein von Rosen schön, oder wie sie sich sonst nannte, Rosengrünschön, eine ganz besondere Bewandtnis haben müsse.
kleinzaches_01_f000091|Denn nichts anders war es wohl, als die geheimnisvolle Wirkung ihres Kopfstreichelns und Haarausglättens, daß Klein Zaches von dem gutmütigen Pfarrer für ein schönes und kluges Kind angesehen und gleich wie sein eignes aufgenommen wurde.|Denn nichts anders war es wohl, als die geheimnisvolle Wirkung ihres Kopfstreichelns und Haarausglättens, daß Klein Zaches von dem gutmütigen Pfarrer für ein schönes und kluges Kind angesehen und gleich wie sein eignes aufgenommen wurde.
kleinzaches_01_f000092|Du könntest, lieber Leser, aber doch, trotz deines vortrefflichen Scharfsinns, in falsche Vermutungen geraten oder gar zum großen Nachteil der Geschichte viele Blätter überschlagen, um nur gleich mehr von dem mystischen Stiftsfräulein zu erfahren;|Du könntest, lieber Leser, aber doch, trotz deines vortrefflichen Scharfsinns, in falsche Vermutungen geraten oder gar zum großen Nachteil der Geschichte viele Blätter überschlagen, um nur gleich mehr von dem mystischen Stiftsfräulein zu erfahren;
kleinzaches_01_f000093|besser ist es daher wohl, ich erzähle dir gleich alles, was ich selbst von der würdigen Dame weiß.|besser ist es daher wohl, ich erzähle dir gleich alles, was ich selbst von der würdigen Dame weiß.
kleinzaches_01_f000094|Fräulein von Rosenschön war von großer Gestalt, edlem majestätischen Wuchs und etwas stolzem, gebietendem Wesen.|Fräulein von Rosenschön war von großer Gestalt, edlem majestätischen Wuchs und etwas stolzem, gebietendem Wesen.
kleinzaches_01_f000095|Ihr Gesicht, mußte man es gleich vollendet schön nennen, machte, zumal wenn sie wie gewöhnlich in starrem Ernst vor sich hinschaute, einen seltsamen, beinahe unheimlichen Eindruck,|Ihr Gesicht, mußte man es gleich vollendet schön nennen, machte, zumal wenn sie wie gewöhnlich in starrem Ernst vor sich hinschaute, einen seltsamen, beinahe unheimlichen Eindruck,
