undine_01_f000001|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_01_f000020|Er nahm sich aber bald zusammen, erwägend, wie ihm doch niemals in dem Walde selbsten was Bedenkliches widerfahren sei und also auf der freien Landzunge der böse Geist wohl noch minder Gewalt über ihn ausüben dürfe.|Er nahm sich aber bald zusammen, erwägend, wie ihm doch niemals in dem Walde selbsten was Bedenkliches widerfahren sei und also auf der freien Landzunge der böse Geist wohl noch minder Gewalt über ihn ausüben dürfe.
undine_01_f000021|Zugleich betete er recht kräftiglich einen biblischen Spruch laut aus dem Herzen heraus, wodurch ihm der kecke Mut auch zurückekam und er fast lachend sah,|Zugleich betete er recht kräftiglich einen biblischen Spruch laut aus dem Herzen heraus, wodurch ihm der kecke Mut auch zurückekam und er fast lachend sah,
undine_01_f000022|wie sehr er sich geirrt hatte.|wie sehr er sich geirrt hatte.
undine_01_f000023|Der weiße, nickende Mann ward nämlich urplötzlich zu einem ihm längst wohlbekannten Bächlein, das schäumend aus dem Forste hervorrann und sich in den Landsee ergoß.|Der weiße, nickende Mann ward nämlich urplötzlich zu einem ihm längst wohlbekannten Bächlein, das schäumend aus dem Forste hervorrann und sich in den Landsee ergoß.
undine_01_f000024|Wer aber das Geräusch verursacht hatte, war ein schön geschmückter Ritter, der zu Roß durch den Baumschatten gegen die Hütte vorgeritten kam.|Wer aber das Geräusch verursacht hatte, war ein schön geschmückter Ritter, der zu Roß durch den Baumschatten gegen die Hütte vorgeritten kam.
undine_01_f000025|Ein scharlachroter Mantel hing ihm über sein veilchenblaues goldgesticktes Wams herab; von dem goldfarbigen Barette wallten rote und veilchenblaue Federn,|Ein scharlachroter Mantel hing ihm über sein veilchenblaues goldgesticktes Wams herab; von dem goldfarbigen Barette wallten rote und veilchenblaue Federn,
undine_01_f000026|am goldnen Wehrgehenke blitzte ein ausnehmend schönes und reichverziertes Schwert.|am goldnen Wehrgehenke blitzte ein ausnehmend schönes und reichverziertes Schwert.
undine_01_f000027|Der weiße Hengst, der den Ritter trug, war schlankeren Baues, als man es sonst bei Streitrossen zu sehen gewohnt ist, und trat so leicht über den Rasen hin,|Der weiße Hengst, der den Ritter trug, war schlankeren Baues, als man es sonst bei Streitrossen zu sehen gewohnt ist, und trat so leicht über den Rasen hin,
undine_01_f000028|daß dieser grünbunte Teppich auch nicht die mindeste Verletzung davon zu empfangen schien.|daß dieser grünbunte Teppich auch nicht die mindeste Verletzung davon zu empfangen schien.
undine_01_f000029|Dem alten Fischer war es noch immer nicht ganz geheuer zumut, obwohl er einzusehn meinte, daß von einer so holden Erscheinung nichts Übles zu befahren sei,|Dem alten Fischer war es noch immer nicht ganz geheuer zumut, obwohl er einzusehn meinte, daß von einer so holden Erscheinung nichts Übles zu befahren sei,
undine_01_f000030|weshalb er auch seinen Hut ganz sittig vor dem näherkommenden Herrn abzog und gelassen bei seinen Netzen verblieb.|weshalb er auch seinen Hut ganz sittig vor dem näherkommenden Herrn abzog und gelassen bei seinen Netzen verblieb.
undine_01_f000031|Da hielt der Ritter stille und fragte, ob er wohl mit seinem Pferde auf diese Nacht hier Unterkommen und Pflege finden könne? – Was Euer Pferd betrifft,|Da hielt der Ritter stille und fragte, ob er wohl mit seinem Pferde auf diese Nacht hier Unterkommen und Pflege finden könne? - Was Euer Pferd betrifft,
undine_01_f000032|lieber Herr, entgegnete der Fischer, so weiß ich ihm keinen bessern Stall anzuweisen als diese beschattete Wiese und kein besseres Futter als das Gras, welches darauf wächst.|lieber Herr, entgegnete der Fischer, so weiß ich ihm keinen bessern Stall anzuweisen als diese beschattete Wiese und kein besseres Futter als das Gras, welches darauf wächst.
undine_01_f000033|Euch selbst aber will ich gerne in meinem kleinen Hause mit Abendbrot und Nachtlager bewirten, so gut es unsereiner hat. – Der Ritter war damit ganz wohl zufrieden,|Euch selbst aber will ich gerne in meinem kleinen Hause mit Abendbrot und Nachtlager bewirten, so gut es unsereiner hat. - Der Ritter war damit ganz wohl zufrieden,
undine_01_f000034|er stieg von seinem Rosse, welches die beiden gemeinschaftlich losgürteten und loszügelten, und ließ es alsdann auf den blumigen Anger hinlaufen, zu seinem Wirte sprechend:|er stieg von seinem Rosse, welches die beiden gemeinschaftlich losgürteten und loszügelten, und ließ es alsdann auf den blumigen Anger hinlaufen, zu seinem Wirte sprechend:
undine_01_f000035|Hätt ich Euch auch minder gastlich und wohlmeinend gefunden, mein lieber alter Fischer, Ihr wäret mich dennoch wohl für heute nicht wieder losgeworden,|Hätt ich Euch auch minder gastlich und wohlmeinend gefunden, mein lieber alter Fischer, Ihr wäret mich dennoch wohl für heute nicht wieder losgeworden,
undine_01_f000036|denn, wie ich sehe, liegt vor uns ein breiter See, und mit sinkendem Abende in den wunderlichen Wald zurückzureiten, davor bewahre mich der liebe Gott!|denn, wie ich sehe, liegt vor uns ein breiter See, und mit sinkendem Abende in den wunderlichen Wald zurückzureiten, davor bewahre mich der liebe Gott!
undine_01_f000037|Wir wollen nicht allzuviel davon reden, sagte der Fischer und führte seinen Gast in die Hütte.|Wir wollen nicht allzuviel davon reden, sagte der Fischer und führte seinen Gast in die Hütte.
undine_01_f000038|Drinnen saß bei dem Herde, von welchem aus ein spärliches Feuer die dämmernde, reinliche Stube erhellte, auf einem großen Stuhle des Fischers betagte Frau;|Drinnen saß bei dem Herde, von welchem aus ein spärliches Feuer die dämmernde, reinliche Stube erhellte, auf einem großen Stuhle des Fischers betagte Frau;
undine_01_f000039|beim Eintritte des vornehmen Gastes stand sie freundlich grüßend auf, setzte sich aber an ihren Ehrenplatz wieder hin, ohne diesen dem Fremdling anzubieten,|beim Eintritte des vornehmen Gastes stand sie freundlich grüßend auf, setzte sich aber an ihren Ehrenplatz wieder hin, ohne diesen dem Fremdling anzubieten,
undine_01_f000040|wobei der Fischer lächelnd sagte:|wobei der Fischer lächelnd sagte:
undine_01_f000041|Ihr müßt es ihr nicht verübeln, junger Herr, daß sie Euch den bequemsten Stuhl im Hause nicht abtritt; das ist so Sitte bei armen Leuten, daß der den Alten ganz ausschließlich gehört.|Ihr müßt es ihr nicht verübeln, junger Herr, daß sie Euch den bequemsten Stuhl im Hause nicht abtritt; das ist so Sitte bei armen Leuten, daß der den Alten ganz ausschließlich gehört.
undine_01_f000042|Ei, Mann, sagte die Frau mit ruhigem Lächeln, wo denkst du auch hin? Unser Gast wird doch zu den Christenmenschen gehören, und wie könnte es alsdann dem lieben jungen Blut einfallen,|Ei, Mann, sagte die Frau mit ruhigem Lächeln, wo denkst du auch hin? Unser Gast wird doch zu den Christenmenschen gehören, und wie könnte es alsdann dem lieben jungen Blut einfallen,
undine_01_f000043|alte Leute von ihren Sitzen zu verjagen?|alte Leute von ihren Sitzen zu verjagen?
undine_01_f000044|- Setzt Euch, mein junger Herr, fuhr sie, gegen den Ritter gewandt, fort; es steht dorten noch ein recht artiges Sesselein, nur müßt Ihr nicht allzu ungestüm damit hin und her rutschen,|- Setzt Euch, mein junger Herr, fuhr sie, gegen den Ritter gewandt, fort; es steht dorten noch ein recht artiges Sesselein, nur müßt Ihr nicht allzu ungestüm damit hin und her rutschen,
undine_01_f000045|denn das eine Bein ist nicht allzu feste mehr.|denn das eine Bein ist nicht allzu feste mehr.
undine_01_f000046|Der Ritter holte den Sessel achtsam herbei, ließ sich freundlich darauf nieder, und es war ihm zumute, als sei er mit diesem kleinen Haushalt verwandt und eben jetzt aus der Ferne dahin heimgekehrt.|Der Ritter holte den Sessel achtsam herbei, ließ sich freundlich darauf nieder, und es war ihm zumute, als sei er mit diesem kleinen Haushalt verwandt und eben jetzt aus der Ferne dahin heimgekehrt.
undine_01_f000047|Die drei guten Leute fingen an, höchst freundlich und vertraulich miteinander zu sprechen. Vom Walde, nach welchem sich der Ritter einige Male erkundigte,|Die drei guten Leute fingen an, höchst freundlich und vertraulich miteinander zu sprechen. Vom Walde, nach welchem sich der Ritter einige Male erkundigte,
undine_01_f000048|wollte der alte Mann freilich nicht viel wissen;|wollte der alte Mann freilich nicht viel wissen;
undine_01_f000049|am wenigsten, meinte er, passe sich das Reden davon jetzt in der einbrechenden Nacht; aber von ihrer Wirtschaft und sonstigem Treiben erzählten die beiden Eheleute desto mehr und hörten auch gerne zu,|am wenigsten, meinte er, passe sich das Reden davon jetzt in der einbrechenden Nacht; aber von ihrer Wirtschaft und sonstigem Treiben erzählten die beiden Eheleute desto mehr und hörten auch gerne zu,
undine_01_f000050|als ihnen der Rittersmann von seinen Reisen vorsprach und daß er eine Burg an den Quellen der Donau habe und Herr Huldbrand von Ringstetten geheißen sei.|als ihnen der Rittersmann von seinen Reisen vorsprach und daß er eine Burg an den Quellen der Donau habe und Herr Huldbrand von Ringstetten geheißen sei.
undine_01_f000051|Mitten durch das Gespräch hatte der Fremde schon bisweilen ein Plätschern am niedrigen Fensterlein vernommen, als sprütze jemand Wasser dagegen.|Mitten durch das Gespräch hatte der Fremde schon bisweilen ein Plätschern am niedrigen Fensterlein vernommen, als sprütze jemand Wasser dagegen.
undine_01_f000052|Der Alte runzelte bei diesem Geräusche jedesmal zufrieden die Stirn; als aber endlich ein ganzer Guß gegen die Scheiben flog und durch den schlechtverwahrten Rahmen in die Stube hereinsprudelte,|Der Alte runzelte bei diesem Geräusche jedesmal zufrieden die Stirn; als aber endlich ein ganzer Guß gegen die Scheiben flog und durch den schlechtverwahrten Rahmen in die Stube hereinsprudelte,
undine_01_f000053|stand er unwillig auf und rief drohend nach dem Fenster hin: Undine!|stand er unwillig auf und rief drohend nach dem Fenster hin: Undine!
undine_01_f000054|Wirst du endlich einmal die Kindereien lassen. Und ist noch obenein heute ein fremder Herr bei uns in der Hütte. – Es ward auch draußen stille,|Wirst du endlich einmal die Kindereien lassen. Und ist noch obenein heute ein fremder Herr bei uns in der Hütte. - Es ward auch draußen stille,
undine_01_f000055|nur ein leises Gekicher ließ sich noch vernehmen, und der Fischer sagte, zurückkommend:|nur ein leises Gekicher ließ sich noch vernehmen, und der Fischer sagte, zurückkommend:
undine_01_f000056|Das müßt Ihr nun schon zugute halten, mein ehrenwerter Gast, und vielleicht noch manche Ungezogenheit mehr, aber sie meint es nicht böse.|Das müßt Ihr nun schon zugute halten, mein ehrenwerter Gast, und vielleicht noch manche Ungezogenheit mehr, aber sie meint es nicht böse.
undine_01_f000057|Es ist nämlich unsere Pflegetochter Undine, die sich das kindische Wesen gar nicht abgewöhnen will, ob sie gleich bereits in ihr achtzehntes Jahr gehen mag.|Es ist nämlich unsere Pflegetochter Undine, die sich das kindische Wesen gar nicht abgewöhnen will, ob sie gleich bereits in ihr achtzehntes Jahr gehen mag.
undine_01_f000058|Aber wie gesagt, im Grunde ist sie doch von ganzem Herzen gut. – Du kannst wohl sprechen! entgegnete kopfschüttelnd die Alte.|Aber wie gesagt, im Grunde ist sie doch von ganzem Herzen gut. - Du kannst wohl sprechen! entgegnete kopfschüttelnd die Alte.
undine_01_f000059|Wenn du so vom Fischfang heimkommst oder von der Reise, da mag es mit ihren Schäkereien ganz was Artiges sein. Aber sie den ganzen Tag lang auf dem Halse haben und kein kluges Wort hören und,|Wenn du so vom Fischfang heimkommst oder von der Reise, da mag es mit ihren Schäkereien ganz was Artiges sein. Aber sie den ganzen Tag lang auf dem Halse haben und kein kluges Wort hören und,
undine_01_f000060|statt bei wachsendem Alter Hülfe im Haushalte zu finden, immer nur dafür sorgen müssen, daß uns ihre Torheiten nicht vollends zugrunde richten – da ist es gar ein andres,|statt bei wachsendem Alter Hülfe im Haushalte zu finden, immer nur dafür sorgen müssen, daß uns ihre Torheiten nicht vollends zugrunde richten - da ist es gar ein andres,
undine_01_f000061|und die heilige Geduld selbsten würd es am Ende satt.|und die heilige Geduld selbsten würd es am Ende satt.
undine_01_f000062|Nun, nun, lächelte der Hausherr, du hast es mit Undinen und ich mit dem See. Reißt mir der doch auch oftmals meine Dämme und Netze durch, aber ich hab ihn dennoch gern und du mit allem Kreuz und Elend das zierliche Kindlein auch.|Nun, nun, lächelte der Hausherr, du hast es mit Undinen und ich mit dem See. Reißt mir der doch auch oftmals meine Dämme und Netze durch, aber ich hab ihn dennoch gern und du mit allem Kreuz und Elend das zierliche Kindlein auch.
undine_01_f000063|Nicht wahr? – Ganz böse kann man ihr eben nicht werden, sagte die Alte und lächelte beifällig.|Nicht wahr? - Ganz böse kann man ihr eben nicht werden, sagte die Alte und lächelte beifällig.
undine_01_f000064|Da flog die Tür auf, und ein wunderschönes Blondchen schlüpfte lachend herein und sagte: Ihr habt mich nur gefoppt, Vater; wo ist denn nun Euer Gast?|Da flog die Tür auf, und ein wunderschönes Blondchen schlüpfte lachend herein und sagte: Ihr habt mich nur gefoppt, Vater; wo ist denn nun Euer Gast?
undine_01_f000065|Selben Augenblicks aber ward sie auch den Ritter gewahr und blieb staunend vor dem schönen Jünglinge stehn.|Selben Augenblicks aber ward sie auch den Ritter gewahr und blieb staunend vor dem schönen Jünglinge stehn.
undine_01_f000066|Huldbrand ergötzte sich an der holden Gestalt und wollte sich die lieblichen Züge recht achtsam einprägen, weil er meinte, nur ihre Überraschung lasse ihm Zeit dazu,|Huldbrand ergötzte sich an der holden Gestalt und wollte sich die lieblichen Züge recht achtsam einprägen, weil er meinte, nur ihre Überraschung lasse ihm Zeit dazu,
undine_01_f000067|und sie werde sich bald nachher in zwiefacher Blödigkeit vor seinen Blicken abwenden.|und sie werde sich bald nachher in zwiefacher Blödigkeit vor seinen Blicken abwenden.
undine_01_f000068|Es kam aber ganz anders. Denn als sie ihn nun recht lange angesehen hatte, trat sie zutraulich näher, kniete vor ihm nieder und sagte, mit einem goldnen Schaupfennige,|Es kam aber ganz anders. Denn als sie ihn nun recht lange angesehen hatte, trat sie zutraulich näher, kniete vor ihm nieder und sagte, mit einem goldnen Schaupfennige,
undine_01_f000069|den er an einer reichen Kette auf der Brust trug, spielend:|den er an einer reichen Kette auf der Brust trug, spielend:
undine_01_f000070|Ei du schöner, du freundlicher Gast, wie bist du denn endlich in unsre arme Hütte gekommen? Mußtest du denn jahrelang in der Welt herumstreifen,|Ei du schöner, du freundlicher Gast, wie bist du denn endlich in unsre arme Hütte gekommen? Mußtest du denn jahrelang in der Welt herumstreifen,
undine_01_f000071|bevor du dich auch einmal zu uns fandest?|bevor du dich auch einmal zu uns fandest?
undine_01_f000072|Kommst du aus dem wüsten Walde, du schöner Freund? – Die scheltende Alte ließ ihm zur Antwort keine Zeit. Sie ermahnte das Mädchen, fein sittig aufzustehen und sich an ihre Arbeit zu begeben.|Kommst du aus dem wüsten Walde, du schöner Freund? - Die scheltende Alte ließ ihm zur Antwort keine Zeit. Sie ermahnte das Mädchen, fein sittig aufzustehen und sich an ihre Arbeit zu begeben.
undine_01_f000073|Undine aber zog, ohne zu antworten, eine kleine Fußbank neben Huldbrands Stuhl, setzte sich mit ihrem Gewebe darauf nieder und sagte freundlich: Hier will ich arbeiten.|Undine aber zog, ohne zu antworten, eine kleine Fußbank neben Huldbrands Stuhl, setzte sich mit ihrem Gewebe darauf nieder und sagte freundlich: Hier will ich arbeiten.
undine_01_f000074|Der alte Mann tat, wie Eltern mit verzognen Kindern zu tun pflegen. Er stellte sich, als merkte er von Undines Unart nichts, und wollte von etwas anderm anfangen.|Der alte Mann tat, wie Eltern mit verzognen Kindern zu tun pflegen. Er stellte sich, als merkte er von Undines Unart nichts, und wollte von etwas anderm anfangen.
undine_01_f000075|Aber das Mädchen ließ ihn nicht dazu. Sie sagte: Woher unser holder Gast kommt, habe ich ihn gefragt, und er hat mir noch nicht geantwortet.|Aber das Mädchen ließ ihn nicht dazu. Sie sagte: Woher unser holder Gast kommt, habe ich ihn gefragt, und er hat mir noch nicht geantwortet.
undine_01_f000076|Aus dem Walde komme ich, du schönes Bildchen, entgegnete Huldbrand, und sie sprach weiter: So mußt du mir erzählen, wie du da hineinkamst, denn die Menschen scheuen ihn sonst,|Aus dem Walde komme ich, du schönes Bildchen, entgegnete Huldbrand, und sie sprach weiter: So mußt du mir erzählen, wie du da hineinkamst, denn die Menschen scheuen ihn sonst,
undine_01_f000077|und was für wunderliche Abenteuer du darinnen erlebt hast, weil es doch ohne dergleichen dorten nicht abgehn soll. – Huldbrand empfand einen kleinen Schauer bei dieser Erinnerung und blickte unwillkürlich nach dem Fenster,|und was für wunderliche Abenteuer du darinnen erlebt hast, weil es doch ohne dergleichen dorten nicht abgehn soll. - Huldbrand empfand einen kleinen Schauer bei dieser Erinnerung und blickte unwillkürlich nach dem Fenster,
undine_01_f000078|weil es ihm zumute war, als müsse eine von den seltsamlichen Gestalten, die ihm im Forste begegnet waren, von dort hereingrinzen; er sah nichts als die tiefe,|weil es ihm zumute war, als müsse eine von den seltsamlichen Gestalten, die ihm im Forste begegnet waren, von dort hereingrinzen; er sah nichts als die tiefe,
undine_01_f000079|schwarze Nacht, die nun bereits draußen vor den Scheiben lag.|schwarze Nacht, die nun bereits draußen vor den Scheiben lag.
undine_01_f000080|Da nahm er sich zusammen und wollte eben seine Geschichte anfangen, als ihn der Alte mit den Worten unterbrach: Nicht also, Herr Ritter; zu dergleichen ist es jetzund keine gute Zeit.|Da nahm er sich zusammen und wollte eben seine Geschichte anfangen, als ihn der Alte mit den Worten unterbrach: Nicht also, Herr Ritter; zu dergleichen ist es jetzund keine gute Zeit.
undine_01_f000081|Undine aber sprang zornmütig von ihrem Bänkchen auf, setzte die schönen Arme in die Seiten und rief, sich dicht vor den Fischer hinstellend: Er soll nicht erzählen, Vater?|Undine aber sprang zornmütig von ihrem Bänkchen auf, setzte die schönen Arme in die Seiten und rief, sich dicht vor den Fischer hinstellend: Er soll nicht erzählen, Vater?
undine_01_f000082|Er soll nicht? Ich aber willes; er soll!|Er soll nicht? Ich aber willes; er soll!
undine_01_f000083|Er soll doch! – Und damit trat das zierliche Füßchen heftig gegen den Boden, aber das alles mit solch einem drollig anmutigen Anstande,|Er soll doch! - Und damit trat das zierliche Füßchen heftig gegen den Boden, aber das alles mit solch einem drollig anmutigen Anstande,
undine_01_f000084|daß Huldbrand jetzt in ihrem Zorn fast weniger noch die Augen von ihr wegbringen konnte als vorher in ihrer Freundlichkeit.|daß Huldbrand jetzt in ihrem Zorn fast weniger noch die Augen von ihr wegbringen konnte als vorher in ihrer Freundlichkeit.
undine_01_f000085|Bei dem Alten hingegen brach der zurückgehaltene Unwillen in volle Flammen aus. Er schalt heftig auf Undines Ungehorsam und unsittiges Betragen gegen den Fremden,|Bei dem Alten hingegen brach der zurückgehaltene Unwillen in volle Flammen aus. Er schalt heftig auf Undines Ungehorsam und unsittiges Betragen gegen den Fremden,
undine_01_f000086|und die gute alte Frau stimmte mit ein.|und die gute alte Frau stimmte mit ein.
undine_01_f000087|Da sagte Undine: Wenn ihr zanken wollt und nicht tun, was ich haben will, so schlaft allein in eurer alten räuchrigen Hütte! – Und wie ein Pfeil war sie aus der Tür und flüchtigen Laufes in die finstere Nacht hinaus.|Da sagte Undine: Wenn ihr zanken wollt und nicht tun, was ich haben will, so schlaft allein in eurer alten räuchrigen Hütte! - Und wie ein Pfeil war sie aus der Tür und flüchtigen Laufes in die finstere Nacht hinaus.
undine_01_f000088|Ende des Erstes Kapitels.|Ende des Erstes Kapitels.
undine_02_f000001|Zweites Kapitel von Undine von Friedrich de la Motte Fouque.|Zweites Kapitel von Undine von Friedrich de la Motte Fouque.
undine_02_f000002|Diese librivox Aufnahme ist in der publik domain.|Diese librivox Aufnahme ist in der publik domain.
undine_02_f000003|Auf welche Weise Undine zu dem Fischer gekommen war|Auf welche Weise Undine zu dem Fischer gekommen war
undine_02_f000004|Huldbrand und der Fischer sprangen von ihren Sitzen und wollten dem zürnenden Mädchen nach. Ehe sie aber an die Hüttentür gelangten, war Undine schon lange in dem wolkigen Dunkel draußen verschwunden,|Huldbrand und der Fischer sprangen von ihren Sitzen und wollten dem zürnenden Mädchen nach. Ehe sie aber an die Hüttentür gelangten, war Undine schon lange in dem wolkigen Dunkel draußen verschwunden,
undine_02_f000005|und auch kein Geräusch ihrer leichten Füße verriet, wohin sie ihren Lauf wohl gerichtet haben könne. Huldbrand sah fragend nach seinem Wirte;|und auch kein Geräusch ihrer leichten Füße verriet, wohin sie ihren Lauf wohl gerichtet haben könne. Huldbrand sah fragend nach seinem Wirte;
undine_02_f000006|fast kam es ihm vor, als sei die ganze liebliche Erscheinung, die so schnell in die Nacht wieder untergetaucht war, nichts andres gewesen als eine Fortsetzung der wunderlichen Gebilde,|fast kam es ihm vor, als sei die ganze liebliche Erscheinung, die so schnell in die Nacht wieder untergetaucht war, nichts andres gewesen als eine Fortsetzung der wunderlichen Gebilde,
undine_02_f000007|die früher im Forste ihr loses Spiel mit ihm getrieben hatten, aber der alte Mann murmelte in seinen Bart: Es ist nicht das erstemal, daß sie es uns also macht.|die früher im Forste ihr loses Spiel mit ihm getrieben hatten, aber der alte Mann murmelte in seinen Bart: Es ist nicht das erstemal, daß sie es uns also macht.
undine_02_f000008|Nun hat man die Angst auf dem Herzen und den Schlaf aus den Augen für die ganze Nacht; denn wer weiß, ob sie nicht dennoch einmal Schaden nimmt,|Nun hat man die Angst auf dem Herzen und den Schlaf aus den Augen für die ganze Nacht; denn wer weiß, ob sie nicht dennoch einmal Schaden nimmt,
undine_02_f000009|wenn sie so draußen im Dunkel allein ist bis an das Morgenrot.|wenn sie so draußen im Dunkel allein ist bis an das Morgenrot.
undine_02_f000010|So laßt uns ihr doch nach, Vater, um Gott! rief Huldbrand ängstlich aus. Der Alte erwiderte: Wozu das? Es wär ein sündlich Werk, ließ ich Euch in Nacht und Einsamkeit dem törichten Mädchen so ganz alleine folgen,|So laßt uns ihr doch nach, Vater, um Gott! rief Huldbrand ängstlich aus. Der Alte erwiderte: Wozu das? Es wär ein sündlich Werk, ließ ich Euch in Nacht und Einsamkeit dem törichten Mädchen so ganz alleine folgen,
undine_02_f000011|und meine alten Beine holen den Springinsfeld nicht ein, wenn man auch wüßte, wohin sie gerannt ist. – Nun müssen wir ihr doch nachrufen mindestens und sie bitten,|und meine alten Beine holen den Springinsfeld nicht ein, wenn man auch wüßte, wohin sie gerannt ist. - Nun müssen wir ihr doch nachrufen mindestens und sie bitten,
undine_02_f000012|daß sie wiederkehrt, sagte Huldbrand und begann auf das beweglichste zu rufen: Undine!|daß sie wiederkehrt, sagte Huldbrand und begann auf das beweglichste zu rufen: Undine!
undine_02_f000013|Ach Undine! Komm doch zurück! – Der Alte wiegte sein Haupt hin und her, sprechend, all das Geschrei helfe am Ende zu nichts; der Ritter wisse noch nicht, wie trotzig die Kleine sei.|Ach Undine! Komm doch zurück! - Der Alte wiegte sein Haupt hin und her, sprechend, all das Geschrei helfe am Ende zu nichts; der Ritter wisse noch nicht, wie trotzig die Kleine sei.
