sous_les_mers_1_01_f000001|UN ÉCUEIL FUYANT|UN ÉCUEIL FUYANT
sous_les_mers_1_01_f000034|le terrible Moby Dick des régions hyperboréennes, jusqu'au Kraken démesuré, dont les tentacules peuvent enlacer un bâtiment de cinq cents tonneaux et l'entraîner dans les abîmes de l'Océan.|le terrible Moby Dick des régions hyperboréennes, jusqu'au Kraken démesuré, dont les tentacules peuvent enlacer un bâtiment de cinq cents tonneaux et l'entraîner dans les abîmes de l'Océan.
sous_les_mers_1_01_f000035|On reproduisit même les procès-verbaux des temps anciens les opinions d'Aristote et de Pline, qui admettaient l'existence de ces monstres, puis les récits norvégiens de l'évêque Pontoppidan, les relations de Paul Heggede, et enfin les rapports de M.|On reproduisit même les procès-verbaux des temps anciens les opinions d'Aristote et de Pline, qui admettaient l'existence de ces monstres, puis les récits norvégiens de l'évêque Pontoppidan, les relations de Paul Heggede, et enfin les rapports de M.
sous_les_mers_1_01_f000036|Harrington, dont la bonne foi ne peut être soupçonnée, quand il affirme avoir vu, étant à bord du Castillan, en 1857, cet énorme serpent qui n'avait jamais fréquenté jusqu'alors que les mers de l'ancien Constitutionnel.|Harrington, dont la bonne foi ne peut être soupçonnée, quand il affirme avoir vu, étant à bord du Castillan, en 1857, cet énorme serpent qui n'avait jamais fréquenté jusqu'alors que les mers de l'ancien Constitutionnel.
sous_les_mers_1_01_f000037|Alors éclata l'interminable polémique des crédules et des incrédules dans les sociétés savantes et les journaux scientifiques.|Alors éclata l'interminable polémique des crédules et des incrédules dans les sociétés savantes et les journaux scientifiques.
sous_les_mers_1_01_f000038|La question du monstre enflamma les esprits. Les journalistes, qui font profession de science en lutte avec ceux qui font profession d'esprit, versèrent des flots d'encre pendant cette mémorable campagne;|La question du monstre enflamma les esprits. Les journalistes, qui font profession de science en lutte avec ceux qui font profession d'esprit, versèrent des flots d'encre pendant cette mémorable campagne;
sous_les_mers_1_01_f000039|quelques-uns même, deux ou trois gouttes de sang, car du serpent de mer, ils en vinrent aux personnalités les plus offensantes.|quelques-uns même, deux ou trois gouttes de sang, car du serpent de mer, ils en vinrent aux personnalités les plus offensantes.
sous_les_mers_1_01_f000040|Six mois durant, la guerre se poursuivit avec des chances diverses.|Six mois durant, la guerre se poursuivit avec des chances diverses.
sous_les_mers_1_01_f000041|Aux articles de fond de l'Institut géographique du Brésil, de l'Académie royale des sciences de Berlin, de l'Association Britannique,|Aux articles de fond de l'Institut géographique du Brésil, de l'Académie royale des sciences de Berlin, de l'Association Britannique,
sous_les_mers_1_01_f000042|de l'Institution Smithsonnienne de Washington, aux discussions du The Indian Archipelago, du Cosmos de l'abbé Moigno, des Mittheilungen de Petermann,|de l'Institution Smithsonnienne de Washington, aux discussions du The Indian Archipelago, du Cosmos de l'abbé Moigno, des Mittheilungen de Petermann,
sous_les_mers_1_01_f000043|aux chroniques scientifiques des grands journaux de la France et de l'étranger, la petite presse ripostait avec une verve intarissable.|aux chroniques scientifiques des grands journaux de la France et de l'étranger, la petite presse ripostait avec une verve intarissable.
sous_les_mers_1_01_f000044|Ses spirituels écrivains parodiant un mot de Linné, cité par les adversaires du monstre, soutinrent en effet que la nature ne faisait pas de sots,|Ses spirituels écrivains parodiant un mot de Linné, cité par les adversaires du monstre, soutinrent en effet que la nature ne faisait pas de sots,
sous_les_mers_1_01_f000045|et ils adjurèrent leurs contemporains de ne point donner un démenti à la nature, en admettant l'existence des Krakens, des serpents de mer, des Moby Dick, et autres élucubrations de marins en délire.|et ils adjurèrent leurs contemporains de ne point donner un démenti à la nature, en admettant l'existence des Krakens, des serpents de mer, des Moby Dick, et autres élucubrations de marins en délire.
sous_les_mers_1_01_f000046|Enfin, dans un article d'un journal satirique très redouté, le plus aimé de ses rédacteurs, brochant sur le tout, poussa au monstre, comme Hippolyte, lui porta un dernier coup et l'acheva au milieu d'un éclat de rire universel.|Enfin, dans un article d'un journal satirique très redouté, le plus aimé de ses rédacteurs, brochant sur le tout, poussa au monstre, comme Hippolyte, lui porta un dernier coup et l'acheva au milieu d'un éclat de rire universel.
sous_les_mers_1_01_f000047|L'esprit avait vaincu la science.|L'esprit avait vaincu la science.
sous_les_mers_1_01_f000048|Pendant les premiers mois de l'année 1867, la question parut être enterrée, et elle ne semblait pas devoir renaître, quand de nouveaux faits furent portés à la connaissance du public.|Pendant les premiers mois de l'année 1867, la question parut être enterrée, et elle ne semblait pas devoir renaître, quand de nouveaux faits furent portés à la connaissance du public.
sous_les_mers_1_01_f000049|Il ne s'agit plus alors d'un problème scientifique à résoudre, mais bien d'un danger réel sérieux à éviter.|Il ne s'agit plus alors d'un problème scientifique à résoudre, mais bien d'un danger réel sérieux à éviter.
sous_les_mers_1_01_f000050|La question prit une tout autre face. Le monstre redevint îlot, rocher, écueil, mais écueil fuyant, indéterminable, insaisissable.|La question prit une tout autre face. Le monstre redevint îlot, rocher, écueil, mais écueil fuyant, indéterminable, insaisissable.
sous_les_mers_1_01_f000051|Le 5 mars 1867, le Moravian, de Montréal Océan Company, se trouvant pendant la nuit par 27°30' de latitude et 72°15' de longitude, heurta de sa hanche de tribord un roc qu'aucune carte ne marquait dans ces parages.|Le 5 mars 1867, le Moravian, de Montréal Océan Company, se trouvant pendant la nuit par 2730' de latitude et 7215' de longitude, heurta de sa hanche de tribord un roc qu'aucune carte ne marquait dans ces parages.
sous_les_mers_1_01_f000052|Sous l'effort combiné du vent et de ses quatre cents chevaux-vapeur, il marchait à la vitesse de treize noeuds.|Sous l'effort combiné du vent et de ses quatre cents chevaux-vapeur, il marchait à la vitesse de treize noeuds.
sous_les_mers_1_01_f000053|Nul doute que sans la qualité supérieure de sa coque, le Moravian, ouvert au choc, ne se fût englouti avec les deux cent trente-sept passagers qu'il ramenait du Canada.|Nul doute que sans la qualité supérieure de sa coque, le Moravian, ouvert au choc, ne se fût englouti avec les deux cent trente-sept passagers qu'il ramenait du Canada.
sous_les_mers_1_01_f000054|L'accident était arrivé vers cinq heures du matin, lorsque le jour commençait à poindre.|L'accident était arrivé vers cinq heures du matin, lorsque le jour commençait à poindre.
sous_les_mers_1_01_f000055|Les officiers de quart se précipitèrent à l'arrière du bâtiment.|Les officiers de quart se précipitèrent à l'arrière du bâtiment.
sous_les_mers_1_01_f000056|Ils examinèrent l'Océan avec la plus scrupuleuse attention.|Ils examinèrent l'Océan avec la plus scrupuleuse attention.
sous_les_mers_1_01_f000057|Ils ne virent rien, si ce n'est un fort remous qui brisait à trois encablures, comme si les nappes liquides eussent été violemment battues.|Ils ne virent rien, si ce n'est un fort remous qui brisait à trois encablures, comme si les nappes liquides eussent été violemment battues.
sous_les_mers_1_01_f000058|Le relèvement du lieu fut exactement pris, et le Moravian continua sa route sans avaries apparentes.|Le relèvement du lieu fut exactement pris, et le Moravian continua sa route sans avaries apparentes.
sous_les_mers_1_01_f000059|Avait-il heurté une roche sous-marine, ou quelque énorme épave d'un naufrage?|Avait-il heurté une roche sous-marine, ou quelque énorme épave d'un naufrage?
sous_les_mers_1_01_f000060|On ne put le savoir; mais, examen fait de sa carène dans les bassins de radoub, il fut reconnu qu'une partie de la quille avait été brisée.|On ne put le savoir; mais, examen fait de sa carène dans les bassins de radoub, il fut reconnu qu'une partie de la quille avait été brisée.
sous_les_mers_1_01_f000061|Ce fait, extrêmement grave en lui-même, eût peut-être été oublié comme tant d'autres, si, trois semaines après, il ne se fût reproduit dans des conditions identiques.|Ce fait, extrêmement grave en lui-même, eût peut-être été oublié comme tant d'autres, si, trois semaines après, il ne se fût reproduit dans des conditions identiques.
sous_les_mers_1_01_f000062|Seulement, grâce à la nationalité du navire victime de ce nouvel abordage, grâce à la réputation de la Compagnie à laquelle ce navire appartenait,|Seulement, grâce à la nationalité du navire victime de ce nouvel abordage, grâce à la réputation de la Compagnie à laquelle ce navire appartenait,
sous_les_mers_1_01_f000063|l'événement eut un retentissement immense.|l'événement eut un retentissement immense.
sous_les_mers_1_01_f000064|Personne n'ignore le nom du célèbre armateur anglais Cunard.|Personne n'ignore le nom du célèbre armateur anglais Cunard.
sous_les_mers_1_01_f000065|Cet intelligent industriel fonda, en 1840, un service postal entre Liverpool et Halifax, avec trois navires en bois et à roues d'une force de quatre cents chevaux, et d'une jauge de onze cent soixante-deux tonneaux.|Cet intelligent industriel fonda, en 1840, un service postal entre Liverpool et Halifax, avec trois navires en bois et à roues d'une force de quatre cents chevaux, et d'une jauge de onze cent soixante-deux tonneaux.
sous_les_mers_1_01_f000066|Huit ans après, le matériel de la Compagnie s'accroissait de quatre navires de six cent cinquante chevaux et de dix-huit cent vingt tonnes, et, deux ans plus tard, de deux autres bâtiments supérieurs en puissance et en tonnage.|Huit ans après, le matériel de la Compagnie s'accroissait de quatre navires de six cent cinquante chevaux et de dix-huit cent vingt tonnes, et, deux ans plus tard, de deux autres bâtiments supérieurs en puissance et en tonnage.
sous_les_mers_1_01_f000067|En 1853, la compagnie Cunard, dont le privilège pour le transport des dépêches venait d'être renouvelé, ajouta successivement à son matériel l' Arabia,|En 1853, la compagnie Cunard, dont le privilège pour le transport des dépêches venait d'être renouvelé, ajouta successivement à son matériel l' Arabia,
sous_les_mers_1_01_f000068|le Persia, le China, le Scotia, le Java, le Russia, tous navires de première marche, et les plus vastes qui, après le Great-Eastern, eussent jamais sillonné les mers.|le Persia, le China, le Scotia, le Java, le Russia, tous navires de première marche, et les plus vastes qui, après le Great-Eastern, eussent jamais sillonné les mers.
sous_les_mers_1_01_f000069|Ainsi donc, en 1867, la Compagnie possédait douze navires, dont huit à roues et quatre à hélices.|Ainsi donc, en 1867, la Compagnie possédait douze navires, dont huit à roues et quatre à hélices.
sous_les_mers_1_01_f000070|Si je donne ces détails très succincts, c'est afin que chacun sache bien quelle est l'importance de cette compagnie de transports maritimes, connue du monde entier pour son intelligente gestion.|Si je donne ces détails très succincts, c'est afin que chacun sache bien quelle est l'importance de cette compagnie de transports maritimes, connue du monde entier pour son intelligente gestion.
sous_les_mers_1_01_f000071|Nulle entreprise de navigation transocéanienne n'a été conduite avec plus d'habileté; nulle affaire n'a été couronnée de plus de succès.|Nulle entreprise de navigation transocéanienne n'a été conduite avec plus d'habileté; nulle affaire n'a été couronnée de plus de succès.
sous_les_mers_1_01_f000072|Depuis vingt-six ans, les navires Cunard ont traversé deux mille fois l'Atlantique, et jamais un voyage n'a été manqué, jamais un retard n'a eu lieu, jamais ni une lettre, ni un homme, ni un bâtiment n'ont été perdus.|Depuis vingt-six ans, les navires Cunard ont traversé deux mille fois l'Atlantique, et jamais un voyage n'a été manqué, jamais un retard n'a eu lieu, jamais ni une lettre, ni un homme, ni un bâtiment n'ont été perdus.
sous_les_mers_1_01_f000073|Aussi, les passagers choisissent-ils encore, malgré la concurrence puissante que lui fait la France, la ligne Cunard de préférence à toute autre, ainsi qu'il appert d'un relevé fait sur les documents officiels des dernières années.|Aussi, les passagers choisissent-ils encore, malgré la concurrence puissante que lui fait la France, la ligne Cunard de préférence à toute autre, ainsi qu'il appert d'un relevé fait sur les documents officiels des dernières années.
sous_les_mers_1_01_f000074|Ceci dit, personne ne s'étonnera du retentissement que provoqua l'accident arrivé à l'un de ses plus beaux steamers.|Ceci dit, personne ne s'étonnera du retentissement que provoqua l'accident arrivé à l'un de ses plus beaux steamers.
sous_les_mers_1_01_f000075|Le 13 avril 1867, la mer étant belle, la brise maniable, le Scotia se trouvait par 15°12' de longitude et 45°37' de latitude.|Le 13 avril 1867, la mer étant belle, la brise maniable, le Scotia se trouvait par 1512' de longitude et 4537' de latitude.
sous_les_mers_1_01_f000076|Il marchait avec une vitesse de treize noeuds quarante-trois centièmes sous la poussée de ses mille chevaux-vapeur.|Il marchait avec une vitesse de treize noeuds quarante-trois centièmes sous la poussée de ses mille chevaux-vapeur.
sous_les_mers_1_01_f000077|Ses roues battaient la mer avec une régularité parfaite.|Ses roues battaient la mer avec une régularité parfaite.
sous_les_mers_1_01_f000078|Son tirant d'eau était alors de six mètres soixante-dix centimètres, et son déplacement de six mille six cent vingt-quatre mètres cubes.|Son tirant d'eau était alors de six mètres soixante-dix centimètres, et son déplacement de six mille six cent vingt-quatre mètres cubes.
sous_les_mers_1_01_f000079|A quatre heures dix-sept minutes du soir, pendant le lunch des passagers réunis dans le grand salon, un choc, peu sensible, en somme,|A quatre heures dix-sept minutes du soir, pendant le lunch des passagers réunis dans le grand salon, un choc, peu sensible, en somme,
sous_les_mers_1_01_f000080|se produisit sur la coque du Scotia, par sa hanche et un peu en arrière de la roue de bâbord.|se produisit sur la coque du Scotia, par sa hanche et un peu en arrière de la roue de bâbord.
sous_les_mers_1_01_f000081|Le Scotia n'avait pas heurté, il avait été heurté, et plutôt par un instrument tranchant ou perforant que contondant.|Le Scotia n'avait pas heurté, il avait été heurté, et plutôt par un instrument tranchant ou perforant que contondant.
sous_les_mers_1_01_f000082|L'abordage avait semblé si léger que personne ne s'en fût inquiété à bord, sans le cri des caliers qui remontèrent sur le pont en s'écriant:|L'abordage avait semblé si léger que personne ne s'en fût inquiété à bord, sans le cri des caliers qui remontèrent sur le pont en s'écriant:
sous_les_mers_1_01_f000083|Nous coulons! nous coulons!|Nous coulons! nous coulons!
sous_les_mers_1_01_f000084|Tout d'abord, les passagers furent très effrayés; mais le capitaine Anderson se hâta de les rassurer.|Tout d'abord, les passagers furent très effrayés; mais le capitaine Anderson se hâta de les rassurer.
sous_les_mers_1_01_f000085|En effet, le danger ne pouvait être imminent. Le Scotia, divisé en sept compartiments par des cloisons étanches, devait braver impunément une voie d'eau.|En effet, le danger ne pouvait être imminent. Le Scotia, divisé en sept compartiments par des cloisons étanches, devait braver impunément une voie d'eau.
sous_les_mers_1_01_f000086|Le capitaine Anderson se rendit immédiatement dans la cale.|Le capitaine Anderson se rendit immédiatement dans la cale.
sous_les_mers_1_01_f000087|Il reconnut que le cinquième compartiment avait été envahi par la mer, et la rapidité de l'envahissement prouvait que la voie d'eau était considérable.|Il reconnut que le cinquième compartiment avait été envahi par la mer, et la rapidité de l'envahissement prouvait que la voie d'eau était considérable.
sous_les_mers_1_01_f000088|Fort heureusement, ce compartiment ne renfermait pas les chaudières, car les feux se fussent subitement éteints.|Fort heureusement, ce compartiment ne renfermait pas les chaudières, car les feux se fussent subitement éteints.
sous_les_mers_1_01_f000089|Le capitaine Anderson fit stopper immédiatement, et l'un des matelots plongea pour reconnaître l'avarie.|Le capitaine Anderson fit stopper immédiatement, et l'un des matelots plongea pour reconnaître l'avarie.
sous_les_mers_1_01_f000090|Quelques instants après, on constatait l'existence d'un trou large de deux mètres dans la carène du steamer.|Quelques instants après, on constatait l'existence d'un trou large de deux mètres dans la carène du steamer.
sous_les_mers_1_01_f000091|Une telle voie d'eau ne pouvait être aveuglée, et le Scotia, ses roues à demi noyées, dut continuer ainsi son voyage.|Une telle voie d'eau ne pouvait être aveuglée, et le Scotia, ses roues à demi noyées, dut continuer ainsi son voyage.
sous_les_mers_1_01_f000092|Il se trouvait alors à trois cent mille du cap Clear, et après trois jours d'un retard qui inquiéta vivement Liverpool, il entra dans les bassins de la Compagnie.|Il se trouvait alors à trois cent mille du cap Clear, et après trois jours d'un retard qui inquiéta vivement Liverpool, il entra dans les bassins de la Compagnie.
sous_les_mers_1_01_f000093|Les ingénieurs procédèrent alors à la visite du Scotia, qui fut mis en cale sèche.|Les ingénieurs procédèrent alors à la visite du Scotia, qui fut mis en cale sèche.
sous_les_mers_1_01_f000094|Ils ne purent en croire leurs yeux. A deux mètres et demi au-dessous de la flottaison s'ouvrait une déchirure régulière, en forme de triangle isocèle.|Ils ne purent en croire leurs yeux. A deux mètres et demi au-dessous de la flottaison s'ouvrait une déchirure régulière, en forme de triangle isocèle.
sous_les_mers_1_01_f000095|La cassure de la tôle était d'une netteté parfaite, et elle n'eût pas été frappée plus sûrement à l'emporte-pièce.|La cassure de la tôle était d'une netteté parfaite, et elle n'eût pas été frappée plus sûrement à l'emporte-pièce.
sous_les_mers_1_01_f000096|Il fallait donc que l'outil perforant qui l'avait produite fût d'une trempe peu commune -- et après avoir été lancé avec une force prodigieuse,|Il fallait donc que l'outil perforant qui l'avait produite fût d'une trempe peu commune -- et après avoir été lancé avec une force prodigieuse,
sous_les_mers_1_01_f000097|ayant ainsi perce une tôle de quatre centimètres, il avait dû se retirer de lui-même par un mouvement rétrograde et vraiment inexplicable.|ayant ainsi perce une tôle de quatre centimètres, il avait dû se retirer de lui-même par un mouvement rétrograde et vraiment inexplicable.
sous_les_mers_1_01_f000098|Tel était ce dernier fait, qui eut pour résultat de passionner à nouveau l'opinion publique.|Tel était ce dernier fait, qui eut pour résultat de passionner à nouveau l'opinion publique.
sous_les_mers_1_01_f000099|Depuis ce moment, en effet, les sinistres maritimes qui n'avaient pas de cause déterminée furent mis sur le compte du monstre.|Depuis ce moment, en effet, les sinistres maritimes qui n'avaient pas de cause déterminée furent mis sur le compte du monstre.
sous_les_mers_1_01_f000100|Ce fantastique animal endossa la responsabilité de tous ces naufrages, dont le nombre est malheureusement considérable;|Ce fantastique animal endossa la responsabilité de tous ces naufrages, dont le nombre est malheureusement considérable;
sous_les_mers_1_01_f000101|car sur trois mille navires dont la perte est annuellement relevée au Bureau-Veritas, le chiffre des navires à vapeur ou à voiles, supposés perdus corps et biens par suite d'absence de nouvelles,|car sur trois mille navires dont la perte est annuellement relevée au Bureau-Veritas, le chiffre des navires à vapeur ou à voiles, supposés perdus corps et biens par suite d'absence de nouvelles,
sous_les_mers_1_01_f000102|ne s'élève pas à moins de deux cents!|ne s'élève pas à moins de deux cents!
sous_les_mers_1_01_f000103|Or, ce fut le monstre qui, justement ou injustement, fut accusé de leur disparition, et, grâce à lui, les communications entre les divers continents devenant de plus en plus dangereuses,|Or, ce fut le monstre qui, justement ou injustement, fut accusé de leur disparition, et, grâce à lui, les communications entre les divers continents devenant de plus en plus dangereuses,
sous_les_mers_1_01_f000104|le public se déclara et demanda catégoriquement que les mers fussent enfin débarrassées et à tout prix de ce formidable cétacé.|le public se déclara et demanda catégoriquement que les mers fussent enfin débarrassées et à tout prix de ce formidable cétacé.
sous_les_mers_1_02_f000001|LE POUR ET LE CONTRE|LE POUR ET LE CONTRE
sous_les_mers_1_02_f000002|A l'époque où ces événements se produisirent, je revenais d'une exploration scientifique entreprise dans les mauvaises terres du Nebraska, aux États-Unis.|A l'époque où ces événements se produisirent, je revenais d'une exploration scientifique entreprise dans les mauvaises terres du Nebraska, aux États-Unis.
