tom_sawyer_01_f000001|Vorwort des Autors.|Vorwort des Autors.
tom_sawyer_01_f000051|Nun, mages drum sein, der weibgeborene Mensch bleibt halt sein ganzes Leben durch in Zweifel und Irrtum, wie die heilige Schrift sagt, und ich denke, es ist so.|Nun, mages drum sein, der weibgeborene Mensch bleibt halt sein ganzes Leben durch in Zweifel und Irrtum, wie die heilige Schrift sagt, und ich denke, es ist so.
tom_sawyer_01_f000052|Er wird wieder den ganzen Abend Blindekuh spielen, und ich sollte ihn von Rechts wegen, um ihn zu strafen, morgen arbeiten lassen.|Er wird wieder den ganzen Abend Blindekuh spielen, und ich sollte ihn von Rechts wegen, um ihn zu strafen, morgen arbeiten lassen.
tom_sawyer_01_f000053|Es ist wohl hart für ihn, am Samstag stillzusitzen, wenn alle anderen Knaben Feiertag haben, aber er haßt Arbeit mehr als irgend sonst was,|Es ist wohl hart für ihn, am Samstag stillzusitzen, wenn alle anderen Knaben Feiertag haben, aber er haßt Arbeit mehr als irgend sonst was,
tom_sawyer_01_f000054|und ich will meine Pflicht an ihm tun, oder ich würde das Kind zu Grunde richten.|und ich will meine Pflicht an ihm tun, oder ich würde das Kind zu Grunde richten.
tom_sawyer_01_f000055|Tom spielte Blindekuh und fühlte sich sehr wohl dabei.|Tom spielte Blindekuh und fühlte sich sehr wohl dabei.
tom_sawyer_01_f000056|Zur rechten Zeit kehrte er ganz frech nach Hause zurück, um Jim, dem kleinen, farbigen Bengel, zu helfen,|Zur rechten Zeit kehrte er ganz frech nach Hause zurück, um Jim, dem kleinen, farbigen Bengel, zu helfen,
tom_sawyer_01_f000057|noch vor Tisch das Holz für den nächsten Tag zu sägen und zu spalten - und schließlich hatte er Jim die Abenteuer des Tages erzählt,|noch vor Tisch das Holz für den nächsten Tag zu sägen und zu spalten - und schließlich hatte er Jim die Abenteuer des Tages erzählt,
tom_sawyer_01_f000058|während Jim drei Viertel der Arbeit getan hatte.|während Jim drei Viertel der Arbeit getan hatte.
tom_sawyer_01_f000059|Toms jüngerer Bruder oder vielmehr Halbbruder Sid war bereits fertig mit seinem Anteil an der Arbeit,|Toms jüngerer Bruder oder vielmehr Halbbruder Sid war bereits fertig mit seinem Anteil an der Arbeit,
tom_sawyer_01_f000060|dem Zusammenlesen des Holzes, denn er war ein phlegmatischer Junge und hatte keinerlei Abenteuer und kühne Unternehmungen.|dem Zusammenlesen des Holzes, denn er war ein phlegmatischer Junge und hatte keinerlei Abenteuer und kühne Unternehmungen.
tom_sawyer_01_f000061|Während Tom nun seine Suppe aß und nach Möglichkeit Zuckerstückchen stahl, stellte Tante Polly allerhand Fragen an ihn,|Während Tom nun seine Suppe aß und nach Möglichkeit Zuckerstückchen stahl, stellte Tante Polly allerhand Fragen an ihn,
tom_sawyer_01_f000062|arglistige und verfängliche Fragen, denn sie brannte darauf, ihn in eine Falle zu locken.|arglistige und verfängliche Fragen, denn sie brannte darauf, ihn in eine Falle zu locken.
tom_sawyer_01_f000063|Wie so viele gutherzige Geschöpfe, bildete sie sich auf ihr Talent in der höheren Diplomatie nicht wenig ein und betrachtete ihre sehr durchsichtigen Anschläge als wahre Wunder inquisitorischer Verschlagenheit.|Wie so viele gutherzige Geschöpfe, bildete sie sich auf ihr Talent in der höheren Diplomatie nicht wenig ein und betrachtete ihre sehr durchsichtigen Anschläge als wahre Wunder inquisitorischer Verschlagenheit.
tom_sawyer_01_f000064|Tom, sagte sie, es war wohl ziemlich heiß in der Schule?|Tom, sagte sie, es war wohl ziemlich heiß in der Schule?
tom_sawyer_01_f000065|M - ja Sehr heiß, he?|M - ja Sehr heiß, he?
tom_sawyer_01_f000066|M - ja.|M - ja.
tom_sawyer_01_f000067|Hattest du nicht Lust, zum Schwimmen zu gehen?|Hattest du nicht Lust, zum Schwimmen zu gehen?
tom_sawyer_01_f000068|Tom stutzte - ein ungemütlicher Verdacht stieg in ihm auf.|Tom stutzte - ein ungemütlicher Verdacht stieg in ihm auf.
tom_sawyer_01_f000069|Er schaute forschend in Tante Pollys Gesicht, aber es war nichts darin zu lesen. So sagte er: Nein - das heißt - nicht so sehr.|Er schaute forschend in Tante Pollys Gesicht, aber es war nichts darin zu lesen. So sagte er: Nein - das heißt - nicht so sehr.
tom_sawyer_01_f000070|Die alte Dame streckte ihre Hand nach ihm aus, befühlte seinen Kragen und sagte: Jetzt, scheint mir, kann dir jedenfalls nicht mehr zu warm sein, nicht?|Die alte Dame streckte ihre Hand nach ihm aus, befühlte seinen Kragen und sagte: Jetzt, scheint mir, kann dir jedenfalls nicht mehr zu warm sein, nicht?
tom_sawyer_01_f000071|Auf diese Art, dachte sie, habe sie sich von der vollkommenen Trockenheit seines Kragens überzeugt, ohne ihre wahre Absicht von fern merken zu lassen.|Auf diese Art, dachte sie, habe sie sich von der vollkommenen Trockenheit seines Kragens überzeugt, ohne ihre wahre Absicht von fern merken zu lassen.
tom_sawyer_01_f000072|Aber Tom hatte trotzdem begriffen, woher der Wind wehte.|Aber Tom hatte trotzdem begriffen, woher der Wind wehte.
tom_sawyer_01_f000073|So beeilte er sich wohlweislich, allen etwaigen Fragen zuvorzukommen.|So beeilte er sich wohlweislich, allen etwaigen Fragen zuvorzukommen.
tom_sawyer_01_f000074|Einige von uns haben sich den Kopf unter die Pumpe gehalten - meiner ist noch feucht - fühl nur.|Einige von uns haben sich den Kopf unter die Pumpe gehalten - meiner ist noch feucht - fühl nur.
tom_sawyer_01_f000075|Tante Polly ärgerte sich, eine so wichtige Indizie übersehen zu haben; so hatte sie von vornherein ihre Waffen aus der Hand gegeben. Dann kam ihr aber ein neuer Gedanke.|Tante Polly ärgerte sich, eine so wichtige Indizie übersehen zu haben; so hatte sie von vornherein ihre Waffen aus der Hand gegeben. Dann kam ihr aber ein neuer Gedanke.
tom_sawyer_01_f000076|Tom, du hast doch wohl nicht den Kragen, den ich dir an die Jacke genäht hatte, beim Unter-die-Pumpe-halten des Kopfes abgenommen? Mach doch mal die Jacke auf!|Tom, du hast doch wohl nicht den Kragen, den ich dir an die Jacke genäht hatte, beim Unter-die-Pumpe-halten des Kopfes abgenommen? Mach doch mal die Jacke auf!
tom_sawyer_01_f000077|Toms Mienen hellten sich auf. Er öffnete seine Jacke. Sein Kragen saß ganz fest.|Toms Mienen hellten sich auf. Er öffnete seine Jacke. Sein Kragen saß ganz fest.
tom_sawyer_01_f000078|Wirklich. Na es ist gut, du kannst gehen. Ich hätte darauf geschworen, daß du im Wasser gewesen seiest.|Wirklich. Na es ist gut, du kannst gehen. Ich hätte darauf geschworen, daß du im Wasser gewesen seiest.
tom_sawyer_01_f000079|Nun, dir geht es diesmal wie der gebrannten Katze, ich habe dich zu Unrecht in Verdacht gehabt - diesmal, Tom.|Nun, dir geht es diesmal wie der gebrannten Katze, ich habe dich zu Unrecht in Verdacht gehabt - diesmal, Tom.
tom_sawyer_01_f000080|Sie war halb verdrießlich, so aus dem Felde geschlagen zu sein, und doch freute sie sich, daß Tom doch wirklich mal gehorsam gewesen war.|Sie war halb verdrießlich, so aus dem Felde geschlagen zu sein, und doch freute sie sich, daß Tom doch wirklich mal gehorsam gewesen war.
tom_sawyer_01_f000081|Plötzlich sagte Sidney: Ich habe aber doch gesehen, daß du seinen Kragen mit weißem Zwirn genäht hast - und jetzt ist er auf einmal schwarz!|Plötzlich sagte Sidney: Ich habe aber doch gesehen, daß du seinen Kragen mit weißem Zwirn genäht hast - und jetzt ist er auf einmal schwarz!
tom_sawyer_01_f000082|Freilich habe ich weißen genommen - Tom!|Freilich habe ich weißen genommen - Tom!
tom_sawyer_01_f000083|Aber Tom hatte sich schon aus dem Staube gemacht. Na, warte, Sidney, das sollst du mir büßen, damit war er aus der Tür.|Aber Tom hatte sich schon aus dem Staube gemacht. Na, warte, Sidney, das sollst du mir büßen, damit war er aus der Tür.
tom_sawyer_01_f000084|An einem sicheren Plätzchen beschaute Tom dann zwei lange Nadeln, welche unter dem Kragen seines Rockes steckten, die eine mit schwarzem, die andere mit weißem Zwirn.|An einem sicheren Plätzchen beschaute Tom dann zwei lange Nadeln, welche unter dem Kragen seines Rockes steckten, die eine mit schwarzem, die andere mit weißem Zwirn.
tom_sawyer_01_f000085|Sie allein hätte es nie gemerkt, dachte er, ohne diesen Sid.|Sie allein hätte es nie gemerkt, dachte er, ohne diesen Sid.
tom_sawyer_01_f000086|Einmal schwarzen, das andere Mal weißen - zum Teufel, ich wollte, sie entschiede sich für einen, damit ich wüßte, woran ich wäre.|Einmal schwarzen, das andere Mal weißen - zum Teufel, ich wollte, sie entschiede sich für einen, damit ich wüßte, woran ich wäre.
tom_sawyer_01_f000087|Und Sid - na, seine Prügel sind ihm sicher; wenn iches nicht tue, soll man mir die Ohren abschneiden.|Und Sid - na, seine Prügel sind ihm sicher; wenn iches nicht tue, soll man mir die Ohren abschneiden.
tom_sawyer_01_f000088|Tom war kein Musterknabe, aber er kannte einen und haßte ihn von Herzen.|Tom war kein Musterknabe, aber er kannte einen und haßte ihn von Herzen.
tom_sawyer_01_f000089|Ein Augenblick - und Tom hatte alle seine Kümmernisse vergessen.|Ein Augenblick - und Tom hatte alle seine Kümmernisse vergessen.
tom_sawyer_01_f000090|Nicht, daß sie auf einmal geringer geworden wären oder weniger auf dem Herzen des kleinen Mannes gelastet hätten,|Nicht, daß sie auf einmal geringer geworden wären oder weniger auf dem Herzen des kleinen Mannes gelastet hätten,
tom_sawyer_01_f000091|aber Tom hatte eine neue, wundervolle Beschäftigung, und die richtete ihn auf und half ihm über alles hinweg - für den Augenblick;|aber Tom hatte eine neue, wundervolle Beschäftigung, und die richtete ihn auf und half ihm über alles hinweg - für den Augenblick;
tom_sawyer_01_f000092|wie eben ein Mann alles Mißgeschick beim Gedanken an neue Taten verschmerzt.|wie eben ein Mann alles Mißgeschick beim Gedanken an neue Taten verschmerzt.
tom_sawyer_01_f000093|Diese neue Beschäftigung war eine ganz neue Art, zu pfeifen, die ihm irgend ein Negerbengel vor kurzem beigebracht hatte, und die jetzt ungestört geübt werden mußte.|Diese neue Beschäftigung war eine ganz neue Art, zu pfeifen, die ihm irgend ein Negerbengel vor kurzem beigebracht hatte, und die jetzt ungestört geübt werden mußte.
tom_sawyer_01_f000094|Die wichtige Erfindung beruhte auf einem vogelartigen, schmetternden Triller, mit gleichzeitigem, durch Zungenschlag hervorgebrachten Geschwindmarsch von Tönen.|Die wichtige Erfindung beruhte auf einem vogelartigen, schmetternden Triller, mit gleichzeitigem, durch Zungenschlag hervorgebrachten Geschwindmarsch von Tönen.
tom_sawyer_01_f000095|Der Leser weiß, wie man diese delikate Musik ausübt - oder er ist niemals jung gewesen.|Der Leser weiß, wie man diese delikate Musik ausübt - oder er ist niemals jung gewesen.
tom_sawyer_01_f000096|Tom hatte mit Fleiß und Aufmerksamkeit bald den Trick heraus und schlenderte, den Mund voll Harmonie und Stolz im Herzen, die Dorfstraße hinunter.|Tom hatte mit Fleiß und Aufmerksamkeit bald den Trick heraus und schlenderte, den Mund voll Harmonie und Stolz im Herzen, die Dorfstraße hinunter.
tom_sawyer_01_f000097|Er fühlte sich wie ein Sterngucker, der ein neues Gestirn entdeckt hat. Nur daß keines Sternguckers Freude und Genugtuung so tief und ungetrübt hatte sein können wie die Toms.|Er fühlte sich wie ein Sterngucker, der ein neues Gestirn entdeckt hat. Nur daß keines Sternguckers Freude und Genugtuung so tief und ungetrübt hatte sein können wie die Toms.
tom_sawyer_01_f000098|Der Sommerabend war lang und noch hell. Plötzlich hörte Tom auf zu pfeifen.|Der Sommerabend war lang und noch hell. Plötzlich hörte Tom auf zu pfeifen.
tom_sawyer_01_f000099|Ein Fremder stand vor ihm, ein Bursche, kaum größer als er selbst.|Ein Fremder stand vor ihm, ein Bursche, kaum größer als er selbst.
tom_sawyer_01_f000100|Eine neue Bekanntschaft, einerlei, welchen Alters und Geschlechts, war in dem armseligen, kleinen St.|Eine neue Bekanntschaft, einerlei, welchen Alters und Geschlechts, war in dem armseligen, kleinen St.
tom_sawyer_01_f000101|Petersburg schon ein Ereignis. Dieser Bursche war gut gekleidet - zu gut für einen Werktag.|Petersburg schon ein Ereignis. Dieser Bursche war gut gekleidet - zu gut für einen Werktag.
tom_sawyer_01_f000102|Sonderbar. Seine Mütze war zierlich, seine enganliegende blaue Jacke neu und sauber, ebenso seine Hose.|Sonderbar. Seine Mütze war zierlich, seine enganliegende blaue Jacke neu und sauber, ebenso seine Hose.
tom_sawyer_01_f000103|Er hatte Schuhe an, und es war erst Freitag! Er hatte sogar ein Halstuch um, ein wahres Monstrum von einem Tuch.|Er hatte Schuhe an, und es war erst Freitag! Er hatte sogar ein Halstuch um, ein wahres Monstrum von einem Tuch.
tom_sawyer_01_f000104|Überhaupt hatte er etwas an sich, was den Naturmenschen in Tom herausforderte.|Überhaupt hatte er etwas an sich, was den Naturmenschen in Tom herausforderte.
tom_sawyer_01_f000105|Je mehr Tom das neue Weltwunder anstarrte, um so mehr rümpfte er die Nase über solche Geziertheit, und sein eigenes Äußere erschien ihm immer schäbiger.|Je mehr Tom das neue Weltwunder anstarrte, um so mehr rümpfte er die Nase über solche Geziertheit, und sein eigenes Äußere erschien ihm immer schäbiger.
tom_sawyer_01_f000106|Beide schwiegen. Wollte einer ausweichen, so wollte auch der andere ausweichen, natürlich nach derselben Seite.|Beide schwiegen. Wollte einer ausweichen, so wollte auch der andere ausweichen, natürlich nach derselben Seite.
tom_sawyer_01_f000107|So schauten sie lange einander herausfordernd in die Augen. Endlich sagte Tom: Soll ich dich prügeln?|So schauten sie lange einander herausfordernd in die Augen. Endlich sagte Tom: Soll ich dich prügeln?
tom_sawyer_01_f000108|Das möchte ich doch erst einmal sehen!|Das möchte ich doch erst einmal sehen!
tom_sawyer_01_f000109|Das wirst du allerdings sehen!|Das wirst du allerdings sehen!
tom_sawyer_01_f000110|Du kannst es ja gar nicht!|Du kannst es ja gar nicht!
tom_sawyer_01_f000111|Wohl kann iches!|Wohl kann iches!
tom_sawyer_01_f000112|Pah!|Pah!
tom_sawyer_01_f000113|Wohl kann iches!|Wohl kann iches!
tom_sawyer_01_f000114|Nicht wahr!|Nicht wahr!
tom_sawyer_01_f000115|Doch wahr!|Doch wahr!
tom_sawyer_01_f000116|Eine ungemütliche Pause. Darauf wieder Tom: Wie heißt du denn?|Eine ungemütliche Pause. Darauf wieder Tom: Wie heißt du denn?
tom_sawyer_01_f000117|Das geht dich nichts an, Straßenjunge!|Das geht dich nichts an, Straßenjunge!
tom_sawyer_01_f000118|Ich will dir schon zeigen, daß miches was angeht!|Ich will dir schon zeigen, daß miches was angeht!
tom_sawyer_01_f000119|Na, warum tust dues denn nicht?|Na, warum tust dues denn nicht?
tom_sawyer_01_f000120|Wenn du noch viel sagst, tu iches!|Wenn du noch viel sagst, tu iches!
tom_sawyer_01_f000121|Viel - viel - viel, - so, nun tues!|Viel - viel - viel, - so, nun tues!
tom_sawyer_01_f000122|Ach, du hältst dich wohl für mehr als mich? Wenn ich nur wollte, könnte ich dich mit einer Hand unterkriegen!|Ach, du hältst dich wohl für mehr als mich? Wenn ich nur wollte, könnte ich dich mit einer Hand unterkriegen!
tom_sawyer_01_f000123|Na, warum tust dues denn nicht? Du sagst nur immer, daß dues kannst!|Na, warum tust dues denn nicht? Du sagst nur immer, daß dues kannst!
tom_sawyer_01_f000124|Wenn du frech wirst, tu iches!|Wenn du frech wirst, tu iches!
tom_sawyer_01_f000125|Pah - das kann jeder sagen!|Pah - das kann jeder sagen!
tom_sawyer_01_f000126|Du bist wohl was Rechts, du Windhund!|Du bist wohl was Rechts, du Windhund!
tom_sawyer_01_f000127|Was du für einen dummen Hut aufhast!|Was du für einen dummen Hut aufhast!
tom_sawyer_01_f000128|Wenn er dir nicht gefällt, kannst du ihn ja herunterschlagen! Schlag ihn doch runter, wenn du ein paar Ohrfeigen haben willst!|Wenn er dir nicht gefällt, kannst du ihn ja herunterschlagen! Schlag ihn doch runter, wenn du ein paar Ohrfeigen haben willst!
tom_sawyer_01_f000129|Lügner!|Lügner!
tom_sawyer_01_f000130|Selbst Lügner!|Selbst Lügner!
tom_sawyer_01_f000131|Prahlhans, du bist ja zu feig!|Prahlhans, du bist ja zu feig!
tom_sawyer_01_f000132|Ach, mach, daß du weiter kommst!|Ach, mach, daß du weiter kommst!
tom_sawyer_01_f000133|Du, wenn du noch lange Blödsinn schwatzt, schmeiß ich dir enen Stein an den Kopf!|Du, wenn du noch lange Blödsinn schwatzt, schmeiß ich dir enen Stein an den Kopf!
tom_sawyer_01_f000134|Na, so wages doch!|Na, so wages doch!
tom_sawyer_01_f000135|Ich tues auch!|Ich tues auch!
tom_sawyer_01_f000136|Warum tust dues denn nicht? Du sagst es ja immer nur. Tues doch mal! Du bist ja zu bange!|Warum tust dues denn nicht? Du sagst es ja immer nur. Tues doch mal! Du bist ja zu bange!
tom_sawyer_01_f000137|Ich bin nicht bange!|Ich bin nicht bange!
tom_sawyer_01_f000138|Natürlich bist du bange!|Natürlich bist du bange!
tom_sawyer_01_f000139|Nicht wahr!|Nicht wahr!
tom_sawyer_01_f000140|Doch wahr!|Doch wahr!
tom_sawyer_01_f000141|Wieder eine Pause. Beide starren sich an, gehen umeinander herum und beschnüffeln sich wie junge Hunde.|Wieder eine Pause. Beide starren sich an, gehen umeinander herum und beschnüffeln sich wie junge Hunde.
tom_sawyer_01_f000142|Plötzlich liegen sie in schönster Kampfstellung Schulter an Schulter. Tom schrie: Scher dich fort!|Plötzlich liegen sie in schönster Kampfstellung Schulter an Schulter. Tom schrie: Scher dich fort!
tom_sawyer_01_f000143|Fällt mir gar nicht ein!|Fällt mir gar nicht ein!
tom_sawyer_01_f000144|Fällt mir auch nicht ein!|Fällt mir auch nicht ein!
