reisenachtilsit_1_f000001|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.
reisenachtilsit_1_f000052|Die kommt nach Hause und sagt zu ihrem Mann, der auf der Ofenbank liegt und schläft: Doczys, sagt sie, hier sind die Wasserstiefel.|Die kommt nach Hause und sagt zu ihrem Mann, der auf der Ofenbank liegt und schläft: Doczys, sagt sie, hier sind die Wasserstiefel.
reisenachtilsit_1_f000053|Setz die Segel ins Mittelboot, wir fahren nach Minge.|Setz die Segel ins Mittelboot, wir fahren nach Minge.
reisenachtilsit_1_f000054|Aus welchem Grund fahren wir nach Minge?|Aus welchem Grund fahren wir nach Minge?
reisenachtilsit_1_f000055|fragt er ungehalten; denn er schläft, will Ruhe haben.|fragt er ungehalten; denn er schläft, will Ruhe haben.
reisenachtilsit_1_f000056|Aber die Doczene, in Wut bei dem Gedanken, daß es ihr morgen ebenso gehen kann, fackelt nicht viel und stößt ihn herunter.|Aber die Doczene, in Wut bei dem Gedanken, daß es ihr morgen ebenso gehen kann, fackelt nicht viel und stößt ihn herunter.
reisenachtilsit_1_f000057|Er bekommt auch noch die schweren Stiefel angezogen, und eine halbe Stunde später fahren die beiden nach Minge.|Er bekommt auch noch die schweren Stiefel angezogen, und eine halbe Stunde später fahren die beiden nach Minge.
reisenachtilsit_1_f000058|Am Tage darauf kommt der alte Jaksztat in Wilwischken an.|Am Tage darauf kommt der alte Jaksztat in Wilwischken an.
reisenachtilsit_1_f000059|Er ist nicht zu Kahn gekommen, das hätte zu armemannsmäßig ausgesehen, sondern hat den Umweg über Land nicht gescheut, um seinem Schwiegersohn mit dem Verdeckwagen und dem neusilbernen Kummetgeschirr unter die Nase zu reiben,|Er ist nicht zu Kahn gekommen, das hätte zu armemannsmäßig ausgesehen, sondern hat den Umweg über Land nicht gescheut, um seinem Schwiegersohn mit dem Verdeckwagen und dem neusilbernen Kummetgeschirr unter die Nase zu reiben,
reisenachtilsit_1_f000060|welcherart das Haus ist, aus dem seine Frau herstammt.|welcherart das Haus ist, aus dem seine Frau herstammt.
reisenachtilsit_1_f000061|Des reichen Jaksztat erinnern wir uns noch alle.|Des reichen Jaksztat erinnern wir uns noch alle.
reisenachtilsit_1_f000062|Der obeinige, kleine Mann mit dem lappigen Knochengesicht und den ewigen Rasiermesserkratzern war ja bekannt genug.|Der obeinige, kleine Mann mit dem lappigen Knochengesicht und den ewigen Rasiermesserkratzern war ja bekannt genug.
reisenachtilsit_1_f000063|Als er starb, ist er schließlich gar nicht so reich gewesen. Aber das tut nichts zur Sache.|Als er starb, ist er schließlich gar nicht so reich gewesen. Aber das tut nichts zur Sache.
reisenachtilsit_1_f000064|Die Busze, die ihre Augen überall hat, sieht als erste das Fuhrwerk vorfahren und tritt aus dem Hause.|Die Busze, die ihre Augen überall hat, sieht als erste das Fuhrwerk vorfahren und tritt aus dem Hause.
reisenachtilsit_1_f000065|Was er wünsche, fragt sie, die Arme einstemmend, und funkelt ihn an.|Was er wünsche, fragt sie, die Arme einstemmend, und funkelt ihn an.
reisenachtilsit_1_f000066|Er, nicht faul, nimmt seinem Kutscher die Peitsche aus der Hand und reißt ihr eins über.|Er, nicht faul, nimmt seinem Kutscher die Peitsche aus der Hand und reißt ihr eins über.
reisenachtilsit_1_f000067|Lang übers Gesicht und den nackten rechten Arm herunter flammt die Strieme.|Lang übers Gesicht und den nackten rechten Arm herunter flammt die Strieme.
reisenachtilsit_1_f000068|Und was tut sie? Sie packt den alten Mann, zieht ihn vom Wagen und fängt ihn mit den Fäusten zu verprügeln an.|Und was tut sie? Sie packt den alten Mann, zieht ihn vom Wagen und fängt ihn mit den Fäusten zu verprügeln an.
reisenachtilsit_1_f000069|Der Kutscher springt vom Bock, der Ansas Balczus kommt aus dem Hause gestürzt, und beiden Männern zusammen gelingt es erst, ihn der wütenden Frauensperson zu entreißen.|Der Kutscher springt vom Bock, der Ansas Balczus kommt aus dem Hause gestürzt, und beiden Männern zusammen gelingt es erst, ihn der wütenden Frauensperson zu entreißen.
reisenachtilsit_1_f000070|Weiß Gott, sie hätte ihn sonst vielleicht umgebracht.|Weiß Gott, sie hätte ihn sonst vielleicht umgebracht.
reisenachtilsit_1_f000071|So schlimm dies Vorkommnis an und für sich sein mag, in der nun folgenden Unterredung gibt es dem Alten Oberwasser.|So schlimm dies Vorkommnis an und für sich sein mag, in der nun folgenden Unterredung gibt es dem Alten Oberwasser.
reisenachtilsit_1_f000072|Denn so weit vom Wege abgekommen ist der Ansas Balczus doch noch nicht durch seine Kebserei, daß er nicht wüßte, welche Schande ein solcher Empfang dem Hause weit und breit bereiten muß.|Denn so weit vom Wege abgekommen ist der Ansas Balczus doch noch nicht durch seine Kebserei, daß er nicht wüßte, welche Schande ein solcher Empfang dem Hause weit und breit bereiten muß.
reisenachtilsit_1_f000073|Nun steht er in seiner ganzen Länge mit dem hinter die Ohren gestrichenen gelben Flachshaar und dem braunen Sommersprossengesicht vor dem Alten und weiß nicht, wo er die Augen lassen soll.|Nun steht er in seiner ganzen Länge mit dem hinter die Ohren gestrichenen gelben Flachshaar und dem braunen Sommersprossengesicht vor dem Alten und weiß nicht, wo er die Augen lassen soll.
reisenachtilsit_1_f000074|Der schnauft immerzu vor Zorn und weil ihm noch vom Herumrangen die Luft fehlt.|Der schnauft immerzu vor Zorn und weil ihm noch vom Herumrangen die Luft fehlt.
reisenachtilsit_1_f000075|Wo ist deine Frau? Wie soll der Ansas Balczus wissen, wo seine Frau ist?|Wo ist deine Frau? Wie soll der Ansas Balczus wissen, wo seine Frau ist?
reisenachtilsit_1_f000076|Die läuft in ihrer Ratlosigkeit oft genug aus dem Hause, dorthin, wo sie vor Schimpf und Schlägen sicher ist.|Die läuft in ihrer Ratlosigkeit oft genug aus dem Hause, dorthin, wo sie vor Schimpf und Schlägen sicher ist.
reisenachtilsit_1_f000077|Ich bin der reiche Jaksztat! schimpft der Alte.|Ich bin der reiche Jaksztat! schimpft der Alte.
reisenachtilsit_1_f000078|Mir soll so was passieren! Der Ansas Balczus entschuldigt den Überfall, so gut es geht.|Mir soll so was passieren! Der Ansas Balczus entschuldigt den Überfall, so gut es geht.
reisenachtilsit_1_f000079|Aber was kann er viel sagen? Diese Bestije, diese Patartschke muß sofort aus dem Hause!|Aber was kann er viel sagen? Diese Bestije, diese Patartschke muß sofort aus dem Hause!
reisenachtilsit_1_f000080|Na, na, brummt der Ansas. Wäre das nicht eben geschehen, so hätte er wahrscheinlich die Brust ausgestemmt und geschrien, das sei seine Wirtschaft, hier habe er allein was zu sagen, aber jetzt brummt er bloß: Na, na.|Na, na, brummt der Ansas. Wäre das nicht eben geschehen, so hätte er wahrscheinlich die Brust ausgestemmt und geschrien, das sei seine Wirtschaft, hier habe er allein was zu sagen, aber jetzt brummt er bloß: Na, na.
reisenachtilsit_1_f000081|Der Alte merkt sofort, daß sein Weizen blüht, und nun legt er los.|Der Alte merkt sofort, daß sein Weizen blüht, und nun legt er los.
reisenachtilsit_1_f000082|Es gibt nicht viel Schimpfwörter im Litauischen, die der Ansas für sich und sein Frauenzimmer nicht zu hören gekriegt hat in dieser Stunde.|Es gibt nicht viel Schimpfwörter im Litauischen, die der Ansas für sich und sein Frauenzimmer nicht zu hören gekriegt hat in dieser Stunde.
reisenachtilsit_1_f000083|Und schließlich ist er ganz windelweich, sitzt auf der Ofenbank und weint. Indre kommt nach Hause.|Und schließlich ist er ganz windelweich, sitzt auf der Ofenbank und weint. Indre kommt nach Hause.
reisenachtilsit_1_f000084|Sie hat die beiden Ältesten aus der Schule geholt und geht über den Hof, den kleinen Willus auf dem Arm, schlank und rank, geradeso wie die katholische heilige Jungfrau.|Sie hat die beiden Ältesten aus der Schule geholt und geht über den Hof, den kleinen Willus auf dem Arm, schlank und rank, geradeso wie die katholische heilige Jungfrau.
reisenachtilsit_1_f000085|Wie sie das väterliche Fuhrwerk sieht, schrickt sie zusammen, setzt das Kindchen auf die Erde und sieht sich um, als wüßte sie nicht, wo sie sich am raschesten verstecken soll.|Wie sie das väterliche Fuhrwerk sieht, schrickt sie zusammen, setzt das Kindchen auf die Erde und sieht sich um, als wüßte sie nicht, wo sie sich am raschesten verstecken soll.
reisenachtilsit_1_f000086|Aber noch rascher ist der Alte. Zur Tür hinaus und sie packen und sie hereinziehen hast du nicht gesehen!|Aber noch rascher ist der Alte. Zur Tür hinaus und sie packen und sie hereinziehen hast du nicht gesehen!
reisenachtilsit_1_f000087|Jetzt fällst du vor ihr auf die Knie, fährt er den Schwiegersohn an, und küssest den Saum ihres Gewandes!|Jetzt fällst du vor ihr auf die Knie, fährt er den Schwiegersohn an, und küssest den Saum ihres Gewandes!
reisenachtilsit_1_f000088|So ohne Willen, wie der auch ist, das will er doch nicht.|So ohne Willen, wie der auch ist, das will er doch nicht.
reisenachtilsit_1_f000089|Aber der Alte hilft kräftig nach, und richtig, da liegt er vor ihr und sagt mit einem Schluchzer: Ich weiß, ich bin ein Sünder vor dem Herrn.|Aber der Alte hilft kräftig nach, und richtig, da liegt er vor ihr und sagt mit einem Schluchzer: Ich weiß, ich bin ein Sünder vor dem Herrn.
reisenachtilsit_1_f000090|Steh auf, Ansas, sagt sie in ihrer milden Weise und legt die Hand auf seinen Kopf.|Steh auf, Ansas, sagt sie in ihrer milden Weise und legt die Hand auf seinen Kopf.
reisenachtilsit_1_f000091|Wenn du dich jetzt zu sehr demütigst, vergißt du es mir nachher nicht, und es bleibt alles beim alten.|Wenn du dich jetzt zu sehr demütigst, vergißt du es mir nachher nicht, und es bleibt alles beim alten.
reisenachtilsit_1_f000092|Ach, wie gut hat sie ihn gekannt!|Ach, wie gut hat sie ihn gekannt!
reisenachtilsit_1_f000093|Aber vorläufig geht er auf alles ein und verspricht dem Alten, daß die Busze mit seinem Willen den Hof nicht mehr betreten soll und daß sie jetzt auf der Stelle abgelohnt werden soll.|Aber vorläufig geht er auf alles ein und verspricht dem Alten, daß die Busze mit seinem Willen den Hof nicht mehr betreten soll und daß sie jetzt auf der Stelle abgelohnt werden soll.
reisenachtilsit_1_f000094|Die Indre warnt den Vater, so Hartes nicht zu verlangen.|Die Indre warnt den Vater, so Hartes nicht zu verlangen.
reisenachtilsit_1_f000095|Aber er besteht darauf. Er hätte es lieber nicht sollen.|Aber er besteht darauf. Er hätte es lieber nicht sollen.
reisenachtilsit_1_f000096|Die Busze! Wo ist die Busze? Da kommt die Busze.|Die Busze! Wo ist die Busze? Da kommt die Busze.
reisenachtilsit_1_f000097|Sie hat das Gesicht mit einem Taschentuch verbunden wie eine mit Zahnschmerzen, und um den rechten Arm hat sie eine nasse Schürze gewickelt.|Sie hat das Gesicht mit einem Taschentuch verbunden wie eine mit Zahnschmerzen, und um den rechten Arm hat sie eine nasse Schürze gewickelt.
reisenachtilsit_1_f000098|Zum Kühlen. Sie stellt sich in die Tür und sieht die drei ganz freundlich an.|Zum Kühlen. Sie stellt sich in die Tür und sieht die drei ganz freundlich an.
reisenachtilsit_1_f000099|Na also, was ist? sagt sie. Ich habe zu tun.|Na also, was ist? sagt sie. Ich habe zu tun.
reisenachtilsit_1_f000100|Du hast hier nichts mehr zu tun, sagt der Alte, und das wird dir dein Brotherr gleich klarmachen.|Du hast hier nichts mehr zu tun, sagt der Alte, und das wird dir dein Brotherr gleich klarmachen.
reisenachtilsit_1_f000101|Da bin ich doch neugierig, trumpft sie als eine, die ihrer Sache sicher ist.|Da bin ich doch neugierig, trumpft sie als eine, die ihrer Sache sicher ist.
reisenachtilsit_1_f000102|Der Ansas Balczus weiß nicht, wo anfangen und wo aufhören.|Der Ansas Balczus weiß nicht, wo anfangen und wo aufhören.
reisenachtilsit_1_f000103|Aber weil sie mit ihrem verbundenen Gesicht nicht gerade sehr hübsch aussieht, wird es ihm leichter.|Aber weil sie mit ihrem verbundenen Gesicht nicht gerade sehr hübsch aussieht, wird es ihm leichter.
reisenachtilsit_1_f000104|Er stottert was von Hausfrieden und man muß Opfer bringen und so.|Er stottert was von Hausfrieden und man muß Opfer bringen und so.
reisenachtilsit_1_f000105|Sehr würdereich sieht er nicht aus. Sie lacht laut auf und lacht und lacht.|Sehr würdereich sieht er nicht aus. Sie lacht laut auf und lacht und lacht.
reisenachtilsit_1_f000106|Haben sie dich richtig kleingekriegt, du Dreckfresser? fragt sie.|Haben sie dich richtig kleingekriegt, du Dreckfresser? fragt sie.
reisenachtilsit_1_f000107|Ums übrige wirst du ja bald wissen, wo du mich finden kannst.|Ums übrige wirst du ja bald wissen, wo du mich finden kannst.
reisenachtilsit_1_f000108|Damit dreht sie sich um und schlägt die Tür hinter sich zu.|Damit dreht sie sich um und schlägt die Tür hinter sich zu.
reisenachtilsit_1_f000109|Jetzt könnte der Friede wohl wiederkommen. Und anfangs scheint es auch so.|Jetzt könnte der Friede wohl wiederkommen. Und anfangs scheint es auch so.
reisenachtilsit_1_f000110|Der Ansas tut freundlich zu seiner Frau, und als er mit Fischen auf den Heydekrüger Markt gefahren ist, bringt er ihr aus dem Hofmannschen Laden sogar ein Seidenkleid mit.|Der Ansas tut freundlich zu seiner Frau, und als er mit Fischen auf den Heydekrüger Markt gefahren ist, bringt er ihr aus dem Hofmannschen Laden sogar ein Seidenkleid mit.
reisenachtilsit_1_f000111|Aber er hat einen schiefen Blick, und wenn er kann, geht er ihr aus dem Wege.|Aber er hat einen schiefen Blick, und wenn er kann, geht er ihr aus dem Wege.
reisenachtilsit_1_f000112|Die Indre schreibt nach Hause: Es ist alles wieder gut.|Die Indre schreibt nach Hause: Es ist alles wieder gut.
reisenachtilsit_1_f000113|Aber auf das Papier sind ihre Tränen gefallen. Denn die Busze ist immer noch da.|Aber auf das Papier sind ihre Tränen gefallen. Denn die Busze ist immer noch da.
reisenachtilsit_1_f000114|Sie hat sich bei den Pilkuhns eingemietet, die hinten am Abzugsgraben wohnen, und was das für Gesindel ist, das weiß in Wilwischken ein jeder.|Sie hat sich bei den Pilkuhns eingemietet, die hinten am Abzugsgraben wohnen, und was das für Gesindel ist, das weiß in Wilwischken ein jeder.
reisenachtilsit_1_f000115|Sie tut so, als arbeitet sie in den Wiesen, aber man kann kaum ins Dorf gehen, dann trifft man sie irgendwo.|Sie tut so, als arbeitet sie in den Wiesen, aber man kann kaum ins Dorf gehen, dann trifft man sie irgendwo.
reisenachtilsit_1_f000116|Sie hat sogar die Dreistigkeit, den beiden Kindern, wenn sie aus der Schule kommen, Gerstenzucker zu schenken.|Sie hat sogar die Dreistigkeit, den beiden Kindern, wenn sie aus der Schule kommen, Gerstenzucker zu schenken.
