das_letzte_marchen_004_f000001|Abschnitt 4 von das letzte Märchen vom Paul Keller.|Abschnitt vier von das letzte Marchen vom Paul Keller.
das_letzte_marchen_004_f000020|Nicht, daß es mir meine Mitredakteure schwer machten – ich hoffte, mit ihnen schon fertig zu werden–, aber ich wußte nicht, wie ich die literarischen Aufgaben, die mir selbst zufielen, am besten lösen solle.|Nicht, daß es mir meine Mitredakteure schwer machten - ich hoffte, mit ihnen schon fertig zu werden-, aber ich wußte nicht, wie ich die literarischen Aufgaben, die mir selbst zufielen, am besten lösen solle.
das_letzte_marchen_004_f000021|Ich sollte Erzählungen, vielleicht gar einen Roman schreiben über Wesen, die mir fremd waren, über ein Land, das ich so wenig kannte.|Ich sollte Erzählungen, vielleicht gar einen Roman schreiben über Wesen, die mir fremd waren, über ein Land, das ich so wenig kannte.
das_letzte_marchen_004_f000022|Jenseits der Tore der Stadt kam ich in einen herrlichen Wald.|Jenseits der Tore der Stadt kam ich in einen herrlichen Wald.
das_letzte_marchen_004_f000023|Riesige Bäume mit wildverworrenem Geäst spannten ein Dach über mich.|Riesige Bäume mit wildverworrenem Geäst spannten ein Dach über mich.
das_letzte_marchen_004_f000024|In ihren Zweigen wohnten seltsame Vögel; in ihren hohlen Stämmen hausten Tiere, die ich nicht kannte.|In ihren Zweigen wohnten seltsame Vögel; in ihren hohlen Stämmen hausten Tiere, die ich nicht kannte.
das_letzte_marchen_004_f000025|Herzförmige Blätter wuchsen aus der Erde; ganz frei standen sie, und mitten aus den grünen Herzen sproßten rote Blüten.|Herzförmige Blätter wuchsen aus der Erde; ganz frei standen sie, und mitten aus den grünen Herzen sproßten rote Blüten.
das_letzte_marchen_004_f000026|Große, rätseläugige Blumen träumten zwischen verwittertem Gestein, und die Bäche und Quellen waren alle buntfarbig.|Große, rätseläugige Blumen träumten zwischen verwittertem Gestein, und die Bäche und Quellen waren alle buntfarbig.
das_letzte_marchen_004_f000027|Es war ein Wald der Furcht und Freude: viel Schauriges viel Geheimnisse, viel Herrlichkeit, verträumte Weiher und versteckte Einsiedeleien, zerfallene Hexenhäuslein und graue Burgtrümmer.|Es war ein Wald der Furcht und Freude: viel Schauriges viel Geheimnisse, viel Herrlichkeit, verträumte Weiher und versteckte Einsiedeleien, zerfallene Hexenhäuslein und graue Burgtrümmer.
das_letzte_marchen_004_f000028|Felsenhöhlen und schmale, wilde Räubersteige, leise surrende Mühlen und rotleuchtende Waldschmiedefeuer.|Felsenhöhlen und schmale, wilde Räubersteige, leise surrende Mühlen und rotleuchtende Waldschmiedefeuer.
das_letzte_marchen_004_f000029|Dort, wo die Nebel im Tal zwischen den Bäumen aufstiegen, kochten die Waldweiber ihr Mahl, Unter den großen Pilzen saßen kleine Elfenkinder, auf einer Wiese hütete ein Knabe eine Herde weißer, rotäugiger Mäuse.|Dort, wo die Nebel im Tal zwischen den Bäumen aufstiegen, kochten die Waldweiber ihr Mahl, Unter den großen Pilzen saßen kleine Elfenkinder, auf einer Wiese hütete ein Knabe eine Herde weißer, rotäugiger Mäuse.
das_letzte_marchen_004_f000030|Den Schlangenkönig sah ich thronen auf einem rubinroten Stein.|Den Schlangenkönig sah ich thronen auf einem rubinroten Stein.
das_letzte_marchen_004_f000031|Ganz kleine Wasserkobolde badeten in den Bächen; sie ritten auf den Fischen und fürchteten sich vor den Fröschen; sie segelten auf abgefallenen, großen Laubblättern und warfen sich mit Sandkörnchen.|Ganz kleine Wasserkobolde badeten in den Bächen; sie ritten auf den Fischen und fürchteten sich vor den Fröschen; sie segelten auf abgefallenen, großen Laubblättern und warfen sich mit Sandkörnchen.
das_letzte_marchen_004_f000032|Und im Märchenwalde fand ich auch die, die ich vom deutschen Walde her kenne: die Sehnsucht und die Stille.|Und im Märchenwalde fand ich auch die, die ich vom deutschen Walde her kenne: die Sehnsucht und die Stille.
das_letzte_marchen_004_f000033|Die Sehnsucht, die am Baume lehnt und die kein Wunder um sich sieht, kein Glück, keine Schönheit, die blind ist für alle Nähe und nur immer zur Ferne schaut, immer zur Ferne ...|Die Sehnsucht, die am Baume lehnt und die kein Wunder um sich sieht, kein Glück, keine Schönheit, die blind ist für alle Nähe und nur immer zur Ferne schaut, immer zur Ferne ...
das_letzte_marchen_004_f000034|Die Stille, die heilige Stille, die Gnadenreiche, die Freundliche, die Wundertäterin, dort im armen, grünen Winkel sitzt sie auf der Moosbank unter dem windbrüchigen Wegweiser.|Die Stille, die heilige Stille, die Gnadenreiche, die Freundliche, die Wundertäterin, dort im armen, grünen Winkel sitzt sie auf der Moosbank unter dem windbrüchigen Wegweiser.
das_letzte_marchen_004_f000035|O, ich kenne dich wohl, heilige Stille!|O, ich kenne dich wohl, heilige Stille!
das_letzte_marchen_004_f000036|Ich bin zu dir geflohen, wenn ich am ärmsten, verlassensten war, wenn ich krank war, wenn ich schuldig war, wenn ich ganz müde war.|Ich bin zu dir geflohen, wenn ich am ärmsten, verlassensten war, wenn ich krank war, wenn ich schuldig war, wenn ich ganz müde war.
das_letzte_marchen_004_f000037|Vor dir hab' ich gekniet, mein Haupt in deinem Schoße geborgen, du Mütterliche, du Heilerin, und wenn ich aufstand, sah ich dir ins Auge und lächelte.|Vor dir hab' ich gekniet, mein Haupt in deinem Schoße geborgen, du Mütterliche, du Heilerin, und wenn ich aufstand, sah ich dir ins Auge und lächelte.
das_letzte_marchen_004_f000038|Laß mich auch jetzt bei dir sitzen am alten Wegweiser im Märchenwald, schlag' deinen grünen Mantel über mich, leg' deine weichen Hände auf meine lautmüden Sinne, laß mich auf ein paar Augenblicke alles vergessen!|Laß mich auch jetzt bei dir sitzen am alten Wegweiser im Märchenwald, schlag' deinen grünen Mantel über mich, leg' deine weichen Hände auf meine lautmüden Sinne, laß mich auf ein paar Augenblicke alles vergessen!
das_letzte_marchen_004_f000039|Nichts wissen!|Nichts wissen!
das_letzte_marchen_004_f000040|Wie ein gesunder, satter Säugling glücklich sein, der nichts weiß, der nichts wünscht, den nichts reut, der bloß ist.|Wie ein gesunder, satter Säugling glücklich sein, der nichts weiß, der nichts wünscht, den nichts reut, der bloß ist.
das_letzte_marchen_004_f000041|An dieser Urquelle unseres Seins, unserer ersten Kindheit Kraft schöpfen.|An dieser Urquelle unseres Seins, unserer ersten Kindheit Kraft schöpfen.
das_letzte_marchen_004_f000042|Heilige, gnadenreiche Stille!|Heilige, gnadenreiche Stille!
das_letzte_marchen_004_f000043|– Aber du närrischer, alter Wegweiser im Märchenwald, du bist ein schlechter Gesell!|- Aber du närrischer, alter Wegweiser im Märchenwald, du bist ein schlechter Gesell!
das_letzte_marchen_004_f000044|Du zeigst fort von hier.|Du zeigst fort von hier.
das_letzte_marchen_004_f000045|Du zeigst in die Ferne.|Du zeigst in die Ferne.
das_letzte_marchen_004_f000046|Was stehst du da und schielst in die Weite?|Was stehst du da und schielst in die Weite?
das_letzte_marchen_004_f000047|O, ich weiß ja: Wegweiser hat die Sehnsucht aufgerichtet.|O, ich weiß ja: Wegweiser hat die Sehnsucht aufgerichtet.
das_letzte_marchen_004_f000048|Drohe mir nicht mit deinem lahmen Arm!|Drohe mir nicht mit deinem lahmen Arm!
das_letzte_marchen_004_f000049|Ich kenne dich schon, ich kenne mich. Ich weiß, die Stille ist aufgestanden hinter mir und davongegangen, und nun lehnt wieder die Sehnsucht an dir, die dich gezimmert hat, und blickt auf mich mit ihren heißen Augen.|Ich kenne dich schon, ich kenne mich. Ich weiß, die Stille ist aufgestanden hinter mir und davongegangen, und nun lehnt wieder die Sehnsucht an dir, die dich gezimmert hat, und blickt auf mich mit ihren heißen Augen.
das_letzte_marchen_004_f000050|Ich weiß das.|Ich weiß das.
das_letzte_marchen_004_f000051|denn ich höre wieder.|denn ich höre wieder.
das_letzte_marchen_004_f000052|Ich höre längst das feine Silbergeläut, das vom Berge herabkommt, und ich möchte wissen, was es bedeutet.|Ich höre längst das feine Silbergeläut, das vom Berge herabkommt, und ich möchte wissen, was es bedeutet.
das_letzte_marchen_004_f000053|– So war es, dann zerriß der Zauber, denn es kamen andere.|- So war es, dann zerriß der Zauber, denn es kamen andere.
das_letzte_marchen_004_f000054|Aber es war ein glücklicher Tag, es kam eine neue Schönheit.|Aber es war ein glücklicher Tag, es kam eine neue Schönheit.
das_letzte_marchen_004_f000055|Ein glänzender Wagen fuhr die grüne Straße entlang, sechs weiße Hirsche zogen ihn.|Ein glänzender Wagen fuhr die grüne Straße entlang, sechs weiße Hirsche zogen ihn.
das_letzte_marchen_004_f000056|Neben dem Wagen ritt auf einem braunen Hirsch der Prinz Juvento.|Neben dem Wagen ritt auf einem braunen Hirsch der Prinz Juvento.
das_letzte_marchen_004_f000057|In dem Wagen saßen die Prinzessin Goldina und Angelika.|In dem Wagen saßen die Prinzessin Goldina und Angelika.
das_letzte_marchen_004_f000058|Da – der Mensch!|Da - der Mensch!
das_letzte_marchen_004_f000059|Der Doktor!|Der Doktor!
das_letzte_marchen_004_f000060|Der Wagen hielt.|Der Wagen hielt.
das_letzte_marchen_004_f000061|Ich nahm meine blaue Mütze vom Kopf und verneigte mich tief.|Ich nahm meine blaue Mütze vom Kopf und verneigte mich tief.
das_letzte_marchen_004_f000062|Ist der Dichter ausgezogen, um die Poesie zu suchen?|Ist der Dichter ausgezogen, um die Poesie zu suchen?
das_letzte_marchen_004_f000063|Ja, und er ist ihr begegnet!|Ja, und er ist ihr begegnet!
das_letzte_marchen_004_f000064|Sie sind ein sehr artiger Herr!|Sie sind ein sehr artiger Herr!
das_letzte_marchen_004_f000065|Wollen Sie mir aus dem Wagen helfen?|Wollen Sie mir aus dem Wagen helfen?
das_letzte_marchen_004_f000066|Ich möchte gern ein Stück spazieren gehen, und sie sollen mir dabei erzählen, was Sie alles in das neue Blatt schreiben werden; ich bin so neugierig darauf.|Ich möchte gern ein Stück spazieren gehen, und sie sollen mir dabei erzählen, was Sie alles in das neue Blatt schreiben werden; ich bin so neugierig darauf.
das_letzte_marchen_004_f000067|Ich reichte dem lieblichen Königskinde die Hand, und sie hüpfte aus dem Wagen, nach ihr kam Angelika.|Ich reichte dem lieblichen Königskinde die Hand, und sie hüpfte aus dem Wagen, nach ihr kam Angelika.
das_letzte_marchen_004_f000068|Die war in ein weißes, duftiges Gewand gehüllt, und als ich ihr die Hand reichte, war es mir, als sei vom Berge herunter zu mir das Glück gekommen.|Die war in ein weißes, duftiges Gewand gehüllt, und als ich ihr die Hand reichte, war es mir, als sei vom Berge herunter zu mir das Glück gekommen.
das_letzte_marchen_004_f000069|Auch der Erbprinz begrüßte mich. Es gefielen mir an ihm wieder seine lachenden, herzlichen Augen.|Auch der Erbprinz begrüßte mich. Es gefielen mir an ihm wieder seine lachenden, herzlichen Augen.
das_letzte_marchen_004_f000070|Die Dienerschaft zog mit dem Gefährt und dem Reittier langsam voraus.|Die Dienerschaft zog mit dem Gefährt und dem Reittier langsam voraus.
das_letzte_marchen_004_f000071|Zu Dr. Schnugu!|Zu Dr. Schnugu!
das_letzte_marchen_004_f000072|las der Erbprinz von dem Wegweiser ab.|las der Erbprinz von dem Wegweiser ab.
das_letzte_marchen_004_f000073|Wer ist das?|Wer ist das?
das_letzte_marchen_004_f000074|Es ist ein sehr kurioser Name.|Es ist ein sehr kurioser Name.
das_letzte_marchen_004_f000075|Und auch ein sehr kurioser Mann.|Und auch ein sehr kurioser Mann.
das_letzte_marchen_004_f000076|Er ist Waldarzt; aber wenn bei Hofe jemand etwas fehlt, dann muß er bestimmt kommen, denn er ist einer der klügsten Männer im ganzen Reich.|Er ist Waldarzt; aber wenn bei Hofe jemand etwas fehlt, dann muß er bestimmt kommen, denn er ist einer der klügsten Männer im ganzen Reich.
das_letzte_marchen_004_f000077|Wir wollen ihn besuchen, lachte der Erbprinz.|Wir wollen ihn besuchen, lachte der Erbprinz.
das_letzte_marchen_004_f000078|O nein, sagte die Prinzessin ernsthaft; Wer ihn besucht, ohne krank zu sein, den jagt er fort.|O nein, sagte die Prinzessin ernsthaft; Wer ihn besucht, ohne krank zu sein, den jagt er fort.
das_letzte_marchen_004_f000079|Aber doch nicht uns?|Aber doch nicht uns?
das_letzte_marchen_004_f000080|Ich fürchte, auch uns.|Ich fürchte, auch uns.
das_letzte_marchen_004_f000081|Das ist köstlich!|Das ist köstlich!
das_letzte_marchen_004_f000082|Ich besuche ihn bestimmt!|Ich besuche ihn bestimmt!
das_letzte_marchen_004_f000083|Natürlich ein andermal!|Natürlich ein andermal!
das_letzte_marchen_004_f000084|He, Professor, Sie müssen mich begleiten!|He, Professor, Sie müssen mich begleiten!
das_letzte_marchen_004_f000085|Ich kenne ihn schon!|Ich kenne ihn schon!
das_letzte_marchen_004_f000086|Er erwartet von mir, daß ich das Volk in der Zeitung über gesundheitliche Fragen aufklären werde.|Er erwartet von mir, daß ich das Volk in der Zeitung über gesundheitliche Fragen aufklären werde.
das_letzte_marchen_004_f000087|Da haben wir's!|Da haben wir's!
das_letzte_marchen_004_f000088|Wir wollen Rücksprache mit ihm über die Zeitungsartitel nehmen.|Wir wollen Rücksprache mit ihm über die Zeitungsartitel nehmen.
das_letzte_marchen_004_f000089|Also kann er uns doch dann nicht hinauswerfen.|Also kann er uns doch dann nicht hinauswerfen.
das_letzte_marchen_004_f000090|Wir gingen den grünen Waldweg entlang.|Wir gingen den grünen Waldweg entlang.
das_letzte_marchen_004_f000091|Ich fragte Angelika, wie es ihr gehe.|Ich fragte Angelika, wie es ihr gehe.
das_letzte_marchen_004_f000092|Sie sagte, daß sie gehalten werde wie eine Schwester der Prinzessin.|Sie sagte, daß sie gehalten werde wie eine Schwester der Prinzessin.
das_letzte_marchen_004_f000093|Abr sie war blaß.|Abr sie war blaß.
das_letzte_marchen_004_f000094|Haben Sie Heimweh?|Haben Sie Heimweh?
das_letzte_marchen_004_f000095|fragte ich leise.|fragte ich leise.
das_letzte_marchen_004_f000096|Es zuckte leicht um ihren Mund.|Es zuckte leicht um ihren Mund.
das_letzte_marchen_004_f000097|Die Prinzessin hatte die Frage aufgefangen und sah überrascht auf Angelika.|Die Prinzessin hatte die Frage aufgefangen und sah überrascht auf Angelika.
das_letzte_marchen_004_f000098|Da schüttelte diese lächelnd den Kopf.|Da schüttelte diese lächelnd den Kopf.
das_letzte_marchen_004_f000099|O nein, – das heißt, manchmal ein wenig, – in der ersten Zeit, – es ist mir alles so fremd, – aber jetzt gar nicht, – aber jetzt gar nicht – Goldina schlang den Arm um sie.|O nein, - das heißt, manchmal ein wenig, - in der ersten Zeit, - es ist mir alles so fremd, - aber jetzt gar nicht, - aber jetzt gar nicht - Goldina schlang den Arm um sie.
das_letzte_marchen_004_f000100|Nicht traurig sein, Herzchen!|Nicht traurig sein, Herzchen!
das_letzte_marchen_004_f000101|wir werden jetzt öfter den Herrn Professor bitten, uns zu besuchen.|wir werden jetzt öfter den Herrn Professor bitten, uns zu besuchen.
das_letzte_marchen_004_f000102|Dann können Sie mit ihm sprechen, von Ihrem Land und von den Menschen.|Dann können Sie mit ihm sprechen, von Ihrem Land und von den Menschen.
das_letzte_marchen_004_f000103|Da wird's besser sein, nicht wahr?|Da wird's besser sein, nicht wahr?
das_letzte_marchen_004_f000104|Ich küßte dem guten Königskinde dankbar die Hand.|Ich küßte dem guten Königskinde dankbar die Hand.
das_letzte_marchen_004_f000105|Und nun wollen wir lustig sein!|Und nun wollen wir lustig sein!
das_letzte_marchen_004_f000106|Sehr, sehr lustig!|Sehr, sehr lustig!
das_letzte_marchen_004_f000107|O, aber was ist das?|O, aber was ist das?
das_letzte_marchen_004_f000108|– Eine Horde wild und verwegen aussehender Burschen sprang plötzlich aus dem Walde, mit Knüppeln, Dolchen, Lanzen und Flinten bewaffnet.|- Eine Horde wild und verwegen aussehender Burschen sprang plötzlich aus dem Walde, mit Knüppeln, Dolchen, Lanzen und Flinten bewaffnet.
das_letzte_marchen_004_f000109|Halt!|Halt!
das_letzte_marchen_004_f000110|Still stehen!|Still stehen!
das_letzte_marchen_004_f000111|Das Geld her, oder – Räuber!|Das Geld her, oder - Räuber!
das_letzte_marchen_004_f000112|wir waren angefallen.|wir waren angefallen.
das_letzte_marchen_004_f000113|Ein Schreck durchzuckte mich jäh.|Ein Schreck durchzuckte mich jäh.
das_letzte_marchen_004_f000114|Unwillkürlich legte ich den Arm schützend um Angelika.|Unwillkürlich legte ich den Arm schützend um Angelika.
das_letzte_marchen_004_f000115|Der Erbprinz sprang vor Goldina und zog seinen Degen; ich war leider ohne alle Waffe.|Der Erbprinz sprang vor Goldina und zog seinen Degen; ich war leider ohne alle Waffe.
das_letzte_marchen_004_f000116|Ein furchtbar aussehender, verwilderter Kerl, einäugig und rothaarig, trat aus der Gruppe.|Ein furchtbar aussehender, verwilderter Kerl, einäugig und rothaarig, trat aus der Gruppe.
das_letzte_marchen_004_f000117|Geld her, sag' ich!|Geld her, sag' ich!
das_letzte_marchen_004_f000118|Nicht gefackelt oder – Zurück, Kerl!|Nicht gefackelt oder - Zurück, Kerl!
das_letzte_marchen_004_f000119|Keinen Schritt – Oho, feines Püppchen – Der Erbprinz erhob seinen Degen, der Kerl seine Keule.|Keinen Schritt - Oho, feines Püppchen - Der Erbprinz erhob seinen Degen, der Kerl seine Keule.
das_letzte_marchen_004_f000120|Die Rotte drängte heran, Angelika weinte.|Die Rotte drängte heran, Angelika weinte.
das_letzte_marchen_004_f000121|Da geschah etwas Unerhörtes.|Da geschah etwas Unerhörtes.
das_letzte_marchen_004_f000122|Die Prinzessin sprang plötzlich vor den Räuber und brach in ein schallendes Gelächter aus.|Die Prinzessin sprang plötzlich vor den Räuber und brach in ein schallendes Gelächter aus.
das_letzte_marchen_004_f000123|Aber Brumbu, dummer Kerl, kennst du mich nicht?|Aber Brumbu, dummer Kerl, kennst du mich nicht?
das_letzte_marchen_004_f000124|Siehst du nicht, daß wir von Hofe sind?|Siehst du nicht, daß wir von Hofe sind?
das_letzte_marchen_004_f000125|Wie kannst du dich unterstehen, uns anzufallen?|Wie kannst du dich unterstehen, uns anzufallen?
das_letzte_marchen_004_f000126|Der Kerl erbleichte, ließ seine Keule sinken und fiel auf die Knie.|Der Kerl erbleichte, ließ seine Keule sinken und fiel auf die Knie.
das_letzte_marchen_004_f000127|Brumbu, du bist ja ein schlechter Patron!|Brumbu, du bist ja ein schlechter Patron!
das_letzte_marchen_004_f000128|Verzeiht, verzeiht, gnädigste Prinzessin, stammelte der Räuber, ich hab es nicht gewußt, ich habe bloß die anderen drei gesehen, die ich nicht kannte.|Verzeiht, verzeiht, gnädigste Prinzessin, stammelte der Räuber, ich hab es nicht gewußt, ich habe bloß die anderen drei gesehen, die ich nicht kannte.
das_letzte_marchen_004_f000129|Schäm dich, Brumbu!|Schäm dich, Brumbu!
das_letzte_marchen_004_f000130|– Du hast keine guten Augen mehr, wie kannst du solche Bockstreiche machen?|- Du hast keine guten Augen mehr, wie kannst du solche Bockstreiche machen?
das_letzte_marchen_004_f000131|Siehst du nicht, wie sich das liebe Kind da vor dir fürchtet?|Siehst du nicht, wie sich das liebe Kind da vor dir fürchtet?
das_letzte_marchen_004_f000132|Diesmal mag dir's noch so hingehen.|Diesmal mag dir's noch so hingehen.
das_letzte_marchen_004_f000133|Andermal pass' besser auf!|Andermal pass' besser auf!
das_letzte_marchen_004_f000134|Da hast du was, und packe dich jetzt!|Da hast du was, und packe dich jetzt!
das_letzte_marchen_004_f000135|Sie gab dem Räuber eine leichte Ohrfeige, der ihr dafür den Saum des Kleides küßte, alsdann seine Keule unter den Arm quetschte und mit seinen ebenso erschrockenen Gefährten gesenkten Hauptes von dannen schlich.|Sie gab dem Räuber eine leichte Ohrfeige, der ihr dafür den Saum des Kleides küßte, alsdann seine Keule unter den Arm quetschte und mit seinen ebenso erschrockenen Gefährten gesenkten Hauptes von dannen schlich.
das_letzte_marchen_004_f000136|Ich war maßlos überrascht.|Ich war maßlos überrascht.
das_letzte_marchen_004_f000137|Was war das?|Was war das?
das_letzte_marchen_004_f000138|fragte ich fassungslos.|fragte ich fassungslos.
das_letzte_marchen_004_f000139|Waren denn das wirkliche Räuber?|Waren denn das wirkliche Räuber?
das_letzte_marchen_004_f000140|Gewiß, antwortete Goldina, sogar unsere gefährlichsten, Brumbu, der Schrecken der Wälder, mit seiner Schar.|Gewiß, antwortete Goldina, sogar unsere gefährlichsten, Brumbu, der Schrecken der Wälder, mit seiner Schar.
das_letzte_marchen_004_f000141|Aber sehen Sie, jemand von Hofe anzufallen, dazu hat er keine Konzession.|Aber sehen Sie, jemand von Hofe anzufallen, dazu hat er keine Konzession.
das_letzte_marchen_004_f000142|Hat er,– hat er denn überhaupt eine Konzession, Leute anzufallen?|Hat er,- hat er denn überhaupt eine Konzession, Leute anzufallen?
das_letzte_marchen_004_f000143|Aber gewiß!|Aber gewiß!
das_letzte_marchen_004_f000144|Er ist konzessionierter Staatsräuber.|Er ist konzessionierter Staatsräuber.
das_letzte_marchen_004_f000145|Bloß armen Leuten und dem Hof darf er nichts tun.|Bloß armen Leuten und dem Hof darf er nichts tun.
das_letzte_marchen_004_f000146|Das geht über seine Befugnisse.|Das geht über seine Befugnisse.
das_letzte_marchen_004_f000147|Und die anderen Leute?|Und die anderen Leute?
das_letzte_marchen_004_f000148|Die raubt er aus, wenn sie sich's gefallen lassen.|Die raubt er aus, wenn sie sich's gefallen lassen.
das_letzte_marchen_004_f000149|Aber meist lassen sie sich's nicht gefallen.|Aber meist lassen sie sich's nicht gefallen.
das_letzte_marchen_004_f000150|Er ist oft schrecklich zerschunden.|Er ist oft schrecklich zerschunden.
das_letzte_marchen_004_f000151|Er hat ein schweres Brot, der arme Mann.|Er hat ein schweres Brot, der arme Mann.
das_letzte_marchen_004_f000152|Aber die Polizei!|Aber die Polizei!
das_letzte_marchen_004_f000153|Die Gesetze!|Die Gesetze!
das_letzte_marchen_004_f000154|O, wenn er sich erwischen läßt, wird er eingesperrt.|O, wenn er sich erwischen läßt, wird er eingesperrt.
das_letzte_marchen_004_f000155|Sonst würde ja alles nur Spielerei und gar keine Ordnung sein.|Sonst würde ja alles nur Spielerei und gar keine Ordnung sein.
das_letzte_marchen_004_f000156|Man läßt ihn aber immer wieder ausbrechen.|Man läßt ihn aber immer wieder ausbrechen.
das_letzte_marchen_004_f000157|Läßt ihn ausbrechen?|Läßt ihn ausbrechen?
das_letzte_marchen_004_f000158|Aber wozu denn – wozu denn das alles?|Aber wozu denn - wozu denn das alles?
das_letzte_marchen_004_f000159|Sie sah mich erstaunt an.|Sie sah mich erstaunt an.
das_letzte_marchen_004_f000160|Ja, wir müssen doch Räuber haben!|Ja, wir müssen doch Räuber haben!
das_letzte_marchen_004_f000161|Einen Wald ohne Räuber, so etwas können wir uns gar nicht denken.|Einen Wald ohne Räuber, so etwas können wir uns gar nicht denken.
das_letzte_marchen_004_f000162|Das wäre entsetzlich langweilig!|Das wäre entsetzlich langweilig!
das_letzte_marchen_004_f000163|Das werden Sie einsehen!|Das werden Sie einsehen!
