la_mare_au_diable_00_f000001|NOTICE|NOTICE
la_mare_au_diable_01_f000025|Il faut que Lazare quitte son fumier, afin que le pauvre ne se réjouisse plus de la mort du riche.|Il faut que Lazare quitte son fumier, afin que le pauvre ne se réjouisse plus de la mort du riche.
la_mare_au_diable_01_f000026|Il faut que tous soient heureux, afin que le bonheur de quelques-uns ne soit pas criminel et maudit de Dieu.|Il faut que tous soient heureux, afin que le bonheur de quelques-uns ne soit pas criminel et maudit de Dieu.
la_mare_au_diable_01_f000027|Il faut que le laboureur, en semant son blé, sache qu’il travaille à l’œuvre de vie, et non qu’il se réjouisse de ce que la mort marche à ses côtés.|Il faut que le laboureur, en semant son blé, sache quil travaille à lœuvre de vie, et non quil se réjouisse de ce que la mort marche à ses côtés.
la_mare_au_diable_01_f000028|Il faut enfin que la mort ne soit plus ni le châtiment de la prospérité, ni la consolation de la détresse.|Il faut enfin que la mort ne soit plus ni le châtiment de la prospérité, ni la consolation de la détresse.
la_mare_au_diable_01_f000029|Dieu ne l’a destinée ni à punir, ni à dédommager de la vie;|Dieu ne la destinée ni à punir, ni à dédommager de la vie;
la_mare_au_diable_01_f000030|car il a béni la vie, et la tombe ne doit pas être un refuge où il soit permis d’envoyer ceux qu’on ne veut pas rendre heureux.|car il a béni la vie, et la tombe ne doit pas être un refuge où il soit permis denvoyer ceux quon ne veut pas rendre heureux.
la_mare_au_diable_01_f000031|Certains artistes de notre temps, jetant un regard sérieux sur ce qui les entoure, s’attachent à peindre la douleur, l’abjection de la misère, le fumier de Lazare.|Certains artistes de notre temps, jetant un regard sérieux sur ce qui les entoure, sattachent à peindre la douleur, labjection de la misère, le fumier de Lazare.
la_mare_au_diable_01_f000032|Ceci peut être du domaine de l’art et de la philosophie; mais en peignant la misère si laide, si avilie, parfois si vicieuse et si criminelle, leur but est-il atteint, et l’effet en est-il salutaire, comme ils le voudraient? Nous n’osons pas nous prononcer là-dessus.|Ceci peut être du domaine de lart et de la philosophie; mais en peignant la misère si laide, si avilie, parfois si vicieuse et si criminelle, leur but est-il atteint, et leffet en est-il salutaire, comme ils le voudraient? Nous nosons pas nous prononcer là-dessus.
la_mare_au_diable_01_f000033|On peut nous dire qu’en montrant ce gouffre creusé sous le sol fragile de l’opulence, ils effraient le mauvais riche, comme, au temps de la danse macabre, on lui montrait sa fosse béante et la mort prête à l’enlacer dans ses bras immondes.|On peut nous dire quen montrant ce gouffre creusé sous le sol fragile de lopulence, ils effraient le mauvais riche, comme, au temps de la danse macabre, on lui montrait sa fosse béante et la mort prête à lenlacer dans ses bras immondes.
la_mare_au_diable_01_f000034|Aujourd’hui on lui montre le bandit crochetant sa porte et l’assassin guettant son sommeil.|Aujourdhui on lui montre le bandit crochetant sa porte et lassassin guettant son sommeil.
la_mare_au_diable_01_f000035|Nous confessons que nous ne comprenons pas trop comment on le réconciliera avec l’humanité qu’il méprise, comment on le rendra sensible aux douleurs du pauvre qu’il redoute, en lui montrant ce pauvre sous la fourre du forçat évadé et du rôdeur de nuit.|Nous confessons que nous ne comprenons pas trop comment on le réconciliera avec lhumanité quil méprise, comment on le rendra sensible aux douleurs du pauvre quil redoute, en lui montrant ce pauvre sous la fourre du forçat évadé et du rôdeur de nuit.
la_mare_au_diable_01_f000036|L’affreuse mort, grinçant des dents et jouant du violon dans les images d’Holbein et de ses devanciers, n’a pas trouvé moyen, sous cet aspect, de convertir les pervers et de consoler les victimes.|Laffreuse mort, grinçant des dents et jouant du violon dans les images dHolbein et de ses devanciers, na pas trouvé moyen, sous cet aspect, de convertir les pervers et de consoler les victimes.
la_mare_au_diable_01_f000037|Est-ce que notre littérature ne procéderait pas un peu en ceci comme les artistes du moyen âge et de la Renaissance?|Est-ce que notre littérature ne procéderait pas un peu en ceci comme les artistes du moyen âge et de la Renaissance?
la_mare_au_diable_01_f000038|Les buveurs d’Holbein remplissent leurs coupes avec une sorte de fureur pour écarter l’idée de la mort, qui, invisible pour eux, leur sert d’échanson.|Les buveurs dHolbein remplissent leurs coupes avec une sorte de fureur pour écarter lidée de la mort, qui, invisible pour eux, leur sert déchanson.
la_mare_au_diable_01_f000039|Les mauvais riches d’aujourd’hui demandent des fortifications et des canons pour écarter l’idée d’une jacquerie, que l’art leur montre travaillant dans l’ombre, en détail, en attendant le moment de fondre sur l’état social.|Les mauvais riches daujourdhui demandent des fortifications et des canons pour écarter lidée dune jacquerie, que lart leur montre travaillant dans lombre, en détail, en attendant le moment de fondre sur létat social.
la_mare_au_diable_01_f000040|L’Eglise du moyen âge répondait aux terreurs des puissants de la terre par la vente des indulgences.|LEglise du moyen âge répondait aux terreurs des puissants de la terre par la vente des indulgences.
la_mare_au_diable_01_f000041|Le gouvernement d’aujourd’hui calme l’inquiétude des riches en leur faisant payer beaucoup de gendarmes et de geôliers, de baïonnettes et de prisons.|Le gouvernement daujourdhui calme linquiétude des riches en leur faisant payer beaucoup de gendarmes et de geôliers, de baïonnettes et de prisons.
la_mare_au_diable_01_f000042|Albert Dürer, Michel-Ange, Holbein, Callot, Goya, ont fait de puissantes satires des maux de leur siècle et de leur pays.|Albert Dürer, Michel-Ange, Holbein, Callot, Goya, ont fait de puissantes satires des maux de leur siècle et de leur pays.
la_mare_au_diable_01_f000043|Ce sont des œuvres immortelles, des pages historiques d’une valeur incontestable;|Ce sont des œuvres immortelles, des pages historiques dune valeur incontestable;
la_mare_au_diable_01_f000044|nous ne voulons donc pas dénier aux artistes le droit de sonder les plaies de la société et de les mettre à nu sous nos yeux;|nous ne voulons donc pas dénier aux artistes le droit de sonder les plaies de la société et de les mettre à nu sous nos yeux;
la_mare_au_diable_01_f000045|mais n’y a-t-il pas autre chose à faire maintenant que la peinture d’épouvante et de menace?|mais ny a-t-il pas autre chose à faire maintenant que la peinture dépouvante et de menace?
la_mare_au_diable_01_f000046|Dans cette littérature de mystères d’iniquité, que le talent et l’imagination ont mise à la mode, nous aimons mieux les figures douces et suaves que les scélérats à effet dramatique.|Dans cette littérature de mystères diniquité, que le talent et limagination ont mise à la mode, nous aimons mieux les figures douces et suaves que les scélérats à effet dramatique.
la_mare_au_diable_01_f000047|Celles-là peuvent entreprendre et amener des conversions; les autres font peur, et la peur ne guérit pas l’égoïsme, elle l’augmente.|Celles-là peuvent entreprendre et amener des conversions; les autres font peur, et la peur ne guérit pas légoïsme, elle laugmente.
la_mare_au_diable_01_f000048|Nous croyons que la mission de l’art est une mission de sentiment et d’amour, que le roman d’aujourd’hui devrait remplacer la parabole et l’apologue des temps naïfs,|Nous croyons que la mission de lart est une mission de sentiment et damour, que le roman daujourdhui devrait remplacer la parabole et lapologue des temps naïfs,
la_mare_au_diable_01_f000049|et que l’artiste a une tâche plus large et plus poétique que celle de proposer quelques mesures de prudence et de conciliation pour atténuer l’effroi qu’inspirent ses peintures.|et que lartiste a une tâche plus large et plus poétique que celle de proposer quelques mesures de prudence et de conciliation pour atténuer leffroi quinspirent ses peintures.
la_mare_au_diable_01_f000050|Son but devrait être de faire aimer les objets de sa sollicitude, et, au besoin, je ne lui ferais pas un reproche de les embellir un peu.|Son but devrait être de faire aimer les objets de sa sollicitude, et, au besoin, je ne lui ferais pas un reproche de les embellir un peu.
la_mare_au_diable_01_f000051|L’art n’est pas une étude de la réalité positive; c’est une recherche de la vérité idéale, et le Vicaire de Wakefield fut un livre plus utile et plus sain à l’âme que le Paysan perverti et les Liaisons dangereuses.|Lart nest pas une étude de la réalité positive; cest une recherche de la vérité idéale, et le Vicaire de Wakefield fut un livre plus utile et plus sain à lâme que le Paysan perverti et les Liaisons dangereuses.
la_mare_au_diable_01_f000052|Lecteurs, pardonnez-moi ces réflexions, et veuillez les accepter en manière de préface.|Lecteurs, pardonnez-moi ces réflexions, et veuillez les accepter en manière de préface.
la_mare_au_diable_01_f000053|Il n’y en aura point dans l’historiette que je vais vous raconter, et elle sera si courte et si simple que j’avais besoin de m’en excuser d’avance,|Il ny en aura point dans lhistoriette que je vais vous raconter, et elle sera si courte et si simple que javais besoin de men excuser davance,
la_mare_au_diable_01_f000054|en vous disant ce que je pense des histoires terribles.|en vous disant ce que je pense des histoires terribles.
la_mare_au_diable_01_f000055|C’est à propos d’un laboureur que je me suis laissé entraîner à cette digression.|Cest à propos dun laboureur que je me suis laissé entraîner à cette digression.
la_mare_au_diable_01_f000056|C’est l’histoire d’un laboureur précisément que j’avais l’intention de vous dire et que je vous dirai tout à l’heure.|Cest lhistoire dun laboureur précisément que javais lintention de vous dire et que je vous dirai tout à lheure.
la_mare_au_diable_02_f000001|LE LABOUR Je venais de regarder longtemps et avec une profonde mélancolie le laboureur d’Holbein, et je me promenais dans la campagne, rêvant à la vie des champs et à la destinée du cultivateur.|LE LABOUR Je venais de regarder longtemps et avec une profonde mélancolie le laboureur dHolbein, et je me promenais dans la campagne, rêvant à la vie des champs et à la destinée du cultivateur.
la_mare_au_diable_02_f000002|Sans doute il est lugubre de consumer ses forces et ses jours à fendre le sein de cette terre jalouse, qui se fait arracher les trésors de sa fécondité,|Sans doute il est lugubre de consumer ses forces et ses jours à fendre le sein de cette terre jalouse, qui se fait arracher les trésors de sa fécondité,
la_mare_au_diable_02_f000003|lorsqu’un morceau de pain le plus noir et le plus grossier est, à la fin de la journée, l’unique récompense et l’unique profit attachés à un si dur labeur.|lorsquun morceau de pain le plus noir et le plus grossier est, à la fin de la journée, lunique récompense et lunique profit attachés à un si dur labeur.
la_mare_au_diable_02_f000004|Ces richesses qui couvrent le sol, ces moissons, ces fruits, ces bestiaux orgueilleux qui s’engraissent dans les longues herbes, sont la propriété de quelques-uns et les instruments de la fatigue et de l’esclavage du plus grand nombre.|Ces richesses qui couvrent le sol, ces moissons, ces fruits, ces bestiaux orgueilleux qui sengraissent dans les longues herbes, sont la propriété de quelques-uns et les instruments de la fatigue et de lesclavage du plus grand nombre.
la_mare_au_diable_02_f000005|L’homme de loisir n’aime en général pour eux-mêmes, ni les champs, ni les prairies, ni le spectacle de la nature, ni les animaux superbes qui doivent se convertir en pièces d’or pour son usage.|Lhomme de loisir naime en général pour eux-mêmes, ni les champs, ni les prairies, ni le spectacle de la nature, ni les animaux superbes qui doivent se convertir en pièces dor pour son usage.
la_mare_au_diable_02_f000006|L’homme de loisir vient chercher un peu d’air et de santé dans le séjour de la campagne, puis il retourne dépenser dans les grandes villes le fruit du travail de ses vassaux.|Lhomme de loisir vient chercher un peu dair et de santé dans le séjour de la campagne, puis il retourne dépenser dans les grandes villes le fruit du travail de ses vassaux.
la_mare_au_diable_02_f000007|De son côté, l’homme de travail est trop accablé, trop malheureux, et trop effrayé de l’avenir, pour jouir de la beauté des campagnes et des charmes de la vie rustique.|De son côté, lhomme de travail est trop accablé, trop malheureux, et trop effrayé de lavenir, pour jouir de la beauté des campagnes et des charmes de la vie rustique.
la_mare_au_diable_02_f000008|Pour lui aussi les champs dorés, les belles prairies, les animaux superbes, représentent des sacs d’écus dont il n’aura qu’une faible part,|Pour lui aussi les champs dorés, les belles prairies, les animaux superbes, représentent des sacs décus dont il naura quune faible part,
la_mare_au_diable_02_f000009|insuffisante à ses besoins, et que pourtant, il faut remplir, chaque année, ces sacs maudits, pour satisfaire le maître et payer le droit de vivre parcimonieusement et misérablement sur son domaine.|insuffisante à ses besoins, et que pourtant, il faut remplir, chaque année, ces sacs maudits, pour satisfaire le maître et payer le droit de vivre parcimonieusement et misérablement sur son domaine.
la_mare_au_diable_02_f000010|Et pourtant, la nature est éternellement jeune, belle et généreuse.|Et pourtant, la nature est éternellement jeune, belle et généreuse.
la_mare_au_diable_02_f000011|Elle verse la poésie et la beauté à tous les êtres, à toutes les plantes, qu’on laisse s’y développer à souhait.|Elle verse la poésie et la beauté à tous les êtres, à toutes les plantes, quon laisse sy développer à souhait.
la_mare_au_diable_02_f000012|Elle possède le secret du bonheur, et nul n’a su le lui ravir.|Elle possède le secret du bonheur, et nul na su le lui ravir.
la_mare_au_diable_02_f000013|Le plus heureux des hommes serait celui qui, possédant la science de son labeur, et travaillant de ses mains, puisant le bien-être et la liberté dans l’exercice de sa force intelligente,|Le plus heureux des hommes serait celui qui, possédant la science de son labeur, et travaillant de ses mains, puisant le bien-être et la liberté dans lexercice de sa force intelligente,
la_mare_au_diable_02_f000014|aurait le temps de vivre par le cœur et par le cerveau, de comprendre son œuvre et d’aimer celle de Dieu.|aurait le temps de vivre par le cœur et par le cerveau, de comprendre son œuvre et daimer celle de Dieu.
la_mare_au_diable_02_f000015|L’artiste a des jouissances de ce genre, dans la contemplation et la reproduction des beautés de la nature; mais, en voyant la douleur des hommes qui peuplent ce paradis de la terre, l’artiste au cœur droit et humain est troublé au milieu de sa jouissance.|Lartiste a des jouissances de ce genre, dans la contemplation et la reproduction des beautés de la nature; mais, en voyant la douleur des hommes qui peuplent ce paradis de la terre, lartiste au cœur droit et humain est troublé au milieu de sa jouissance.
la_mare_au_diable_02_f000016|Le bonheur serait là où l’esprit, le cœur et les bras, travaillant de concert sous l’œil de la Providence, une sainte harmonie existerait entre la munificence de Dieu et les ravissements de l’âme humaine.|Le bonheur serait là où lesprit, le cœur et les bras, travaillant de concert sous lœil de la Providence, une sainte harmonie existerait entre la munificence de Dieu et les ravissements de lâme humaine.
la_mare_au_diable_02_f000017|C’est alors qu’au lieu de la piteuse et affreuse mort, marchant dans son sillon, le fouet à la main, le peintre d’allégories pourrait placer à ses côtés un ange radieux,|Cest alors quau lieu de la piteuse et affreuse mort, marchant dans son sillon, le fouet à la main, le peintre dallégories pourrait placer à ses côtés un ange radieux,
la_mare_au_diable_02_f000018|semant à pleines mains le blé béni sur le sillon fumant.|semant à pleines mains le blé béni sur le sillon fumant.
la_mare_au_diable_02_f000019|Et le rêve d’une existence douce, libre, poétique, laborieuse et simple pour l’homme des champs, n’est pas si difficile à concevoir qu’on doive le reléguer parmi les chimères.|Et le rêve dune existence douce, libre, poétique, laborieuse et simple pour lhomme des champs, nest pas si difficile à concevoir quon doive le reléguer parmi les chimères.
la_mare_au_diable_02_f000020|Le mot triste et doux de Virgile: O heureux l’homme des champs, s’il connaissait son bonheur! est un regret; mais, comme tous les regrets, c’est aussi une prédiction.|Le mot triste et doux de Virgile: O heureux lhomme des champs, sil connaissait son bonheur! est un regret; mais, comme tous les regrets, cest aussi une prédiction.
la_mare_au_diable_02_f000021|Un jour viendra où le laboureur pourra être aussi un artiste, sinon pour exprimer (ce qui importera assez peu alors), du moins pour sentir le beau.|Un jour viendra où le laboureur pourra être aussi un artiste, sinon pour exprimer ce qui importera assez peu alors, du moins pour sentir le beau.
la_mare_au_diable_02_f000022|Croit-on que cette mystérieuse intuition de la poésie ne soit pas en lui déjà à l’état d’instinct et de vague rêverie?|Croit-on que cette mystérieuse intuition de la poésie ne soit pas en lui déjà à létat dinstinct et de vague rêverie?
la_mare_au_diable_02_f000023|Chez ceux qu’un peu d’aisance protège dès aujourd’hui, et chez qui l’excès du malheur n’étouffe pas tout développement moral et intellectuel, le bonheur pur, senti et apprécié, est à l’état élémentaire;|Chez ceux quun peu daisance protège dès aujourdhui, et chez qui lexcès du malheur nétouffe pas tout développement moral et intellectuel, le bonheur pur, senti et apprécié, est à létat élémentaire;
la_mare_au_diable_02_f000024|et, d’ailleurs, si du sein de la douleur et de la fatigue, des voix de poètes se sont déjà élevées, pourquoi dirait-on que le travail des bras est exclusif des fonctions de l’âme?|et, dailleurs, si du sein de la douleur et de la fatigue, des voix de poètes se sont déjà élevées, pourquoi dirait-on que le travail des bras est exclusif des fonctions de lâme?
la_mare_au_diable_02_f000025|Sans doute cette exclusion est le résultat général d’un travail excessif et d’une misère profonde; mais qu’on ne dise pas que quand l’homme travaillera modérément et utilement il n’y aura plus que de mauvais ouvriers et de mauvais poètes.|Sans doute cette exclusion est le résultat général dun travail excessif et dune misère profonde; mais quon ne dise pas que quand lhomme travaillera modérément et utilement il ny aura plus que de mauvais ouvriers et de mauvais poètes.
la_mare_au_diable_02_f000026|Celui qui puise de nobles jouissances dans le sentiment de la poésie est un vrai poète, n’eût-il pas fait un vers dans toute sa vie.|Celui qui puise de nobles jouissances dans le sentiment de la poésie est un vrai poète, neût-il pas fait un vers dans toute sa vie.
la_mare_au_diable_02_f000027|Mes pensées avaient pris ce cours, et je ne m’apercevais pas que cette confiance dans l’éducatibilité de l’homme était fortifiée en moi par les influences extérieures.|Mes pensées avaient pris ce cours, et je ne mapercevais pas que cette confiance dans léducatibilité de lhomme était fortifiée en moi par les influences extérieures.
la_mare_au_diable_02_f000028|Je marchais sur la lisière d’un champ que des paysans étaient en train de préparer pour la semaille prochaine.|Je marchais sur la lisière dun champ que des paysans étaient en train de préparer pour la semaille prochaine.
la_mare_au_diable_02_f000029|L’arène était vaste comme celle du tableau d’Holbein.|Larène était vaste comme celle du tableau dHolbein.
la_mare_au_diable_02_f000030|Le paysage était vaste aussi et encadrait de grandes lignes de verdure, un peu rougie aux approches de l’automne, ce large terrain d’un brun vigoureux où des pluies récentes avaient laissé,|Le paysage était vaste aussi et encadrait de grandes lignes de verdure, un peu rougie aux approches de lautomne, ce large terrain dun brun vigoureux où des pluies récentes avaient laissé,
la_mare_au_diable_02_f000031|dans quelques sillons, des lignes d’eau que le soleil faisait briller comme de minces filets d’argent.|dans quelques sillons, des lignes deau que le soleil faisait briller comme de minces filets dargent.
la_mare_au_diable_02_f000032|La journée était claire et tiède, et la terre, fraîchement ouverte par le tranchant des charrues, exhalait une vapeur légère.|La journée était claire et tiède, et la terre, fraîchement ouverte par le tranchant des charrues, exhalait une vapeur légère.
la_mare_au_diable_02_f000033|Dans le haut du champ un vieillard, dont le dos large et la figure sévère rappelaient celui d’Holbein, mais dont les vêtements n’annonçaient pas la misère,|Dans le haut du champ un vieillard, dont le dos large et la figure sévère rappelaient celui dHolbein, mais dont les vêtements nannonçaient pas la misère,
