jizn_gnora_s000001|казалось, отбивает такт некоего мысленного расчета, какой она производит.|казалось, отбивает такт некоего мысленного расчета, какой она производит.
jizn_gnora_s000012|Гнор колебался. Парусное плавание с Энниоком, гостившим два месяца под одной крышей с ним, казалось Гнору хорошим и скверным. Энниок разговаривал с ней,|Гнор колебался. Парусное плавание с Энниоком, гостившим два месяца под одной крышей с ним, казалось Гнору хорошим и скверным. Энниок разговаривал с ней,
jizn_gnora_s000013|Он стал мыть их, нервно стуча педалью фаянсового умывальника.|Он стал мыть их, нервно стуча педалью фаянсового умывальника.
jizn_gnora_s000014|я, шестнадцатилетний, безусый, тщедушный, узкоплечий отрок, в соломенной шляпе она скоро потеряла для меня иллюзию мексиканской панамы, ученической серой куртке,|я, шестнадцатилетний, безусый, тщедушный, узкоплечий отрок, в соломенной шляпе она скоро потеряла для меня иллюзию мексиканской панамы, ученической серой куртке,
jizn_gnora_s000015|как снег, голландки, красные и синие пояса с болтающимся финским ножом или кривым греческим кинжальчиком с мозаичной рукояткой, я присматривался,|как снег, голландки, красные и синие пояса с болтающимся финским ножом или кривым греческим кинжальчиком с мозаичной рукояткой, я присматривался,
jizn_gnora_s000016|VI.|VI.
jizn_gnora_s000017|он долго смотрел туда, всему было одно имя - Кармен.|он долго смотрел туда, всему было одно имя - Кармен.
jizn_gnora_s000018|Тотчас же, с присущей ему живостью и неописуемой силой воображения создал он новое знание - знание отсутствия удара, и стал слушать чтение приговора,|Тотчас же, с присущей ему живостью и неописуемой силой воображения создал он новое знание - знание отсутствия удара, и стал слушать чтение приговора,
jizn_gnora_s000019|С тою же быстротой, следствием большой нервности и физической силы, Гимнаст, отбросив пустой револьвер, одел тяжелую мягкую кольчугу, шлем, опустил забрало и немного замешкался;|С тою же быстротой, следствием большой нервности и физической силы, Гимнаст, отбросив пустой револьвер, одел тяжелую мягкую кольчугу, шлем, опустил забрало и немного замешкался;
jizn_gnora_s000020|Гнор, - сказал Энниок, - я вам готовлю редкие впечатления. Орфей через несколько минут бросит якорь, мы поедем вдвоем на гичке. То, что вы увидите, восхитительно.|Гнор, - сказал Энниок, - я вам готовлю редкие впечатления. Орфей через несколько минут бросит якорь, мы поедем вдвоем на гичке. То, что вы увидите, восхитительно.
jizn_gnora_s000021|Энниок, - заговорил Гнор, - мне только теперь пришло в голову, что при других обстоятельствах мы, может быть, не были бы врагами. Но это так, к слову.|Энниок, - заговорил Гнор, - мне только теперь пришло в голову, что при других обстоятельствах мы, может быть, не были бы врагами. Но это так, к слову.
jizn_gnora_s000022|Вы мне больше, чем враг, - вы ужас мой. Можете смотреть на меня сколько угодно. Я не из тех, кто прощает.|Вы мне больше, чем враг, - вы ужас мой. Можете смотреть на меня сколько угодно. Я не из тех, кто прощает.
jizn_gnora_s000023|Всего, кажется, четырнадцать. — Нурс стал глядеть на пол. — Понимаете, какая история. Всего час назад получено распоряжение не пускать никого,|Всего, кажется, четырнадцать.- Нурс стал глядеть на пол.- Понимаете, какая история. Всего час назад получено распоряжение не пускать никого,
jizn_gnora_s000024|Чем случится.|Чем случится.
jizn_gnora_s000025|Все произошло оттого, что я никогда не видел таких людей, как этот самоуверенный, хлыщеватый господин с остроконечной бородкой, в золотом пенсне,|Все произошло оттого, что я никогда не видел таких людей, как этот самоуверенный, хлыщеватый господин с остроконечной бородкой, в золотом пенсне,
jizn_gnora_s000026|Кто?|Кто?
jizn_gnora_s000027|Утром он пробудился с явственным ощущением топора, касающегося его шеи. Мысль о топоре и отделении посредством его головы от туловища стала за последнее время постоянным спутником Эбергайля;|Утром он пробудился с явственным ощущением топора, касающегося его шеи. Мысль о топоре и отделении посредством его головы от туловища стала за последнее время постоянным спутником Эбергайля;
jizn_gnora_s000028|Я возьму парочку, а?|Я возьму парочку, а?
jizn_gnora_s000029|Гнор взял карту, не раздумывая, - первую попавшуюся под руку.|Гнор взял карту, не раздумывая, - первую попавшуюся под руку.
jizn_gnora_s000030|Гнор посмотрел вокруг, лег, положил руки под голову и принялся смотреть вверх.|Гнор посмотрел вокруг, лег, положил руки под голову и принялся смотреть вверх.
jizn_gnora_s000031|Моряки сдвинулись тесно, некоторые встали на цыпочки, дыша в затылки передним. Иные оборачивались, как бы ища разделить впечатление с существом выше человека.|Моряки сдвинулись тесно, некоторые встали на цыпочки, дыша в затылки передним. Иные оборачивались, как бы ища разделить впечатление с существом выше человека.
jizn_gnora_s000032|легион мелочей, в свое время ничтожных или отрывочных, блеснул в памяти, окреп, рассыпался и занял свои места в цикле ушедших дней с уверенностью солдат во время тревоги,|легион мелочей, в свое время ничтожных или отрывочных, блеснул в памяти, окреп, рассыпался и занял свои места в цикле ушедших дней с уверенностью солдат во время тревоги,
jizn_gnora_s000033|За пустым пространством вкруг эшафота смотрела на Эбергайля тихо дышащая толпа.|За пустым пространством вкруг эшафота смотрела на Эбергайля тихо дышащая толпа.
jizn_gnora_s000034|что я еду на море, и я у всех допытывался, как поступить на пароход.|что я еду на море, и я у всех допытывался, как поступить на пароход.
jizn_gnora_s000035|Энниок поднял газету, тщательно сложил ее, бросил на стол и повернулся лицом к террасе. Утренние, ослепительные ее стекла горели зеленью; сырой запах цветов проникал в залу вместе с тихим ликованием света,|Энниок поднял газету, тщательно сложил ее, бросил на стол и повернулся лицом к террасе. Утренние, ослепительные ее стекла горели зеленью; сырой запах цветов проникал в залу вместе с тихим ликованием света,
jizn_gnora_s000036|Это было давно; я плыл с грузом сукна в Батавию, - и нас разнесло в щепки. Дней через десять после такого начала я лежал поперек наскоро связанного плота, животом вниз.|Это было давно; я плыл с грузом сукна в Батавию, - и нас разнесло в щепки. Дней через десять после такого начала я лежал поперек наскоро связанного плота, животом вниз.
jizn_gnora_s000037|Как попали сюда?|Как попали сюда?
jizn_gnora_s000038|он хотел встать, выйти на палубу, но тотчас забыл об этом, следя игру брызг, стекавших по иллюминатору мутной жижей. Мысли Гнора были, как и всегда,|он хотел встать, выйти на палубу, но тотчас забыл об этом, следя игру брызг, стекавших по иллюминатору мутной жижей. Мысли Гнора были, как и всегда,
jizn_gnora_s000039|Гнор зажал ладонями ее щеки, любовно присмотрелся и отпустил.|Гнор зажал ладонями ее щеки, любовно присмотрелся и отпустил.
jizn_gnora_s000040|Постойте. Я не могу опомниться, Аллигу, меня все еще как будто бросает о площадку, а надо мною Роз тщетно пытается удержать штурвал. Я этой скверной воды не люблю.|Постойте. Я не могу опомниться, Аллигу, меня все еще как будто бросает о площадку, а надо мною Роз тщетно пытается удержать штурвал. Я этой скверной воды не люблю.
jizn_gnora_s000041|Энниок! - сказал Гнор; голос его отчетливо прозвучал в тишине прозрачного воздуха. - Куда вы?! Разве вы не слышали, как я звал вас?!|Энниок! - сказал Гнор; голос его отчетливо прозвучал в тишине прозрачного воздуха. - Куда вы?! Разве вы не слышали, как я звал вас?!
jizn_gnora_s000042|Я знаю это, - спокойно возразил Гнор. - Вдвоем нам не жить на свете. Прощайте.|Я знаю это, - спокойно возразил Гнор. - Вдвоем нам не жить на свете. Прощайте.
jizn_gnora_s000043|Меч был внушителен. Гимнаст взмахнул им над головой, затем, для пробы, обрушил страшный удар на одну из мумий; дерево, треснув, распалось, и запеленутый фараон кубарем вылетел из него,|Меч был внушителен. Гимнаст взмахнул им над головой, затем, для пробы, обрушил страшный удар на одну из мумий; дерево, треснув, распалось, и запеленутый фараон кубарем вылетел из него,
jizn_gnora_s000044|Он укрепил себя воспоминаниями; бледные дни отчаяния, поднявшись из могилы Аша, грозным хороводом окружали Гнора; прав он.|Он укрепил себя воспоминаниями; бледные дни отчаяния, поднявшись из могилы Аша, грозным хороводом окружали Гнора; прав он.
jizn_gnora_s000045|Гнор поднял револьвер и тщательно определил прицел. Выстрел не помешал Энниоку; он греб, быстро откидываясь назад; вторая пуля пробила весло;|Гнор поднял револьвер и тщательно определил прицел. Выстрел не помешал Энниоку; он греб, быстро откидываясь назад; вторая пуля пробила весло;
jizn_gnora_s000046|Он увидел на фоне решетчатого окна человека в холщовом колпаке и таком же халате; незабываемое, - хотя, по внешности, обыкновенное, - лицо этого человека выражало сосредоточенность.|Он увидел на фоне решетчатого окна человека в холщовом колпаке и таком же халате; незабываемое, - хотя, по внешности, обыкновенное, - лицо этого человека выражало сосредоточенность.
jizn_gnora_s000047|— Мой милый, это ведь ваша фигура „Женщины, возводящей ребенка вверх по крутой тропе, с книгой в руках“? — Конечно, я отрицал, а он докончил, ничего не выпытав от меня:|- Мой милый, это ведь ваша фигура Женщины, возводящей ребенка вверх по крутой тропе, с книгой в руках?- Конечно, я отрицал, а он докончил, ничего не выпытав от меня:
jizn_gnora_s000048|На его месте следовало простить. Он выздоравливал. Он был лицом типичный моряк, а моряк и рыцарь для меня тогда звучало неразделимо. Его руки до плеч были татуированы фигурами тигров,|На его месте следовало простить. Он выздоравливал. Он был лицом типичный моряк, а моряк и рыцарь для меня тогда звучало неразделимо. Его руки до плеч были татуированы фигурами тигров,
jizn_gnora_s000049|Но он уже чужой мне; мне все чуждо, я люблю только вас одну.|Но он уже чужой мне; мне все чуждо, я люблю только вас одну.
jizn_gnora_s000050|На рассвете спавший Эбергайль вскочил, дико крича, умоляя о пощаде, угрожая и плача. Его разбудил долгий звон ключа. Он тотчас, пока еще не открылась дверь,|На рассвете спавший Эбергайль вскочил, дико крича, умоляя о пощаде, угрожая и плача. Его разбудил долгий звон ключа. Он тотчас, пока еще не открылась дверь,
jizn_gnora_s000051|Это цветок из Ванкувера, - не сразу ответил Энниок, беря третью сигару. - Я сделаю вам нечто вроде маленькой исповеди. Цветок был привезен мной;|Это цветок из Ванкувера, - не сразу ответил Энниок, беря третью сигару. - Я сделаю вам нечто вроде маленькой исповеди. Цветок был привезен мной;
jizn_gnora_s000052|так как завтра соберется жюри и, вы понимаете, желают, чтобы все было в порядке.|так как завтра соберется жюри и, вы понимаете, желают, чтобы все было в порядке.
jizn_gnora_s000053|и то, - в случае ясной погоды.|и то, - в случае ясной погоды.
jizn_gnora_s000054|нелепый, бородатый, обремененный младенцами и талантом Ледан может быть спокоен, так как жюри не остается другого выбора.|нелепый, бородатый, обремененный младенцами и талантом Ледан может быть спокоен, так как жюри не остается другого выбора.
jizn_gnora_s000055|слова, перелетевшие из уст в уста, подобно птицам, спугнутым на заре и пропавшим в тревоге сумерек. Все крепче прижимаясь к подушке, он вспомнил первые осторожные прикосновения рук,|слова, перелетевшие из уст в уста, подобно птицам, спугнутым на заре и пропавшим в тревоге сумерек. Все крепче прижимаясь к подушке, он вспомнил первые осторожные прикосновения рук,
jizn_gnora_s000056|Озаренные клубки тел, сплетаясь и разрываясь, кружась вихрем или камнем летя вниз, соединили в беспрерывном своем движении небо и океан. Их рассеяла женщина с золотой кожей.|Озаренные клубки тел, сплетаясь и разрываясь, кружась вихрем или камнем летя вниз, соединили в беспрерывном своем движении небо и океан. Их рассеяла женщина с золотой кожей.
jizn_gnora_s000057|Я живу в гостинице. - Энниок пожал плечами в знак сожаления. Неудобно мешать соседям. Выстрелы - мало популярная музыка. Но мы, конечно, изобретем что-нибудь.|Я живу в гостинице. - Энниок пожал плечами в знак сожаления. Неудобно мешать соседям. Выстрелы - мало популярная музыка. Но мы, конечно, изобретем что-нибудь.
jizn_gnora_s000058|У старика было строгое, взволнованное и молитвенное лицо; Энниок рассмеялся; тяжкие перебои сердца на мгновение стеснили дыхание; затем, чувствуя,|У старика было строгое, взволнованное и молитвенное лицо; Энниок рассмеялся; тяжкие перебои сердца на мгновение стеснили дыхание; затем, чувствуя,
jizn_gnora_s000059|Дай мне обнять тебя. Вот так. И молчи.|Дай мне обнять тебя. Вот так. И молчи.
jizn_gnora_s000060|Не?!. - спросил Эбергайль.|Не?!. - спросил Эбергайль.
jizn_gnora_s000061|Его мозг в огне, - подумал Коломб.|Его мозг в огне, - подумал Коломб.
jizn_gnora_s000062|Два человека, стоя друг против друга, тоскливо бледнели, улыбаясь улыбкой стиснутых ртов.|Два человека, стоя друг против друга, тоскливо бледнели, улыбаясь улыбкой стиснутых ртов.
jizn_gnora_s000063|Я буду его расспрашивать.|Я буду его расспрашивать.
jizn_gnora_s000064|Вода, пронизанная блеском мокрых песчаных отмелей, сверкнула перед ним сквозь опушку, но лодки не было. Ящик лежал на старом месте. Гнор подошел к воде и влево,|Вода, пронизанная блеском мокрых песчаных отмелей, сверкнула перед ним сквозь опушку, но лодки не было. Ящик лежал на старом месте. Гнор подошел к воде и влево,
jizn_gnora_s000065|он тщательно исследовал роковой момент, стараясь привыкнуть к нему и понять то, что в самый последний миг отойдет вместе с ним, как ощущение и мысль, - в тьму.|он тщательно исследовал роковой момент, стараясь привыкнуть к нему и понять то, что в самый последний миг отойдет вместе с ним, как ощущение и мысль, - в тьму.
jizn_gnora_s000066|Его доконало прошлое. А свет - погас.|Его доконало прошлое. А свет - погас.
jizn_gnora_s000067|По какому случаю бал? - сказал Мард. Фонарь стоял у его ног, свет ложился на палубу. Все молчали.|По какому случаю бал? - сказал Мард. Фонарь стоял у его ног, свет ложился на палубу. Все молчали.
jizn_gnora_s000068|встретив мостовую, разлетелся кусками.|встретив мостовую, разлетелся кусками.
jizn_gnora_s000069|щегольском клетчатом костюме, лиловых носках и желтых сандалиях.|щегольском клетчатом костюме, лиловых носках и желтых сандалиях.
jizn_gnora_s000070|Вы знаете Кармен, Гнор; ей трудно отказать другому в маленьком удовольствии. Кроме того, это ведь действительно интересно. Утром она была сама как цветок;|Вы знаете Кармен, Гнор; ей трудно отказать другому в маленьком удовольствии. Кроме того, это ведь действительно интересно. Утром она была сама как цветок;
jizn_gnora_s000071|Мы потащили его к шлюпке, он смеялся. Тут у нас, у самой воды, началось легкое объяснение. Я ничего не мог понять, тогда Кент вразумил меня. Он хочет,|Мы потащили его к шлюпке, он смеялся. Тут у нас, у самой воды, началось легкое объяснение. Я ничего не мог понять, тогда Кент вразумил меня. Он хочет,
jizn_gnora_s000072|Энниок, казалось, не слышал Гнора; медленно подымая руки, чтобы провести ими по бледному своему лицу, он смотрел прямо перед собой взглядом, полным сосредоточенного размышления.|Энниок, казалось, не слышал Гнора; медленно подымая руки, чтобы провести ими по бледному своему лицу, он смотрел прямо перед собой взглядом, полным сосредоточенного размышления.
jizn_gnora_s000073|Встать, размяться, предпринять что-нибудь у меня не было ни сил, ни желания. Начался бред; я грезил озерами пресной воды, трясся в лихорадке и для развлечения негромко стонал.|Встать, размяться, предпринять что-нибудь у меня не было ни сил, ни желания. Начался бред; я грезил озерами пресной воды, трясся в лихорадке и для развлечения негромко стонал.
jizn_gnora_s000074|он признал бесспорное право Ледана делать из мрамора, не ожидая благосклонного кивка Стерса.|он признал бесспорное право Ледана делать из мрамора, не ожидая благосклонного кивка Стерса.
jizn_gnora_s000075|Он помолчал; страшное спокойствие, похожее на неподвижность работающего парового котла, дало ему силы говорить дальше.|Он помолчал; страшное спокойствие, похожее на неподвижность работающего парового котла, дало ему силы говорить дальше.
jizn_gnora_s000076|Маленькие мягкие руки уперлись ему в голову, оттолкнули ее, схватили.|Маленькие мягкие руки уперлись ему в голову, оттолкнули ее, схватили.
jizn_gnora_s000077|Под вечер Эбергайля посетил ученый Коломб, человек пытливый и жестокий до равнодушия к самым ужасным мукам сознания. Последние часы людей, уверенных в близкой смерти, особенно интересовали его.|Под вечер Эбергайля посетил ученый Коломб, человек пытливый и жестокий до равнодушия к самым ужасным мукам сознания. Последние часы людей, уверенных в близкой смерти, особенно интересовали его.
jizn_gnora_s000078|как к откровению, к неуклюжему низу расширенных длинных брюк, к загорелым, прищуренным лицам, к простым черным, лакированным табакеркам с картинкой на крышке,|как к откровению, к неуклюжему низу расширенных длинных брюк, к загорелым, прищуренным лицам, к простым черным, лакированным табакеркам с картинкой на крышке,
jizn_gnora_s000079|Он постоял некоторое время, думая, что Энниок забыл направление, потом медленно тронулся назад к берегу. Необъяснимое сильное беспокойство гнало его прочь из леса.|Он постоял некоторое время, думая, что Энниок забыл направление, потом медленно тронулся назад к берегу. Необъяснимое сильное беспокойство гнало его прочь из леса.
jizn_gnora_s000080|Верно — нет, иначе Стерс должен был говорить о нем. Ледан никогда особенно не торопится. Однако на днях он говорил мне, что опаздывать не имеет права,|Верно - нет, иначе Стерс должен был говорить о нем. Ледан никогда особенно не торопится. Однако на днях он говорил мне, что опаздывать не имеет права,
jizn_gnora_s000081|Геннисон прошел несколько шагов и остановился перед белой небольшой статуей, вышиной не более трех футов. Модель Ледана, которого он сразу узнал по чудесной легкости и простоте линий,|Геннисон прошел несколько шагов и остановился перед белой небольшой статуей, вышиной не более трех футов. Модель Ледана, которого он сразу узнал по чудесной легкости и простоте линий,
jizn_gnora_s000082|Они вышли из круга; множество глаз проводило высокий силуэт Гнора. Через минуту на палубе было три группы, беседующие вполголоса о тайнах моря,|Они вышли из круга; множество глаз проводило высокий силуэт Гнора. Через минуту на палубе было три группы, беседующие вполголоса о тайнах моря,
jizn_gnora_s000083|Он был серьезен. Мард не привык к молчанию и не выносил загадок, но, против обыкновения, не вспыхивал: тихий мрак, полный грусти и крупных звезд,|Он был серьезен. Мард не привык к молчанию и не выносил загадок, но, против обыкновения, не вспыхивал: тихий мрак, полный грусти и крупных звезд,
jizn_gnora_s000084|сообщая им таинственным образом нежную силу притяжения;|сообщая им таинственным образом нежную силу притяжения;
jizn_gnora_s000085|Энниок, - сказал Гнор, - продолжим нашу игру.|Энниок, - сказал Гнор, - продолжим нашу игру.
jizn_gnora_s000086|А, впрочем, - прибавил он, - не все ли равно - сама упала голова или ее отсекли? И что хуже - рубить или заставить человека самому себе оторвать голову?|А, впрочем, - прибавил он, - не все ли равно - сама упала голова или ее отсекли? И что хуже - рубить или заставить человека самому себе оторвать голову?
jizn_gnora_s000087|Начальник тюрьмы вышел, крепко обтер глаза кистью руки и невольно посмотрел на сапог. Лак блестел ярче, чем обыкновенно. Начальник прикоснулся к нему,|Начальник тюрьмы вышел, крепко обтер глаза кистью руки и невольно посмотрел на сапог. Лак блестел ярче, чем обыкновенно. Начальник прикоснулся к нему,
jizn_gnora_s000088|Жизнь Гнора.|Жизнь Гнора.
jizn_gnora_s000089|по ширмам этим, живописно блестя на темном бархате, висели кольчуги, латы, шлемы, набедренники, топоры, луки, стрелы, арбалеты, мечи, палаши, кинжалы и сабли.|по ширмам этим, живописно блестя на темном бархате, висели кольчуги, латы, шлемы, набедренники, топоры, луки, стрелы, арбалеты, мечи, палаши, кинжалы и сабли.
jizn_gnora_s000090|Комон был ловок и неутомим в беге. Согнувшись, чем уменьшал сопротивление воздуха, бросался он с одной стороны улицы на другую, вился вокруг карет,|Комон был ловок и неутомим в беге. Согнувшись, чем уменьшал сопротивление воздуха, бросался он с одной стороны улицы на другую, вился вокруг карет,
jizn_gnora_s000091|У человека с газетой было длинное имя, но все и он сам довольствовались одной частью его: Энниок. Он бросил зашумевший лист на пол, встал, лениво потер руки и вопросительно осмотрел Гнора.|У человека с газетой было длинное имя, но все и он сам довольствовались одной частью его: Энниок. Он бросил зашумевший лист на пол, встал, лениво потер руки и вопросительно осмотрел Гнора.
jizn_gnora_s000092|Солнце заходило, охладевшие лучи его бросали на пол, к порогу камеры, резкую тень арестанта, тень, которую ему суждено было увидеть только еще раз - завтра утром,|Солнце заходило, охладевшие лучи его бросали на пол, к порогу камеры, резкую тень арестанта, тень, которую ему суждено было увидеть только еще раз - завтра утром,
jizn_gnora_s000093|Его представление о действии топора было ярко до осязательности, хотя длилось, обнимая процесс отсечения головы, ровно то ничтожное количество времени,|Его представление о действии топора было ярко до осязательности, хотя длилось, обнимая процесс отсечения головы, ровно то ничтожное количество времени,
jizn_gnora_s000094|Он вытащил золотую монету — последнюю — все, что было у него, — и положил в нерешительную ладонь Нурса, сжав сторожу пальцы горячей рукой.|Он вытащил золотую монету - последнюю - все, что было у него,- и положил в нерешительную ладонь Нурса, сжав сторожу пальцы горячей рукой.
jizn_gnora_s000095|Подержим пари от скуки.|Подержим пари от скуки.
jizn_gnora_s000096|Лови. Дави. Хватай.|Лови. Дави. Хватай.
jizn_gnora_s000097|Несчастный отвык производить впечатление, - легкомысленно заявил Энниок. - Это бунтующий мертвец. Но я вас покину. Я приду через пять минут.|Несчастный отвык производить впечатление, - легкомысленно заявил Энниок. - Это бунтующий мертвец. Но я вас покину. Я приду через пять минут.
jizn_gnora_s000098|Гнор вышел на берег.|Гнор вышел на берег.
jizn_gnora_s000099|Матрос испуганно посмотрел на Гнора и повернулся к Марду.|Матрос испуганно посмотрел на Гнора и повернулся к Марду.
jizn_gnora_s000100|Прикосновение Энниока вывело его из задумчивости.|Прикосновение Энниока вывело его из задумчивости.
jizn_gnora_s000101|Накануне казни, встав рано, Эбергайль, как уже сказано, ясно почувствовал медленно входящий в его шею топор. Он вынул его руками, сзади, из-под затылка,|Накануне казни, встав рано, Эбергайль, как уже сказано, ясно почувствовал медленно входящий в его шею топор. Он вынул его руками, сзади, из-под затылка,
jizn_gnora_s000102|Энниок резко ударил веслами, не поднял головы и продолжал плыть. Он двигался, казалось, теперь быстрее, чем минуту назад; расстояние между скалой и лодкой становилось заметно меньше.|Энниок резко ударил веслами, не поднял головы и продолжал плыть. Он двигался, казалось, теперь быстрее, чем минуту назад; расстояние между скалой и лодкой становилось заметно меньше.
jizn_gnora_s000103|Когда возбуждение улеглось и разговор принял не столь блестящий характер, скульптор утомленно огляделся. Это была все та же тесная комната, с грошовой мебелью,|Когда возбуждение улеглось и разговор принял не столь блестящий характер, скульптор утомленно огляделся. Это была все та же тесная комната, с грошовой мебелью,
jizn_gnora_s000104|что рушится связь с жизнью и темная жуть кружит голову, он бросился в середину толпы.|что рушится связь с жизнью и темная жуть кружит голову, он бросился в середину толпы.
jizn_gnora_s000105|Он налил себе и Гнору, стараясь не расплескать. - Мы, Гнор, любим одну женщину. Она предпочла вас; а моя страсть поэтому выросла до чудовищных размеров.|Он налил себе и Гнору, стараясь не расплескать. - Мы, Гнор, любим одну женщину. Она предпочла вас; а моя страсть поэтому выросла до чудовищных размеров.
