meraviglieduemila_01_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_01_salgari_f000093|Cinquant’anni or sono, un mio collega, il dottor Dek|Cinquantanni or sono, un mio collega, il dottor Dek
meraviglieduemila_01_salgari_f000094|viaggiava nell’Alto Egitto collo scopo di trovare un’antica miniera di metalli in cui lavoravano un tempo dei sudditi dei Faraoni.|viaggiava nellAlto Egitto collo scopo di trovare unantica miniera di metalli in cui lavoravano un tempo dei sudditi dei Faraoni.
meraviglieduemila_01_salgari_f000095|Un giorno incontrò un arabo infermo ed il dottore lo curò amorosamente, salvandogli la vita.|Un giorno incontrò un arabo infermo ed il dottore lo curò amorosamente, salvandogli la vita.
meraviglieduemila_01_salgari_f000096|Il figlio del deserto era povero, eppure volle ricompensare il suo salvatore|Il figlio del deserto era povero, eppure volle ricompensare il suo salvatore
meraviglieduemila_01_salgari_f000097|dandogli un tesoro che da solo valeva tutte le pietre preziose del mondo. — In che cosa consisteva?|dandogli un tesoro che da solo valeva tutte le pietre preziose del mondo. - In che cosa consisteva?
meraviglieduemila_01_salgari_f000098|— chiese Brandok, che cominciava ad interessarsi vivamente a quel racconto che assomigliava ad uno di quelli delle Mille ed una Notte.|- chiese Brandok, che cominciava ad interessarsi vivamente a quel racconto che assomigliava ad uno di quelli delle Mille ed una Notte.
meraviglieduemila_01_salgari_f000099|— In una piccola pianta disseccata, che dall’arabo era stata scoperta in una antichissima tomba|- In una piccola pianta disseccata, che dallarabo era stata scoperta in una antichissima tomba
meraviglieduemila_01_salgari_f000100|nel seno di una sacerdotessa egiziana che per bellezza non aveva avuto uguali.|nel seno di una sacerdotessa egiziana che per bellezza non aveva avuto uguali.
meraviglieduemila_01_salgari_f000101|Il dottor Dek, ascoltando i pomposi elogi fatti a quel piccolo fiore|Il dottor Dek, ascoltando i pomposi elogi fatti a quel piccolo fiore
meraviglieduemila_01_salgari_f000102|sepolto chissà quanti secoli prima dell’era cristiana e che portava dei bottoncini arsi dal sole ed ingialliti|sepolto chissà quanti secoli prima dellera cristiana e che portava dei bottoncini arsi dal sole ed ingialliti
meraviglieduemila_01_salgari_f000103|non aveva potuto trattenersi dal sorridere.|non aveva potuto trattenersi dal sorridere.
meraviglieduemila_01_salgari_f000104|— Ed io avrei fatto altrettanto — disse Brandok.|- Ed io avrei fatto altrettanto - disse Brandok.
meraviglieduemila_01_salgari_f000105|— Ed avresti avuto torto, — disse Toby — poichè l’arabo prese la pianta|- Ed avresti avuto torto, - disse Toby - poichè larabo prese la pianta
meraviglieduemila_01_salgari_f000106|la bagnò con alcune gocce d’acqua e sotto gli sguardi del dottore si compì un prodigio meraviglioso.|la bagnò con alcune gocce dacqua e sotto gli sguardi del dottore si compì un prodigio meraviglioso.
meraviglieduemila_01_salgari_f000107|La pianta, appena sentì inumidirsi, cominciò a fremere, poi ad agitarsi|La pianta, appena sentì inumidirsi, cominciò a fremere, poi ad agitarsi
meraviglieduemila_01_salgari_f000108|i suoi tessuti si raddrizzarono e i suoi bottoni si gonfiarono, poi si schiusero.|i suoi tessuti si raddrizzarono e i suoi bottoni si gonfiarono, poi si schiusero.
meraviglieduemila_01_salgari_f000109|Il fiore a poco a poco sbocciava, dopo venti secoli e più di sonno, svolgendo i suoi leggeri petali|Il fiore a poco a poco sbocciava, dopo venti secoli e più di sonno, svolgendo i suoi leggeri petali
meraviglieduemila_01_salgari_f000110|i quali si distendevano come raggi superbi intorno ad un punto centrale, pieni di eleganza e di freschezza.|i quali si distendevano come raggi superbi intorno ad un punto centrale, pieni di eleganza e di freschezza.
meraviglieduemila_01_salgari_f000111|— Strano fenomeno! — esclamò Brandok, che pareva avesse dimenticato il suo spleen.|- Strano fenomeno! - esclamò Brandok, che pareva avesse dimenticato il suo spleen.
meraviglieduemila_01_salgari_f000112|— Quel fiore, — proseguì il dottore — assomigliava ad una margherita raccolta in qualche giardino incantato.|- Quel fiore, - proseguì il dottore - assomigliava ad una margherita raccolta in qualche giardino incantato.
meraviglieduemila_01_salgari_f000113|Quella risurrezione misteriosa durò parecchi minuti, poi il fiore a poco a poco rovesciò la sua corolla dalle tinte iridescenti|Quella risurrezione misteriosa durò parecchi minuti, poi il fiore a poco a poco rovesciò la sua corolla dalle tinte iridescenti
meraviglieduemila_01_salgari_f000114|scoprendo in mezzo ai petali alcuni granelli antichissimi.|scoprendo in mezzo ai petali alcuni granelli antichissimi.
meraviglieduemila_01_salgari_f000115|Ahimè! La preziosa semente che il fiore della risurrezione custodiva con tanta gelosa cura, da tanti secoli era irrimediabilmente sterile.|Ahimè! La preziosa semente che il fiore della risurrezione custodiva con tanta gelosa cura, da tanti secoli era irrimediabilmente sterile.
meraviglieduemila_01_salgari_f000116|A quale suolo affidare quei granelli?|A quale suolo affidare quei granelli?
meraviglieduemila_01_salgari_f000117|Quale sole avrebbe potuto tenerli in vita?|Quale sole avrebbe potuto tenerli in vita?
meraviglieduemila_01_salgari_f000118|Sorpreso e ammirato, il dottore portò seco la meravigliosa pianta e rinnovò in Europa centinaia di volte l’esperimento del vecchio arabo|Sorpreso e ammirato, il dottore portò seco la meravigliosa pianta e rinnovò in Europa centinaia di volte lesperimento del vecchio arabo
meraviglieduemila_01_salgari_f000119|e sempre il piccolo fiore del deserto, la pianta misteriosa degli antichi Faraoni|e sempre il piccolo fiore del deserto, la pianta misteriosa degli antichi Faraoni
meraviglieduemila_01_salgari_f000120|risuscitò nella sua immortale bellezza mercè alcune gocce d’acqua.|risuscitò nella sua immortale bellezza mercè alcune gocce dacqua.
meraviglieduemila_01_salgari_f000121|Morendo, il dottor Dek regalò il fiore della risurrezione al discepolo ed amico suo James|Morendo, il dottor Dek regalò il fiore della risurrezione al discepolo ed amico suo James
meraviglieduemila_01_salgari_f000122|il quale ripetè anch’egli, con eguale successo, la prodigiosa esperienza.|il quale ripetè anchegli, con eguale successo, la prodigiosa esperienza.
meraviglieduemila_01_salgari_f000123|Infine il fiore della pianta egiziana venne offerto ad Alessandro Humboldt ed il grande naturalista lo risuscitò più volte davanti ai suoi dotti colleghi.|Infine il fiore della pianta egiziana venne offerto ad Alessandro Humboldt ed il grande naturalista lo risuscitò più volte davanti ai suoi dotti colleghi.
meraviglieduemila_01_salgari_f000124|Fra le sue mani la pianta misteriosa non fece che rinascere e morire, senza che egli potesse penetrarne i segreti;|Fra le sue mani la pianta misteriosa non fece che rinascere e morire, senza che egli potesse penetrarne i segreti;
meraviglieduemila_01_salgari_f000125|ad ogni operazione ripeteva colla tristezza del genio impotente: “Nulla c’è in natura che somigli a questa pianta!”.|ad ogni operazione ripeteva colla tristezza del genio impotente: Nulla cè in natura che somigli a questa pianta!.
meraviglieduemila_01_salgari_f000126|— E nessuno ha mai potuto penetrare il mistero di quella pianta che tolta dal sepolcro|- E nessuno ha mai potuto penetrare il mistero di quella pianta che tolta dal sepolcro
meraviglieduemila_01_salgari_f000127|dopo migliaia di anni risuscitava grazie ad una goccia d’acqua e riapriva la sua corolla eternamente bella|dopo migliaia di anni risuscitava grazie ad una goccia dacqua e riapriva la sua corolla eternamente bella
meraviglieduemila_01_salgari_f000128|come per dire al mondo: “Ecco come ero al tempo dei Faraoni”? — chiese Brandok.|come per dire al mondo: Ecco come ero al tempo dei Faraoni? - chiese Brandok.
meraviglieduemila_01_salgari_f000129|— Sì, uno solo: io! — disse Toby. — Tu!? — Sì, io — ripetè il dottore. — Dunque? — Adagio, questo è un segreto.|- Sì, uno solo: io! - disse Toby. - Tu!? - Sì, io - ripetè il dottore. - Dunque? - Adagio, questo è un segreto.
meraviglieduemila_01_salgari_f000130|Durante un viaggio che feci venticinque anni or sono in Egitto|Durante un viaggio che feci venticinque anni or sono in Egitto
meraviglieduemila_01_salgari_f000131|potei avere uno di quei fiori e studiare e anche spiegare i misteri della sua risurrezione.|potei avere uno di quei fiori e studiare e anche spiegare i misteri della sua risurrezione.
meraviglieduemila_01_salgari_f000132|E da quel fiore mi è sorta l’idea di fermare la vita umana per farla risvegliare dopo un numero più o meno lungo di anni.|E da quel fiore mi è sorta lidea di fermare la vita umana per farla risvegliare dopo un numero più o meno lungo di anni.
meraviglieduemila_01_salgari_f000133|Perchè se poteva rivivere un umile fiorellino, non avrebbe potuto fare altrettanto un organismo così completo come quello dell’uomo?|Perchè se poteva rivivere un umile fiorellino, non avrebbe potuto fare altrettanto un organismo così completo come quello delluomo?
meraviglieduemila_01_salgari_f000134|Ecco la domanda che mi rivolsi e alla cui soluzione impiegai venticinque anni di studi ininterrotti.|Ecco la domanda che mi rivolsi e alla cui soluzione impiegai venticinque anni di studi ininterrotti.
meraviglieduemila_01_salgari_f000135|— E ci sei riuscito? — Pienamente — rispose Toby.|- E ci sei riuscito? - Pienamente - rispose Toby.
meraviglieduemila_01_salgari_f000136|S’era alzato, avvicinandosi al tavolino e aveva preso fra le mani il coniglio che pareva morto, avendo le gambe e la testa irrigidite.|Sera alzato, avvicinandosi al tavolino e aveva preso fra le mani il coniglio che pareva morto, avendo le gambe e la testa irrigidite.
meraviglieduemila_01_salgari_f000137|— Ha odore, questo animale? Fiutalo, James. Credi che sia morto?|- Ha odore, questo animale? Fiutalo, James. Credi che sia morto?
meraviglieduemila_01_salgari_f000138|— È freddo e il cuore non batte più.|- È freddo e il cuore non batte più.
meraviglieduemila_01_salgari_f000139|— Eppure la sua vita non è altro che sospesa da quattordici anni.|- Eppure la sua vita non è altro che sospesa da quattordici anni.
meraviglieduemila_01_salgari_f000140|— È dunque la morte artificiale che hai scoperto?|- È dunque la morte artificiale che hai scoperto?
meraviglieduemila_01_salgari_f000141|— Una semplice puntura del mio filtro misterioso è bastata per fermare le pulsazioni del cuore di questo animale e per conservarlo per un così lungo tempo.|- Una semplice puntura del mio filtro misterioso è bastata per fermare le pulsazioni del cuore di questo animale e per conservarlo per un così lungo tempo.
meraviglieduemila_01_salgari_f000142|— È meraviglioso! — Forse meno di quello che sembra — disse il dottore. — Sai che cosa sono i fakiri?|- È meraviglioso! - Forse meno di quello che sembra - disse il dottore. - Sai che cosa sono i fakiri?
meraviglieduemila_01_salgari_f000143|— Dei fanatici indiani che eseguono degli esperimenti meravigliosi.|- Dei fanatici indiani che eseguono degli esperimenti meravigliosi.
meraviglieduemila_01_salgari_f000144|— E che si fanno seppellire talvolta per quaranta e anche cinquanta giorni entro una cassa sigillata|- E che si fanno seppellire talvolta per quaranta e anche cinquanta giorni entro una cassa sigillata
meraviglieduemila_01_salgari_f000145|colla bocca e le narici turate da uno strato di cera, e che poi risuscitano senza aver l’aspetto d’aver sofferto.|colla bocca e le narici turate da uno strato di cera, e che poi risuscitano senza aver laspetto daver sofferto.
meraviglieduemila_01_salgari_f000146|Un bagno nell’acqua calda, un po’ di burro sulla loro lingua per renderla più pieghevole ed eccoli ritornare alla vita. Ora vedrai.|Un bagno nellacqua calda, un po di burro sulla loro lingua per renderla più pieghevole ed eccoli ritornare alla vita. Ora vedrai.
