sandmann_1_f000001|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.
sandmann_1_f000012|ein Wetterglashändler in meine Stube trat und mir seine Ware anbot.|ein Wetterglashändler in meine Stube trat und mir seine Ware anbot.
sandmann_1_f000013|Ich kaufte nichts und drohte, ihn die Treppe herabzuwerfen, worauf er aber von selbst fortging.|Ich kaufte nichts und drohte, ihn die Treppe herabzuwerfen, worauf er aber von selbst fortging.
sandmann_1_f000014|Du ahnest, daß nur ganz eigne, tief in mein Leben eingreifende Beziehungen diesem Vorfall Bedeutung geben können, ja, daß wohl die Person jenes unglückseligen Krämers gar feindlich auf mich wirken muß.|Du ahnest, daß nur ganz eigne, tief in mein Leben eingreifende Beziehungen diesem Vorfall Bedeutung geben können, ja, daß wohl die Person jenes unglückseligen Krämers gar feindlich auf mich wirken muß.
sandmann_1_f000015|So ist es in der Tat. Mit aller Kraft fasse ich mich zusammen, um ruhig und geduldig Dir aus meiner frühern Jugendzeit so viel zu erzählen, daß Deinem regen Sinn alles klar und deutlich in leuchtenden Bildern aufgehen wird.|So ist es in der Tat. Mit aller Kraft fasse ich mich zusammen, um ruhig und geduldig Dir aus meiner frühern Jugendzeit so viel zu erzählen, daß Deinem regen Sinn alles klar und deutlich in leuchtenden Bildern aufgehen wird.
sandmann_1_f000016|Indem ich anfangen will, höre ich Dich lachen und Clara sagen: Das sind ja rechte Kindereien!|Indem ich anfangen will, höre ich Dich lachen und Clara sagen: Das sind ja rechte Kindereien!
sandmann_1_f000017|Lacht, ich bitte Euch, lacht mich recht herzlich aus! ich bitt Euch sehr!|Lacht, ich bitte Euch, lacht mich recht herzlich aus! ich bitt Euch sehr!
sandmann_1_f000018|Aber Gott im Himmel! die Haare sträuben sich mir und es ist, als flehe ich Euch an, mich auszulachen, in wahnsinniger Verzweiflung, wie Franz Moor den Daniel.|Aber Gott im Himmel! die Haare sträuben sich mir und es ist, als flehe ich Euch an, mich auszulachen, in wahnsinniger Verzweiflung, wie Franz Moor den Daniel.
sandmann_1_f000019|Nun fort zur Sache! Außer dem Mittagsessen sahen wir, ich und mein Geschwister, tagüber den Vater wenig.|Nun fort zur Sache! Außer dem Mittagsessen sahen wir, ich und mein Geschwister, tagüber den Vater wenig.
sandmann_1_f000020|Er mochte mit seinem Dienst viel beschäftigt sein.|Er mochte mit seinem Dienst viel beschäftigt sein.
sandmann_1_f000021|Nach dem Abendessen, das alter Sitte gemäß schon um sieben Uhr aufgetragen wurde, gingen wir alle, die Mutter mit uns, in des Vaters Arbeitszimmer und setzten uns um einen runden Tisch.|Nach dem Abendessen, das alter Sitte gemäß schon um sieben Uhr aufgetragen wurde, gingen wir alle, die Mutter mit uns, in des Vaters Arbeitszimmer und setzten uns um einen runden Tisch.
sandmann_1_f000022|Der Vater rauchte Tabak und trank ein großes Glas Bier dazu.|Der Vater rauchte Tabak und trank ein großes Glas Bier dazu.
sandmann_1_f000023|Oft erzählte er uns viele wunderbare Geschichten und geriet darüber so in Eifer, daß ihm die Pfeife immer ausging, die ich, ihm brennend Papier hinhaltend, wieder anzünden mußte, welches mir denn ein Hauptspaß war.|Oft erzählte er uns viele wunderbare Geschichten und geriet darüber so in Eifer, daß ihm die Pfeife immer ausging, die ich, ihm brennend Papier hinhaltend, wieder anzünden mußte, welches mir denn ein Hauptspaß war.
sandmann_1_f000024|Oft gab er uns aber Bilderbücher in die Hände, saß stumm und starr in seinem Lehnstuhl und blies starke Dampfwolken von sich, daß wir alle wie im Nebel schwammen.|Oft gab er uns aber Bilderbücher in die Hände, saß stumm und starr in seinem Lehnstuhl und blies starke Dampfwolken von sich, daß wir alle wie im Nebel schwammen.
sandmann_1_f000025|An solchen Abenden war die Mutter sehr traurig und kaum schlug die Uhr neun, so sprach sie: Nun Kinder!|An solchen Abenden war die Mutter sehr traurig und kaum schlug die Uhr neun, so sprach sie: Nun Kinder!
sandmann_1_f000026|zu Bette! zu Bette! der Sandmann kommt, ich merk es schon.|zu Bette! zu Bette! der Sandmann kommt, ich merk es schon.
sandmann_1_f000027|Wirklich hörte ich dann jedesmal etwas schweren langsamen Tritts die Treppe heraufpoltern; das mußte der Sandmann sein.|Wirklich hörte ich dann jedesmal etwas schweren langsamen Tritts die Treppe heraufpoltern; das mußte der Sandmann sein.
sandmann_1_f000028|Einmal war mir jenes dumpfe Treten und Poltern besonders graulich; ich frug die Mutter, indem sie uns fortführte: Ei Mama!|Einmal war mir jenes dumpfe Treten und Poltern besonders graulich; ich frug die Mutter, indem sie uns fortführte: Ei Mama!
sandmann_1_f000029|wer ist denn der böse Sandmann, der uns immer von Papa forttreibt?|wer ist denn der böse Sandmann, der uns immer von Papa forttreibt?
sandmann_1_f000030|wie sieht er denn aus?|wie sieht er denn aus?
sandmann_1_f000031|Es gibt keinen Sandmann, mein liebes Kind, erwiderte die Mutter: wenn ich sage, der Sandmann kommt, so will das nur heißen, ihr seid schläfrig und könnt die Augen nicht offen behalten, als hätte man euch Sand hineingestreut.|Es gibt keinen Sandmann, mein liebes Kind, erwiderte die Mutter: wenn ich sage, der Sandmann kommt, so will das nur heißen, ihr seid schläfrig und könnt die Augen nicht offen behalten, als hätte man euch Sand hineingestreut.
sandmann_1_f000032|Der Mutter Antwort befriedigte mich nicht, ja in meinem kindischen Gemüt entfaltete sich deutlich der Gedanke, daß die Mutter den Sandmann nur verleugne, damit wir uns vor ihm nicht fürchten sollten, ich hörte ihn ja immer die Treppe heraufkommen.|Der Mutter Antwort befriedigte mich nicht, ja in meinem kindischen Gemüt entfaltete sich deutlich der Gedanke, daß die Mutter den Sandmann nur verleugne, damit wir uns vor ihm nicht fürchten sollten, ich hörte ihn ja immer die Treppe heraufkommen.
sandmann_1_f000033|Voll Neugierde, Näheres von diesem Sandmann und seiner Beziehung auf uns Kinder zu erfahren, frug ich endlich die alte Frau, die meine jüngste Schwester wartete: was denn das für ein Mann sei, der Sandmann?|Voll Neugierde, Näheres von diesem Sandmann und seiner Beziehung auf uns Kinder zu erfahren, frug ich endlich die alte Frau, die meine jüngste Schwester wartete: was denn das für ein Mann sei, der Sandmann?
sandmann_1_f000034|Ei Thanelchen, erwiderte diese, weißt du das noch nicht?|Ei Thanelchen, erwiderte diese, weißt du das noch nicht?
sandmann_1_f000035|Das ist ein böser Mann, der kommt zu den Kindern, wenn sie nicht zu Bett gehen wollen und wirft ihnen Händevoll Sand in die Augen, daß sie blutig zum Kopf herausspringen, die wirft er dann in den Sack und trägt sie in den Halbmond zur Atzung für seine Kinderchen;|Das ist ein böser Mann, der kommt zu den Kindern, wenn sie nicht zu Bett gehen wollen und wirft ihnen Händevoll Sand in die Augen, daß sie blutig zum Kopf herausspringen, die wirft er dann in den Sack und trägt sie in den Halbmond zur Atzung für seine Kinderchen;
sandmann_1_f000036|die sitzen dort im Nest und haben krumme Schnäbel, wie die Eulen, damit picken sie der unartigen Menschenkindlein Augen auf.|die sitzen dort im Nest und haben krumme Schnäbel, wie die Eulen, damit picken sie der unartigen Menschenkindlein Augen auf.
sandmann_1_f000037|Gräßlich malte sich nun im Innern mir das Bild des grausamen Sandmanns aus; sowie es abends die Treppe heraufpolterte, zitterte ich vor Angst und Entsetzen.|Gräßlich malte sich nun im Innern mir das Bild des grausamen Sandmanns aus; sowie es abends die Treppe heraufpolterte, zitterte ich vor Angst und Entsetzen.
sandmann_1_f000038|Nichts als den unter Tränen hergestotterten Ruf.|Nichts als den unter Tränen hergestotterten Ruf.
sandmann_1_f000039|Der Sandmann! der Sandmann! konnte die Mutter aus mir herausbringen.|Der Sandmann! der Sandmann! konnte die Mutter aus mir herausbringen.
sandmann_1_f000040|Ich lief darauf in das Schlafzimmer, und wohl die ganze Nacht über quälte mich die fürchterliche Erscheinung des Sandmanns.|Ich lief darauf in das Schlafzimmer, und wohl die ganze Nacht über quälte mich die fürchterliche Erscheinung des Sandmanns.
sandmann_1_f000041|Schon alt genug war ich geworden, um einzusehen, daß das mit dem Sandmann und seinem Kindernest im Halbmonde, so wie es mir die Wartefrau erzählt hatte, wohl nicht ganz seine Richtigkeit haben könne; indessen blieb mir der Sandmann ein fürchterliches Gespenst,|Schon alt genug war ich geworden, um einzusehen, daß das mit dem Sandmann und seinem Kindernest im Halbmonde, so wie es mir die Wartefrau erzählt hatte, wohl nicht ganz seine Richtigkeit haben könne; indessen blieb mir der Sandmann ein fürchterliches Gespenst,
sandmann_1_f000042|und Grauen Entsetzen ergriff mich, wenn ich ihn nicht allein die Treppe heraufkommen, sondern auch meines Vaters Stubentür heftig aufreißen und hineintreten hörte.|und Grauen Entsetzen ergriff mich, wenn ich ihn nicht allein die Treppe heraufkommen, sondern auch meines Vaters Stubentür heftig aufreißen und hineintreten hörte.
sandmann_1_f000043|Manchmal blieb er lange weg, dann kam er öfter hintereinander.|Manchmal blieb er lange weg, dann kam er öfter hintereinander.
sandmann_1_f000044|Jahrelang dauerte das, und nicht gewöhnen konnte ich mich an den unheimlichen Spuk, nicht bleicher wurde in mir das Bild des grausigen Sandmanns.|Jahrelang dauerte das, und nicht gewöhnen konnte ich mich an den unheimlichen Spuk, nicht bleicher wurde in mir das Bild des grausigen Sandmanns.
sandmann_1_f000045|Sein Umgang mit dem Vater fing an meine Fantasie immer mehr und mehr zu beschäftigen: den Vater darum zu befragen hielt mich eine unüberwindliche Scheu zurück, aber selbst selbst das Geheimnis zu erforschen,|Sein Umgang mit dem Vater fing an meine Fantasie immer mehr und mehr zu beschäftigen: den Vater darum zu befragen hielt mich eine unüberwindliche Scheu zurück, aber selbst selbst das Geheimnis zu erforschen,
sandmann_1_f000046|den fabelhaften Sandmann zu sehen, dazu keimte mit den Jahren immer mehr die Lust in mir empor.|den fabelhaften Sandmann zu sehen, dazu keimte mit den Jahren immer mehr die Lust in mir empor.
sandmann_1_f000047|Der Sandmann hatte mich auf die Bahn des Wunderbaren, Abenteuerlichen gebracht, das so schon leicht im kindlichen Gemüt sich einnistet.|Der Sandmann hatte mich auf die Bahn des Wunderbaren, Abenteuerlichen gebracht, das so schon leicht im kindlichen Gemüt sich einnistet.
sandmann_1_f000048|Nichts war mir lieber, als schauerliche Geschichten von Kobolten, Hexen, Däumlingen usw. zu hören oder zu lesen; aber obenan stand immer der Sandmann, den ich in den seltsamsten, abscheulichsten Gestalten überall auf Tische,|Nichts war mir lieber, als schauerliche Geschichten von Kobolten, Hexen, Däumlingen usw. zu hören oder zu lesen; aber obenan stand immer der Sandmann, den ich in den seltsamsten, abscheulichsten Gestalten überall auf Tische,
sandmann_1_f000049|Schränke und Wände mit Kreide, Kohle, hinzeichnete.|Schränke und Wände mit Kreide, Kohle, hinzeichnete.
sandmann_1_f000050|Als ich zehn Jahre alt geworden, wies mich die Mutter aus der Kinderstube in ein Kämmerchen, das auf dem Korridor unfern von meines Vaters Zimmer lag.|Als ich zehn Jahre alt geworden, wies mich die Mutter aus der Kinderstube in ein Kämmerchen, das auf dem Korridor unfern von meines Vaters Zimmer lag.
sandmann_1_f000051|Noch immer mußten wir uns, wenn auf den Schlag neun Uhr sich jener Unbekannte im Hause hören ließ, schnell entfernen.|Noch immer mußten wir uns, wenn auf den Schlag neun Uhr sich jener Unbekannte im Hause hören ließ, schnell entfernen.
sandmann_1_f000052|In meinem Kämmerchen vernahm ich, wie er bei dem Vater hineintrat und bald darauf war es mir dann, als verbreite sich im Hause ein feiner seltsam riechender Dampf.|In meinem Kämmerchen vernahm ich, wie er bei dem Vater hineintrat und bald darauf war es mir dann, als verbreite sich im Hause ein feiner seltsam riechender Dampf.
sandmann_1_f000053|Immer höher mit der Neugierde wuchs der Mut, auf irgend eine Weise des Sandmanns Bekanntschaft zu machen.|Immer höher mit der Neugierde wuchs der Mut, auf irgend eine Weise des Sandmanns Bekanntschaft zu machen.
sandmann_1_f000054|Oft schlich ich schnell aus dem Kämmerchen auf den Korridor, wenn die Mutter vorübergegangen, aber nichts konnte ich erlauschen, denn immer war der Sandmann schon zur Türe hinein, wenn ich den Platz erreicht hatte, wo er mir sichtbar werden mußte.|Oft schlich ich schnell aus dem Kämmerchen auf den Korridor, wenn die Mutter vorübergegangen, aber nichts konnte ich erlauschen, denn immer war der Sandmann schon zur Türe hinein, wenn ich den Platz erreicht hatte, wo er mir sichtbar werden mußte.
sandmann_1_f000055|Endlich von unwiderstehlichem Drange getrieben, beschloß ich, im Zimmer des Vaters selbst mich zu verbergen und den Sandmann zu erwarten.|Endlich von unwiderstehlichem Drange getrieben, beschloß ich, im Zimmer des Vaters selbst mich zu verbergen und den Sandmann zu erwarten.
sandmann_1_f000056|An des Vaters Schweigen, an der Mutter Traurigkeit merkte ich eines Abends, daß der Sandmann kommen werde; ich schützte daher große Müdigkeit vor, verließ schon vor neun Uhr das Zimmer und verbarg mich dicht neben der Türe in einen Schlupfwinkel.|An des Vaters Schweigen, an der Mutter Traurigkeit merkte ich eines Abends, daß der Sandmann kommen werde; ich schützte daher große Müdigkeit vor, verließ schon vor neun Uhr das Zimmer und verbarg mich dicht neben der Türe in einen Schlupfwinkel.
sandmann_1_f000057|Die Haustür knarrte, durch den Flur ging es, langsamen, schweren, dröhnenden Schrittes nach der Treppe.|Die Haustür knarrte, durch den Flur ging es, langsamen, schweren, dröhnenden Schrittes nach der Treppe.
sandmann_1_f000058|Die Mutter eilte mit dem Geschwister mir vorüber.|Die Mutter eilte mit dem Geschwister mir vorüber.
sandmann_1_f000059|Leise leise öffnete ich des Vaters Stubentür.|Leise leise öffnete ich des Vaters Stubentür.
sandmann_1_f000060|Er saß, wie gewöhnlich, stumm und starr den Rücken der Türe zugekehrt, er bemerkte mich nicht, schnell war ich hinein und hinter der Gardine, die einem gleich neben der Türe stehenden offnen Schrank, worin meines Vaters Kleider hingen, vorgezogen war.|Er saß, wie gewöhnlich, stumm und starr den Rücken der Türe zugekehrt, er bemerkte mich nicht, schnell war ich hinein und hinter der Gardine, die einem gleich neben der Türe stehenden offnen Schrank, worin meines Vaters Kleider hingen, vorgezogen war.
sandmann_1_f000061|Näher immer näher dröhnten die Tritte es hustete und scharrte und brummte seltsam draußen.|Näher immer näher dröhnten die Tritte es hustete und scharrte und brummte seltsam draußen.
sandmann_1_f000062|Das Herz bebte mir vor Angst und Erwartung.|Das Herz bebte mir vor Angst und Erwartung.
sandmann_1_f000063|Dicht, dicht vor der Türe ein scharfer Tritt ein heftiger Schlag auf die Klinke, die Tür springt rasselnd auf!|Dicht, dicht vor der Türe ein scharfer Tritt ein heftiger Schlag auf die Klinke, die Tür springt rasselnd auf!
sandmann_1_f000064|Mit Gewalt mich ermannend gucke ich behutsam hervor.|Mit Gewalt mich ermannend gucke ich behutsam hervor.
sandmann_1_f000065|Der Sandmann steht mitten in der Stube vor meinem Vater, der helle Schein der Lichter brennt ihm ins Gesicht!|Der Sandmann steht mitten in der Stube vor meinem Vater, der helle Schein der Lichter brennt ihm ins Gesicht!
sandmann_1_f000066|Der Sandmann, der fürchterliche Sandmann ist der alte Advokat Coppelius, der manchmal bei uns zu Mittage ißt!|Der Sandmann, der fürchterliche Sandmann ist der alte Advokat Coppelius, der manchmal bei uns zu Mittage ißt!
sandmann_1_f000067|Aber die gräßlichste Gestalt hätte mir nicht tieferes Entsetzen erregen können, als eben dieser Coppelius.|Aber die gräßlichste Gestalt hätte mir nicht tieferes Entsetzen erregen können, als eben dieser Coppelius.
sandmann_1_f000068|Denke Dir einen großen breitschultrigen Mann mit einem unförmlich dicken Kopf, erdgelbem Gesicht, buschigten grauen Augenbrauen, unter denen ein Paar grünliche Katzenaugen stechend hervorfunkeln, großer, starker über die Oberlippe gezogener Nase.|Denke Dir einen großen breitschultrigen Mann mit einem unförmlich dicken Kopf, erdgelbem Gesicht, buschigten grauen Augenbrauen, unter denen ein Paar grünliche Katzenaugen stechend hervorfunkeln, großer, starker über die Oberlippe gezogener Nase.
sandmann_1_f000069|Das schiefe Maul verzieht sich oft zum hämischen Lachen; dann werden auf den Backen ein paar dunkelrote Flecke sichtbar und ein seltsam zischender Ton fährt durch die zusammengekniffenen Zähne.|Das schiefe Maul verzieht sich oft zum hämischen Lachen; dann werden auf den Backen ein paar dunkelrote Flecke sichtbar und ein seltsam zischender Ton fährt durch die zusammengekniffenen Zähne.
sandmann_1_f000070|Coppelius erschien immer in einem altmodisch zugeschnittenen aschgrauen Rocke, eben solcher Weste und gleichen Beinkleidern, aber dazu schwarze Strümpfe und Schuhe mit kleinen Steinschnallen.|Coppelius erschien immer in einem altmodisch zugeschnittenen aschgrauen Rocke, eben solcher Weste und gleichen Beinkleidern, aber dazu schwarze Strümpfe und Schuhe mit kleinen Steinschnallen.
sandmann_1_f000071|Die kleine Perücke reichte kaum bis über den Kopfwirbel heraus, die Kleblocken standen hoch über den großen roten Ohren und ein breiter verschlossener Haarbeutel starrte von dem Nacken weg, so daß man die silberne Schnalle sah,|Die kleine Perücke reichte kaum bis über den Kopfwirbel heraus, die Kleblocken standen hoch über den großen roten Ohren und ein breiter verschlossener Haarbeutel starrte von dem Nacken weg, so daß man die silberne Schnalle sah,
sandmann_1_f000072|die die gefältelte Halsbinde schloß.|die die gefältelte Halsbinde schloß.
sandmann_1_f000073|Die ganze Figur war überhaupt widrig und abscheulich; aber vor allem waren uns Kindern seine großen knotigten, haarigten Fäuste zuwider, so daß wir, was er damit berührte, nicht mehr mochten.|Die ganze Figur war überhaupt widrig und abscheulich; aber vor allem waren uns Kindern seine großen knotigten, haarigten Fäuste zuwider, so daß wir, was er damit berührte, nicht mehr mochten.
sandmann_1_f000074|Das hatte er bemerkt und nun war es seine Freude, irgend ein Stückchen Kuchen, oder eine süße Frucht, die uns die gute Mutter heimlich auf den Teller gelegt, unter diesem, oder jenem Vorwande zu berühren,|Das hatte er bemerkt und nun war es seine Freude, irgend ein Stückchen Kuchen, oder eine süße Frucht, die uns die gute Mutter heimlich auf den Teller gelegt, unter diesem, oder jenem Vorwande zu berühren,
sandmann_1_f000075|daß wir, helle Tränen in den Augen, die Näscherei, der wir uns erfreuen sollten, nicht mehr genießen mochten vor Ekel und Abscheu.|daß wir, helle Tränen in den Augen, die Näscherei, der wir uns erfreuen sollten, nicht mehr genießen mochten vor Ekel und Abscheu.
sandmann_1_f000076|Ebenso machte er es, wenn uns an Feiertagen der Vater ein klein Gläschen süßen Weins eingeschenkt hatte.|Ebenso machte er es, wenn uns an Feiertagen der Vater ein klein Gläschen süßen Weins eingeschenkt hatte.
sandmann_1_f000077|Dann fuhr er schnell mit der Faust herüber, oder brachte wohl gar das Glas an die blauen Lippen und lachte recht teuflisch, wenn wir unsern Ärger nur leise schluchzend äußern durften.|Dann fuhr er schnell mit der Faust herüber, oder brachte wohl gar das Glas an die blauen Lippen und lachte recht teuflisch, wenn wir unsern Ärger nur leise schluchzend äußern durften.
sandmann_1_f000078|Er pflegte uns nur immer die kleinen Bestien zu nennen; wir durften, war er zugegen, keinen Laut von uns geben und verwünschten den häßlichen, feindlichen Mann, der uns recht mit Bedacht und Absicht auch die kleinste Freude verdarb.|Er pflegte uns nur immer die kleinen Bestien zu nennen; wir durften, war er zugegen, keinen Laut von uns geben und verwünschten den häßlichen, feindlichen Mann, der uns recht mit Bedacht und Absicht auch die kleinste Freude verdarb.
sandmann_1_f000079|Die Mutter schien ebenso, wie wir, den widerwärtigen Coppelius zu hassen; denn so wie er sich zeigte, war ihr Frohsinn, ihr heiteres unbefangenes Wesen umgewandelt in traurigen, düstern Ernst.|Die Mutter schien ebenso, wie wir, den widerwärtigen Coppelius zu hassen; denn so wie er sich zeigte, war ihr Frohsinn, ihr heiteres unbefangenes Wesen umgewandelt in traurigen, düstern Ernst.
sandmann_1_f000080|Der Vater betrug sich gegen ihn, als sei er ein höheres Wesen, dessen Unarten man dulden und das man auf jede Weise bei guter Laune erhalten müsse.|Der Vater betrug sich gegen ihn, als sei er ein höheres Wesen, dessen Unarten man dulden und das man auf jede Weise bei guter Laune erhalten müsse.
sandmann_1_f000081|Er durfte nur leise andeuten und Lieblingsgerichte wurden gekocht und seltene Weine kredenzt.|Er durfte nur leise andeuten und Lieblingsgerichte wurden gekocht und seltene Weine kredenzt.
sandmann_1_f000082|Als ich nun diesen Coppelius sah, ging es grausig und entsetzlich in meiner Seele auf, daß ja niemand anders, als er, der Sandmann sein könne, aber der Sandmann war mir nicht mehr jener Popanz aus dem Ammenmärchen,|Als ich nun diesen Coppelius sah, ging es grausig und entsetzlich in meiner Seele auf, daß ja niemand anders, als er, der Sandmann sein könne, aber der Sandmann war mir nicht mehr jener Popanz aus dem Ammenmärchen,
sandmann_1_f000083|der dem Eulennest im Halbmonde Kinderaugen zur Atzung holt nein!|der dem Eulennest im Halbmonde Kinderaugen zur Atzung holt nein!
sandmann_1_f000084|ein häßlicher gespenstischer Unhold, der überall, wo er einschreitet, Jammer Not zeitliches, ewiges Verderben bringt.|ein häßlicher gespenstischer Unhold, der überall, wo er einschreitet, Jammer Not zeitliches, ewiges Verderben bringt.
sandmann_1_f000085|Ich war fest gezaubert.|Ich war fest gezaubert.
sandmann_1_f000086|Auf die Gefahr entdeckt, und, wie ich deutlich dachte, hart gestraft zu werden, blieb ich stehen, den Kopf lauschend durch die Gardine hervorgestreckt.|Auf die Gefahr entdeckt, und, wie ich deutlich dachte, hart gestraft zu werden, blieb ich stehen, den Kopf lauschend durch die Gardine hervorgestreckt.
sandmann_1_f000087|Mein Vater empfing den Coppelius feierlich.|Mein Vater empfing den Coppelius feierlich.
sandmann_1_f000088|Auf!|Auf!
sandmann_1_f000089|zum Werk, rief dieser mit heiserer, schnurrender Stimme und warf den Rock ab.|zum Werk, rief dieser mit heiserer, schnurrender Stimme und warf den Rock ab.
sandmann_1_f000090|Der Vater zog still und finster seinen Schlafrock aus und beide kleideten sich in lange schwarze Kittel.|Der Vater zog still und finster seinen Schlafrock aus und beide kleideten sich in lange schwarze Kittel.
sandmann_1_f000091|Wo sie die hernahmen, hatte ich übersehen.|Wo sie die hernahmen, hatte ich übersehen.
sandmann_1_f000092|Der Vater öffnete die Flügeltür eines Wandschranks; aber ich sah, daß das, was ich solange dafür gehalten, kein Wandschrank, sondern vielmehr eine schwarze Höhlung war, in der ein kleiner Herd stand.|Der Vater öffnete die Flügeltür eines Wandschranks; aber ich sah, daß das, was ich solange dafür gehalten, kein Wandschrank, sondern vielmehr eine schwarze Höhlung war, in der ein kleiner Herd stand.
sandmann_1_f000093|Coppelius trat hinzu und eine blaue Flamme knisterte auf dem Herde empor.|Coppelius trat hinzu und eine blaue Flamme knisterte auf dem Herde empor.
sandmann_1_f000094|Allerlei seltsames Geräte stand umher.|Allerlei seltsames Geräte stand umher.
sandmann_1_f000095|Ach Gott!|Ach Gott!
sandmann_1_f000096|wie sich nun mein alter Vater zum Feuer herabbückte, da sah er ganz anders aus.|wie sich nun mein alter Vater zum Feuer herabbückte, da sah er ganz anders aus.
sandmann_1_f000097|Ein gräßlicher krampfhafter Schmerz schien seine sanften ehrlichen Züge zum häßlichen widerwärtigen Teufelsbilde verzogen zu haben.|Ein gräßlicher krampfhafter Schmerz schien seine sanften ehrlichen Züge zum häßlichen widerwärtigen Teufelsbilde verzogen zu haben.
sandmann_1_f000098|Er sah dem Coppelius ähnlich.|Er sah dem Coppelius ähnlich.
sandmann_1_f000099|Dieser schwang die glutrote Zange und holte damit hellblinkende Massen aus dem dicken Qualm, die er dann emsig hämmerte.|Dieser schwang die glutrote Zange und holte damit hellblinkende Massen aus dem dicken Qualm, die er dann emsig hämmerte.
sandmann_1_f000100|Mir war es als würden Menschengesichter ringsumher sichtbar, aber ohne Augen scheußliche, tiefe schwarze Höhlen statt ihrer.|Mir war es als würden Menschengesichter ringsumher sichtbar, aber ohne Augen scheußliche, tiefe schwarze Höhlen statt ihrer.
sandmann_1_f000101|Augen her, Augen her!|Augen her, Augen her!
sandmann_1_f000102|rief Coppelius mit dumpfer dröhnender Stimme.|rief Coppelius mit dumpfer dröhnender Stimme.
sandmann_1_f000103|Ich kreischte auf von wildem Entsetzen gewaltig erfaßt und stürzte aus meinem Versteck heraus auf den Boden.|Ich kreischte auf von wildem Entsetzen gewaltig erfaßt und stürzte aus meinem Versteck heraus auf den Boden.
sandmann_1_f000104|Da ergriff mich Coppelius, kleine Bestie!|Da ergriff mich Coppelius, kleine Bestie!
sandmann_1_f000105|kleine Bestie!|kleine Bestie!
sandmann_1_f000106|meckerte er zähnfletschend!|meckerte er zähnfletschend!
