odysseus_01_f000001|Erster Abend.|Erster Abend.
odysseus_01_f000015|Das lockte die stolzen Jünglinge gar sehr, und sie drangen auf alle Weise in die schöne Königin, als Witwe in ihres Vaters Haus zurückzukehren, damit dort nach alter Sitte förmlich um sie geworben werden könne.|Das lockte die stolzen Jünglinge gar sehr, und sie drangen auf alle Weise in die schöne Königin, als Witwe in ihres Vaters Haus zurückzukehren, damit dort nach alter Sitte förmlich um sie geworben werden könne.
odysseus_01_f000016|Odysseus, meinten sie, komme doch nimmer zurück; der sei gewiß längst zu den Toten eingegangen.|Odysseus, meinten sie, komme doch nimmer zurück; der sei gewiß längst zu den Toten eingegangen.
odysseus_01_f000017|Aber so leicht verdrängten die Schwätzer das Andenken an den Gemahl nicht aus dem Herzen der Penelope; so leichtsinnig wollte sie nicht ein Bündnis auflösen, das einst das Glück ihrer Jugend gewesen war.|Aber so leicht verdrängten die Schwätzer das Andenken an den Gemahl nicht aus dem Herzen der Penelope; so leichtsinnig wollte sie nicht ein Bündnis auflösen, das einst das Glück ihrer Jugend gewesen war.
odysseus_01_f000018|Er kehrt dennoch wieder, dachte sie immer; und wenn sie Tag und Nacht in Sehnsucht und Angst verweint hatte, so richtete diese frohe Hoffnung ihre Seele wieder auf.|Er kehrt dennoch wieder, dachte sie immer; und wenn sie Tag und Nacht in Sehnsucht und Angst verweint hatte, so richtete diese frohe Hoffnung ihre Seele wieder auf.
odysseus_01_f000019|Aber es verging Jahr um Jahr, und kein Schiff brachte der treuen Königin den geliebten Gatten.|Aber es verging Jahr um Jahr, und kein Schiff brachte der treuen Königin den geliebten Gatten.
odysseus_01_f000020|Penelope hielt jeden Wanderer an, der nach Ithaka kam, und forschte bei ihm nach Kunde von den Helden.|Penelope hielt jeden Wanderer an, der nach Ithaka kam, und forschte bei ihm nach Kunde von den Helden.
odysseus_01_f000021|Die andern, erzählte man, seien längst zurück, Nestor in Pylos, Menelaos in Sparta; vom Odysseus wußte keiner, wo er geblieben, ob er lebe oder tot sei.|Die andern, erzählte man, seien längst zurück, Nestor in Pylos, Menelaos in Sparta; vom Odysseus wußte keiner, wo er geblieben, ob er lebe oder tot sei.
odysseus_01_f000022|Neun Jahre harrte so die Vielgetreue in ihren Thränen, und neunzehn Jahre waren bereits vergangen, seit der Gemahl von dannen gezogen war.|Neun Jahre harrte so die Vielgetreue in ihren Thränen, und neunzehn Jahre waren bereits vergangen, seit der Gemahl von dannen gezogen war.
odysseus_01_f000023|Er hatte ihr bei der Abreise ein Knäblein hinterlassen, Telemachos geheißen, das nun zum schönen Jünglinge herangewachsen war.|Er hatte ihr bei der Abreise ein Knäblein hinterlassen, Telemachos geheißen, das nun zum schönen Jünglinge herangewachsen war.
odysseus_01_f000024|Der blieb ihr einziger Trost, aber auch er war viel zu schwach gegen die übermütige Rotte der Werber, die mit jedem Jahre zudringlicher wurde und zuletzt auf ein heilloses Mittel verfiel, die arme Frau mit Gewalt zur Rückkehr in ihres Vaters Haus zu zwingen.|Der blieb ihr einziger Trost, aber auch er war viel zu schwach gegen die übermütige Rotte der Werber, die mit jedem Jahre zudringlicher wurde und zuletzt auf ein heilloses Mittel verfiel, die arme Frau mit Gewalt zur Rückkehr in ihres Vaters Haus zu zwingen.
odysseus_01_f000025|Empörender ist wohl nie die Hilflosigkeit eines verlassenen Weibes mißbraucht worden als von diesen überlästigen Freiern.|Empörender ist wohl nie die Hilflosigkeit eines verlassenen Weibes mißbraucht worden als von diesen überlästigen Freiern.
odysseus_01_f000026|Sie verbanden sich mit allen Fürstensöhnen aus der Nachbarschaft und beschlossen sämtlich, über hundert an der Zahl, jeden Morgen in Odysseuse Palaste einzusprechen,|Sie verbanden sich mit allen Fürstensöhnen aus der Nachbarschaft und beschlossen sämtlich, über hundert an der Zahl, jeden Morgen in Odysseuse Palaste einzusprechen,
odysseus_01_f000027|von Odysseuse Herden und Kornböden zu zehren und von seinem Weine zu zechen, mit einem Worte, so lange von seinem Besitze zu prassen, bis Telemachos durch die Furcht vor gänzlicher Verarmung genötigt sein würde,|von Odysseuse Herden und Kornböden zu zehren und von seinem Weine zu zechen, mit einem Worte, so lange von seinem Besitze zu prassen, bis Telemachos durch die Furcht vor gänzlicher Verarmung genötigt sein würde,
odysseus_01_f000028|die standhafte Mutter mit Gewalt aus dem Hause zu stoßen und sie dadurch zu einer zweiten Heirat zu zwingen.|die standhafte Mutter mit Gewalt aus dem Hause zu stoßen und sie dadurch zu einer zweiten Heirat zu zwingen.
odysseus_01_f000029|Seit dieser schändlichen Verabredung waren die weiten Hallen im Palaste des Odysseus von früh bis in die Nacht mit den ungebetenen Gästen gefüllt, die alle Diener des Königs zu ihrem Willen zwangen,|Seit dieser schändlichen Verabredung waren die weiten Hallen im Palaste des Odysseus von früh bis in die Nacht mit den ungebetenen Gästen gefüllt, die alle Diener des Königs zu ihrem Willen zwangen,
odysseus_01_f000030|von dem fremden Gute an sich rissen, was ihnen beliebte, und mit rohem Spott und Gelächter den schwachen Besitzer verhöhnten.|von dem fremden Gute an sich rissen, was ihnen beliebte, und mit rohem Spott und Gelächter den schwachen Besitzer verhöhnten.
odysseus_01_f000031|Der Reichtum der Herden nahm sichtbar ab, die Fülle des Kornes und Weines schwand, und niemand war, der den übermütigen Schwelgern Einhalt gethan hätte.|Der Reichtum der Herden nahm sichtbar ab, die Fülle des Kornes und Weines schwand, und niemand war, der den übermütigen Schwelgern Einhalt gethan hätte.
odysseus_01_f000032|Penelope saß oben in ihrem Gemach am Webstuhl und weinte; Telemachos, so oft er sich unter der anmaßenden Schar sehen ließ, ward verlacht und verspottet.|Penelope saß oben in ihrem Gemach am Webstuhl und weinte; Telemachos, so oft er sich unter der anmaßenden Schar sehen ließ, ward verlacht und verspottet.
odysseus_01_f000033|Ein Gott hatte über Odysseuse Haus solches Weh gesandt.|Ein Gott hatte über Odysseuse Haus solches Weh gesandt.
odysseus_01_f000034|Poseidon, der Beherrscher des Meeres, zürnte dem Helden; denn er war schwer von ihm beleidigt.|Poseidon, der Beherrscher des Meeres, zürnte dem Helden; denn er war schwer von ihm beleidigt.
odysseus_01_f000035|Daher peitschte er ihn von Süd nach Nord, von Ost nach West auf dem weiten Meere umher, er zertrümmerte seine Schiffe, tötete seine Gefährten und führte ihn durch Strudel und Klippen zu Völkern, deren Sitte und Sprache ihm fremd waren.|Daher peitschte er ihn von Süd nach Nord, von Ost nach West auf dem weiten Meere umher, er zertrümmerte seine Schiffe, tötete seine Gefährten und führte ihn durch Strudel und Klippen zu Völkern, deren Sitte und Sprache ihm fremd waren.
odysseus_01_f000036|Jetzt, während seine Habe von frechen Nachbarn verzehrt ward, saß Odysseus weit von der Heimat, gefangen auf einer einsamen Insel, wo eine Göttertochter, Kalypso, herrschte, die ihn nicht entlassen wollte, weil sie ihn zum Gemahl begehrte.|Jetzt, während seine Habe von frechen Nachbarn verzehrt ward, saß Odysseus weit von der Heimat, gefangen auf einer einsamen Insel, wo eine Göttertochter, Kalypso, herrschte, die ihn nicht entlassen wollte, weil sie ihn zum Gemahl begehrte.
odysseus_01_f000037|Er aber, immer eingedenk des teuren Vaterlandes, der Gattin und des Sohnes, ging täglich hinaus ans Gestade, setzte sich wehmütig nieder bei der Brandung, und wünschte nichts sehnlicher,|Er aber, immer eingedenk des teuren Vaterlandes, der Gattin und des Sohnes, ging täglich hinaus ans Gestade, setzte sich wehmütig nieder bei der Brandung, und wünschte nichts sehnlicher,
odysseus_01_f000038|als nur einmal noch den Rauch von seinem Hause aus der Ferne aufsteigen zu sehen, um dann beruhigt zu sterben.|als nur einmal noch den Rauch von seinem Hause aus der Ferne aufsteigen zu sehen, um dann beruhigt zu sterben.
odysseus_01_f000039|Das rührte die Götter im hohen Olymp und vor allen seine Schützerin, Athene.|Das rührte die Götter im hohen Olymp und vor allen seine Schützerin, Athene.
odysseus_01_f000040|Einst als sie alle im weiten Göttersaale versammelt saßen und der feindselig gesinnte Poseidon gerade abwesend war, um bei den fernwohnenden Äthiopen ein reiches Opfermahl einzunehmen,|Einst als sie alle im weiten Göttersaale versammelt saßen und der feindselig gesinnte Poseidon gerade abwesend war, um bei den fernwohnenden Äthiopen ein reiches Opfermahl einzunehmen,
odysseus_01_f000041|benutzte Athene die Gelegenheit dem Vater Zeus das traurige Schicksal des Odysseus und der Penelope recht beweglich vorzustellen.|benutzte Athene die Gelegenheit dem Vater Zeus das traurige Schicksal des Odysseus und der Penelope recht beweglich vorzustellen.
odysseus_01_f000042|Der König der Götter fühlte Mitleid und willigte gern in seiner Tochter Bitten.|Der König der Götter fühlte Mitleid und willigte gern in seiner Tochter Bitten.
odysseus_01_f000043|Sie selbst wollte verkleidet zum Telemachos gehen und ihm Mut in die Seele hauchen, und Hermes so wünschte sie sollte nach der Insel Ogygia eilen und der Kalypso den Befehl der Götter überbringen,|Sie selbst wollte verkleidet zum Telemachos gehen und ihm Mut in die Seele hauchen, und Hermes so wünschte sie sollte nach der Insel Ogygia eilen und der Kalypso den Befehl der Götter überbringen,
odysseus_01_f000044|daß sie den Gefangenen alsbald entlasse und ihrer Leidenschaft entsage.|daß sie den Gefangenen alsbald entlasse und ihrer Leidenschaft entsage.
odysseus_01_f000045|Froh der erhaltenen Erlaubnis, schickte sie sich sogleich zur Reise an.|Froh der erhaltenen Erlaubnis, schickte sie sich sogleich zur Reise an.
odysseus_01_f000046|Schöne goldene Sohlen band sie unter die Füße, nahm die mächtige Lanze in die Hand, schwang sich mit Windesschnelle zur Insel Ithaka hinab und stand plötzlich in der Gestalt des Taphier-Königs Mentes an dem hohen Palaste des Odysseus.|Schöne goldene Sohlen band sie unter die Füße, nahm die mächtige Lanze in die Hand, schwang sich mit Windesschnelle zur Insel Ithaka hinab und stand plötzlich in der Gestalt des Taphier-Königs Mentes an dem hohen Palaste des Odysseus.
odysseus_01_f000047|Hier sah sie mit Erstaunen das wilde Gewühl der Freier, wie sie zechten und schmausten, spielten und lärmten, und wie die Diener alle beschäftigt waren Fleisch zu zerlegen,|Hier sah sie mit Erstaunen das wilde Gewühl der Freier, wie sie zechten und schmausten, spielten und lärmten, und wie die Diener alle beschäftigt waren Fleisch zu zerlegen,
odysseus_01_f000048|die Tische abzuwaschen, Wein einzuschenken und nach alter Sitte in mächtigen Krügen mit Wasser zu mischen.|die Tische abzuwaschen, Wein einzuschenken und nach alter Sitte in mächtigen Krügen mit Wasser zu mischen.
odysseus_01_f000049|Unter ihnen saß der jetzt zwanzigjährige Telemachos bekümmerten Herzens, ohne teil an ihrem Jubel zu nehmen.|Unter ihnen saß der jetzt zwanzigjährige Telemachos bekümmerten Herzens, ohne teil an ihrem Jubel zu nehmen.
odysseus_01_f000050|Kaum sah er den fremden Mann an der Thür, so ging er ihm schnell entgegen, reichte ihm die Hand, nahm ihm die Lanze ab und begrüßte ihn freundlich.|Kaum sah er den fremden Mann an der Thür, so ging er ihm schnell entgegen, reichte ihm die Hand, nahm ihm die Lanze ab und begrüßte ihn freundlich.
odysseus_01_f000051|Hierauf führte er den unbekannten Gast in die Wohnung, doch nicht unter die Schmausenden, damit ihm das Mahl nicht verleidet würde durch das wüste, schwelgerische Getümmel.|Hierauf führte er den unbekannten Gast in die Wohnung, doch nicht unter die Schmausenden, damit ihm das Mahl nicht verleidet würde durch das wüste, schwelgerische Getümmel.
odysseus_01_f000052|Der Fremde mußte sich auf einen erhabenen Sessel setzen; ein Fußschemel unterstützte die Füße.|Der Fremde mußte sich auf einen erhabenen Sessel setzen; ein Fußschemel unterstützte die Füße.
odysseus_01_f000053|Telemachos nahm neben ihm Platz, und auf seinen Wink brachte sogleich eine Dienerin eine schöne goldene Kanne auf einem silbernen Waschbecken, besprengte beiden die Hände, daß sie sich wüschen, und stellte ein geglättetes Tischchen vor sie hin.|Telemachos nahm neben ihm Platz, und auf seinen Wink brachte sogleich eine Dienerin eine schöne goldene Kanne auf einem silbernen Waschbecken, besprengte beiden die Hände, daß sie sich wüschen, und stellte ein geglättetes Tischchen vor sie hin.
odysseus_01_f000054|Die Schaffnerin legte Brot darauf und Fleisch, während ein rascher Diener Wein einschenkte.|Die Schaffnerin legte Brot darauf und Fleisch, während ein rascher Diener Wein einschenkte.
odysseus_01_f000055|Aber erst, nachdem der Fremde mit Speise und Trank sich geletzt hatte, fragte ihn Telemachos nach seinem Namen und nach dem Zwecke seiner Reise.|Aber erst, nachdem der Fremde mit Speise und Trank sich geletzt hatte, fragte ihn Telemachos nach seinem Namen und nach dem Zwecke seiner Reise.
odysseus_01_f000056|Ich bin Mentes, sagte, die Göttin, des Anchialos Sohn, und beherrsche die Taphier.|Ich bin Mentes, sagte, die Göttin, des Anchialos Sohn, und beherrsche die Taphier.
odysseus_01_f000057|So eben bin ich mit einem Schiffe hierher gekommen, welches samt meinen Leuten draußen in einer Bucht vor Anker liegt.|So eben bin ich mit einem Schiffe hierher gekommen, welches samt meinen Leuten draußen in einer Bucht vor Anker liegt.
odysseus_01_f000058|Ich habe eine Reise nach Temesa vor, wo ich Kupfer gegen blinkendes Eisen eintauschen will.|Ich habe eine Reise nach Temesa vor, wo ich Kupfer gegen blinkendes Eisen eintauschen will.
odysseus_01_f000059|Odysseus und ich sind alte Freunde, darum habe ich bei dir einsprechen wollen, um zu sehen, wie es hier gehe.|Odysseus und ich sind alte Freunde, darum habe ich bei dir einsprechen wollen, um zu sehen, wie es hier gehe.
odysseus_01_f000060|Telemachos klagte darauf in einer langen Erzählung dem Gastfreunde sein Leid.|Telemachos klagte darauf in einer langen Erzählung dem Gastfreunde sein Leid.
odysseus_01_f000061|Die Göttin hörte aufmerksam alles an, als erfahre sie es eben jetzt erst, dann nahm sie kräftig das Wort und flößte dem armen Jünglinge Mut ins Herz.|Die Göttin hörte aufmerksam alles an, als erfahre sie es eben jetzt erst, dann nahm sie kräftig das Wort und flößte dem armen Jünglinge Mut ins Herz.
odysseus_01_f000062|Sie riet ihm einen männlichen Entschluß zu fassen, in öffentlicher Versammlung den trotzigen Freiern dreist das Haus zu verbieten, und vor allen Dingen sich aufzumachen nach Pylos und Sparta,|Sie riet ihm einen männlichen Entschluß zu fassen, in öffentlicher Versammlung den trotzigen Freiern dreist das Haus zu verbieten, und vor allen Dingen sich aufzumachen nach Pylos und Sparta,
odysseus_01_f000063|wo die wackern Helden Nestor und Menelaos wohnten, welche des Odysseus Gefährten auf dem Zuge gegen Troja gewesen waren.|wo die wackern Helden Nestor und Menelaos wohnten, welche des Odysseus Gefährten auf dem Zuge gegen Troja gewesen waren.
odysseus_01_f000064|Von ihnen solle er Nachricht einziehen, wo sie seinen Vater verlassen hätten, und fragen, wo er sich jetzt aufhalten möge.|Von ihnen solle er Nachricht einziehen, wo sie seinen Vater verlassen hätten, und fragen, wo er sich jetzt aufhalten möge.
odysseus_01_f000065|Denn tot ist er nicht, fügte Mentes hinzu, das sagt mir eine göttliche Ahnung.|Denn tot ist er nicht, fügte Mentes hinzu, das sagt mir eine göttliche Ahnung.
odysseus_01_f000066|Nur durch Stürme weit verschlagen und durch grausame Menschen aufgehalten, wartet er sehnend der Heimkehr, und gewiß wirst du ihn wiedersehen, wofern du meinem Rate folgst.|Nur durch Stürme weit verschlagen und durch grausame Menschen aufgehalten, wartet er sehnend der Heimkehr, und gewiß wirst du ihn wiedersehen, wofern du meinem Rate folgst.
odysseus_01_f000067|Der Jüngling fühlte sich von Hochachtung gegen den verständigen Mann erfüllt, und als einen alten Freund seines Vaters gewann er ihn schnell lieb.|Der Jüngling fühlte sich von Hochachtung gegen den verständigen Mann erfüllt, und als einen alten Freund seines Vaters gewann er ihn schnell lieb.
odysseus_01_f000068|Er wollte ihm nach gastfreundlicher Sitte ein Geschenk zum Abschiede reichen, aber Mentes schützte seine notgedrungene Eilfertigkeit vor.|Er wollte ihm nach gastfreundlicher Sitte ein Geschenk zum Abschiede reichen, aber Mentes schützte seine notgedrungene Eilfertigkeit vor.
odysseus_01_f000069|Ungebadet sogar müsse er weggehen, bei der Rückfahrt jedoch werde er sich wieder einstellen und dann das Gastgeschenk mitnehmen.|Ungebadet sogar müsse er weggehen, bei der Rückfahrt jedoch werde er sich wieder einstellen und dann das Gastgeschenk mitnehmen.
odysseus_01_f000070|Er verschwand darauf plötzlich, wie auf Flügeln eines Vogels, und jetzt erst ahnte Telemachos, daß er mit einem Gotte gesprochen habe.|Er verschwand darauf plötzlich, wie auf Flügeln eines Vogels, und jetzt erst ahnte Telemachos, daß er mit einem Gotte gesprochen habe.
odysseus_01_f000071|Alles, was der Fremde gesagt hatte, überdachte er noch einmal, und sein Entschluß stand fest die göttlichen Ratschläge genau zu befolgen.|Alles, was der Fremde gesagt hatte, überdachte er noch einmal, und sein Entschluß stand fest die göttlichen Ratschläge genau zu befolgen.
odysseus_01_f000072|Sofort nahm er gegen die Freier einen strengeren Ton an, und sie, die ihn noch nie hatten so männlich reden hören, verwunderten sich über seinen Mut und sahen ihn mit großen Augen an,|Sofort nahm er gegen die Freier einen strengeren Ton an, und sie, die ihn noch nie hatten so männlich reden hören, verwunderten sich über seinen Mut und sahen ihn mit großen Augen an,
odysseus_01_f000073|Antinoos aber und Eurymachos, die übermütigsten unter allen, spotteten seines Eifers und erregten bald ein allgemeines Gelächter gegen ihn.|Antinoos aber und Eurymachos, die übermütigsten unter allen, spotteten seines Eifers und erregten bald ein allgemeines Gelächter gegen ihn.
odysseus_01_f000074|Dann feierten sie den Abend mit Tanz und Gesang, und erst als die Nacht heran kam, zerstreuten sie sich wie gewöhnlich in ihre Wohnungen.|Dann feierten sie den Abend mit Tanz und Gesang, und erst als die Nacht heran kam, zerstreuten sie sich wie gewöhnlich in ihre Wohnungen.
odysseus_01_f000075|Auch Telemachos ging, während seine alte, treue Pflegerin Eurykleia ihm die Fackel vorantrug, in sein Schlafgemach, zog das weiche, wallende Gewand aus und warf es in die Hände der Alten,|Auch Telemachos ging, während seine alte, treue Pflegerin Eurykleia ihm die Fackel vorantrug, in sein Schlafgemach, zog das weiche, wallende Gewand aus und warf es in die Hände der Alten,
odysseus_01_f000076|die es säuberlich zusammenlegte und an dem hölzernen Pflocke zur Seite des Bettes aufhängte.|die es säuberlich zusammenlegte und an dem hölzernen Pflocke zur Seite des Bettes aufhängte.
odysseus_01_f000077|Darauf streckte er sich auf sein Lager und hüllte sich in eine weiche, wollene Decke.|Darauf streckte er sich auf sein Lager und hüllte sich in eine weiche, wollene Decke.
odysseus_01_f000078|Die treue Alte aber ging hinaus und verriegelte die Thür.|Die treue Alte aber ging hinaus und verriegelte die Thür.
odysseus_01_f000079|Sobald der Morgen dämmerte, sprang er sofort vom Lager auf, legte seine Kleider an, band die schönen Sohlen unter die Füße und hängte das Schwert um die Schulter.|Sobald der Morgen dämmerte, sprang er sofort vom Lager auf, legte seine Kleider an, band die schönen Sohlen unter die Füße und hängte das Schwert um die Schulter.
odysseus_01_f000080|So geschmückt trat er hervor aus seiner Schlafkammer und sandte Herolde aus, um schnell das Volk zur Versammlung zu berufen.|So geschmückt trat er hervor aus seiner Schlafkammer und sandte Herolde aus, um schnell das Volk zur Versammlung zu berufen.
odysseus_01_f000081|Als die Menge schon in dichten Reihen sich drängte, begab er sich unter sie, in der Hand die eherne Lanze, begleitet von zwei schnellfüßigen Hunden.|Als die Menge schon in dichten Reihen sich drängte, begab er sich unter sie, in der Hand die eherne Lanze, begleitet von zwei schnellfüßigen Hunden.
odysseus_01_f000082|Nachdem nun der greise Ägyptios, dessen Sohn an der Seite des edeln Odysseus mit gegen Troja gezogen war, die Versammlung eröffnet hatte, trat Telemachos in die Mitte des Volkes, ließ sich das Zepter von dem Herolde reichen und sprach:|Nachdem nun der greise Ägyptios, dessen Sohn an der Seite des edeln Odysseus mit gegen Troja gezogen war, die Versammlung eröffnet hatte, trat Telemachos in die Mitte des Volkes, ließ sich das Zepter von dem Herolde reichen und sprach:
odysseus_01_f000083|Ich habe euch berufen, ihr Ithaker, nicht, weil ich etwas zu eurem Besten vorzutragen hätte, auch nicht, um euch eine Botschaft zu melden, die das gemeinsame Wohl anginge.|Ich habe euch berufen, ihr Ithaker, nicht, weil ich etwas zu eurem Besten vorzutragen hätte, auch nicht, um euch eine Botschaft zu melden, die das gemeinsame Wohl anginge.
odysseus_01_f000084|Nein, mich treibt meines eigenen Hauses doppelte Not.|Nein, mich treibt meines eigenen Hauses doppelte Not.
odysseus_01_f000085|Mein Vater, wißt ihr, weilt ferne; vielleicht ist er auf ewig für mich verloren.|Mein Vater, wißt ihr, weilt ferne; vielleicht ist er auf ewig für mich verloren.
odysseus_01_f000086|Und ich, der Sohn, muß es nun leiden, daß sich täglich in meinem Hause ein Schwarm wilder Gäste einfindet, die da vorgeben um meine Mutter zu freien, während sie voll arger Tücke alle meine Habe verzehren und den Königssohn am Ende zum Bettler machen.|Und ich, der Sohn, muß es nun leiden, daß sich täglich in meinem Hause ein Schwarm wilder Gäste einfindet, die da vorgeben um meine Mutter zu freien, während sie voll arger Tücke alle meine Habe verzehren und den Königssohn am Ende zum Bettler machen.
odysseus_01_f000087|Ich Armer bin nicht stark genug, und mir fehlt ein Mann, wie Odysseus war, um diese Plage abzuwenden.|Ich Armer bin nicht stark genug, und mir fehlt ein Mann, wie Odysseus war, um diese Plage abzuwenden.
odysseus_01_f000088|Darum bitte ich euch, erkennet doch selber das Unrecht und nehmt es zu Herzen.|Darum bitte ich euch, erkennet doch selber das Unrecht und nehmt es zu Herzen.
odysseus_01_f000089|Schämet euch vor den Nachbarn und zittert vor der Rache der Götter.|Schämet euch vor den Nachbarn und zittert vor der Rache der Götter.
odysseus_01_f000090|Hat euch etwa mein edler Vater jemals vorsätzlich beleidigt?|Hat euch etwa mein edler Vater jemals vorsätzlich beleidigt?
odysseus_01_f000091|Und bin ich nicht schon unglücklich genug dadurch, daß ich ihn verloren habe?|Und bin ich nicht schon unglücklich genug dadurch, daß ich ihn verloren habe?
odysseus_01_f000092|O überlaßt mich meinem Kummer, und vermehrt ihn nicht durch euren Frevel!|O überlaßt mich meinem Kummer, und vermehrt ihn nicht durch euren Frevel!
odysseus_01_f000093|Thränen des Schmerzes und des Zornes überwältigten ihn bei diesen Worten, und er warf das Zepter zur Erde.|Thränen des Schmerzes und des Zornes überwältigten ihn bei diesen Worten, und er warf das Zepter zur Erde.
odysseus_01_f000094|Da ergriff Erbarmen und Mitleid die ganze Versammlung.|Da ergriff Erbarmen und Mitleid die ganze Versammlung.
odysseus_01_f000095|Alle waren verstummt; nur der trotzigste der Freier, Antinoos, nahm keck das Wort und erwiderte: Unverschämter Knabe, was sprichst du so lästernd?|Alle waren verstummt; nur der trotzigste der Freier, Antinoos, nahm keck das Wort und erwiderte: Unverschämter Knabe, was sprichst du so lästernd?
odysseus_01_f000096|Du möchtest uns wohl gern zum Abscheu vor den Leuten machen?|Du möchtest uns wohl gern zum Abscheu vor den Leuten machen?
odysseus_01_f000097|Aber wer ist denn schuld an dem Unfug, als einzig du selber?|Aber wer ist denn schuld an dem Unfug, als einzig du selber?
odysseus_01_f000098|Warum schickst du die Mutter nicht fort? Und sie was geht sie nicht freiwillig?|Warum schickst du die Mutter nicht fort? Und sie was geht sie nicht freiwillig?
odysseus_01_f000099|Hat sie uns nicht mit unerhörtem Trug geäfft und hingehalten mehr als drei Jahre?|Hat sie uns nicht mit unerhörtem Trug geäfft und hingehalten mehr als drei Jahre?
odysseus_01_f000100|Sprach sie nicht damals: Jünglinge, wartet mit der Hochzeit, bis ich das Leichengewand fertig gewebt habe für meinen alten Schwiegervater Laërtes, damit nicht die Frauen mich tadeln,|Sprach sie nicht damals: Jünglinge, wartet mit der Hochzeit, bis ich das Leichengewand fertig gewebt habe für meinen alten Schwiegervater Laertes, damit nicht die Frauen mich tadeln,
