ferien_vom_ich_001_f000001|Abschnitt 1.|Abschnitt eins.
ferien_vom_ich_001_f000027|Joachim aber war kaum mit seinen Studien fertig, als er seine Ehe schloß mit jenem unselig schönen Mädchen, dem die Schönheit zum Fluche gegeben war.|Joachim aber war kaum mit seinen Studien fertig, als er seine Ehe schloß mit jenem unselig schönen Mädchen, dem die Schönheit zum Fluche gegeben war.
ferien_vom_ich_001_f000028|Nach einem Jahre wurde das Kind geboren, und nach nur wieder einem halben Jahre war ich dabei, als die Frau vor Gericht die Aussage machte, sie habe sich selbst mit einem Revolver in die Brust geschossen, weil ihr Mann sie nach einem furchtbaren Streit verlassen habe.|Nach einem Jahre wurde das Kind geboren, und nach nur wieder einem halben Jahre war ich dabei, als die Frau vor Gericht die Aussage machte, sie habe sich selbst mit einem Revolver in die Brust geschossen, weil ihr Mann sie nach einem furchtbaren Streit verlassen habe.
ferien_vom_ich_001_f000029|Nur meine Mutter und ich wußten, daß sie log.|Nur meine Mutter und ich wußten, daß sie log.
ferien_vom_ich_001_f000030|Der Flüchtige aber kam nicht heim, auch dann nicht, als es uns endlich gelang, ihm mitzuteilen, daß er außer gerichtlicher Verfolgung sei.|Der Flüchtige aber kam nicht heim, auch dann nicht, als es uns endlich gelang, ihm mitzuteilen, daß er außer gerichtlicher Verfolgung sei.
ferien_vom_ich_001_f000031|Er floh nicht vor dem Gefängnis; er floh vor dem Grauen, das ihm sein junges Weib bereitet hatte und das auch die Rettung, die ihm ihre Aussage brachte, nicht tilgen konnte.|Er floh nicht vor dem Gefängnis; er floh vor dem Grauen, das ihm sein junges Weib bereitet hatte und das auch die Rettung, die ihm ihre Aussage brachte, nicht tilgen konnte.
ferien_vom_ich_001_f000032|Der Bruder verscholl in weiter Fremde, und die Mutter lehnte am Balkonfenster und hörte auf das Plätschern des Johannisbrunnens.|Der Bruder verscholl in weiter Fremde, und die Mutter lehnte am Balkonfenster und hörte auf das Plätschern des Johannisbrunnens.
ferien_vom_ich_001_f000033|Sie träumte von fernen Ufern, an denen ihr Herzenssohn weilen würde, von Gestaden, zu denen es keine andere Verbindung gab als die sehnsüchtig hin und her gehenden Gedanken.|Sie träumte von fernen Ufern, an denen ihr Herzenssohn weilen würde, von Gestaden, zu denen es keine andere Verbindung gab als die sehnsüchtig hin und her gehenden Gedanken.
ferien_vom_ich_001_f000034|Als nun auch ich mein medizinisches Staatsexamen beendet hatte, sagte ich zur Mutter, ich wolle bei ihr in der Heimat bleiben und ihr Trost sein.|Als nun auch ich mein medizinisches Staatsexamen beendet hatte, sagte ich zur Mutter, ich wolle bei ihr in der Heimat bleiben und ihr Trost sein.
ferien_vom_ich_001_f000035|Sie sah mich still an und schwieg, und es zuckte ein wenig um ihren Mund.|Sie sah mich still an und schwieg, und es zuckte ein wenig um ihren Mund.
ferien_vom_ich_001_f000036|Da bat ich sie, zu reden und mir ihren tiefsten Wunsch zu sagen, und sie sprach mit Worten, die sie sich aus dem Herzen riß: Geh fort ... in die Welt ... suche Joachim ... bringe ihn wieder!|Da bat ich sie, zu reden und mir ihren tiefsten Wunsch zu sagen, und sie sprach mit Worten, die sie sich aus dem Herzen riß: Geh fort ... in die Welt ... suche Joachim ... bringe ihn wieder!
ferien_vom_ich_001_f000037|So bin ich fortgezogen, um meinen Bruder zu suchen.|So bin ich fortgezogen, um meinen Bruder zu suchen.
ferien_vom_ich_001_f000038|Und weil ich nicht Geld genug hatte, jahrelang um die Erde zu reisen, wurde ich Schiffsarzt, jetzt bei dieser, dann bei jener Gesellschaft, und kam fast in alle großen Häfen der Welt.|Und weil ich nicht Geld genug hatte, jahrelang um die Erde zu reisen, wurde ich Schiffsarzt, jetzt bei dieser, dann bei jener Gesellschaft, und kam fast in alle großen Häfen der Welt.
ferien_vom_ich_001_f000039|Ich fand ihn erst im fünften Jahre meiner Wanderfahrt und wäre bei flüchtiger Begegnung wohl an dem veränderten harten Mann mit dem fremden Namen vorbeigegangen;|Ich fand ihn erst im fünften Jahre meiner Wanderfahrt und wäre bei flüchtiger Begegnung wohl an dem veränderten harten Mann mit dem fremden Namen vorbeigegangen;
ferien_vom_ich_001_f000040|aber ich traf ihn an Bord zwischen Rio und Montevideo, da das Schiff tagelang nicht anhält, und wurde meiner Sache gewiß, als der Fremdling sich plötzlich scheu verbarg und weder an Bord noch bei den Mahlzeiten mehr sichtbar wurde.|aber ich traf ihn an Bord zwischen Rio und Montevideo, da das Schiff tagelang nicht anhält, und wurde meiner Sache gewiß, als der Fremdling sich plötzlich scheu verbarg und weder an Bord noch bei den Mahlzeiten mehr sichtbar wurde.
ferien_vom_ich_001_f000041|Da suchte ich ihn in seiner Kajüte auf.|Da suchte ich ihn in seiner Kajüte auf.
ferien_vom_ich_001_f000042|Er öffnete auf mein Klopfen und bebte zusammen, als er mich sah.|Er öffnete auf mein Klopfen und bebte zusammen, als er mich sah.
ferien_vom_ich_001_f000043|Ich drängte ihn ohne weiteres in die Kajüte und schloß die Tür.|Ich drängte ihn ohne weiteres in die Kajüte und schloß die Tür.
ferien_vom_ich_001_f000044|Ich will nur ein wenig mit dir reden, Joachim, sagte ich und wunderte mich über meine ruhige Stimme; du wirst es mir nicht abschlagen können, da ich an die fünf Jahre hinter dir her bin.|Ich will nur ein wenig mit dir reden, Joachim, sagte ich und wunderte mich über meine ruhige Stimme; du wirst es mir nicht abschlagen können, da ich an die fünf Jahre hinter dir her bin.
ferien_vom_ich_001_f000045|Und daß ich auf dein Leben und deine Entschlüsse keinen Einfluß habe, weiß ich von vornherein.|Und daß ich auf dein Leben und deine Entschlüsse keinen Einfluß habe, weiß ich von vornherein.
ferien_vom_ich_001_f000046|Also versteck dich nicht!|Also versteck dich nicht!
ferien_vom_ich_001_f000047|Was willst du? fragte er mühsam heraus.|Was willst du? fragte er mühsam heraus.
ferien_vom_ich_001_f000048|Ich will nicht viel.|Ich will nicht viel.
ferien_vom_ich_001_f000049|Ich will dich nur bitten, du möchtest von Zeit zu Zeit, so alle Jahre einmal um Weihnachten, an die Mutter schreiben.|Ich will dich nur bitten, du möchtest von Zeit zu Zeit, so alle Jahre einmal um Weihnachten, an die Mutter schreiben.
ferien_vom_ich_001_f000050|Da fiel er auf sein Bett und weinte rasend.|Da fiel er auf sein Bett und weinte rasend.
ferien_vom_ich_001_f000051|Ich trat an das kleine runde Kajütenfenster, an das die Wellen klatschten, und schaute hinaus auf die rollende See.|Ich trat an das kleine runde Kajütenfenster, an das die Wellen klatschten, und schaute hinaus auf die rollende See.
ferien_vom_ich_001_f000052|Vorgestern bin ich nun heimgekommen nach Waltersburg zu meinem und seinem silbernen Mütterchen.|Vorgestern bin ich nun heimgekommen nach Waltersburg zu meinem und seinem silbernen Mütterchen.
ferien_vom_ich_001_f000053|Ich muß schon silbernes Mütterchen sagen; denn nicht nur die Haare sind silbern, auch das Gesichtchen, auch die schmalen Hände.|Ich muß schon silbernes Mütterchen sagen; denn nicht nur die Haare sind silbern, auch das Gesichtchen, auch die schmalen Hände.
ferien_vom_ich_001_f000054|Alles ist kostbar, edel und weiß an ihr.|Alles ist kostbar, edel und weiß an ihr.
ferien_vom_ich_001_f000055|Sie fragte mich nur das eine: Ist er gesund?|Sie fragte mich nur das eine: Ist er gesund?
ferien_vom_ich_001_f000056|Ich sagte ihr, was ich wußte, auch daß er ein braver Mensch geblieben sei, woran wir beide niemals gezweifelt hatten.|Ich sagte ihr, was ich wußte, auch daß er ein braver Mensch geblieben sei, woran wir beide niemals gezweifelt hatten.
ferien_vom_ich_001_f000057|Dann, daß er in einer geachteten Stellung und wohl ein reicher Mann sei oder es doch werde.|Dann, daß er in einer geachteten Stellung und wohl ein reicher Mann sei oder es doch werde.
ferien_vom_ich_001_f000058|Darauf hörte sie kaum, sondern schlug die Händchen zusammen und jammerte: Warum?|Darauf hörte sie kaum, sondern schlug die Händchen zusammen und jammerte: Warum?
ferien_vom_ich_001_f000059|Warum?|Warum?
ferien_vom_ich_001_f000060|Das war die schwere Frage, über deren richtige Beantwortung ich mir auf der Heimreise den Kopf zerbrochen hatte.|Das war die schwere Frage, über deren richtige Beantwortung ich mir auf der Heimreise den Kopf zerbrochen hatte.
ferien_vom_ich_001_f000061|Ganze Abhandlungen hatte ich in meinem Hirn ausgearbeitet, schlagende psychologische Begründungen für eine Mutter, die fragt: Warum gibt mein Sohn keine Nachricht?|Ganze Abhandlungen hatte ich in meinem Hirn ausgearbeitet, schlagende psychologische Begründungen für eine Mutter, die fragt: Warum gibt mein Sohn keine Nachricht?
ferien_vom_ich_001_f000062|Warum kommt er nicht zurück?|Warum kommt er nicht zurück?
ferien_vom_ich_001_f000063|Warum läßt er mich in dieser furchtbaren Einsamkeit und Qual?|Warum läßt er mich in dieser furchtbaren Einsamkeit und Qual?
ferien_vom_ich_001_f000064|Da sagte ich ihr nur die wichtigsten Sätze, die Joachim gesprochen: Ich hab wohl hundertmal geschrieben und tausendmal schreiben wollen.|Da sagte ich ihr nur die wichtigsten Sätze, die Joachim gesprochen: Ich hab wohl hundertmal geschrieben und tausendmal schreiben wollen.
ferien_vom_ich_001_f000065|Aber ich hab keinen Brief abgeschickt.|Aber ich hab keinen Brief abgeschickt.
ferien_vom_ich_001_f000066|Ich hatte eine schreckliche Angst, dann schreibt ihr wieder, und dann halte iches nicht aus in der Fremde, dann muß ich zurück in diese verfluchte Heimat.|Ich hatte eine schreckliche Angst, dann schreibt ihr wieder, und dann halte iches nicht aus in der Fremde, dann muß ich zurück in diese verfluchte Heimat.
ferien_vom_ich_001_f000067|Sie war ein wenig betäubt über diese Worte; aber dann glomm eine Hoffnung auf in ihren Augen, und sie sagte: Aber jetzt wird er schreiben?|Sie war ein wenig betäubt über diese Worte; aber dann glomm eine Hoffnung auf in ihren Augen, und sie sagte: Aber jetzt wird er schreiben?
ferien_vom_ich_001_f000068|Ja, jetzt wird er schreiben; das ist das einzige, was ich nach meinem langen Suchen erreicht habe.|Ja, jetzt wird er schreiben; das ist das einzige, was ich nach meinem langen Suchen erreicht habe.
ferien_vom_ich_001_f000069|Ich danke dir, lieber Fritz, sagte sie und drückte mir schüchtern die Hand.|Ich danke dir, lieber Fritz, sagte sie und drückte mir schüchtern die Hand.
ferien_vom_ich_001_f000070|Nun bin ich beinahe eine Woche zu Hause und fange an, mich glücklich zu fühlen und zu freuen.|Nun bin ich beinahe eine Woche zu Hause und fange an, mich glücklich zu fühlen und zu freuen.
ferien_vom_ich_001_f000071|Ich glaube, zu den Freuden, die schwer zu tragen sind, gehört die Heimkehr aus fremden Landen.|Ich glaube, zu den Freuden, die schwer zu tragen sind, gehört die Heimkehr aus fremden Landen.
ferien_vom_ich_001_f000072|Und nicht bloß mir in meinem besonderen Falle wird es so gehen, nein, allen, die lange draußen waren und wieder nach Hause kommen.|Und nicht bloß mir in meinem besonderen Falle wird es so gehen, nein, allen, die lange draußen waren und wieder nach Hause kommen.
ferien_vom_ich_001_f000073|Es ist viel Scheu, viel Bangigkeit in der Seele, die Quellen der Lust und des Schmerzes fließen zusammen wie in einen tiefen Bronnen, aus dem erst langsam, wenn sich der zitternde Spiegel beruhigt hat, das Himmelsgesicht des Glücks auftauchen kann.|Es ist viel Scheu, viel Bangigkeit in der Seele, die Quellen der Lust und des Schmerzes fließen zusammen wie in einen tiefen Bronnen, aus dem erst langsam, wenn sich der zitternde Spiegel beruhigt hat, das Himmelsgesicht des Glücks auftauchen kann.
ferien_vom_ich_001_f000074|Es gibt wohl keinen Heimkehrenden, der laut lachte, tanzte oder spränge.|Es gibt wohl keinen Heimkehrenden, der laut lachte, tanzte oder spränge.
ferien_vom_ich_001_f000075|Ich habe in fremden Ländern viele robuste Burschen gesehen, die in ihre Heimat zurückkamen, und es war ganz gleich, welcher Farbe oder Rasse sie waren – sie waren schüchtern und verlegen, gingen alle ein wenig mit zusammengezogenen Schultern,|Ich habe in fremden Ländern viele robuste Burschen gesehen, die in ihre Heimat zurückkamen, und es war ganz gleich, welcher Farbe oder Rasse sie waren - sie waren schüchtern und verlegen, gingen alle ein wenig mit zusammengezogenen Schultern,
ferien_vom_ich_001_f000076|sprachen seltsam leise und traten nicht fest auf, als ob sie der Heimaterde nicht weh tun wollten.|sprachen seltsam leise und traten nicht fest auf, als ob sie der Heimaterde nicht weh tun wollten.
ferien_vom_ich_001_f000077|Sie mußten sich alle in der Heimat erst wieder heimfinden.|Sie mußten sich alle in der Heimat erst wieder heimfinden.
ferien_vom_ich_001_f000078|Es ist auch ganz natürlich: der Star, der aus dem Süden an den heimischen Kasten kommt, pfeift auch nicht am ersten Tage.|Es ist auch ganz natürlich: der Star, der aus dem Süden an den heimischen Kasten kommt, pfeift auch nicht am ersten Tage.
ferien_vom_ich_001_f000079|Er schüttelt in der entwöhnten Luft erst sein Gefieder zurecht.|Er schüttelt in der entwöhnten Luft erst sein Gefieder zurecht.
ferien_vom_ich_001_f000080|Die Mutter steht immer am Fenster und schaut nach dem Briefträger aus.|Die Mutter steht immer am Fenster und schaut nach dem Briefträger aus.
ferien_vom_ich_001_f000081|Aber der Brief, auf den sie wartet, kommt nicht.|Aber der Brief, auf den sie wartet, kommt nicht.
ferien_vom_ich_001_f000082|Er könnte längst da sein.|Er könnte längst da sein.
ferien_vom_ich_001_f000083|Ich telegraphierte schon zweimal heimlich nach Rio.|Ich telegraphierte schon zweimal heimlich nach Rio.
ferien_vom_ich_001_f000084|Es kam aber keine Antwort.|Es kam aber keine Antwort.
ferien_vom_ich_001_f000085|Und die Mutter steht und wartet.|Und die Mutter steht und wartet.
ferien_vom_ich_001_f000086|Ich versuchte es mit der alten Ausrede, ein Brief könne verlorengehen, zumal auf so langem Wege.|Ich versuchte es mit der alten Ausrede, ein Brief könne verlorengehen, zumal auf so langem Wege.
ferien_vom_ich_001_f000087|Aber die Mutter schüttelte den Kopf und sagte: Einen solchen Brief würde Gott behüten.|Aber die Mutter schüttelte den Kopf und sagte: Einen solchen Brief würde Gott behüten.
ferien_vom_ich_001_f000088|DIE FEINDLICHEN STÄDTE.|DIE FEINDLICHEN STÄDTE.
ferien_vom_ich_001_f000089|Ich muß versuchen, wieder lustiger zu sein.|Ich muß versuchen, wieder lustiger zu sein.
ferien_vom_ich_001_f000090|Herrgott, ich bin doch ein junger Mensch, ich habe meine Aufgaben, und meine Kraft darf nicht in sehnsüchtigem Suchen, am Trotz des Bruders zerschellen.|Herrgott, ich bin doch ein junger Mensch, ich habe meine Aufgaben, und meine Kraft darf nicht in sehnsüchtigem Suchen, am Trotz des Bruders zerschellen.
ferien_vom_ich_001_f000091|Also will ich heute gar nichts von ihm aufschreiben, sondern einmal die närrische Geschichte von der Feindschaft der Waltersburger und der Neustädter zu erzählen beginnen.|Also will ich heute gar nichts von ihm aufschreiben, sondern einmal die närrische Geschichte von der Feindschaft der Waltersburger und der Neustädter zu erzählen beginnen.
ferien_vom_ich_001_f000092|Waltersburg ist eine in einem wunderschönen Talkessel gelegene Stadt von 2967 Einwohnern.|Waltersburg ist eine in einem wunderschönen Talkessel gelegene Stadt von zweitausendneunhundertsiebenundsechzig Einwohnern.
ferien_vom_ich_001_f000093|Solches besagte die letzte Zählung.|Solches besagte die letzte Zählung.
ferien_vom_ich_001_f000094|Der Personenstand wies im letzten Jahrhundert immer ziemlich dieselbe Höhe auf; auf runde 3000 kam er nie hinauf.|Der Personenstand wies im letzten Jahrhundert immer ziemlich dieselbe Höhe auf; auf runde dreitausend kam er nie hinauf.
ferien_vom_ich_001_f000095|Da machte unser Bürgermeister, Herr Wilhelm Bunkert, eine bedeutsame Stiftung: der dreitausendste Einwohner, der Waltersburg Anno 1904 geschenkt würde, solle eine goldene Uhr bekommen, Herrenuhr oder Damenuhr,|Da machte unser Bürgermeister, Herr Wilhelm Bunkert, eine bedeutsame Stiftung: der dreitausendste Einwohner, der Waltersburg Anno tausendneunhundertvier geschenkt würde, solle eine goldene Uhr bekommen, Herrenuhr oder Damenuhr,
ferien_vom_ich_001_f000096|je nachdem es ein männliches oder ein weibliches Wesen beträfe, und diese Ehrengabe wolle er, der Bürgermeister, aus eigenen Mitteln bestreiten.|je nachdem es ein männliches oder ein weibliches Wesen beträfe, und diese Ehrengabe wolle er, der Bürgermeister, aus eigenen Mitteln bestreiten.
ferien_vom_ich_001_f000097|Die Sache stand im Stadtblatt und wurde viel bewundert.|Die Sache stand im Stadtblatt und wurde viel bewundert.
ferien_vom_ich_001_f000098|Im nächsten Jahre kamen viele Kinder zur Welt; die Zählung wurde nicht bloß vom Magistrat, sondern auch von der Bürgerschaft sehr eifrig betrieben, und da die Einwohnerschaft auf 2998 stieg,|Im nächsten Jahre kamen viele Kinder zur Welt; die Zählung wurde nicht bloß vom Magistrat, sondern auch von der Bürgerschaft sehr eifrig betrieben, und da die Einwohnerschaft auf zweitausendneunhundertachtundneunzig stieg,
ferien_vom_ich_001_f000099|entstand in der zweiten Hälfte des Dezember zwischen der Frau Schneidermeister Lembke und der Frau Schuhmachermeister Abelt eine bittere Feindschaft, da beide hofften, noch vor Ablauf des Jahres eines Kindleins zu genesen.|entstand in der zweiten Hälfte des Dezember zwischen der Frau Schneidermeister Lembke und der Frau Schuhmachermeister Abelt eine bittere Feindschaft, da beide hofften, noch vor Ablauf des Jahres eines Kindleins zu genesen.
ferien_vom_ich_001_f000100|Am 30 Dezember gebar Frau Lembke eine Tochter.|Am dreißig Dezember gebar Frau Lembke eine Tochter.
ferien_vom_ich_001_f000101|Ihr Mann, anstatt sich des blühenden Töchterchens zu freuen, ging in die Schenke und betrank sich vor Ärger, wie er sein Lebtag sich nicht betrunken hatte.|Ihr Mann, anstatt sich des blühenden Töchterchens zu freuen, ging in die Schenke und betrank sich vor Ärger, wie er sein Lebtag sich nicht betrunken hatte.
ferien_vom_ich_001_f000102|Dem Ehepaar Abelt aber klopfte das Herz.|Dem Ehepaar Abelt aber klopfte das Herz.
ferien_vom_ich_001_f000103|Am Silvesternachmittag gebar die Frau einen Sohn, und der entzückte Vater stürzte nach dem Rathause und schrie: Der dreitausendste Einwohner!|Am Silvesternachmittag gebar die Frau einen Sohn, und der entzückte Vater stürzte nach dem Rathause und schrie: Der dreitausendste Einwohner!
ferien_vom_ich_001_f000104|Der dreitausendste Einwohner!|Der dreitausendste Einwohner!
ferien_vom_ich_001_f000105|Im Vorzimmer des Bürgermeisters aber begegnete dem Siegestrunkenen eine schwarze Gestalt.|Im Vorzimmer des Bürgermeisters aber begegnete dem Siegestrunkenen eine schwarze Gestalt.
ferien_vom_ich_001_f000106|Es war die Frau des Webers Michalke, die soeben den Tod ihres Mannes angemeldet hatte.|Es war die Frau des Webers Michalke, die soeben den Tod ihres Mannes angemeldet hatte.
ferien_vom_ich_001_f000107|Da waren es wieder nur 2999.|Da waren es wieder nur zweitausendneunhundertneunundneunzig.
ferien_vom_ich_001_f000108|Der arme Schuster torkelte gegen die Wand, und dumpf hallten die Silvesterglocken in die Nacht über diese so wenig vom Glück begünstigte Stadt.|Der arme Schuster torkelte gegen die Wand, und dumpf hallten die Silvesterglocken in die Nacht über diese so wenig vom Glück begünstigte Stadt.
ferien_vom_ich_001_f000109|Der Bürgermeister hielt sein Angebot auch für das kommende Jahr aufrecht, und einige werdende Mütter wiegten sich in goldenen Hoffnungen.|Der Bürgermeister hielt sein Angebot auch für das kommende Jahr aufrecht, und einige werdende Mütter wiegten sich in goldenen Hoffnungen.
ferien_vom_ich_001_f000110|Aber der Tod hielt reichere Ernte als sonst, auch zog der Barbier mit seiner siebenköpfigen Familie nach Neustadt, und nun hielt der geizige erste Ratsmann, Bäckermeister Schiebulke,|Aber der Tod hielt reichere Ernte als sonst, auch zog der Barbier mit seiner siebenköpfigen Familie nach Neustadt, und nun hielt der geizige erste Ratsmann, Bäckermeister Schiebulke,
ferien_vom_ich_001_f000111|es für den richtigen Zeitpunkt, sich als einen Gönner der Stadt zu bezeigen und auch seinerseits für den dreitausendsten Einwohner eine Prämie auszusetzen, und zwar ein neues Fahrrad, je nachdem ein Herren- oder Damenrad.|es für den richtigen Zeitpunkt, sich als einen Gönner der Stadt zu bezeigen und auch seinerseits für den dreitausendsten Einwohner eine Prämie auszusetzen, und zwar ein neues Fahrrad, je nachdem ein Herren- oder Damenrad.
ferien_vom_ich_001_f000112|Die Sache kam ins Stadtblatt, und die Bürger lachten.|Die Sache kam ins Stadtblatt, und die Bürger lachten.
ferien_vom_ich_001_f000113|Ob Schiebulke vielleicht meine, ein neugeborenes Kind könne radeln, wurde der Stifter befragt.|Ob Schiebulke vielleicht meine, ein neugeborenes Kind könne radeln, wurde der Stifter befragt.
ferien_vom_ich_001_f000114|Ob die andern vielleicht meinten, ein neugeborenes Kind könne von einer Uhr die Zeit ablesen, gab Schiebulke giftig zurück.|Ob die andern vielleicht meinten, ein neugeborenes Kind könne von einer Uhr die Zeit ablesen, gab Schiebulke giftig zurück.
ferien_vom_ich_001_f000115|Da setzte der Wirt vom Goldenen Löwen, der ein reicher Mann und ein wenig ruhmsüchtig ist, einen erschrecklich hohen Trumpf auf: Goldene Uhr und Fahrrad, sagte er, sind gute Dinge.|Da setzte der Wirt vom Goldenen Löwen, der ein reicher Mann und ein wenig ruhmsüchtig ist, einen erschrecklich hohen Trumpf auf: Goldene Uhr und Fahrrad, sagte er, sind gute Dinge.
ferien_vom_ich_001_f000116|Nur leider die Kinder wachsen langsam, und solche Dinge veralten schnell.|Nur leider die Kinder wachsen langsam, und solche Dinge veralten schnell.
ferien_vom_ich_001_f000117|Was allein nicht veraltet, ist das Geld.|Was allein nicht veraltet, ist das Geld.
