maerchen_001_f000001|Der glückliche Prinz.|Der glückliche Prinz.
maerchen_001_f000015|Sie hatte es zu Anfang des Frühlings getroffen, als sie hinter einer dicken, gelben Motte den Fluß hinabflog, und sie war so durch seinen schlanken Wuchs angezogen worden, daß sie halt gemacht hatte, um mit ihm zu reden.|Sie hatte es zu Anfang des Frühlings getroffen, als sie hinter einer dicken, gelben Motte den Fluß hinabflog, und sie war so durch seinen schlanken Wuchs angezogen worden, daß sie halt gemacht hatte, um mit ihm zu reden.
maerchen_001_f000016|Soll ich dich lieben? fragte die Schwalbe, die gern sofort zur Sache kam, und das Schilfrohr machte ihr eine tiefe Verneigung.|Soll ich dich lieben? fragte die Schwalbe, die gern sofort zur Sache kam, und das Schilfrohr machte ihr eine tiefe Verneigung.
maerchen_001_f000017|So flog sie immerfort um das Rohr herum, indem sie mit ihren Flügeln das Wasser berührte und kleine silberne Wellen machte.|So flog sie immerfort um das Rohr herum, indem sie mit ihren Flügeln das Wasser berührte und kleine silberne Wellen machte.
maerchen_001_f000018|Das war ihr Liebeswerben, und es dauerte den ganzen Sommer.|Das war ihr Liebeswerben, und es dauerte den ganzen Sommer.
maerchen_001_f000019|Es ist ein lächerliches Verhältnis, zwitscherten die andern Schwalben; das Rohr hat kein Geld und eine viel zu große Verwandtschaft, und wirklich war der Fluß ganz voll von Schilfrohr.|Es ist ein lächerliches Verhältnis, zwitscherten die andern Schwalben; das Rohr hat kein Geld und eine viel zu große Verwandtschaft, und wirklich war der Fluß ganz voll von Schilfrohr.
maerchen_001_f000020|Dann, als der Herbst kam, flogen sie alle davon.|Dann, als der Herbst kam, flogen sie alle davon.
maerchen_001_f000021|Als sie verschwunden waren, fühlte die Schwalbe sich einsam und begann, seiner Geliebten müde zu werden.|Als sie verschwunden waren, fühlte die Schwalbe sich einsam und begann, seiner Geliebten müde zu werden.
maerchen_001_f000022|Es weiß sich nicht zu unterhalten, sagte sie, und ich fürchte, es ist kokett, denn es liebäugelt immer nach dem Wind.|Es weiß sich nicht zu unterhalten, sagte sie, und ich fürchte, es ist kokett, denn es liebäugelt immer nach dem Wind.
maerchen_001_f000023|Und in der Tat, so oft der Wind wehte, machte das Schilfrohr die anmutigsten Verneigungen.|Und in der Tat, so oft der Wind wehte, machte das Schilfrohr die anmutigsten Verneigungen.
maerchen_001_f000024|Ich gebe zu, daß es häuslich ist, fuhr die Schwalbe fort, aber ich liebe das Reisen, und meine Frau sollte infolgedessen auch das Reisen lieben.|Ich gebe zu, daß es häuslich ist, fuhr die Schwalbe fort, aber ich liebe das Reisen, und meine Frau sollte infolgedessen auch das Reisen lieben.
maerchen_001_f000025|Willst du mit mir kommen?|Willst du mit mir kommen?
maerchen_001_f000026|fragte sie schließlich; aber das Schilfrohr schüttelte seinen Kopf, es hing zu sehr an seinem Heim.|fragte sie schließlich; aber das Schilfrohr schüttelte seinen Kopf, es hing zu sehr an seinem Heim.
maerchen_001_f000027|Du hast mit mir gescherzt, rief die Schwalbe.|Du hast mit mir gescherzt, rief die Schwalbe.
maerchen_001_f000028|Ich reise nach den Pyramiden.|Ich reise nach den Pyramiden.
maerchen_001_f000029|Lebe wohl! und sie flog davon.|Lebe wohl! und sie flog davon.
maerchen_001_f000030|Sie flog den ganzen Tag über, und gegen Abend langte sie in der Stadt an.|Sie flog den ganzen Tag über, und gegen Abend langte sie in der Stadt an.
maerchen_001_f000031|Wo soll ich einkehren?|Wo soll ich einkehren?
maerchen_001_f000032|fragte sie; hoffentlich hat die Stadt Vorkehrungen getroffen.|fragte sie; hoffentlich hat die Stadt Vorkehrungen getroffen.
maerchen_001_f000033|Dann sah sie die Statue auf der schlanken Säule.|Dann sah sie die Statue auf der schlanken Säule.
maerchen_001_f000034|Dort will ich einkehren, rief sie; es ist eine hübsche Lage mit recht viel frischer Luft.|Dort will ich einkehren, rief sie; es ist eine hübsche Lage mit recht viel frischer Luft.
maerchen_001_f000035|So ließ sie sich gerade zwischen den Füßen des glücklichen Prinzen nieder.|So ließ sie sich gerade zwischen den Füßen des glücklichen Prinzen nieder.
maerchen_001_f000036|Ich habe ein goldenes Schlafzimmer, sprach sie sanft zu sich selbst, als sie sich umsah, und sie schickte sich an, einzuschlafen; aber gerade, als sie ihren Kopf unter ihren Flügel steckte, fiel ein großer Tropfen Wasser auf sie herab.|Ich habe ein goldenes Schlafzimmer, sprach sie sanft zu sich selbst, als sie sich umsah, und sie schickte sich an, einzuschlafen; aber gerade, als sie ihren Kopf unter ihren Flügel steckte, fiel ein großer Tropfen Wasser auf sie herab.
maerchen_001_f000037|Wie seltsam! rief sie; nicht eine einzige Wolke ist am Himmel, die Sterne sind ganz hell und klar, und doch regnet es.|Wie seltsam! rief sie; nicht eine einzige Wolke ist am Himmel, die Sterne sind ganz hell und klar, und doch regnet es.
maerchen_001_f000038|Das Klima im nördlichen Europa ist wirklich schrecklich.|Das Klima im nördlichen Europa ist wirklich schrecklich.
maerchen_001_f000039|Das Schilfrohr pflegte zwar den Regen zu lieben, aber das war nur seine Selbstsucht.|Das Schilfrohr pflegte zwar den Regen zu lieben, aber das war nur seine Selbstsucht.
maerchen_001_f000040|Wieder fiel ein Tropfen.|Wieder fiel ein Tropfen.
maerchen_001_f000041|Was hat man von einer Statue, wenn sie nicht gegen den Regen schützt? meinte die Schwalbe; ich muß mir einen guten Kamin suchen, und sie beschloß, fortzufliegen.|Was hat man von einer Statue, wenn sie nicht gegen den Regen schützt? meinte die Schwalbe; ich muß mir einen guten Kamin suchen, und sie beschloß, fortzufliegen.
maerchen_001_f000042|Aber bevor sie ihre Flügel geöffnet hatte, fiel ein dritter Tropfen, sie blickte auf und sah – – ja, was sah sie wohl?|Aber bevor sie ihre Flügel geöffnet hatte, fiel ein dritter Tropfen, sie blickte auf und sah - - ja, was sah sie wohl?
maerchen_001_f000043|Die Augen des glücklichen Prinzen waren mit Tränen gefüllt, und Tränen rannen über seine goldenen Wangen hinab.|Die Augen des glücklichen Prinzen waren mit Tränen gefüllt, und Tränen rannen über seine goldenen Wangen hinab.
maerchen_001_f000044|Sein Gesicht war so schön im Mondlicht, daß die kleine Schwalbe von Mitleid ergriffen wurde.|Sein Gesicht war so schön im Mondlicht, daß die kleine Schwalbe von Mitleid ergriffen wurde.
maerchen_001_f000045|Wer bist du? fragte sie.|Wer bist du? fragte sie.
maerchen_001_f000046|Ich bin der glückliche Prinz.|Ich bin der glückliche Prinz.
maerchen_001_f000047|Warum weinst du dann? fragte die Schwalbe; du hast mich ganz naß gemacht.|Warum weinst du dann? fragte die Schwalbe; du hast mich ganz naß gemacht.
maerchen_001_f000048|Als ich noch lebte und ein menschliches Herz hatte, antwortete die Statue, da wußte ich nicht, was Tränen waren, denn ich lebte im Palast Sorgenfrei, wo dem Leid der Eintritt verboten ist.|Als ich noch lebte und ein menschliches Herz hatte, antwortete die Statue, da wußte ich nicht, was Tränen waren, denn ich lebte im Palast Sorgenfrei, wo dem Leid der Eintritt verboten ist.
maerchen_001_f000049|Den Tag über spielte ich mit meinen Gefährten im Garten, und des Abends führte ich den Tanz an im Großen Saal.|Den Tag über spielte ich mit meinen Gefährten im Garten, und des Abends führte ich den Tanz an im Großen Saal.
maerchen_001_f000050|Rund um den Garten zog sich eine ganz hohe Mauer, aber ich hielt es nie für der Mühe wert, danach zu fragen, was wohl dahinter lag, denn um mich herum war alles so schön.|Rund um den Garten zog sich eine ganz hohe Mauer, aber ich hielt es nie für der Mühe wert, danach zu fragen, was wohl dahinter lag, denn um mich herum war alles so schön.
maerchen_001_f000051|Meine Höflinge nannten mich den glücklichen Prinzen, und glücklich war ich auch wirklich, wenn Vergnügen ein Glück ist.|Meine Höflinge nannten mich den glücklichen Prinzen, und glücklich war ich auch wirklich, wenn Vergnügen ein Glück ist.
maerchen_001_f000052|So lebte ich, und so starb ich.|So lebte ich, und so starb ich.
maerchen_001_f000053|Und jetzt, da ich tot bin, haben sie mich hier so hoch aufgestellt, daß ich alle Häßlichkeit und alles Elend meiner Stadt sehen kann, und wenn auch mein Herz aus Blei gemacht ist, so muß ich doch immerzu weinen.|Und jetzt, da ich tot bin, haben sie mich hier so hoch aufgestellt, daß ich alle Häßlichkeit und alles Elend meiner Stadt sehen kann, und wenn auch mein Herz aus Blei gemacht ist, so muß ich doch immerzu weinen.
maerchen_001_f000054|Wie!|Wie!
maerchen_001_f000055|Er ist nicht aus gediegenem Gold? sagte die Schwalbe zu sich selbst.|Er ist nicht aus gediegenem Gold? sagte die Schwalbe zu sich selbst.
maerchen_001_f000056|Sie war zu höflich, laut irgendeine Anspielung zu machen.|Sie war zu höflich, laut irgendeine Anspielung zu machen.
maerchen_001_f000057|Weit von hier, fuhr die Statue mit leiser, wohlklingender Stimme fort, weit von hier in einer kleinen Straße steht ein ärmliches Haus.|Weit von hier, fuhr die Statue mit leiser, wohlklingender Stimme fort, weit von hier in einer kleinen Straße steht ein ärmliches Haus.
maerchen_001_f000058|Eins von den Fenstern ist offen, und ich kann eine Frau sehen, die an einem Tisch sitzt.|Eins von den Fenstern ist offen, und ich kann eine Frau sehen, die an einem Tisch sitzt.
maerchen_001_f000059|Ihr Gesicht ist mager und müde, und sie hat grobe, rote Hände, die ganz von Nadeln zerstochen sind, denn sie ist eine Näherin.|Ihr Gesicht ist mager und müde, und sie hat grobe, rote Hände, die ganz von Nadeln zerstochen sind, denn sie ist eine Näherin.
maerchen_001_f000060|Sie stickt Passionsblumen auf ein seidenes Kleid, das die lieblichste der Ehrendamen der Königin auf dem nächsten Hofball tragen soll.|Sie stickt Passionsblumen auf ein seidenes Kleid, das die lieblichste der Ehrendamen der Königin auf dem nächsten Hofball tragen soll.
maerchen_001_f000061|In der Ecke des Zimmers liegt ihr kleiner Junge krank in einem Bett.|In der Ecke des Zimmers liegt ihr kleiner Junge krank in einem Bett.
maerchen_001_f000062|Er hat Fieber und verlangt nach Apfelsinen.|Er hat Fieber und verlangt nach Apfelsinen.
maerchen_001_f000063|Seine Mutter kann ihm nur Flußwasser geben, deshalb weint er.|Seine Mutter kann ihm nur Flußwasser geben, deshalb weint er.
maerchen_001_f000064|Schwalbe, Schwalbe, kleine Schwalbe, willst du ihr nicht den Rubin aus meinem Schwertgriff bringen?|Schwalbe, Schwalbe, kleine Schwalbe, willst du ihr nicht den Rubin aus meinem Schwertgriff bringen?
maerchen_001_f000065|Meine Füße sind auf diesem Postament befestigt, und ich kann mich nicht bewegen.|Meine Füße sind auf diesem Postament befestigt, und ich kann mich nicht bewegen.
maerchen_001_f000066|Ich werde in Ägypten erwartet, sagte die Schwalbe.|Ich werde in Ägypten erwartet, sagte die Schwalbe.
maerchen_001_f000067|Meine Freunde fliegen den Nil hinauf und hinab und sprechen mit den großen Lotosblumen.|Meine Freunde fliegen den Nil hinauf und hinab und sprechen mit den großen Lotosblumen.
maerchen_001_f000068|Bald werden sie in dem Grab des großen Königs schlafen gehen.|Bald werden sie in dem Grab des großen Königs schlafen gehen.
maerchen_001_f000069|Der König liegt dort in seinem bemalten Sarg.|Der König liegt dort in seinem bemalten Sarg.
maerchen_001_f000070|Er ist in gelbe Leinwand gehüllt und mit Spezereien einbalsamiert.|Er ist in gelbe Leinwand gehüllt und mit Spezereien einbalsamiert.
maerchen_001_f000071|Um seinen Hals hängt eine Kette von bleichen, grünen Jadesteinen, und seine Hände sind wie verwelkte Blätter.|Um seinen Hals hängt eine Kette von bleichen, grünen Jadesteinen, und seine Hände sind wie verwelkte Blätter.
maerchen_001_f000072|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz, willst du nicht eine Nacht bei mir bleiben und mein Bote sein?|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz, willst du nicht eine Nacht bei mir bleiben und mein Bote sein?
maerchen_001_f000073|Der Knabe ist so durstig und seine Mutter so traurig.|Der Knabe ist so durstig und seine Mutter so traurig.
maerchen_001_f000074|Ich liebe eigentlich Knaben nicht, antwortete die Schwalbe.|Ich liebe eigentlich Knaben nicht, antwortete die Schwalbe.
maerchen_001_f000075|Letzten Sommer, als ich mich an dem Flusse aufhielt, da waren dort zwei rohe Knaben, die Söhne des Müllers, die immerfort Steine nach mir warfen.|Letzten Sommer, als ich mich an dem Flusse aufhielt, da waren dort zwei rohe Knaben, die Söhne des Müllers, die immerfort Steine nach mir warfen.
maerchen_001_f000076|Sie trafen mich natürlich nie, dafür fliegen wir Schwalben viel zu gut, und ich stamme auch außerdem aus einer Familie, die berühmt ist wegen ihrer Gewandtheit; aber immerhin war es ein Zeichen von Respektlosigkeit.|Sie trafen mich natürlich nie, dafür fliegen wir Schwalben viel zu gut, und ich stamme auch außerdem aus einer Familie, die berühmt ist wegen ihrer Gewandtheit; aber immerhin war es ein Zeichen von Respektlosigkeit.
maerchen_001_f000077|Aber der glückliche Prinz machte ein so trauriges Gesicht, daß er der kleinen Schwalbe leid tat.|Aber der glückliche Prinz machte ein so trauriges Gesicht, daß er der kleinen Schwalbe leid tat.
maerchen_001_f000078|Es ist hier sehr kalt, sagte sie; aber eine Nacht will ich bei dir bleiben und dein Bote sein.|Es ist hier sehr kalt, sagte sie; aber eine Nacht will ich bei dir bleiben und dein Bote sein.
maerchen_001_f000079|Ich danke dir, kleine Schwalbe, sagte der Prinz.|Ich danke dir, kleine Schwalbe, sagte der Prinz.
maerchen_001_f000080|So pickte denn die Schwalbe den großen Rubin von des Prinzen Schwert herab und trug ihn im Schnabel über die Dächer der Stadt.|So pickte denn die Schwalbe den großen Rubin von des Prinzen Schwert herab und trug ihn im Schnabel über die Dächer der Stadt.
maerchen_001_f000081|Sie kam an den Domtürmen vorbei, wo die weißen Marmorengel ausgemeißelt waren.|Sie kam an den Domtürmen vorbei, wo die weißen Marmorengel ausgemeißelt waren.
maerchen_001_f000082|Sie kam am Palast vorüber und hörte, wie man drinnen tanzte.|Sie kam am Palast vorüber und hörte, wie man drinnen tanzte.
maerchen_001_f000083|Ein schönes Mädchen trat mit ihrem Geliebten auf den Balkon heraus.|Ein schönes Mädchen trat mit ihrem Geliebten auf den Balkon heraus.
maerchen_001_f000084|Wie wundervoll sind die Sterne, sagte er zu ihr, und wie wundervoll ist die Macht der Liebe!|Wie wundervoll sind die Sterne, sagte er zu ihr, und wie wundervoll ist die Macht der Liebe!
maerchen_001_f000085|Hoffentlich wird mein Kleid rechtzeitig zum Hofball fertig, antwortete sie; ich habe bestellt, daß es mit Passionsblumen bestickt wird; aber die Näherinnen sind so faul.|Hoffentlich wird mein Kleid rechtzeitig zum Hofball fertig, antwortete sie; ich habe bestellt, daß es mit Passionsblumen bestickt wird; aber die Näherinnen sind so faul.
maerchen_001_f000086|Die Schwalbe flog über den Fluß und sah die Laternen an den Schiffsmasten hängen.|Die Schwalbe flog über den Fluß und sah die Laternen an den Schiffsmasten hängen.
maerchen_001_f000087|Sie flog über das Ghetto und sah, wie die alten Juden miteinander handelten und in kupfernen Wagschalen Geld abwogen.|Sie flog über das Ghetto und sah, wie die alten Juden miteinander handelten und in kupfernen Wagschalen Geld abwogen.
maerchen_001_f000088|Schließlich kam sie zu dem ärmlichen Hause und blickte hinein.|Schließlich kam sie zu dem ärmlichen Hause und blickte hinein.
maerchen_001_f000089|Der Knabe hustete fiebrig in seinem Bett, und die Mutter war vor Müdigkeit eingeschlafen.|Der Knabe hustete fiebrig in seinem Bett, und die Mutter war vor Müdigkeit eingeschlafen.
maerchen_001_f000090|Die Schwalbe hüpfte hinein und legte den großen Rubin neben den Fingerhut der Frau.|Die Schwalbe hüpfte hinein und legte den großen Rubin neben den Fingerhut der Frau.
maerchen_001_f000091|Dann flog sie leise um das Bett, indem sie die Stirne des Knaben mit ihren Flügeln fächelte.|Dann flog sie leise um das Bett, indem sie die Stirne des Knaben mit ihren Flügeln fächelte.
maerchen_001_f000092|Wie kühl ist es mir, sagte der Knabe, ich glaube, es geht mir besser, und er sank in einen erquickenden Schlummer.|Wie kühl ist es mir, sagte der Knabe, ich glaube, es geht mir besser, und er sank in einen erquickenden Schlummer.
maerchen_001_f000093|Dann flog die Schwalbe zurück zum glücklichen Prinzen und erzählte ihm, was sie getan hatte.|Dann flog die Schwalbe zurück zum glücklichen Prinzen und erzählte ihm, was sie getan hatte.
maerchen_001_f000094|Es ist seltsam, meinte sie, aber ich fühle mich jetzt ganz warm, obgleich es so kalt ist.|Es ist seltsam, meinte sie, aber ich fühle mich jetzt ganz warm, obgleich es so kalt ist.
maerchen_001_f000095|Das kommt, weil du eine gute Tat getan hast, sagte der Prinz.|Das kommt, weil du eine gute Tat getan hast, sagte der Prinz.
maerchen_001_f000096|Und die kleine Schwalbe begann zu denken und fiel dann in Schlaf.|Und die kleine Schwalbe begann zu denken und fiel dann in Schlaf.
maerchen_001_f000097|Denken machte sie immer schläfrig.|Denken machte sie immer schläfrig.
maerchen_001_f000098|Als der Tag anbrach, flog sie zum Fluß hinab und nahm ein Bad.|Als der Tag anbrach, flog sie zum Fluß hinab und nahm ein Bad.
maerchen_001_f000099|Welch ein bemerkenswertes Phänomen, sagte der Professor der Ornithologie, als er über die Brücke ging.|Welch ein bemerkenswertes Phänomen, sagte der Professor der Ornithologie, als er über die Brücke ging.
maerchen_001_f000100|Eine Schwalbe im Winter!|Eine Schwalbe im Winter!
maerchen_001_f000101|Und er schrieb einen langen Bericht darüber an die Zeitung der Stadt.|Und er schrieb einen langen Bericht darüber an die Zeitung der Stadt.
maerchen_001_f000102|Alles sprach über diesen Bericht, denn er war voll von Ausdrücken, die niemand verstand.|Alles sprach über diesen Bericht, denn er war voll von Ausdrücken, die niemand verstand.
maerchen_001_f000103|Heute abend fliege ich nach Ägypten, sagte die Schwalbe und wurde bei der Aussicht sehr fröhlich.|Heute abend fliege ich nach Ägypten, sagte die Schwalbe und wurde bei der Aussicht sehr fröhlich.
maerchen_001_f000104|Sie besuchte alle öffentlichen Denkmäler und saß lange Zeit oben auf dem Kirchturm.|Sie besuchte alle öffentlichen Denkmäler und saß lange Zeit oben auf dem Kirchturm.
maerchen_001_f000105|Überall, wohin sie kam, zirpten die Spatzen und sagten zueinander: Was für ein vornehmer Fremder! so daß sie sich sehr gut unterhielt.|Überall, wohin sie kam, zirpten die Spatzen und sagten zueinander: Was für ein vornehmer Fremder! so daß sie sich sehr gut unterhielt.
maerchen_001_f000106|Als der Mond aufging, flog sie zum glücklichen Prinzen zurück.|Als der Mond aufging, flog sie zum glücklichen Prinzen zurück.
maerchen_001_f000107|Hast du einen Auftrag nach Ägypten? rief sie; ich reise gerade ab.|Hast du einen Auftrag nach Ägypten? rief sie; ich reise gerade ab.
maerchen_001_f000108|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz; willst du nicht noch eine Nacht bei mir bleiben?|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz; willst du nicht noch eine Nacht bei mir bleiben?
maerchen_001_f000109|Ich werde in Ägypten erwartet, antwortete die Schwalbe.|Ich werde in Ägypten erwartet, antwortete die Schwalbe.
maerchen_001_f000110|Morgen wollen meine Freunde zum Zweiten Wasserfall hinauffliegen.|Morgen wollen meine Freunde zum Zweiten Wasserfall hinauffliegen.
maerchen_001_f000111|Das Flußpferd kauert dort zwischen den Binsen, und auf einem großen Granitthron sitzt der Gott Memnon.|Das Flußpferd kauert dort zwischen den Binsen, und auf einem großen Granitthron sitzt der Gott Memnon.
maerchen_001_f000112|Die ganze Nacht durch beobachtet er die Sterne, und wenn der Morgenstern scheint, stößt er einen Freudenruf aus, und dann ist er still.|Die ganze Nacht durch beobachtet er die Sterne, und wenn der Morgenstern scheint, stößt er einen Freudenruf aus, und dann ist er still.
maerchen_001_f000113|Um Mitternacht kommen die gelben Löwen an den Rand des Wassers, um zu trinken.|Um Mitternacht kommen die gelben Löwen an den Rand des Wassers, um zu trinken.
maerchen_001_f000114|Sie haben Augen wie grüne Berylle, und ihr Brüllen ist lauter als das Brüllen des Wasserfalles.|Sie haben Augen wie grüne Berylle, und ihr Brüllen ist lauter als das Brüllen des Wasserfalles.
maerchen_001_f000115|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz, weit von hier, am Rande der Stadt, sehe ich einen jungen Mann in einer Dachkammer.|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz, weit von hier, am Rande der Stadt, sehe ich einen jungen Mann in einer Dachkammer.
maerchen_001_f000116|Er lehnt sich über ein Pult, das mit Papieren bedeckt ist, und neben ihm in einem Glase steht ein Bund verwelkter Veilchen.|Er lehnt sich über ein Pult, das mit Papieren bedeckt ist, und neben ihm in einem Glase steht ein Bund verwelkter Veilchen.
maerchen_001_f000117|Sein Haar ist braun und kraus, seine Lippen sind rot wie Granatäpfel, und er hat große und verträumte Augen.|Sein Haar ist braun und kraus, seine Lippen sind rot wie Granatäpfel, und er hat große und verträumte Augen.
maerchen_001_f000118|Er versucht, ein Stück für den Direktor des Theaters fertigzustellen, aber ihm ist zu kalt, um noch etwas zu schreiben.|Er versucht, ein Stück für den Direktor des Theaters fertigzustellen, aber ihm ist zu kalt, um noch etwas zu schreiben.
maerchen_001_f000119|Im Kamin brennt kein Feuer, und der Hunger hat ihn ganz matt gemacht.|Im Kamin brennt kein Feuer, und der Hunger hat ihn ganz matt gemacht.
maerchen_001_f000120|Ich will noch eine Nacht bei dir verweilen, sagte die Schwalbe, die wirklich ein gutes Herz hatte.|Ich will noch eine Nacht bei dir verweilen, sagte die Schwalbe, die wirklich ein gutes Herz hatte.
maerchen_001_f000121|Soll ich ihm auch einen Rubin bringen?|Soll ich ihm auch einen Rubin bringen?
maerchen_001_f000122|Ach, ich habe jetzt keinen Rubin mehr, sagte der Prinz, meine Augen sind alles, was mir geblieben ist.|Ach, ich habe jetzt keinen Rubin mehr, sagte der Prinz, meine Augen sind alles, was mir geblieben ist.
maerchen_001_f000123|Sie sind aus seltenen Saphiren gemacht, die man vor tausend Jahren aus Indien gebracht hat.|Sie sind aus seltenen Saphiren gemacht, die man vor tausend Jahren aus Indien gebracht hat.
maerchen_001_f000124|Picke einen aus und bringe ihn ihm.|Picke einen aus und bringe ihn ihm.
maerchen_001_f000125|Er wird ihn an einen Juwelier verkaufen, sich Nahrung und Brennholz verschaffen und sein Stück beenden.|Er wird ihn an einen Juwelier verkaufen, sich Nahrung und Brennholz verschaffen und sein Stück beenden.
maerchen_001_f000126|Lieber Prinz, sagte die Schwalbe, das kann ich nicht tun, und sie begann zu weinen.|Lieber Prinz, sagte die Schwalbe, das kann ich nicht tun, und sie begann zu weinen.
maerchen_001_f000127|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz, tu nur, wie ich dir gesagt habe.|Schwalbe, Schwalbe, kleine Schwalbe, sagte der Prinz, tu nur, wie ich dir gesagt habe.
maerchen_001_f000128|Da pickte die Schwalbe des Prinzen Auge aus und flog damit zu des Studenten Dachkammer.|Da pickte die Schwalbe des Prinzen Auge aus und flog damit zu des Studenten Dachkammer.
maerchen_001_f000129|Es war ganz leicht hineinzukommen, denn im Dach befand sich ein Loch.|Es war ganz leicht hineinzukommen, denn im Dach befand sich ein Loch.
maerchen_001_f000130|Sie schoß hindurch und gelangte ins Zimmer.|Sie schoß hindurch und gelangte ins Zimmer.
maerchen_001_f000131|Der junge Mann hatte seinen Kopf in seinen Händen vergraben, so daß er das Flattern der Schwalbenflügel nicht hörte, und als er aufblickte, fand er den schönen Saphir auf den verwelkten Veilchen liegen.|Der junge Mann hatte seinen Kopf in seinen Händen vergraben, so daß er das Flattern der Schwalbenflügel nicht hörte, und als er aufblickte, fand er den schönen Saphir auf den verwelkten Veilchen liegen.
maerchen_001_f000132|Man beginnt mich zu schätzen, sagte er; dies ist von einem großen Verehrer.|Man beginnt mich zu schätzen, sagte er; dies ist von einem großen Verehrer.
maerchen_001_f000133|Jetzt kann ich mein Stück beenden, und er sah sehr glücklich aus.|Jetzt kann ich mein Stück beenden, und er sah sehr glücklich aus.
maerchen_001_f000134|Am nächsten Tag flog die Schwalbe zum Hafen hinunter.|Am nächsten Tag flog die Schwalbe zum Hafen hinunter.
maerchen_001_f000135|Sie saß auf dem Mast eines großen Schiffes und beobachtete die Matrosen, wie sie schwere Kisten an Stricken aus dem Schiffsbauch heraufzogen.|Sie saß auf dem Mast eines großen Schiffes und beobachtete die Matrosen, wie sie schwere Kisten an Stricken aus dem Schiffsbauch heraufzogen.
maerchen_001_f000136|Hebt – an! schrien sie jedesmal, wenn eine Kiste heraufkam.|Hebt - an! schrien sie jedesmal, wenn eine Kiste heraufkam.
