novelle04_01_pirandello_f000001|Novelle per un anno di luigi pirandello|Novelle per un anno di luigi pirandello
novelle04_01_pirandello_f000056|Ma la gioventú, caro, è assai più breve della vecchiaja. Lo scapolo gode in gioventú; ma poi soffre in vecchiaja. L’ammogliato, al contrario.|Ma la gioventú, caro, è assai più breve della vecchiaja. Lo scapolo gode in gioventú; ma poi soffre in vecchiaja. Lammogliato, al contrario.
novelle04_01_pirandello_f000057|Ha più tempo di goder l’ammogliato dunque, come vedi! Sissignori.|Ha più tempo di goder lammogliato dunque, come vedi! Sissignori.
novelle04_01_pirandello_f000058|Bella risposta gli aveva dato la sorte! Lo Spina, ora, vecchio scapolo|Bella risposta gli aveva dato la sorte! Lo Spina, ora, vecchio scapolo
novelle04_01_pirandello_f000059|cominciava a soffrire del vuoto della sua vita, in una camera d’affitto, tra mobili volgari, neppur suoi;|cominciava a soffrire del vuoto della sua vita, in una camera daffitto, tra mobili volgari, neppur suoi;
novelle04_01_pirandello_f000060|ma almeno poteva dire d’aver goduto a suo modo in gioventú|ma almeno poteva dire daver goduto a suo modo in gioventú
novelle04_01_pirandello_f000061|e d’aver voluto lui che fosse cosí sola e senza conforto di cure amiche e senz’abitudine d’affetti la sua vecchiaja.|e daver voluto lui che fosse cosí sola e senza conforto di cure amiche e senzabitudine daffetti la sua vecchiaja.
novelle04_01_pirandello_f000062|Ma lui! Eppure, forse più crudele della sua era la sorte di Mariano Groa.|Ma lui! Eppure, forse più crudele della sua era la sorte di Mariano Groa.
novelle04_01_pirandello_f000063|Bastava guardarlo, poveretto, per comprenderlo.|Bastava guardarlo, poveretto, per comprenderlo.
novelle04_01_pirandello_f000064|Lui, Romelli, pur cosí sconsolato com’era, trovava tuttavia in sé la forza di pulirsi|Lui, Romelli, pur cosí sconsolato comera, trovava tuttavia in sé la forza di pulirsi
novelle04_01_pirandello_f000065|d’aggiustarsi, perfino d’insegarsi ancora i baffettini grigi;|daggiustarsi, perfino dinsegarsi ancora i baffettini grigi;
novelle04_01_pirandello_f000066|mentre quel povero Groa… Eccolo là: panciuto, sciamannato|mentre quel povero Groa Eccolo là: panciuto, sciamannato
novelle04_01_pirandello_f000067|con una grinta da can mastino con gli occhiali, ispido di una barba non rifatta chi sa da quanti giorni|con una grinta da can mastino con gli occhiali, ispido di una barba non rifatta chi sa da quanti giorni
novelle04_01_pirandello_f000068|e con la giacca senza bottoni, il colletto spiegazzato, giallo di sudore, la cravatta sudicia, annodata di traverso.|e con la giacca senza bottoni, il colletto spiegazzato, giallo di sudore, la cravatta sudicia, annodata di traverso.
novelle04_01_pirandello_f000069|Guardava le donne con occhiacci feroci, quasi se le volesse mangiare.|Guardava le donne con occhiacci feroci, quasi se le volesse mangiare.
novelle04_01_pirandello_f000070|E ogni tanto, fissandone qualcuna, ansimava, come se gli si stringesse il naso;|E ogni tanto, fissandone qualcuna, ansimava, come se gli si stringesse il naso;
novelle04_01_pirandello_f000071|si scoteva, facendo scricchiolar la sedia, e si metteva in un’altra positura non meno truce|si scoteva, facendo scricchiolar la sedia, e si metteva in unaltra positura non meno truce
novelle04_01_pirandello_f000072|col pomo del bastone sotto il mento, affondato nella pappagorgia lustra di sudore.|col pomo del bastone sotto il mento, affondato nella pappagorgia lustra di sudore.
novelle04_01_pirandello_f000073|Sapeva da tant’anni che la moglie – vezzosa donnettina dal nasino ritto|Sapeva da tantanni che la moglie - vezzosa donnettina dal nasino ritto
novelle04_01_pirandello_f000074|due fossette impertinenti alle guance e occhietti vivi vivi, da furetto – lo tradiva.|due fossette impertinenti alle guance e occhietti vivi vivi, da furetto - lo tradiva.
novelle04_01_pirandello_f000075|Alla fine, un brutto giorno, era stato costretto ad accorgersene, e s’era diviso da lei legalmente. Se n’era pentito subito dopo;|Alla fine, un brutto giorno, era stato costretto ad accorgersene, e sera diviso da lei legalmente. Se nera pentito subito dopo;
novelle04_01_pirandello_f000076|ma lei non aveva più voluto saperne, contenta delle duecento lire al mese ch’egli le passava per mezzo del figliuolo|ma lei non aveva più voluto saperne, contenta delle duecento lire al mese chegli le passava per mezzo del figliuolo
novelle04_01_pirandello_f000077|il quale andava a visitarla ogni due giorni.|il quale andava a visitarla ogni due giorni.
novelle04_01_pirandello_f000078|Il pover’uomo era divorato dalla brama di riaverla.|Il poveruomo era divorato dalla brama di riaverla.
novelle04_01_pirandello_f000079|La amava ancora come un pazzo, e senza lei non poteva più stare;|La amava ancora come un pazzo, e senza lei non poteva più stare;
novelle04_01_pirandello_f000080|non aveva più requie! Spesso, il figliuolo, che gli dormiva accanto, sentendolo piangere o gemere con la faccia affondata nel guanciale|non aveva più requie! Spesso, il figliuolo, che gli dormiva accanto, sentendolo piangere o gemere con la faccia affondata nel guanciale
novelle04_01_pirandello_f000081|si levava su un gomito e cercava di confortarlo amorosamente: — Papà, papà… Ma spesso anche Torellino si seccava a vederlo smaniare cosí;|si levava su un gomito e cercava di confortarlo amorosamente: - Papà, papà Ma spesso anche Torellino si seccava a vederlo smaniare cosí;
novelle04_01_pirandello_f000082|e nei giorni che doveva recarsi a visitare la madre|e nei giorni che doveva recarsi a visitare la madre
novelle04_01_pirandello_f000083|sbuffava ogni qual volta egli si metteva a suggerirgli tutto quello che avrebbe desiderato le dicesse per intenerirla|sbuffava ogni qual volta egli si metteva a suggerirgli tutto quello che avrebbe desiderato le dicesse per intenerirla
novelle04_01_pirandello_f000084|lo stato in cui si trovava, cosí senza cure, alla sua età; la sua disperazione; il suo pianto;|lo stato in cui si trovava, cosí senza cure, alla sua età; la sua disperazione; il suo pianto;
novelle04_01_pirandello_f000085|e che non poteva dormire, e che non sapeva più reggere, né come fare.|e che non poteva dormire, e che non sapeva più reggere, né come fare.
novelle04_01_pirandello_f000086|Era un tormento per Torellino! E anche una vergogna che lo sconcertava tutto e lo faceva sudar freddo.|Era un tormento per Torellino! E anche una vergogna che lo sconcertava tutto e lo faceva sudar freddo.
novelle04_01_pirandello_f000087|Tanto più che poi quelle ambasciate non servivano a nulla, perché già più volte la madre|Tanto più che poi quelle ambasciate non servivano a nulla, perché già più volte la madre
novelle04_01_pirandello_f000088|irremovibile, gli aveva fatto rispondere che non ne voleva nemmeno sentir parlare.|irremovibile, gli aveva fatto rispondere che non ne voleva nemmeno sentir parlare.
novelle04_01_pirandello_f000089|E che altro tormento ogni qual volta ritornava da quelle visite! Il padre lo aspettava a piè della scala|E che altro tormento ogni qual volta ritornava da quelle visite! Il padre lo aspettava a piè della scala
novelle04_01_pirandello_f000090|ansante, la faccia infiammata e gli occhi acuti e spasimosi, lustri di lagrime.|ansante, la faccia infiammata e gli occhi acuti e spasimosi, lustri di lagrime.
novelle04_01_pirandello_f000091|Subito, appena lo vedeva, lo assaliva di domande: — Com’è? com’è? che t’ha detto? come l’hai trovata?|Subito, appena lo vedeva, lo assaliva di domande: - Comè? comè? che tha detto? come lhai trovata?
novelle04_01_pirandello_f000092|E a ogni risposta, arricciava il naso, chiudeva gli occhi, divaricava le labbra, come se ricevesse pugnalate.|E a ogni risposta, arricciava il naso, chiudeva gli occhi, divaricava le labbra, come se ricevesse pugnalate.
novelle04_01_pirandello_f000093|— Ah, sí, tranquilla? Non dice niente? Ah, dice che sta bene cosí? E tu, tu che le hai detto?|- Ah, sí, tranquilla? Non dice niente? Ah, dice che sta bene cosí? E tu, tu che le hai detto?
novelle04_01_pirandello_f000094|— Niente, io, papà… Ah, niente, è vero?|- Niente, io, papà Ah, niente, è vero?
novelle04_01_pirandello_f000095|E si mordeva le mani dalla rabbia;|E si mordeva le mani dalla rabbia;
novelle04_01_pirandello_f000096|poi prorompeva: — Eh sí! eh sí! Seguitate! Seguitate! È comodo… Séguita cosí, tu pure, caro! Sfido… Che vi manca?|poi prorompeva: - Eh sí! eh sí! Seguitate! Seguitate! È comodo Séguita cosí, tu pure, caro! Sfido Che vi manca?
novelle04_01_pirandello_f000097|C’è il bue qua, che lavora per voi… Seguitate|Cè il bue qua, che lavora per voi Seguitate
novelle04_01_pirandello_f000098|seguitate senza nessuna considerazione per me! Ma non lo capisci, perdio, che io non posso più vivere cosí? Che ho bisogno d’ajuto?|seguitate senza nessuna considerazione per me! Ma non lo capisci, perdio, che io non posso più vivere cosí? Che ho bisogno dajuto?
novelle04_01_pirandello_f000099|Che io cosí muojo, non lo capisci? Non lo capisci?|Che io cosí muojo, non lo capisci? Non lo capisci?
novelle04_01_pirandello_f000100|— Ma che ci posso fare io, papà?|- Ma che ci posso fare io, papà?
novelle04_01_pirandello_f000101|— si scrollava Torellino, alla fine, esasperato.|- si scrollava Torellino, alla fine, esasperato.
novelle04_01_pirandello_f000102|— Niente! Niente! Séguita! — riprendeva lui, ingozzando le lagrime.|- Niente! Niente! Séguita! - riprendeva lui, ingozzando le lagrime.
novelle04_01_pirandello_f000103|— Ma non ti pare almeno che sia una nequizia farmi morire cosí? Perché, sai?|- Ma non ti pare almeno che sia una nequizia farmi morire cosí? Perché, sai?
novelle04_01_pirandello_f000104|io muojo! Io vi lascio tutti e due in mezzo a una strada|io muojo! Io vi lascio tutti e due in mezzo a una strada
novelle04_01_pirandello_f000105|e la faccio finita! La faccio finita! Si pentiva subito di queste sfuriate, e compensava con carezze, con regali il figliuolo; lo avviziava;|e la faccio finita! La faccio finita! Si pentiva subito di queste sfuriate, e compensava con carezze, con regali il figliuolo; lo avviziava;
novelle04_01_pirandello_f000106|gli prodigava le cure di una madre;|gli prodigava le cure di una madre;
novelle04_01_pirandello_f000107|e non badava a sé, ai suoi abiti, alle sue scarpe, alla sua biancheria, purché il figlio andasse ben vestito|e non badava a sé, ai suoi abiti, alle sue scarpe, alla sua biancheria, purché il figlio andasse ben vestito
novelle04_01_pirandello_f000108|di tutto punto, e si presentasse alla mamma ogni due giorni come un figurino.|di tutto punto, e si presentasse alla mamma ogni due giorni come un figurino.
novelle04_01_pirandello_f000109|S’inteneriva lui stesso di quella sua bontà, non solo non rimeritata, ma neppur commiserata da nessuno, calpestata anzi da tutti;|Sinteneriva lui stesso di quella sua bontà, non solo non rimeritata, ma neppur commiserata da nessuno, calpestata anzi da tutti;
novelle04_01_pirandello_f000110|si struggeva in quella sua tenerezza;|si struggeva in quella sua tenerezza;
novelle04_01_pirandello_f000111|sentiva proprio che il cuore gli si sfaceva in petto, strizzato dall’angoscia, macerato dalla pena.|sentiva proprio che il cuore gli si sfaceva in petto, strizzato dallangoscia, macerato dalla pena.
novelle04_01_pirandello_f000112|Aveva coscienza di non aver fatto mai, mai|Aveva coscienza di non aver fatto mai, mai
novelle04_01_pirandello_f000113|il minimo torto a quell’infame donna che lo aveva trattato cosí! Che ci poteva far lui se attorno al suo cuore tenero e semplice|il minimo torto a quellinfame donna che lo aveva trattato cosí! Che ci poteva far lui se attorno al suo cuore tenero e semplice
novelle04_01_pirandello_f000114|di bambino, era cresciuto tutto quel corpaccio da maiale?|di bambino, era cresciuto tutto quel corpaccio da maiale?
novelle04_01_pirandello_f000115|Nato per la casa, per adorare una donna sola nella vita|Nato per la casa, per adorare una donna sola nella vita
novelle04_01_pirandello_f000116|che gli volesse – non molto! non molto! – un po’ di bene, quanto compenso le avrebbe saputo dare|che gli volesse - non molto! non molto! - un po di bene, quanto compenso le avrebbe saputo dare
novelle04_01_pirandello_f000117|per questo po’ di bene! Con gli occhi invetrati dalle lagrime a stento contenute|per questo po di bene! Con gli occhi invetrati dalle lagrime a stento contenute
novelle04_01_pirandello_f000118|ora stava a mirar per via ogni coppia di sposi, che gli pareva andasse d’amore e d’accordo.|ora stava a mirar per via ogni coppia di sposi, che gli pareva andasse damore e daccordo.
novelle04_01_pirandello_f000119|Si sarebbe buttato in ginocchio davanti a ogni moglie onesta e saggia|Si sarebbe buttato in ginocchio davanti a ogni moglie onesta e saggia
novelle04_01_pirandello_f000120|che fosse il sorriso e la benedizione d’una casa, che amasse teneramente il suo sposo e curasse i suoi figliuoli.|che fosse il sorriso e la benedizione duna casa, che amasse teneramente il suo sposo e curasse i suoi figliuoli.
novelle04_01_pirandello_f000121|A lui, giusto a lui doveva toccare una donna come quella! Chi sa quante ce n’erano di buone, lí, tra quelle che passavano per via;|A lui, giusto a lui doveva toccare una donna come quella! Chi sa quante ce nerano di buone, lí, tra quelle che passavano per via;
novelle04_01_pirandello_f000122|quante avrebbero fatto la sua felicità, perché non chiedeva molto lui, un po’ d’affetto|quante avrebbero fatto la sua felicità, perché non chiedeva molto lui, un po daffetto
novelle04_01_pirandello_f000123|poco! Lo mendicava con quegli occhi, che parevano truci, a tutte le donne che vedeva passare;|poco! Lo mendicava con quegli occhi, che parevano truci, a tutte le donne che vedeva passare;
novelle04_01_pirandello_f000124|ma non per averlo da esse: da una sola, da quella, lui lo voleva, poiché quella sola avrebbe potuto darglielo onestamente|ma non per averlo da esse: da una sola, da quella, lui lo voleva, poiché quella sola avrebbe potuto darglielo onestamente
novelle04_01_pirandello_f000125|legato com’era dal vincolo del matrimonio e con quel suo povero figliuolo accanto.|legato comera dal vincolo del matrimonio e con quel suo povero figliuolo accanto.
novelle04_01_pirandello_f000126|All’ombra dei grandi alberi della via, brulicava quella sera con fremito più intenso la vita.|Allombra dei grandi alberi della via, brulicava quella sera con fremito più intenso la vita.
novelle04_01_pirandello_f000127|I due amici Spina e Romelli tardavano ancora a venire.|I due amici Spina e Romelli tardavano ancora a venire.
novelle04_01_pirandello_f000128|L’aria, satura di tutte le fragranze delle ville vicine, pareva grillasse d’un baglior d’oro|Laria, satura di tutte le fragranze delle ville vicine, pareva grillasse dun baglior doro
novelle04_01_pirandello_f000129|e tutti i visi delle donne, sotto i cappelloni spavaldi, sorridevano accesi da riflessi purpurei.|e tutti i visi delle donne, sotto i cappelloni spavaldi, sorridevano accesi da riflessi purpurei.
novelle04_01_pirandello_f000130|Offrivano con quel sorriso all’ammirazione e al desiderio degli uomini il loro corpo disegnato nettamente dagli abiti succinti.|Offrivano con quel sorriso allammirazione e al desiderio degli uomini il loro corpo disegnato nettamente dagli abiti succinti.
novelle04_01_pirandello_f000131|Le rose d’una bottega di fiorajo lí presso, dietro le spalle del Groa, esalavano un profumo cosí voluttuoso|Le rose duna bottega di fiorajo lí presso, dietro le spalle del Groa, esalavano un profumo cosí voluttuoso
novelle04_01_pirandello_f000132|che il pover’uomo ne aveva un greve stordimento di ebbrezza|che il poveruomo ne aveva un greve stordimento di ebbrezza
novelle04_01_pirandello_f000133|per cui già tutto quel brulichío di vita assumeva innanzi a lui contorni vaporosi di sogno|per cui già tutto quel brulichío di vita assumeva innanzi a lui contorni vaporosi di sogno
novelle04_01_pirandello_f000134|e gli destava quasi il dubbio della irrealità di quanto vedeva, coi romori che gli si attutivano agli orecchi|e gli destava quasi il dubbio della irrealità di quanto vedeva, coi romori che gli si attutivano agli orecchi
novelle04_01_pirandello_f000135|come se venissero da lontano lontano, e non da tutto quel sogno lí maraviglioso.|come se venissero da lontano lontano, e non da tutto quel sogno lí maraviglioso.
novelle04_01_pirandello_f000136|Alla fine, quegli altri due arrivarono.|Alla fine, quegli altri due arrivarono.
novelle04_01_pirandello_f000137|Discutevano tra loro animatamente.|Discutevano tra loro animatamente.
novelle04_01_pirandello_f000138|Il piccolo Romelli, vestito di nero, era nervoso, convulso;|Il piccolo Romelli, vestito di nero, era nervoso, convulso;
novelle04_01_pirandello_f000139|scattava a tratti come per scosse elettriche, e lo Spina, accalorato, cercava di calmarlo, di convincerlo.|scattava a tratti come per scosse elettriche, e lo Spina, accalorato, cercava di calmarlo, di convincerlo.
novelle04_01_pirandello_f000140|— Sí, due sorelle, due sorelle! Lasciate fare a me! Ancora è presto. Ora sediamo.|- Sí, due sorelle, due sorelle! Lasciate fare a me! Ancora è presto. Ora sediamo.
novelle04_01_pirandello_f000141|Il Groa fece segno con gli occhi ai due di non parlar di tali cose davanti al suo figliuolo;|Il Groa fece segno con gli occhi ai due di non parlar di tali cose davanti al suo figliuolo;
novelle04_01_pirandello_f000142|poi, comprendendo che essi, cosí accesi com’erano, non avrebbero saputo frenarsi|poi, comprendendo che essi, cosí accesi comerano, non avrebbero saputo frenarsi
novelle04_01_pirandello_f000143|si volse a Torellino e lo invitò a farsi una giratina lí a Villa Borghese.|si volse a Torellino e lo invitò a farsi una giratina lí a Villa Borghese.
novelle04_01_pirandello_f000144|Il ragazzo s’avviò, svogliato, sbuffando.|Il ragazzo savviò, svogliato, sbuffando.
novelle04_01_pirandello_f000145|Fatti pochi passi, si voltò e vide che i tre, con le teste riunite, confabulavano misteriosamente attorno al tavolino;|Fatti pochi passi, si voltò e vide che i tre, con le teste riunite, confabulavano misteriosamente attorno al tavolino;
novelle04_01_pirandello_f000146|ma il padre scrollava il capo, diceva di no, di no. Lo Spina, certo, li tentava.|ma il padre scrollava il capo, diceva di no, di no. Lo Spina, certo, li tentava.
novelle04_01_pirandello_f000147|Quando, dopo una mezz’ora, Torellino ritornò, i due, il Romelli e lo Spina, erano andati via.|Quando, dopo una mezzora, Torellino ritornò, i due, il Romelli e lo Spina, erano andati via.
novelle04_01_pirandello_f000148|Il padre era solo, ad attenderlo; in una solitudine disperata;|Il padre era solo, ad attenderlo; in una solitudine disperata;
novelle04_01_pirandello_f000149|con un viso cosí alterato, con tanto spasimo tetro negli occhi, che il figlio restò a mirarlo, sgomento.|con un viso cosí alterato, con tanto spasimo tetro negli occhi, che il figlio restò a mirarlo, sgomento.
novelle04_01_pirandello_f000150|— Vogliamo andare, papà? Il Groa parve non lo sentisse. Lo guatò.|- Vogliamo andare, papà? Il Groa parve non lo sentisse. Lo guatò.
