altehaus_001_f000001|Kapitel 1.|Kapitel eins.
altehaus_001_f000012|und all ihren zähnefletschenden Grimm an ihnen auszulassen, so trugen kleine boshafte Faun- und Teufelslarven die Fenstersimse und hier und da angebrachte Nischen-Console,|und all ihren zähnefletschenden Grimm an ihnen auszulassen, so trugen kleine boshafte Faun- und Teufelslarven die Fenstersimse und hier und da angebrachte Nischen-Console,
altehaus_001_f000013|und ungeschlachte, halb Tier-, halb Menschenbilder stützten, die Krallenfinger in die dürren Seiten stemmend, Erker und Balkon.|und ungeschlachte, halb Tier-, halb Menschenbilder stützten, die Krallenfinger in die dürren Seiten stemmend, Erker und Balkon.
altehaus_001_f000014|Jedenfalls hatte ein wunderlicher Geschmack das Haus erbaut.|Jedenfalls hatte ein wunderlicher Geschmack das Haus erbaut.
altehaus_001_f000015|Seit langen, langen Jahren nicht bewohnt, war es nach dem Tode des letzten, schon lange verstorbenen Besitzers und in Folge des darob entstandenen Rechtsstreites zwischen den außer Landes wohnenden Erben verschlossen und versiegelt worden.|Seit langen, langen Jahren nicht bewohnt, war es nach dem Tode des letzten, schon lange verstorbenen Besitzers und in Folge des darob entstandenen Rechtsstreites zwischen den außer Landes wohnenden Erben verschlossen und versiegelt worden.
altehaus_001_f000016|Darüber verging die Zeit, und wie das so mit Prozessen geht, erinnerten sich jetzt ganz alte Leute aus ihrer Jugendzeit noch der großen, der Tür angedrückten Siegel, zu denen sie damals mit stummer Ehrfurcht aufgeschaut.|Darüber verging die Zeit, und wie das so mit Prozessen geht, erinnerten sich jetzt ganz alte Leute aus ihrer Jugendzeit noch der großen, der Tür angedrückten Siegel, zu denen sie damals mit stummer Ehrfurcht aufgeschaut.
altehaus_001_f000017|Nichtsnutzige Menschen hatten diese später einmal beschädigt – vielleicht um einen hochweisen Rath zu kränken oder den Nachtwächter zu ärgern – und jetzt waren Streifen Blech über die neu aufgedrückten genagelt worden, sie zu schützen – denn der Proceß dauerte ruhig fort.|Nichtsnutzige Menschen hatten diese später einmal beschädigt - vielleicht um einen hochweisen Rath zu kränken oder den Nachtwächter zu ärgern - und jetzt waren Streifen Blech über die neu aufgedrückten genagelt worden, sie zu schützen - denn der Proceß dauerte ruhig fort.
altehaus_001_f000018|Andere Nachtschwärmer klopften auch früher einmal in frechem Mutwillen mit dem alten eisernen Türhammer an die versiegelte Pforte, daß der Ton hohl und markerschütternd durch die öden Räume schallte.|Andere Nachtschwärmer klopften auch früher einmal in frechem Mutwillen mit dem alten eisernen Türhammer an die versiegelte Pforte, daß der Ton hohl und markerschütternd durch die öden Räume schallte.
altehaus_001_f000019|Als aber bald darauf dumpfe Gerüchte die Stadt durchliefen, daß in der nächsten Nacht bleiche, entsetzliche Gestalten an das Lager jener Ruhestörer getreten wären, sie zu fragen,|Als aber bald darauf dumpfe Gerüchte die Stadt durchliefen, daß in der nächsten Nacht bleiche, entsetzliche Gestalten an das Lager jener Ruhestörer getreten wären, sie zu fragen,
altehaus_001_f000020|was sie an dem alten Hause gewollt, gingen von der Zeit an Kinder wie Erwachsene in stiller, unheimlicher Scheu an der verschlossenen Tür vorüber.|was sie an dem alten Hause gewollt, gingen von der Zeit an Kinder wie Erwachsene in stiller, unheimlicher Scheu an der verschlossenen Tür vorüber.
altehaus_001_f000021|Niemand belästigte das alte Gebäude weiter, und die Volkssage füllte gar bald jene düsteren, durch gelbe, schwerseidene Gardinen dicht verhängten Räume mit unheimlichen, spukhaften Gestalten und Wesen an.|Niemand belästigte das alte Gebäude weiter, und die Volkssage füllte gar bald jene düsteren, durch gelbe, schwerseidene Gardinen dicht verhängten Räume mit unheimlichen, spukhaften Gestalten und Wesen an.
altehaus_001_f000022|Jahre vergingen indes; von dem alten Hause wurde fast nicht weiter gesprochen, bis es der Nachtwächter wieder einmal ins Gerede bringen wollte.|Jahre vergingen indes; von dem alten Hause wurde fast nicht weiter gesprochen, bis es der Nachtwächter wieder einmal ins Gerede bringen wollte.
altehaus_001_f000023|Er behauptete nämlich, und beschwor es hoch und heilig, mehrere Male Nachts zu unbestimmten Stunden Licht in einem der Fenster hinter den düstern Gardinen gesehen zu haben;|Er behauptete nämlich, und beschwor es hoch und heilig, mehrere Male Nachts zu unbestimmten Stunden Licht in einem der Fenster hinter den düstern Gardinen gesehen zu haben;
altehaus_001_f000024|aber trotz allem Wachen und Aufpassen konnte Niemand weiter etwas Ähnliches entdecken.|aber trotz allem Wachen und Aufpassen konnte Niemand weiter etwas Ähnliches entdecken.
altehaus_001_f000025|Der Schimmer, den der Nachtwächter bemerkt haben wollte, war jedenfalls der Mond oder vielleicht auch der Wiederschein eines Lichtes aus der gegenüberliegenden Häuserreihe gewesen,|Der Schimmer, den der Nachtwächter bemerkt haben wollte, war jedenfalls der Mond oder vielleicht auch der Wiederschein eines Lichtes aus der gegenüberliegenden Häuserreihe gewesen,
altehaus_001_f000026|und wer wußte überhaupt, was der außerdem halb blinde Mann da gesehen zu haben glaubte!|und wer wußte überhaupt, was der außerdem halb blinde Mann da gesehen zu haben glaubte!
altehaus_001_f000027|Das Gerücht verlor sich, wie es gekommen.|Das Gerücht verlor sich, wie es gekommen.
altehaus_001_f000028|Auf der rechten Seite des alten Hauses, das dort hinaus gar keine Fenster zeigte, lag ein dazugehörendes kleines Grundstück, von dem Rathe der Stadt benutzt Bauholz abzulagern.|Auf der rechten Seite des alten Hauses, das dort hinaus gar keine Fenster zeigte, lag ein dazugehörendes kleines Grundstück, von dem Rathe der Stadt benutzt Bauholz abzulagern.
altehaus_001_f000029|Große Haufen aufgeschichteter Bieter und Balken Türmten sich hier empor und waren von der Straße selbst nur durch eine hohe, weiß angestrichene Planke geschieden.|Große Haufen aufgeschichteter Bieter und Balken Türmten sich hier empor und waren von der Straße selbst nur durch eine hohe, weiß angestrichene Planke geschieden.
altehaus_001_f000030|Nach links zu schlossen sich dagegen die andern Gebäude der Straße dicht daran an, und das nur durch die starke Brandmauer davon geschiedene Nachbarhaus gehörte dem Regierungs- und Stadt-Rate Hechner.|Nach links zu schlossen sich dagegen die andern Gebäude der Straße dicht daran an, und das nur durch die starke Brandmauer davon geschiedene Nachbarhaus gehörte dem Regierungs- und Stadt-Rate Hechner.
altehaus_001_f000031|Dieser hatte allerdings schon seit mehreren Jahren versucht, die an sein Grundstück stoßenden, unbenutzt liegenden Räumlichkeiten vergleichsweise und käuflich an sich zu bringen, aber ohne Erfolg.|Dieser hatte allerdings schon seit mehreren Jahren versucht, die an sein Grundstück stoßenden, unbenutzt liegenden Räumlichkeiten vergleichsweise und käuflich an sich zu bringen, aber ohne Erfolg.
altehaus_001_f000032|Beide Parteien schienen den geerbten Proceß, den sie wohl verlieren, aber nicht verkaufen dürften, als eine Art Ehrensache zu betrachten.|Beide Parteien schienen den geerbten Proceß, den sie wohl verlieren, aber nicht verkaufen dürften, als eine Art Ehrensache zu betrachten.
altehaus_001_f000033|Das Haus des Regierungs-Rats Hechner mußte übrigens mit dem sogenannten alten Hause in früherer Zeit, wenn nicht gerade dazu gehörig, doch in unmittelbare Verbindung gestanden haben.|Das Haus des Regierungs-Rats Hechner mußte übrigens mit dem sogenannten alten Hause in früherer Zeit, wenn nicht gerade dazu gehörig, doch in unmittelbare Verbindung gestanden haben.
altehaus_001_f000034|Auf der halben Treppe, unter der ersten Etage, befand sich nämlich noch eine alte eiserne, niedrig gewölbte und von innen verriegelte Tür.|Auf der halben Treppe, unter der ersten Etage, befand sich nämlich noch eine alte eiserne, niedrig gewölbte und von innen verriegelte Tür.
altehaus_001_f000035|Dieser frühere Communications-Weg zeigte jedoch nach außen weder Schloß noch Drücker, nicht einmal ein Schlüsselloch, sondern nur eine glatte,|Dieser frühere Communications-Weg zeigte jedoch nach außen weder Schloß noch Drücker, nicht einmal ein Schlüsselloch, sondern nur eine glatte,
altehaus_001_f000036|mit starken Barren verwahrte Fläche, die, wenn überhaupt, nur hätte von der inneren Seite geöffnet werden können.|mit starken Barren verwahrte Fläche, die, wenn überhaupt, nur hätte von der inneren Seite geöffnet werden können.
altehaus_001_f000037|Aus Nachlässigkeit oder Unachtsamkeit war aber diese Tür damals nicht mit versiegelt worden; oder man hatte sie auch als mit der Wand identisch angesehen und eine gerichtliche Verwahrung derselben nicht für nötig befunden.|Aus Nachlässigkeit oder Unachtsamkeit war aber diese Tür damals nicht mit versiegelt worden; oder man hatte sie auch als mit der Wand identisch angesehen und eine gerichtliche Verwahrung derselben nicht für nötig befunden.
altehaus_001_f000038|Beim Malen der Treppe ließ dann später der Regierungs-Rath die Haspen und Querbarren so viel als möglich mit Kalk bewerfen, um deren Erhabenheiten weniger auffallend zu machen, und die Tür mit der anderen Wand gleichmäßig anstreichen.|Beim Malen der Treppe ließ dann später der Regierungs-Rath die Haspen und Querbarren so viel als möglich mit Kalk bewerfen, um deren Erhabenheiten weniger auffallend zu machen, und die Tür mit der anderen Wand gleichmäßig anstreichen.
altehaus_001_f000039|Wer nicht wußte daß sich dort eine Tür befand, konnte es nicht leicht erkennen.|Wer nicht wußte daß sich dort eine Tür befand, konnte es nicht leicht erkennen.
altehaus_001_f000040|Für Fremde wäre das nun auch vollkommen ausreichend gewesen.|Für Fremde wäre das nun auch vollkommen ausreichend gewesen.
altehaus_001_f000041|Für die Leute im Hause dagegen schien dieses Verheimlichen der Tür eher etwas Unbehagliches zu haben, dem sie allerdings keinen bestimmten Namen geben konnten, das sie aber nichtsdestoweniger störte und beunruhigte.|Für die Leute im Hause dagegen schien dieses Verheimlichen der Tür eher etwas Unbehagliches zu haben, dem sie allerdings keinen bestimmten Namen geben konnten, das sie aber nichtsdestoweniger störte und beunruhigte.
altehaus_001_f000042|Ein paar der Dienstboten kündigten auch ihrer wirklich vortrefflichen Herrschaft aus dem einzigen Grunde, weil sie sich fürchteten, Abends spät an dem versteckten Eingange vorüber zu gehen.|Ein paar der Dienstboten kündigten auch ihrer wirklich vortrefflichen Herrschaft aus dem einzigen Grunde, weil sie sich fürchteten, Abends spät an dem versteckten Eingange vorüber zu gehen.
altehaus_001_f000043|Hinter der Tür sei es, wie sie sich nicht ausreden ließen, unter keiner Bedingung geheuer, und wenn sie Abends spät mit Wasser oder Holz da vorbei müßten,|Hinter der Tür sei es, wie sie sich nicht ausreden ließen, unter keiner Bedingung geheuer, und wenn sie Abends spät mit Wasser oder Holz da vorbei müßten,
altehaus_001_f000044|könnte die alte eiserne Pforte auch recht gut einmal von selber auffliegen und ihnen den Tod vor Schrecken bringen.|könnte die alte eiserne Pforte auch recht gut einmal von selber auffliegen und ihnen den Tod vor Schrecken bringen.
altehaus_001_f000045|Die Eine behauptete dabei, sie hätte es einmal Abends dahinter klopfen die Andere sogar, Jemanden schwer atmen hören, bis der Regierungs-Rath, des Geschwätzes müde, sie fortjagte und andere Leute ins Haus nahm.|Die Eine behauptete dabei, sie hätte es einmal Abends dahinter klopfen die Andere sogar, Jemanden schwer atmen hören, bis der Regierungs-Rath, des Geschwätzes müde, sie fortjagte und andere Leute ins Haus nahm.
altehaus_001_f000046|Er ärgerte sich aber doch über das dumme, abergläubische Volk, wie er es nannte, das sich nur immer die größte Mühe gab, einen Haken zu finden, um seine albernen Ideen daran zu hängen.|Er ärgerte sich aber doch über das dumme, abergläubische Volk, wie er es nannte, das sich nur immer die größte Mühe gab, einen Haken zu finden, um seine albernen Ideen daran zu hängen.
altehaus_001_f000047|Regierungs-Rath Hechner war verheiratet, hatte aber nur eine einzige Tochter, ein elfjähriges Mädchen von überdies zarter, schwächlicher Gesundheit, und lebte in seiner kleinen Familie still und zurückgezogen.|Regierungs-Rath Hechner war verheiratet, hatte aber nur eine einzige Tochter, ein elfjähriges Mädchen von überdies zarter, schwächlicher Gesundheit, und lebte in seiner kleinen Familie still und zurückgezogen.
altehaus_001_f000048|Kinder sind übrigens für das Übernatürliche oder Außergewöhnliche empfänglich und geben sich demselben leichter und unbefangener hin, als Erwachsene.|Kinder sind übrigens für das Übernatürliche oder Außergewöhnliche empfänglich und geben sich demselben leichter und unbefangener hin, als Erwachsene.
altehaus_001_f000049|Ihr Geist ist noch nicht im Stande, die Grenzlinie zwischen dem Wahrscheinlichen und Unwahrscheinlichen – wir dürfen kaum sagen: dem Möglichen und Unmöglichen – für sich selber abzustecken und zu befestigen.|Ihr Geist ist noch nicht im Stande, die Grenzlinie zwischen dem Wahrscheinlichen und Unwahrscheinlichen - wir dürfen kaum sagen: dem Möglichen und Unmöglichen - für sich selber abzustecken und zu befestigen.
altehaus_001_f000050|So hatte sich auch Marie, durch ihren erregten und kränklichen Zustand noch empfänglicher dafür gemacht, viel und lebhaft mit dem alten Nachbarhause beschäftigt und, wenn die Eltern abwesend waren,|So hatte sich auch Marie, durch ihren erregten und kränklichen Zustand noch empfänglicher dafür gemacht, viel und lebhaft mit dem alten Nachbarhause beschäftigt und, wenn die Eltern abwesend waren,
altehaus_001_f000051|das besonders mit Begierde aufgefangen, was die Mädchen im Hause darüber zu sagen wußten.|das besonders mit Begierde aufgefangen, was die Mädchen im Hause darüber zu sagen wußten.
altehaus_001_f000052|Daß in dem alten unbewohnten Gebäude dann und wann ein Licht umging, stellte sich ihr gegen über auch bald als feste Tatsache heraus.|Daß in dem alten unbewohnten Gebäude dann und wann ein Licht umging, stellte sich ihr gegen über auch bald als feste Tatsache heraus.
altehaus_001_f000053|Eben so bezweifelte sie zuletzt, mit den Zeugnissen dreier hinter einander abgehenden Dienstleute, keinen Augenblick mehr die Existenz irgend eines unglücklichen, verbannten Wesens,|Eben so bezweifelte sie zuletzt, mit den Zeugnissen dreier hinter einander abgehenden Dienstleute, keinen Augenblick mehr die Existenz irgend eines unglücklichen, verbannten Wesens,
altehaus_001_f000054|das hinter der übermalten Tür an ihrer eignen Treppe sitze und mit Ungeduld schon viele Jahre lang seiner Befreiung entgegen harre.|das hinter der übermalten Tür an ihrer eignen Treppe sitze und mit Ungeduld schon viele Jahre lang seiner Befreiung entgegen harre.
altehaus_001_f000055|Mit kindisch schauerlichem Behagen malte sie sich dabei die stillen Stuben selber aus,|Mit kindisch schauerlichem Behagen malte sie sich dabei die stillen Stuben selber aus,
altehaus_001_f000056|wie hinter den dichten und verblichenen seidenen Gardinen die alten prächtigen Möbel standen und schwere Teppiche lagen, die dicker Staub wohl lange schon bedeckte.|wie hinter den dichten und verblichenen seidenen Gardinen die alten prächtigen Möbel standen und schwere Teppiche lagen, die dicker Staub wohl lange schon bedeckte.
altehaus_001_f000057|Und an den Wänden hingen gewiß alte, düstre, lebensgroße Bilder der früheren, jetzt still in ihren Gräbern schlummernden Bewohner des alten Hauses – Männer mit unbequem steifen Halskrausen und langen Degen,|Und an den Wänden hingen gewiß alte, düstre, lebensgroße Bilder der früheren, jetzt still in ihren Gräbern schlummernden Bewohner des alten Hauses - Männer mit unbequem steifen Halskrausen und langen Degen,
altehaus_001_f000058|und Frauen mit großblumigen herrlichen Kleidern und hohem wunderlichem Kopfputz,|und Frauen mit großblumigen herrlichen Kleidern und hohem wunderlichem Kopfputz,
altehaus_001_f000059|die erstaunt und finster auf die zu ihnen Eintretenden nieder blickten und den Fremden, wohin sie gingen, mißtrauisch und unheimlich mit den Augen folgten.|die erstaunt und finster auf die zu ihnen Eintretenden nieder blickten und den Fremden, wohin sie gingen, mißtrauisch und unheimlich mit den Augen folgten.
altehaus_001_f000060|Marie hätte Gott weiß was darum gegeben, das alte Haus einmal allein betreten zu dürfen.|Marie hätte Gott weiß was darum gegeben, das alte Haus einmal allein betreten zu dürfen.
altehaus_001_f000061|Das war wenigstens, wenn sie sich oben in ihrem sicheren Stübchen befand, oft und oft ihr Wunsch gewesen.|Das war wenigstens, wenn sie sich oben in ihrem sicheren Stübchen befand, oft und oft ihr Wunsch gewesen.
altehaus_001_f000062|Kam sie aber Abends einmal von einem Besuche der in der nämlichen Straße wohnenden Tante zurück, und mußte sie an der geheimnisvollen Tür vorüber,|Kam sie aber Abends einmal von einem Besuche der in der nämlichen Straße wohnenden Tante zurück, und mußte sie an der geheimnisvollen Tür vorüber,
altehaus_001_f000063|dann schlug ihr das kleine Herz doch laut und ängstlich in der Brust, und sie drückte sich scheu und mit zurückgehaltenem Atem an der andern Seite der Treppe vorüber.|dann schlug ihr das kleine Herz doch laut und ängstlich in der Brust, und sie drückte sich scheu und mit zurückgehaltenem Atem an der andern Seite der Treppe vorüber.
altehaus_001_f000064|Sie hätte auch darauf schwören wollen, schon selber zu verschiedenen Malen ein leises Seufzen und Klopfen hinter der Tür gehört zu haben, und einmal – sie vergaß den Schrecken in ihrem Leben nicht – war ein Stück Kalk, gerade als sie vorüber glitt,|Sie hätte auch darauf schwören wollen, schon selber zu verschiedenen Malen ein leises Seufzen und Klopfen hinter der Tür gehört zu haben, und einmal - sie vergaß den Schrecken in ihrem Leben nicht - war ein Stück Kalk, gerade als sie vorüber glitt,
altehaus_001_f000065|vom Anwurf über der Tür losgebröckelt und dicht neben ihr niedergefallen, als ob Jemand von innen dagegen gepreßt und dadurch den Kalk von der Wand abgedrückt hätte.|vom Anwurf über der Tür losgebröckelt und dicht neben ihr niedergefallen, als ob Jemand von innen dagegen gepreßt und dadurch den Kalk von der Wand abgedrückt hätte.
altehaus_001_f000066|Marie war auch dieselbe Nacht noch wieder krank geworden, und das alte Haus spielte in der Zeit eine Rolle in allen ihren Träumen.|Marie war auch dieselbe Nacht noch wieder krank geworden, und das alte Haus spielte in der Zeit eine Rolle in allen ihren Träumen.
altehaus_001_f000067|Wenn sie aber aufwachte, wußte sie immer daß es eben nur ein Traum gewesen – da drüben sah es doch gewiß ganz anders aus, als sie es in ihren Phantasien gesehen und sich ausgemalt.|Wenn sie aber aufwachte, wußte sie immer daß es eben nur ein Traum gewesen - da drüben sah es doch gewiß ganz anders aus, als sie es in ihren Phantasien gesehen und sich ausgemalt.
altehaus_001_f000068|Wunderbarer Weise scheute sie sich dabei aus irgend einem, ihr selber nicht klaren Grunde, der Mutter, der sie sonst nichts verheimlichte, von dem sonderbaren Einfluss zu sagen, den die alte Tür auf sie ausübe.|Wunderbarer Weise scheute sie sich dabei aus irgend einem, ihr selber nicht klaren Grunde, der Mutter, der sie sonst nichts verheimlichte, von dem sonderbaren Einfluss zu sagen, den die alte Tür auf sie ausübe.
altehaus_001_f000069|Vielleicht war es die Furcht vor dem Vater, der so bös über den Aberglauben der Dienstmädchen wurde.|Vielleicht war es die Furcht vor dem Vater, der so bös über den Aberglauben der Dienstmädchen wurde.
altehaus_001_f000070|Aber unwillkürlich kam ihr dabei auch das Gefühl, als ob sie es irgend Jemanden recht heilig versprochen hätte, mit Niemanden, wer es auch sei, darüber zu reden, und doch wußte sie,|Aber unwillkürlich kam ihr dabei auch das Gefühl, als ob sie es irgend Jemanden recht heilig versprochen hätte, mit Niemanden, wer es auch sei, darüber zu reden, und doch wußte sie,
altehaus_001_f000071|daß ihr noch keine Seele auf der weiten Welt ein solches Versprechen abgenommen haben konnte.|daß ihr noch keine Seele auf der weiten Welt ein solches Versprechen abgenommen haben konnte.
altehaus_001_f000072|Hing das auch etwa mit ihren Träumen zusammen?|Hing das auch etwa mit ihren Träumen zusammen?
altehaus_001_f000073|So wagte sie auch nicht ihre Mutter nach dem Hause und der Bewandtnis zu fragen, die es mit der Tür haben könnte, obgleich es gerade oft zwischen Vater und Mutter verhandelt worden, bis das Gespräch einmal zufällig in ihrer Gegenwart wieder darauf kam.|So wagte sie auch nicht ihre Mutter nach dem Hause und der Bewandtnis zu fragen, die es mit der Tür haben könnte, obgleich es gerade oft zwischen Vater und Mutter verhandelt worden, bis das Gespräch einmal zufällig in ihrer Gegenwart wieder darauf kam.
altehaus_001_f000074|Wieder hatte ihnen nämlich ein Mädchen, der alten Tür wegen, gekündigt.|Wieder hatte ihnen nämlich ein Mädchen, der alten Tür wegen, gekündigt.
altehaus_001_f000075|Die Köchin, ein braves, arbeitsames und sonst auch resolutes Frauenzimmer, war vor einigen Abenden ziemlich spät mit Geschirr-Scheuern beschäftigt gewesen, und hatte noch vor Schlafengehen,|Die Köchin, ein braves, arbeitsames und sonst auch resolutes Frauenzimmer, war vor einigen Abenden ziemlich spät mit Geschirr-Scheuern beschäftigt gewesen, und hatte noch vor Schlafengehen,
altehaus_001_f000076|um nicht gleich am frühen Morgen danach laufen zu müssen, eine Tracht Wasser aus dem im Hofe befindlichen Brunnen heraufholen wollen.|um nicht gleich am frühen Morgen danach laufen zu müssen, eine Tracht Wasser aus dem im Hofe befindlichen Brunnen heraufholen wollen.
altehaus_001_f000077|Mit ihren beiden gefüllten Kannen – so wörtlich erzählte sie es am nächsten Morgen ihrer Herrschaft – kam sie denn auch langsam die Treppe herauf und blieb auf dem ersten Absatz gerade der Tür gegenüber,|Mit ihren beiden gefüllten Kannen - so wörtlich erzählte sie es am nächsten Morgen ihrer Herrschaft - kam sie denn auch langsam die Treppe herauf und blieb auf dem ersten Absatz gerade der Tür gegenüber,
altehaus_001_f000078|an die sie in diesem Augenblicke nicht einmal dachte, zum Ausruhen stehen.|an die sie in diesem Augenblicke nicht einmal dachte, zum Ausruhen stehen.
altehaus_001_f000079|Da plötzlich – das heilige Abendmahl wollte sie darauf nehmen, daß sie die Wahrheit rede – hörte sie Jemanden dicht neben sich, so recht aus tiefster Brust aufseufzen oder stöhnen.|Da plötzlich - das heilige Abendmahl wollte sie darauf nehmen, daß sie die Wahrheit rede - hörte sie Jemanden dicht neben sich, so recht aus tiefster Brust aufseufzen oder stöhnen.
altehaus_001_f000080|Sie sah sich rasch und erschreckt um; obgleich aber die Laterne, die gerade über ihr auf der Treppe hing, ein ziemlich helles Licht verbreitete, konnte sie weder nach oben noch nach unten etwas erkennen.|Sie sah sich rasch und erschreckt um; obgleich aber die Laterne, die gerade über ihr auf der Treppe hing, ein ziemlich helles Licht verbreitete, konnte sie weder nach oben noch nach unten etwas erkennen.
altehaus_001_f000081|Da fiel ihr die Tür ein.|Da fiel ihr die Tür ein.
altehaus_001_f000082|Während ihr ein kalter Schauder den Rücken herunter lief, griff sie ihre Wasserkannen auf, um so rasch als möglich die sichere Küche wieder zu erreichen.|Während ihr ein kalter Schauder den Rücken herunter lief, griff sie ihre Wasserkannen auf, um so rasch als möglich die sichere Küche wieder zu erreichen.
altehaus_001_f000083|Da klopfte es auf einmal stark und wie ärgerlich inwendig gegen die Tür an, und eine leise Stimme rief ihren Namen, noch dazu ihren richtigen Namen, Susanna, denn mit dem Dienst im Hause hatte sie auch den, für Köchinnen dort erblichen Rieke überkommen.|Da klopfte es auf einmal stark und wie ärgerlich inwendig gegen die Tür an, und eine leise Stimme rief ihren Namen, noch dazu ihren richtigen Namen, Susanna, denn mit dem Dienst im Hause hatte sie auch den, für Köchinnen dort erblichen Rieke überkommen.
altehaus_001_f000084|Mehr wußte sie aber nicht zu sagen; denn die Kannen fallen lassen, daß sich das freigegebene Wasser in rascher Flut treppab ergoß, die Stufen hinausstürzen und die KüchenTür hinter sich ins Schloß drücken und verriegeln, war das Werk eines Augenblicks gewesen.|Mehr wußte sie aber nicht zu sagen; denn die Kannen fallen lassen, daß sich das freigegebene Wasser in rascher Flut treppab ergoß, die Stufen hinausstürzen und die KüchenTür hinter sich ins Schloß drücken und verriegeln, war das Werk eines Augenblicks gewesen.
altehaus_001_f000085|Selbst die oben an der Treppe vergessene Lampe wagte sie nicht wieder zu holen – sie mußte ausbrennen wo sie stand, und erst im Bette,|Selbst die oben an der Treppe vergessene Lampe wagte sie nicht wieder zu holen - sie mußte ausbrennen wo sie stand, und erst im Bette,
altehaus_001_f000086|unter der bis über den Kopf heraufgezogenen Decke, hatte sie es sich überlegt, ob sie um Hülfe schreien und die Hausbewohner wecken oder es riskieren solle, da auszuharren, wo sie sich gerade befand.|unter der bis über den Kopf heraufgezogenen Decke, hatte sie es sich überlegt, ob sie um Hülfe schreien und die Hausbewohner wecken oder es riskieren solle, da auszuharren, wo sie sich gerade befand.
altehaus_001_f000087|Unter dem Überlegen war sie eingeschlafen.|Unter dem Überlegen war sie eingeschlafen.
altehaus_001_f000088|Am nächsten Morgen erklärte die Köchin aber ihrer Herrschaft auf das Bestimmteste, Nachts oder überhaupt nach Dunkelwerden die Spuktreppe nicht wieder betreten zu wollen,|Am nächsten Morgen erklärte die Köchin aber ihrer Herrschaft auf das Bestimmteste, Nachts oder überhaupt nach Dunkelwerden die Spuktreppe nicht wieder betreten zu wollen,
altehaus_001_f000089|und da sich das mit ihrer Arbeit natürlich nicht vereinigen ließ, kündigte ihr der überdies gereizte Regierungs-Rath ohne Weiteres den Dienst.|und da sich das mit ihrer Arbeit natürlich nicht vereinigen ließ, kündigte ihr der überdies gereizte Regierungs-Rath ohne Weiteres den Dienst.
