novelle01_01_pirandello_f000001|Novelle per un anno di Luigi Pirandello|Novelle per un anno di Luigi Pirandello
novelle01_01_pirandello_f000053|Di nuovo, c’era soltanto il pianoforte a mezzacoda, il pianoforte d’Eleonora|Di nuovo, cera soltanto il pianoforte a mezzacoda, il pianoforte dEleonora
novelle01_01_pirandello_f000054|che le figure effigiate in quei ritratti pareva guardassero in cagnesco.|che le figure effigiate in quei ritratti pareva guardassero in cagnesco.
novelle01_01_pirandello_f000055|Spazientito, alla fine, dalla lunga attesa, il dottore si alzò, andò fino alla soglia|Spazientito, alla fine, dalla lunga attesa, il dottore si alzò, andò fino alla soglia
novelle01_01_pirandello_f000056|sporse il capo, udí piangere nella camera di là, attraverso l’uscio chiuso.|sporse il capo, udí piangere nella camera di là, attraverso luscio chiuso.
novelle01_01_pirandello_f000057|Allora si mosse e andò a picchiare con le nocche delle dita a quell’uscio.|Allora si mosse e andò a picchiare con le nocche delle dita a quelluscio.
novelle01_01_pirandello_f000058|— Entra, — gli disse il Bandi, aprendo.|- Entra, - gli disse il Bandi, aprendo.
novelle01_01_pirandello_f000059|— Non riesco a capire perché s’ostina cosí.|- Non riesco a capire perché sostina cosí.
novelle01_01_pirandello_f000060|— Ma perché non ho nulla! — gridò Eleonora tra le lagrime.|- Ma perché non ho nulla! - gridò Eleonora tra le lagrime.
novelle01_01_pirandello_f000061|Stava a sedere su un ampio seggiolone di cuojo, vestita come sempre di nero, enorme e pallida;|Stava a sedere su un ampio seggiolone di cuojo, vestita come sempre di nero, enorme e pallida;
novelle01_01_pirandello_f000062|ma sempre con quel suo viso di bambinona, che ora pareva più che mai strano, e forse più ambiguo che strano|ma sempre con quel suo viso di bambinona, che ora pareva più che mai strano, e forse più ambiguo che strano
novelle01_01_pirandello_f000063|per un certo indurimento negli occhi, quasi di folle fissità, ch’ella voleva tuttavia dissimulare.|per un certo indurimento negli occhi, quasi di folle fissità, chella voleva tuttavia dissimulare.
novelle01_01_pirandello_f000064|— Non ho nulla, v’assicuro, — ripeté più pacatamente.|- Non ho nulla, vassicuro, - ripeté più pacatamente.
novelle01_01_pirandello_f000065|— Per carità, lasciatemi in pace: non vi date pensiero di me.|- Per carità, lasciatemi in pace: non vi date pensiero di me.
novelle01_01_pirandello_f000066|— Va bene! — concluse il fratello, duro e cocciuto. — Intanto, qua c’è Carlo. Lo dirà lui quello che hai.|- Va bene! - concluse il fratello, duro e cocciuto. - Intanto, qua cè Carlo. Lo dirà lui quello che hai.
novelle01_01_pirandello_f000067|— E uscí dalla camera, richiudendo con furia l’uscio dietro di sé.|- E uscí dalla camera, richiudendo con furia luscio dietro di sé.
novelle01_01_pirandello_f000068|Eleonora si recò le mani al volto e scoppiò in violenti singhiozzi.|Eleonora si recò le mani al volto e scoppiò in violenti singhiozzi.
novelle01_01_pirandello_f000069|Il D’Andrea rimase un pezzo a guardarla, fra seccato e imbarazzato; poi domandò: — Perché? Che cos’ha? Non può dirlo neanche a me?|Il DAndrea rimase un pezzo a guardarla, fra seccato e imbarazzato; poi domandò: - Perché? Che cosha? Non può dirlo neanche a me?
novelle01_01_pirandello_f000070|E come Eleonora seguitava a singhiozzare, le s’appressò, provò a scostarle con fredda delicatezza una mano dal volto:|E come Eleonora seguitava a singhiozzare, le sappressò, provò a scostarle con fredda delicatezza una mano dal volto:
novelle01_01_pirandello_f000071|— Si calmi, via; lo dica a me; ci son qua io. Eleonora scosse il capo;|- Si calmi, via; lo dica a me; ci son qua io. Eleonora scosse il capo;
novelle01_01_pirandello_f000072|poi, d’un tratto, afferrò con tutt’e due le mani la mano di lui, contrasse il volto, come per un fitto spasimo|poi, dun tratto, afferrò con tutte due le mani la mano di lui, contrasse il volto, come per un fitto spasimo
novelle01_01_pirandello_f000073|e gemette: — Carlo! Carlo! Il D’Andrea si chinò su lei, un po’ impacciato nel suo rigido contegno.|e gemette: - Carlo! Carlo! Il DAndrea si chinò su lei, un po impacciato nel suo rigido contegno.
novelle01_01_pirandello_f000074|— Mi dica… Allora ella gli appoggiò una guancia su la mano e pregò disperatamente, a bassa voce: — Fammi, fammi morire, Carlo;|- Mi dica Allora ella gli appoggiò una guancia su la mano e pregò disperatamente, a bassa voce: - Fammi, fammi morire, Carlo;
novelle01_01_pirandello_f000075|ajutami tu, per carità! non trovo il modo;|ajutami tu, per carità! non trovo il modo;
novelle01_01_pirandello_f000076|mi manca il coraggio, la forza. — Morire?|mi manca il coraggio, la forza. - Morire?
novelle01_01_pirandello_f000077|— domandò il giovane, sorridendo. — Che dice? Perché?|- domandò il giovane, sorridendo. - Che dice? Perché?
novelle01_01_pirandello_f000078|— Morire, sí! — riprese lei, soffocata dai singhiozzi. — Insegnami tu il modo. Tu sei medico.|- Morire, sí! - riprese lei, soffocata dai singhiozzi. - Insegnami tu il modo. Tu sei medico.
novelle01_01_pirandello_f000079|Toglimi da questa agonia, per carità! Debbo morire. Non c’è altro rimedio per me. La morte sola. Egli la fissò, stupito.|Toglimi da questa agonia, per carità! Debbo morire. Non cè altro rimedio per me. La morte sola. Egli la fissò, stupito.
novelle01_01_pirandello_f000080|Anche lei alzò gli occhi a guardarlo, ma subito li richiuse|Anche lei alzò gli occhi a guardarlo, ma subito li richiuse
novelle01_01_pirandello_f000081|contraendo di nuovo il volto e restringendosi in sé, quasi colta da improvviso, vivissimo ribrezzo.|contraendo di nuovo il volto e restringendosi in sé, quasi colta da improvviso, vivissimo ribrezzo.
novelle01_01_pirandello_f000082|— Sí, sí, — disse poi, risolutamente.|- Sí, sí, - disse poi, risolutamente.
novelle01_01_pirandello_f000083|— Io, sí, Carlo: perduta! perduta! Istintivamente il D’Andrea ritrasse la mano, ch’ella teneva ancora tra le sue. — Come! Che dice? — balbettò.|- Io, sí, Carlo: perduta! perduta! Istintivamente il DAndrea ritrasse la mano, chella teneva ancora tra le sue. - Come! Che dice? - balbettò.
novelle01_01_pirandello_f000084|Senza guardarlo, ella si pose un dito su la bocca, poi indicò la porta: — Se lo sapesse! Non dirgli nulla, per pietà! Fammi prima morire;|Senza guardarlo, ella si pose un dito su la bocca, poi indicò la porta: - Se lo sapesse! Non dirgli nulla, per pietà! Fammi prima morire;
novelle01_01_pirandello_f000085|dammi, dammi qualche cosa: la prenderò come una medicina;|dammi, dammi qualche cosa: la prenderò come una medicina;
novelle01_01_pirandello_f000086|crederò che sia una medicina, che mi dai tu;|crederò che sia una medicina, che mi dai tu;
novelle01_01_pirandello_f000087|purché sia subito! Ah, non ho coraggio, non ho coraggio! Da due mesi, vedi|purché sia subito! Ah, non ho coraggio, non ho coraggio! Da due mesi, vedi
novelle01_01_pirandello_f000088|mi dibatto in quest’agonia, senza trovar la forza, il modo di farla finita.|mi dibatto in questagonia, senza trovar la forza, il modo di farla finita.
novelle01_01_pirandello_f000089|Che ajuto puoi darmi, tu, Carlo, che dici? — Che ajuto?|Che ajuto puoi darmi, tu, Carlo, che dici? - Che ajuto?
novelle01_01_pirandello_f000090|— ripeté il D’Andrea, ancora smarrito nello stupore.|- ripeté il DAndrea, ancora smarrito nello stupore.
novelle01_01_pirandello_f000091|Eleonora stese di nuovo le mani per prendergli un braccio e, guardandolo con occhi supplichevoli|Eleonora stese di nuovo le mani per prendergli un braccio e, guardandolo con occhi supplichevoli
novelle01_01_pirandello_f000092|soggiunse: — Se non vuoi farmi morire, non potresti… in qualche altro modo… salvarmi?|soggiunse: - Se non vuoi farmi morire, non potresti in qualche altro modo salvarmi?
novelle01_01_pirandello_f000093|Il D’Andrea, a questa proposta, s’irrigidí più che mai, aggrottando severamente le ciglia.|Il DAndrea, a questa proposta, sirrigidí più che mai, aggrottando severamente le ciglia.
novelle01_01_pirandello_f000094|— Te ne scongiuro, Carlo! — insistette lei.|- Te ne scongiuro, Carlo! - insistette lei.
novelle01_01_pirandello_f000095|— Non per me, non per me, ma perché Giorgio non sappia.|- Non per me, non per me, ma perché Giorgio non sappia.
novelle01_01_pirandello_f000096|Se tu credi che io abbia fatto qualche cosa per voi, per te, ajutami ora|Se tu credi che io abbia fatto qualche cosa per voi, per te, ajutami ora
novelle01_01_pirandello_f000097|salvami! Debbo finir cosí, dopo aver fatto tanto, dopo aver tanto sofferto?|salvami! Debbo finir cosí, dopo aver fatto tanto, dopo aver tanto sofferto?
novelle01_01_pirandello_f000098|cosí, in questa ignominia, all’età mia?|cosí, in questa ignominia, alletà mia?
novelle01_01_pirandello_f000099|Ah, che miseria! che orrore! — Ma come, Eleonora? Lei! Com’è stato? Chi è stato?|Ah, che miseria! che orrore! - Ma come, Eleonora? Lei! Comè stato? Chi è stato?
novelle01_01_pirandello_f000100|— fece il D’Andrea, non trovando, di fronte alla tremenda ambascia di lei, che questa domanda per la sua curiosità sbigottita.|- fece il DAndrea, non trovando, di fronte alla tremenda ambascia di lei, che questa domanda per la sua curiosità sbigottita.
novelle01_01_pirandello_f000101|Di nuovo Eleonora indicò la porta e si coprí il volto con le mani: — Non mi ci far pensare! Non posso pensarci! Dunque|Di nuovo Eleonora indicò la porta e si coprí il volto con le mani: - Non mi ci far pensare! Non posso pensarci! Dunque
novelle01_01_pirandello_f000102|non vuoi risparmiare a Giorgio questa vergogna? — E come? — domandò il D’Andrea.|non vuoi risparmiare a Giorgio questa vergogna? - E come? - domandò il DAndrea.
novelle01_01_pirandello_f000103|— Delitto, sa! Sarebbe un doppio delitto.|- Delitto, sa! Sarebbe un doppio delitto.
novelle01_01_pirandello_f000104|Piuttosto, mi dica: non si potrebbe in qualche altro modo… rimediare?|Piuttosto, mi dica: non si potrebbe in qualche altro modo rimediare?
novelle01_01_pirandello_f000105|— No! — rispose lei, recisamente, infoscandosi. — Basta. Ho capito.|- No! - rispose lei, recisamente, infoscandosi. - Basta. Ho capito.
novelle01_01_pirandello_f000106|Lasciami! Non ne posso più… Abbandonò il capo su la spalliera del seggiolone, rilassò le membra: sfinita.|Lasciami! Non ne posso più Abbandonò il capo su la spalliera del seggiolone, rilassò le membra: sfinita.
novelle01_01_pirandello_f000107|Carlo D’Andrea, con gli occhi fissi dietro le grosse lenti da miope, attese un pezzo|Carlo DAndrea, con gli occhi fissi dietro le grosse lenti da miope, attese un pezzo
novelle01_01_pirandello_f000108|senza trovar parole, non sapendo ancor credere a quella rivelazione|senza trovar parole, non sapendo ancor credere a quella rivelazione
novelle01_01_pirandello_f000109|né riuscendo a immaginare come mai quella donna, finora esempio, specchio di virtú,|né riuscendo a immaginare come mai quella donna, finora esempio, specchio di virtú,
novelle01_01_pirandello_f000110|d’abnegazione, fosse potuta cadere nella colpa. Possibile? Eleonora Bandi?|dabnegazione, fosse potuta cadere nella colpa. Possibile? Eleonora Bandi?
novelle01_01_pirandello_f000111|Ma se aveva in gioventú, per amore del fratello, rifiutato tanti partiti, uno più vantaggioso dell’altro! Come mai ora|Ma se aveva in gioventú, per amore del fratello, rifiutato tanti partiti, uno più vantaggioso dellaltro! Come mai ora
novelle01_01_pirandello_f000112|ora che la gioventú era tramontata… — Eh! ma forse per questo… La guardò|ora che la gioventú era tramontata - Eh! ma forse per questo La guardò
novelle01_01_pirandello_f000113|e il sospetto, di fronte a quel corpo cosí voluminoso, assunse all’improvviso|e il sospetto, di fronte a quel corpo cosí voluminoso, assunse allimprovviso
novelle01_01_pirandello_f000114|agli occhi di lui magro, un aspetto orribilmente sconcio e osceno.|agli occhi di lui magro, un aspetto orribilmente sconcio e osceno.
novelle01_01_pirandello_f000115|— Va’, dunque, — gli disse a un tratto, irritata, Eleonora, che pur senza guardarlo|- Va, dunque, - gli disse a un tratto, irritata, Eleonora, che pur senza guardarlo
novelle01_01_pirandello_f000116|in quel silenzio, si sentiva addosso l’inerte orrore di quel sospetto negli occhi di lui.|in quel silenzio, si sentiva addosso linerte orrore di quel sospetto negli occhi di lui.
novelle01_01_pirandello_f000117|— Va’, va’, a dirlo a Giorgio, perché faccia subito di me quello che vuole. Va’.|- Va, va, a dirlo a Giorgio, perché faccia subito di me quello che vuole. Va.
novelle01_01_pirandello_f000118|Il D’Andrea uscí, quasi automaticamente.|Il DAndrea uscí, quasi automaticamente.
novelle01_01_pirandello_f000119|Ella sollevò un poco il capo per vederlo uscire;|Ella sollevò un poco il capo per vederlo uscire;
novelle01_01_pirandello_f000120|poi, appena richiuso l’uscio, ricadde nella positura di prima.|poi, appena richiuso luscio, ricadde nella positura di prima.
novelle01_01_pirandello_f000121|CAPITULO DUE Dopo due mesi d’orrenda angoscia, quella confessione del suo stato la sollevò, insperatamente.|CAPITULO DUE Dopo due mesi dorrenda angoscia, quella confessione del suo stato la sollevò, insperatamente.
novelle01_01_pirandello_f000122|Le parve che il più, ormai, fosse fatto.|Le parve che il più, ormai, fosse fatto.
novelle01_01_pirandello_f000123|Ora, non avendo più forza di lottare, di resistere a quello strazio, si sarebbe abbandonata, cosí, alla sorte, qualunque fosse.|Ora, non avendo più forza di lottare, di resistere a quello strazio, si sarebbe abbandonata, cosí, alla sorte, qualunque fosse.
novelle01_01_pirandello_f000124|Il fratello, tra breve, sarebbe entrato e l’avrebbe uccisa?|Il fratello, tra breve, sarebbe entrato e lavrebbe uccisa?
novelle01_01_pirandello_f000125|Ebbene: tanto meglio! Non aveva più diritto a nessuna considerazione, a nessun compatimento.|Ebbene: tanto meglio! Non aveva più diritto a nessuna considerazione, a nessun compatimento.
novelle01_01_pirandello_f000126|Aveva fatto, sí, per lui e per quell’altro ingrato, più del suo dovere|Aveva fatto, sí, per lui e per quellaltro ingrato, più del suo dovere
novelle01_01_pirandello_f000127|ma in un momento poi aveva perduto il frutto di tutti i suoi benefizii.|ma in un momento poi aveva perduto il frutto di tutti i suoi benefizii.
novelle01_01_pirandello_f000128|Strizzò gli occhi, colta di nuovo dal ribrezzo.|Strizzò gli occhi, colta di nuovo dal ribrezzo.
novelle01_01_pirandello_f000129|Nel segreto della propria coscienza, si sentiva pure miseramente responsabile del suo fallo.|Nel segreto della propria coscienza, si sentiva pure miseramente responsabile del suo fallo.
novelle01_01_pirandello_f000130|Sí, lei, lei che per tanti anni aveva avuto la forza di resistere agli impulsi della gioventú|Sí, lei, lei che per tanti anni aveva avuto la forza di resistere agli impulsi della gioventú
novelle01_01_pirandello_f000131|lei che aveva sempre accolto in sé sentimenti puri e nobili|lei che aveva sempre accolto in sé sentimenti puri e nobili
novelle01_01_pirandello_f000132|lei che aveva considerato il proprio sacrifizio come un dovere: in un momento|lei che aveva considerato il proprio sacrifizio come un dovere: in un momento
novelle01_01_pirandello_f000133|perduta! Oh miseria! miseria! L’unica ragione che sentiva di potere addurre in sua discolpa, che valore poteva avere davanti al fratello?|perduta! Oh miseria! miseria! Lunica ragione che sentiva di potere addurre in sua discolpa, che valore poteva avere davanti al fratello?
novelle01_01_pirandello_f000134|Poteva dirgli: — «Guarda, Giorgio, che sono forse caduta per te»?|Poteva dirgli: - Guarda, Giorgio, che sono forse caduta per te?
novelle01_01_pirandello_f000135|— Eppure la verità era forse questa.|- Eppure la verità era forse questa.
novelle01_01_pirandello_f000136|Gli aveva fatto da madre, è vero? a quel fratello.|Gli aveva fatto da madre, è vero? a quel fratello.
novelle01_01_pirandello_f000137|Ebbene: in premio di tutti i benefizii lietamente prodigati, in premio del sacrifizio della propria vita|Ebbene: in premio di tutti i benefizii lietamente prodigati, in premio del sacrifizio della propria vita
novelle01_01_pirandello_f000138|non le era stato concesso neanche il piacere di scorgere un sorriso, anche lieve, di soddisfazione su le labbra di lui e dell’amico.|non le era stato concesso neanche il piacere di scorgere un sorriso, anche lieve, di soddisfazione su le labbra di lui e dellamico.
novelle01_01_pirandello_f000139|Pareva che avessero entrambi l’anima avvelenata di silenzio e di noja, oppressa come da una scimunita angustia.|Pareva che avessero entrambi lanima avvelenata di silenzio e di noja, oppressa come da una scimunita angustia.
novelle01_01_pirandello_f000140|Ottenuta la laurea, s’eran subito buttati al lavoro, come due bestie;|Ottenuta la laurea, seran subito buttati al lavoro, come due bestie;
novelle01_01_pirandello_f000141|con tanto impegno, con tanto accanimento che in poco tempo erano riusciti a bastare a se stessi.|con tanto impegno, con tanto accanimento che in poco tempo erano riusciti a bastare a se stessi.
novelle01_01_pirandello_f000142|Ora, questa fretta di sdebitarsi in qualche modo, come se a entrambi non ne paresse l’ora, l’aveva proprio ferita nel cuore.|Ora, questa fretta di sdebitarsi in qualche modo, come se a entrambi non ne paresse lora, laveva proprio ferita nel cuore.
novelle01_01_pirandello_f000143|Quasi d’un tratto, cosí, s’era trovata senza più scopo nella vita.|Quasi dun tratto, cosí, sera trovata senza più scopo nella vita.
novelle01_01_pirandello_f000144|Che le restava da fare, ora che i due giovani non avevano più bisogno di lei?|Che le restava da fare, ora che i due giovani non avevano più bisogno di lei?
novelle01_01_pirandello_f000145|E aveva perduto, irrimediabilmente, la gioventú.|E aveva perduto, irrimediabilmente, la gioventú.
novelle01_01_pirandello_f000146|Neanche coi primi guadagni della professione era tornato il sorriso su le labbra del fratello.|Neanche coi primi guadagni della professione era tornato il sorriso su le labbra del fratello.
novelle01_01_pirandello_f000147|Sentiva forse ancora il peso del sacrifizio ch’ella aveva fatto per lui?|Sentiva forse ancora il peso del sacrifizio chella aveva fatto per lui?
novelle01_01_pirandello_f000148|si sentiva forse vincolato da questo sacrifizio per tutta la vita|si sentiva forse vincolato da questo sacrifizio per tutta la vita
novelle01_01_pirandello_f000149|condannato a sacrificare a sua volta la propria gioventú, la libertà dei proprii sentimenti alla sorella?|condannato a sacrificare a sua volta la propria gioventú, la libertà dei proprii sentimenti alla sorella?
novelle01_01_pirandello_f000150|E aveva voluto parlargli a cuore aperto: — Non prenderti nessun pensiero di me|E aveva voluto parlargli a cuore aperto: - Non prenderti nessun pensiero di me
novelle01_01_pirandello_f000151|Giorgio! Io voglio soltanto vederti lieto, contento… capisci?|Giorgio! Io voglio soltanto vederti lieto, contento capisci?
novelle01_01_pirandello_f000152|Ma egli le aveva troncato subito in bocca le parole: — Zitta, zitta! Che dici? So quel che debbo fare. Ora spetta a me. — Ma come? cosí?|Ma egli le aveva troncato subito in bocca le parole: - Zitta, zitta! Che dici? So quel che debbo fare. Ora spetta a me. - Ma come? cosí?
novelle01_01_pirandello_f000153|— avrebbe voluto gridargli, lei, che, senza pensarci due volte, s’era sacrificata col sorriso sempre su le labbra e il cuor leggero.|- avrebbe voluto gridargli, lei, che, senza pensarci due volte, sera sacrificata col sorriso sempre su le labbra e il cuor leggero.
