imalavoglia_00_verga_f000001|Prefazione.|Prefazione.
imalavoglia_00_verga_f000024|in un’epoca che impone come regola di buon gusto un eguale formalismo per mascherare un’uniformità di sentimenti e d’idee.|in unepoca che impone come regola di buon gusto un eguale formalismo per mascherare ununiformità di sentimenti e didee.
imalavoglia_00_verga_f000025|perché la riproduzione artistica di cotesti quadri sia esatta, bisogna seguire scrupolosamente le norme di questa analisi;|perché la riproduzione artistica di cotesti quadri sia esatta, bisogna seguire scrupolosamente le norme di questa analisi;
imalavoglia_00_verga_f000026|esser sinceri per dimostrare la verità, giacché la forma è così inerente al soggetto|esser sinceri per dimostrare la verità, giacché la forma è così inerente al soggetto
imalavoglia_00_verga_f000027|quanto ogni parte del soggetto stesso è necessaria alla spiegazione dell’argomento generale.|quanto ogni parte del soggetto stesso è necessaria alla spiegazione dellargomento generale.
imalavoglia_00_verga_f000028|Il cammino fatale, incessante, spesso faticoso e febbrile che segue l’umanità per raggiungere la conquista del progresso|Il cammino fatale, incessante, spesso faticoso e febbrile che segue lumanità per raggiungere la conquista del progresso
imalavoglia_00_verga_f000029|è grandioso nel suo risultato, visto nell’insieme, da lontano.|è grandioso nel suo risultato, visto nellinsieme, da lontano.
imalavoglia_00_verga_f000030|Nella luce gloriosa che l’accompagna dileguansi le irrequietudini, le avidità|Nella luce gloriosa che laccompagna dileguansi le irrequietudini, le avidità
imalavoglia_00_verga_f000031|l’egoismo, tutte le passioni, tutti i vizi che si trasformano in virtù|legoismo, tutte le passioni, tutti i vizi che si trasformano in virtù
imalavoglia_00_verga_f000032|tutte le debolezze che aiutano l’immane lavoro, tutte le contraddizioni, dal cui attrito sviluppasi la luce della verità.|tutte le debolezze che aiutano limmane lavoro, tutte le contraddizioni, dal cui attrito sviluppasi la luce della verità.
imalavoglia_00_verga_f000033|Il risultato umanitario copre quanto c’è di meschino negli interessi particolari che lo producono;|Il risultato umanitario copre quanto cè di meschino negli interessi particolari che lo producono;
imalavoglia_00_verga_f000034|li giustifica quasi come mezzi necessari a stimolare l’attività dell’individuo cooperante inconscio a beneficio di tutti.|li giustifica quasi come mezzi necessari a stimolare lattività dellindividuo cooperante inconscio a beneficio di tutti.
imalavoglia_00_verga_f000035|Ogni movente di cotesto lavorìo universale, dalla ricerca del benessere materiale, alle più elevate ambizioni|Ogni movente di cotesto lavorìo universale, dalla ricerca del benessere materiale, alle più elevate ambizioni
imalavoglia_00_verga_f000036|è legittimato dal solo fatto della sua opportunità a raggiungere lo scopo del movimento incessante;|è legittimato dal solo fatto della sua opportunità a raggiungere lo scopo del movimento incessante;
imalavoglia_00_verga_f000037|e quando si conosce dove vada questa immensa corrente dell’attività umana, non si domanda al certo come ci va.|e quando si conosce dove vada questa immensa corrente dellattività umana, non si domanda al certo come ci va.
imalavoglia_00_verga_f000038|Solo l’osservatore, travolto anch’esso dalla fiumana, guardandosi attorno, ha il diritto di interessarsi ai deboli che restano per via,|Solo losservatore, travolto anchesso dalla fiumana, guardandosi attorno, ha il diritto di interessarsi ai deboli che restano per via,
imalavoglia_00_verga_f000039|ai fiacchi che si lasciano sorpassare dall’onda per finire più presto, ai vinti che levano le braccia disperate,|ai fiacchi che si lasciano sorpassare dallonda per finire più presto, ai vinti che levano le braccia disperate,
imalavoglia_00_verga_f000040|e piegano il capo sotto il piede brutale dei sopravvegnenti, i vincitori d’oggi,|e piegano il capo sotto il piede brutale dei sopravvegnenti, i vincitori doggi,
imalavoglia_00_verga_f000041|affrettati anch’essi, avidi anch’essi d’arrivare, e che saranno sorpassati domani.|affrettati anchessi, avidi anchessi darrivare, e che saranno sorpassati domani.
imalavoglia_00_verga_f000042|I Malavoglia, Mastro-don Gesualdo, la Duchessa de Leyra, l’Onorevole Scipioni|I Malavoglia, Mastro-don Gesualdo, la Duchessa de Leyra, lOnorevole Scipioni
imalavoglia_00_verga_f000043|l’Uomo di lusso sono altrettanti vinti che la corrente ha deposti sulla riva|lUomo di lusso sono altrettanti vinti che la corrente ha deposti sulla riva
imalavoglia_00_verga_f000044|dopo averli travolti e annegati, ciascuno colle stimate del suo peccato, che avrebbero dovuto essere lo sfolgorare della sua virtù.|dopo averli travolti e annegati, ciascuno colle stimate del suo peccato, che avrebbero dovuto essere lo sfolgorare della sua virtù.
imalavoglia_00_verga_f000045|Ciascuno, dal più umile al più elevato, ha avuta la sua parte nella lotta per l’esistenza, pel benessere|Ciascuno, dal più umile al più elevato, ha avuta la sua parte nella lotta per lesistenza, pel benessere
imalavoglia_00_verga_f000046|per l’ambizione — dall’umile pescatore al nuovo arricchito — alla intrusa nelle alte classi — all’uomo dall’ingegno e dalle volontà robuste|per lambizione - dallumile pescatore al nuovo arricchito - alla intrusa nelle alte classi - alluomo dallingegno e dalle volontà robuste
imalavoglia_00_verga_f000047|il quale si sente la forza di dominare gli altri uomini;|il quale si sente la forza di dominare gli altri uomini;
imalavoglia_00_verga_f000048|di prendersi da sè quella parte di considerazione pubblica che il pregiudizio sociale gli nega per la sua nascita illegale;|di prendersi da sè quella parte di considerazione pubblica che il pregiudizio sociale gli nega per la sua nascita illegale;
imalavoglia_00_verga_f000049|di fare la legge, lui nato fuori della legge — all’artista che crede di seguire il suo ideale seguendo un’altra forma dell’ambizione.|di fare la legge, lui nato fuori della legge - allartista che crede di seguire il suo ideale seguendo unaltra forma dellambizione.
imalavoglia_00_verga_f000050|Chi osserva questo spettacolo non ha il diritto di giudicarlo;|Chi osserva questo spettacolo non ha il diritto di giudicarlo;
imalavoglia_00_verga_f000051|è già molto se riesce a trarsi un istante fuori del campo della lotta per studiarla senza passione, e rendere la scena nettamente|è già molto se riesce a trarsi un istante fuori del campo della lotta per studiarla senza passione, e rendere la scena nettamente
imalavoglia_00_verga_f000052|coi colori adatti, tale da dare la rappresentazione della realtà com’è stata, o come avrebbe dovuto essere.|coi colori adatti, tale da dare la rappresentazione della realtà comè stata, o come avrebbe dovuto essere.
imalavoglia_00_verga_f000053|Milano, diciannove gennaio mille ottocento ottantuno.|Milano, diciannove gennaio mille ottocento ottantuno.
imalavoglia_00_verga_f000054|Fine de la Prefazione.|Fine de la Prefazione.
imalavoglia_01_verga_f000001|Capitolo Primo.|Capitolo Primo.
imalavoglia_01_verga_f000002|Un tempo i Malavoglia erano stati numerosi come i sassi della strada vecchia di Trezza;|Un tempo i Malavoglia erano stati numerosi come i sassi della strada vecchia di Trezza;
imalavoglia_01_verga_f000003|ce n’erano persino ad Ognina, e ad Aci Castello, tutti buona e brava gente di mare|ce nerano persino ad Ognina, e ad Aci Castello, tutti buona e brava gente di mare
imalavoglia_01_verga_f000004|proprio all’opposto di quel che sembrava dal nomignolo, come dev’essere.|proprio allopposto di quel che sembrava dal nomignolo, come devessere.
imalavoglia_01_verga_f000005|Veramente nel libro della parrocchia si chiamavano Toscano, ma questo non voleva dir nulla|Veramente nel libro della parrocchia si chiamavano Toscano, ma questo non voleva dir nulla
imalavoglia_01_verga_f000006|poiché da che il mondo era mondo, all’Ognina, a Trezza e ad Aci Castello|poiché da che il mondo era mondo, allOgnina, a Trezza e ad Aci Castello
imalavoglia_01_verga_f000007|li avevano sempre conosciuti per Malavoglia, di padre in figlio, che avevano sempre avuto delle barche sull’acqua, e delle tegole al sole.|li avevano sempre conosciuti per Malavoglia, di padre in figlio, che avevano sempre avuto delle barche sullacqua, e delle tegole al sole.
imalavoglia_01_verga_f000008|Adesso a Trezza non rimanevano che i Malavoglia di padron Antoni|Adesso a Trezza non rimanevano che i Malavoglia di padron Antoni
imalavoglia_01_verga_f000009|quelli della casa del nespolo, e della Provvidenza ch’era ammarrata sul greto|quelli della casa del nespolo, e della Provvidenza chera ammarrata sul greto
imalavoglia_01_verga_f000010|sotto il lavatoio, accanto alla Concetta dello zio Cola, e alla paranza di padron Fortunato Cipolla.|sotto il lavatoio, accanto alla Concetta dello zio Cola, e alla paranza di padron Fortunato Cipolla.
imalavoglia_01_verga_f000011|Le burrasche che avevano disperso di qua e di là gli altri Malavoglia|Le burrasche che avevano disperso di qua e di là gli altri Malavoglia
imalavoglia_01_verga_f000012|erano passate senza far gran danno sulla casa del nespolo e sulla barca ammarrata sotto il lavatoio;|erano passate senza far gran danno sulla casa del nespolo e sulla barca ammarrata sotto il lavatoio;
imalavoglia_01_verga_f000013|e padron Antoni, per spiegare il miracolo, soleva dire|e padron Antoni, per spiegare il miracolo, soleva dire
imalavoglia_01_verga_f000014|mostrando il pugno chiuso — un pugno che sembrava fatto di legno di noce — Per menare il remo bisogna che le cinque dita s’aiutino l’un l’altro.|mostrando il pugno chiuso - un pugno che sembrava fatto di legno di noce - Per menare il remo bisogna che le cinque dita saiutino lun laltro.
imalavoglia_01_verga_f000015|Diceva pure: — Gli uomini son fatti come le dita della mano: il dito grosso deve far da dito grosso|Diceva pure: - Gli uomini son fatti come le dita della mano: il dito grosso deve far da dito grosso
imalavoglia_01_verga_f000016|e il dito piccolo deve far da dito piccolo.|e il dito piccolo deve far da dito piccolo.
imalavoglia_01_verga_f000017|E la famigliuola di padron Antoni era realmente disposta come le dita della mano.|E la famigliuola di padron Antoni era realmente disposta come le dita della mano.
imalavoglia_01_verga_f000018|Prima veniva lui, il dito grosso, che comandava le feste e le quarant’ore;|Prima veniva lui, il dito grosso, che comandava le feste e le quarantore;
imalavoglia_01_verga_f000019|poi suo figlio Bastiano, Bastianazzo|poi suo figlio Bastiano, Bastianazzo
imalavoglia_01_verga_f000020|perché era grande e grosso quanto il San Cristoforo che c’era dipinto sotto l’arco della pescheria della città;|perché era grande e grosso quanto il San Cristoforo che cera dipinto sotto larco della pescheria della città;
imalavoglia_01_verga_f000021|e così grande e grosso com’era filava diritto alla manovra comandata|e così grande e grosso comera filava diritto alla manovra comandata
imalavoglia_01_verga_f000022|e non si sarebbe soffiato il naso se suo padre non gli avesse detto|e non si sarebbe soffiato il naso se suo padre non gli avesse detto
imalavoglia_01_verga_f000023|«sóffiati il naso» tanto che s’era tolta in moglie la Longa quando gli avevano detto «pigliatela».|sóffiati il naso tanto che sera tolta in moglie la Longa quando gli avevano detto pigliatela.
imalavoglia_01_verga_f000024|Poi veniva la Longa, una piccina che badava a tessere, salare le acciughe, e far figliuoli, da buona massaia;|Poi veniva la Longa, una piccina che badava a tessere, salare le acciughe, e far figliuoli, da buona massaia;
imalavoglia_01_verga_f000025|infine i nipoti, in ordine di anzianità: Antoni il maggiore|infine i nipoti, in ordine di anzianità: Antoni il maggiore
imalavoglia_01_verga_f000026|un bighellone di vent’anni, che si buscava tutt’ora qualche scappellotto dal nonno|un bighellone di ventanni, che si buscava tuttora qualche scappellotto dal nonno
imalavoglia_01_verga_f000027|e qualche pedata più giù per rimettere l’equilibrio, quando lo scappellotto era stato troppo forte;|e qualche pedata più giù per rimettere lequilibrio, quando lo scappellotto era stato troppo forte;
imalavoglia_01_verga_f000028|Luca, «che aveva più giudizio del grande» ripeteva il nonno;|Luca, che aveva più giudizio del grande ripeteva il nonno;
imalavoglia_01_verga_f000029|Mena (Filomena) soprannominata «Sant’Agata» perché stava sempre al telaio|Mena Filomena soprannominata SantAgata perché stava sempre al telaio
imalavoglia_01_verga_f000030|e si suol dire «donna di telaio, gallina di pollaio, e triglia di gennaio»;|e si suol dire donna di telaio, gallina di pollaio, e triglia di gennaio;
imalavoglia_01_verga_f000031|Alessi (Alessio) un moccioso tutto suo nonno colui!;|Alessi Alessio un moccioso tutto suo nonno colui!;
imalavoglia_01_verga_f000032|e Lia (Rosalia) ancora né carne né pesce.|e Lia Rosalia ancora né carne né pesce.
imalavoglia_01_verga_f000033|— Alla domenica, quando entravano in chiesa, l’uno dietro l’altro, pareva una processione.|- Alla domenica, quando entravano in chiesa, luno dietro laltro, pareva una processione.
imalavoglia_01_verga_f000034|Padron Antoni sapeva anche certi motti e proverbi che aveva sentito dagli antichi: «perché il motto degli antichi mai mentì»:|Padron Antoni sapeva anche certi motti e proverbi che aveva sentito dagli antichi: perché il motto degli antichi mai mentì:
imalavoglia_01_verga_f000035|— «Senza pilota barca non cammina» — «Per far da papa bisogna saper far da sagrestano» — oppure — «Fa il mestiere che sai|- Senza pilota barca non cammina - Per far da papa bisogna saper far da sagrestano - oppure - Fa il mestiere che sai
imalavoglia_01_verga_f000036|che se non arricchisci camperai» — «Contentati di quel che t’ha fatto tuo padre;|che se non arricchisci camperai - Contentati di quel che tha fatto tuo padre;
imalavoglia_01_verga_f000037|se non altro non sarai un birbante» ed altre sentenze giudiziose.|se non altro non sarai un birbante ed altre sentenze giudiziose.
imalavoglia_01_verga_f000038|Ecco perché la casa del nespolo prosperava, e padron Antoni passava per testa quadra|Ecco perché la casa del nespolo prosperava, e padron Antoni passava per testa quadra
imalavoglia_01_verga_f000039|al punto che a Trezza l’avrebbero fatto consigliere comunale, se don Silvestro, il segretario, il quale la sapeva lunga|al punto che a Trezza lavrebbero fatto consigliere comunale, se don Silvestro, il segretario, il quale la sapeva lunga
imalavoglia_01_verga_f000040|non avesse predicato che era un codino marcio, un reazionario di quelli che proteggono i Borboni|non avesse predicato che era un codino marcio, un reazionario di quelli che proteggono i Borboni
imalavoglia_01_verga_f000041|e che cospirava pel ritorno di Franceschello, onde poter spadroneggiare nel villaggio, come spadroneggiava in casa propria.|e che cospirava pel ritorno di Franceschello, onde poter spadroneggiare nel villaggio, come spadroneggiava in casa propria.
imalavoglia_01_verga_f000042|Padron Antoni invece non lo conosceva neanche di vista Franceschello, e badava agli affari suoi|Padron Antoni invece non lo conosceva neanche di vista Franceschello, e badava agli affari suoi
imalavoglia_01_verga_f000043|e soleva dire: «Chi ha carico di casa non può dormire quando vuole» perché «chi comanda ha da dar conto».|e soleva dire: Chi ha carico di casa non può dormire quando vuole perché chi comanda ha da dar conto.
imalavoglia_01_verga_f000044|Nel dicembre mille ottocento sessantatré, Antoni, il maggiore dei nipoti, era stato chiamato per la leva di mare.|Nel dicembre mille ottocento sessantatré, Antoni, il maggiore dei nipoti, era stato chiamato per la leva di mare.
imalavoglia_01_verga_f000045|Padron Antoni allora era corso dai pezzi grossi del paese, che son quelli che possono aiutarci.|Padron Antoni allora era corso dai pezzi grossi del paese, che son quelli che possono aiutarci.
imalavoglia_01_verga_f000046|Ma don Giammaria, il vicario, gli avea risposto che gli stava bene|Ma don Giammaria, il vicario, gli avea risposto che gli stava bene
imalavoglia_01_verga_f000047|e questo era il frutto di quella rivoluzione di satanasso che avevano fatto collo sciorinare il fazzoletto tricolore dal campanile.|e questo era il frutto di quella rivoluzione di satanasso che avevano fatto collo sciorinare il fazzoletto tricolore dal campanile.
imalavoglia_01_verga_f000048|Invece don Franco lo speziale si metteva a ridere fra i peli della barbona|Invece don Franco lo speziale si metteva a ridere fra i peli della barbona
imalavoglia_01_verga_f000049|e gli giurava fregandosi le mani che se arrivavano a mettere assieme un po’ di repubblica|e gli giurava fregandosi le mani che se arrivavano a mettere assieme un po di repubblica
imalavoglia_01_verga_f000050|tutti quelli della leva e delle tasse li avrebbero presi a calci nel sedere|tutti quelli della leva e delle tasse li avrebbero presi a calci nel sedere
imalavoglia_01_verga_f000051|ché soldati non ce ne sarebbero stati più, e invece tutti sarebbero andati alla guerra, se bisognava.|ché soldati non ce ne sarebbero stati più, e invece tutti sarebbero andati alla guerra, se bisognava.
imalavoglia_01_verga_f000052|Allora padron Antoni lo pregava e lo strapregava per l’amor di Dio di fargliela presto la repubblica|Allora padron Antoni lo pregava e lo strapregava per lamor di Dio di fargliela presto la repubblica
imalavoglia_01_verga_f000053|prima che suo nipote Antoni andasse soldato, come se don Franco ce l’avesse in tasca;|prima che suo nipote Antoni andasse soldato, come se don Franco ce lavesse in tasca;
imalavoglia_01_verga_f000054|tanto che lo speziale finì coll’andare in collera.|tanto che lo speziale finì collandare in collera.
imalavoglia_01_verga_f000055|Allora don Silvestro il segretario si smascellava dalle risa a quei discorsi|Allora don Silvestro il segretario si smascellava dalle risa a quei discorsi
imalavoglia_01_verga_f000056|e finalmente disse lui che con un certo gruzzoletto fatto scivolare in tasca a tale e tal altra persona che sapeva lui|e finalmente disse lui che con un certo gruzzoletto fatto scivolare in tasca a tale e tal altra persona che sapeva lui
imalavoglia_01_verga_f000057|avrebbero saputo trovare a suo nipote un difetto da riformarlo.|avrebbero saputo trovare a suo nipote un difetto da riformarlo.
imalavoglia_01_verga_f000058|Per disgrazia il ragazzo era fatto con coscienza, come se ne fabbricano ancora ad Aci Trezza|Per disgrazia il ragazzo era fatto con coscienza, come se ne fabbricano ancora ad Aci Trezza
imalavoglia_01_verga_f000059|e il dottore della leva, quando si vide dinanzi quel pezzo di giovanotto|e il dottore della leva, quando si vide dinanzi quel pezzo di giovanotto
imalavoglia_01_verga_f000060|gli disse che aveva il difetto di esser piantato come un pilastro su quei piedacci che sembravano pale di ficodindia;|gli disse che aveva il difetto di esser piantato come un pilastro su quei piedacci che sembravano pale di ficodindia;
imalavoglia_01_verga_f000061|ma i piedi fatti a pala di ficodindia ci stanno meglio degli stivalini stretti sul ponte di una corazzata, in certe giornataccie;|ma i piedi fatti a pala di ficodindia ci stanno meglio degli stivalini stretti sul ponte di una corazzata, in certe giornataccie;
imalavoglia_01_verga_f000062|e perciò si presero Antoni senza dire «permettete».|e perciò si presero Antoni senza dire permettete.
imalavoglia_01_verga_f000063|La Longa, mentre i coscritti erano condotti in quartiere, trottando trafelata accanto al passo lungo del figliuolo|La Longa, mentre i coscritti erano condotti in quartiere, trottando trafelata accanto al passo lungo del figliuolo
imalavoglia_01_verga_f000064|gli andava raccomandando di tenersi sempre sul petto l’abitino della Madonna|gli andava raccomandando di tenersi sempre sul petto labitino della Madonna
imalavoglia_01_verga_f000065|e di mandare le notizie ogni volta che tornava qualche conoscente dalla città, che poi gli avrebbero mandati i soldi per la carta.|e di mandare le notizie ogni volta che tornava qualche conoscente dalla città, che poi gli avrebbero mandati i soldi per la carta.
imalavoglia_01_verga_f000066|Il nonno, da uomo, non diceva nulla;|Il nonno, da uomo, non diceva nulla;
imalavoglia_01_verga_f000067|ma si sentiva un gruppo nella gola anch’esso, ed evitava di guardare in faccia la nuora, quasi ce l’avesse con lei.|ma si sentiva un gruppo nella gola anchesso, ed evitava di guardare in faccia la nuora, quasi ce lavesse con lei.
imalavoglia_01_verga_f000068|Così se ne tornarono ad Aci Trezza zitti zitti e a capo chino.|Così se ne tornarono ad Aci Trezza zitti zitti e a capo chino.
imalavoglia_01_verga_f000069|Bastianazzo, che si era sbrigato in fretta dal disarmare la Provvidenza, per andare ad aspettarli in capo alla via|Bastianazzo, che si era sbrigato in fretta dal disarmare la Provvidenza, per andare ad aspettarli in capo alla via
imalavoglia_01_verga_f000070|come li vide comparire a quel modo, mogi mogi e colle scarpe in mano, non ebbe animo di aprir bocca, e se ne tornò a casa con loro.|come li vide comparire a quel modo, mogi mogi e colle scarpe in mano, non ebbe animo di aprir bocca, e se ne tornò a casa con loro.
imalavoglia_01_verga_f000071|La Longa corse subito a cacciarsi in cucina|La Longa corse subito a cacciarsi in cucina
imalavoglia_01_verga_f000072|quasi avesse furia di trovarsi a quattr’occhi colle vecchie stoviglie, e padron Antoni disse al figliuolo:|quasi avesse furia di trovarsi a quattrocchi colle vecchie stoviglie, e padron Antoni disse al figliuolo:
imalavoglia_01_verga_f000073|— Va a dirle qualche cosa, a quella poveretta; non ne può più.|- Va a dirle qualche cosa, a quella poveretta; non ne può più.
imalavoglia_01_verga_f000074|Il giorno dopo tornarono tutti alla stazione di Aci Castello per veder passare il convoglio dei coscritti che andavano a Messina|Il giorno dopo tornarono tutti alla stazione di Aci Castello per veder passare il convoglio dei coscritti che andavano a Messina
imalavoglia_01_verga_f000075|e aspettarono più di un’ora, pigiati dalla folla, dietro lo stecconato.|e aspettarono più di unora, pigiati dalla folla, dietro lo stecconato.
imalavoglia_01_verga_f000076|Finalmente giunse il treno, e si videro tutti quei ragazzi che annaspavano|Finalmente giunse il treno, e si videro tutti quei ragazzi che annaspavano
imalavoglia_01_verga_f000077|col capo fuori dagli sportelli, come fanno i buoi quando sono condotti alla fiera.|col capo fuori dagli sportelli, come fanno i buoi quando sono condotti alla fiera.
imalavoglia_01_verga_f000078|I canti, le risate e il baccano erano tali che sembrava la festa di Trecastagni|I canti, le risate e il baccano erano tali che sembrava la festa di Trecastagni
imalavoglia_01_verga_f000079|e nella ressa e nel frastuono ci si dimenticava perfino quello stringimento di cuore che si aveva prima.|e nella ressa e nel frastuono ci si dimenticava perfino quello stringimento di cuore che si aveva prima.
imalavoglia_01_verga_f000080|— Addio Antoni! — Addio mamma! — Addio! ricordati! ricordati! — Lì presso|- Addio Antoni! - Addio mamma! - Addio! ricordati! ricordati! - Lì presso
imalavoglia_01_verga_f000081|sull’argine della via, c’era la Sara di comare Tudda, a mietere l’erba pel vitello;|sullargine della via, cera la Sara di comare Tudda, a mietere lerba pel vitello;
imalavoglia_01_verga_f000082|ma comare Venera la Zuppidda andava soffiando che c’era venuta per salutare Antoni di padron Antoni|ma comare Venera la Zuppidda andava soffiando che cera venuta per salutare Antoni di padron Antoni
imalavoglia_01_verga_f000083|col quale si parlavano dal muro dell’orto, li aveva visti lei, con quegli occhi che dovevano mangiarseli i vermi.|col quale si parlavano dal muro dellorto, li aveva visti lei, con quegli occhi che dovevano mangiarseli i vermi.
imalavoglia_01_verga_f000084|Certo è che Antoni salutò la Sara colla mano, ed ella rimase colla falce in pugno a guardare Finché il treno non si mosse.|Certo è che Antoni salutò la Sara colla mano, ed ella rimase colla falce in pugno a guardare Finché il treno non si mosse.
imalavoglia_01_verga_f000085|Alla Longa, l’era parso rubato a lei quel saluto;|Alla Longa, lera parso rubato a lei quel saluto;
imalavoglia_01_verga_f000086|e molto tempo dopo, ogni volta che incontrava la Sara di comare Tudda, nella piazza o al lavatoio, le voltava le spalle.|e molto tempo dopo, ogni volta che incontrava la Sara di comare Tudda, nella piazza o al lavatoio, le voltava le spalle.
imalavoglia_01_verga_f000087|Poi il treno era partito fischiando e strepitando in modo da mangiarsi i canti e gli addii.|Poi il treno era partito fischiando e strepitando in modo da mangiarsi i canti e gli addii.
imalavoglia_01_verga_f000088|E dopo che i curiosi si furono dileguati, non rimasero che alcune donnicciuole|E dopo che i curiosi si furono dileguati, non rimasero che alcune donnicciuole
imalavoglia_01_verga_f000089|e qualche povero diavolo, che si tenevano ancora stretti ai pali dello stecconato, senza saper perché.|e qualche povero diavolo, che si tenevano ancora stretti ai pali dello stecconato, senza saper perché.
imalavoglia_01_verga_f000090|Quindi a poco a poco si sbrancarono anch’essi, e padron Antoni|Quindi a poco a poco si sbrancarono anchessi, e padron Antoni
imalavoglia_01_verga_f000091|indovinando che la nuora dovesse avere la bocca amara, le pagò due centesimi di acqua col limone.|indovinando che la nuora dovesse avere la bocca amara, le pagò due centesimi di acqua col limone.
imalavoglia_01_verga_f000092|Comare Venera la Zuppidda, per confortare comare la Longa, le andava dicendo: — Ora mettetevi il cuore in pace|Comare Venera la Zuppidda, per confortare comare la Longa, le andava dicendo: - Ora mettetevi il cuore in pace
imalavoglia_01_verga_f000093|che per cinque anni bisogna fare come se vostro figlio fosse morto, e non pensarci più.|che per cinque anni bisogna fare come se vostro figlio fosse morto, e non pensarci più.
imalavoglia_01_verga_f000094|Ma pure ci pensavano sempre, nella casa del nespolo|Ma pure ci pensavano sempre, nella casa del nespolo
imalavoglia_01_verga_f000095|o per certa scodella che le veniva tutti i giorni sotto mano alla Longa nell’apparecchiare il deschetto|o per certa scodella che le veniva tutti i giorni sotto mano alla Longa nellapparecchiare il deschetto
