koenigsgaukler_1_f000001|Die Geburt Mantaos in der Lotosblume|Die Geburt Mantaos in der Lotosblume
koenigsgaukler_1_f000012|Vergangenheit, Gegenwart und Zukunft gehen leise und unmerklich in eines über und es ist euch, als wäre es erst heute geschehen, daß Mantao, der Königsgaukler, in einer Lotosblume geboren wurde.|Vergangenheit, Gegenwart und Zukunft gehen leise und unmerklich in eines über und es ist euch, als wäre es erst heute geschehen, daß Mantao, der Königsgaukler, in einer Lotosblume geboren wurde.
koenigsgaukler_1_f000013|Denkt euch, es wäre heute.|Denkt euch, es wäre heute.
koenigsgaukler_1_f000014|Die Nacht breitete ihren Sternenteppich aus über Indiens heiliges Land und auf dem Teppich der Sterne stieg langsam und feierlich ein Engel auf die Erde nieder und dieser Engel trug Mantaos kleine Seele in den Armen|Die Nacht breitete ihren Sternenteppich aus über Indiens heiliges Land und auf dem Teppich der Sterne stieg langsam und feierlich ein Engel auf die Erde nieder und dieser Engel trug Mantaos kleine Seele in den Armen
koenigsgaukler_1_f000015|um sie behutsam und liebreich in den Kelch der Lotosblume zu legen.|um sie behutsam und liebreich in den Kelch der Lotosblume zu legen.
koenigsgaukler_1_f000016|Wenn ich sage, daß er Mantaos kleine Seele trug, so müßt ihr das nicht so verstehen, als wenn Mantao eine kleine Seele gehabt habe, arm an Tiefe des Gefühls und schwach an geistigen Kräften.|Wenn ich sage, daß er Mantaos kleine Seele trug, so müßt ihr das nicht so verstehen, als wenn Mantao eine kleine Seele gehabt habe, arm an Tiefe des Gefühls und schwach an geistigen Kräften.
koenigsgaukler_1_f000017|Mantaos, des Königsgauklers, Seele war groß und stark und reich und wenn sie oben über den Sternen ihre Schwingen regte, dann klang es, als wenn Glocken läuteten in Frieden und Feierabend.|Mantaos, des Königsgauklers, Seele war groß und stark und reich und wenn sie oben über den Sternen ihre Schwingen regte, dann klang es, als wenn Glocken läuteten in Frieden und Feierabend.
koenigsgaukler_1_f000018|Aber es war doch nur eine Menschenseele – und seht ihr, wenn der Engel, den jede Menschenseele zum Hüter hat, seine anvertraute Menschenseele aus der Welt über den Sternen hinabträgt auf diese Welt|Aber es war doch nur eine Menschenseele - und seht ihr, wenn der Engel, den jede Menschenseele zum Hüter hat, seine anvertraute Menschenseele aus der Welt über den Sternen hinabträgt auf diese Welt
koenigsgaukler_1_f000019|dann wird die Menschenseele schwach und müde, wie ein kleines Kind, denn es ist ein weiter Weg und es dauert lange, bis sich die Menschenseele an die Erde gewöhnt und an den fremden Boden, der mehr Dornen als Rosen trägt.|dann wird die Menschenseele schwach und müde, wie ein kleines Kind, denn es ist ein weiter Weg und es dauert lange, bis sich die Menschenseele an die Erde gewöhnt und an den fremden Boden, der mehr Dornen als Rosen trägt.
koenigsgaukler_1_f000020|Ihr alle kennt das, denn ihr alle seid geboren auf dieser Erde und euer Engel hat euch auf dem Sternenteppich hinabgetragen, wenn ihr es auch vergessen habt.|Ihr alle kennt das, denn ihr alle seid geboren auf dieser Erde und euer Engel hat euch auf dem Sternenteppich hinabgetragen, wenn ihr es auch vergessen habt.
koenigsgaukler_1_f000021|Aber ihr werdet euch gewiß erinnern, wenn ich es euch wieder beschreibe.|Aber ihr werdet euch gewiß erinnern, wenn ich es euch wieder beschreibe.
koenigsgaukler_1_f000022|Es ist, als wäre man sehr schwer geworden, als habe man Flügel gehabt, klingende tragende Schwingen – und diese seien einem genommen worden, so daß man nicht weiß, wie man sich bewegen soll.|Es ist, als wäre man sehr schwer geworden, als habe man Flügel gehabt, klingende tragende Schwingen - und diese seien einem genommen worden, so daß man nicht weiß, wie man sich bewegen soll.
koenigsgaukler_1_f000023|Es ist, als sei die Luft dick und trübe geworden und man könne nicht mehr gut sehen und hören, man müsse das alles noch einmal ganz von neuem lernen – man müsse von neuem atmen und leben lernen, aber langsamer, schwerer und schleppender.|Es ist, als sei die Luft dick und trübe geworden und man könne nicht mehr gut sehen und hören, man müsse das alles noch einmal ganz von neuem lernen - man müsse von neuem atmen und leben lernen, aber langsamer, schwerer und schleppender.
koenigsgaukler_1_f000024|Es ist wie ein dickes Kleid, das man angezogen hat, die geschmeidigen Glieder sind wie in Watte gewickelt und man ist müde, müde und benommen.|Es ist wie ein dickes Kleid, das man angezogen hat, die geschmeidigen Glieder sind wie in Watte gewickelt und man ist müde, müde und benommen.
koenigsgaukler_1_f000025|Die Lotosblume aber dreht sich, dreht sich immer schneller und schneller, so daß man ganz schwindlig wird – und viele feine Fäden spinnen sich vom Kelch der Blume zu dem Boden hinüber, auf dem wir nun leben sollen und der mehr Dornen als Rosen trägt.|Die Lotosblume aber dreht sich, dreht sich immer schneller und schneller, so daß man ganz schwindlig wird - und viele feine Fäden spinnen sich vom Kelch der Blume zu dem Boden hinüber, auf dem wir nun leben sollen und der mehr Dornen als Rosen trägt.
koenigsgaukler_1_f000026|Die Fäden halten immer fester und fester und man fühlt nun deutlich, daß man sie alle erst wird lösen müssen in einer langen mühseligen Arbeit, ehe man wieder aufsteigen darf zu den lichten Fernen, aus denen man gekommen, zu der Welt über den Sternen.|Die Fäden halten immer fester und fester und man fühlt nun deutlich, daß man sie alle erst wird lösen müssen in einer langen mühseligen Arbeit, ehe man wieder aufsteigen darf zu den lichten Fernen, aus denen man gekommen, zu der Welt über den Sternen.
koenigsgaukler_1_f000027|Nicht wahr, ihr erinnert euch jetzt und werdet nun auch verstehen, warum Mantaos Seele so klein war, daß es aussah, als trüge der Engel ein kleines Kind auf den Armen.|Nicht wahr, ihr erinnert euch jetzt und werdet nun auch verstehen, warum Mantaos Seele so klein war, daß es aussah, als trüge der Engel ein kleines Kind auf den Armen.
koenigsgaukler_1_f000028|Leise und behutsam legte der Engel Mantaos Seele in den Kelch der Lotosblume.|Leise und behutsam legte der Engel Mantaos Seele in den Kelch der Lotosblume.
koenigsgaukler_1_f000029|Er sah ernst und traurig dabei aus, denn er wußte, daß er Abschied von ihm nahm, wenn er auch stets unsichtbar um ihn sein würde, und er wußte, daß Mantao, der Königsgaukler, einen schweren und einsamen Weg wandern würde|Er sah ernst und traurig dabei aus, denn er wußte, daß er Abschied von ihm nahm, wenn er auch stets unsichtbar um ihn sein würde, und er wußte, daß Mantao, der Königsgaukler, einen schweren und einsamen Weg wandern würde
koenigsgaukler_1_f000030|ehe er wieder heimfand in die Welt über den Sternen.|ehe er wieder heimfand in die Welt über den Sternen.
koenigsgaukler_1_f000031|Es ist kein leichter Gang für einen Engel, wenn er seine anvertraute Menschenseele zur Erde geleitet, besonders wenn es eine starke und große Seele ist, an die sich die anderen anklammern – die ihren Weg nicht nur für sich|Es ist kein leichter Gang für einen Engel, wenn er seine anvertraute Menschenseele zur Erde geleitet, besonders wenn es eine starke und große Seele ist, an die sich die anderen anklammern - die ihren Weg nicht nur für sich
koenigsgaukler_1_f000032|sondern auch für andere geht und die den Schild halten soll über allem, was atmet.|sondern auch für andere geht und die den Schild halten soll über allem, was atmet.
koenigsgaukler_1_f000033|Es ist schon schöner, diese Seele wieder zu empfangen, wenn sie heimkehrt in die Welt über den Sternen.|Es ist schon schöner, diese Seele wieder zu empfangen, wenn sie heimkehrt in die Welt über den Sternen.
koenigsgaukler_1_f000034|Der Erhabene segne deinen Pfad, sagte der Engel, und er segne deinen Pfad allen, für die du ausgegangen bist, Menschen, Tieren und allem Leben.|Der Erhabene segne deinen Pfad, sagte der Engel, und er segne deinen Pfad allen, für die du ausgegangen bist, Menschen, Tieren und allem Leben.
koenigsgaukler_1_f000035|Ich werde für dich auf die Kette der Dinge achten, ich werde den Fäden deines Lebens folgen und deinen Stern über dir halten im Tempel Brahmas und im Schmutz der Gosse.|Ich werde für dich auf die Kette der Dinge achten, ich werde den Fäden deines Lebens folgen und deinen Stern über dir halten im Tempel Brahmas und im Schmutz der Gosse.
koenigsgaukler_1_f000036|So werde ich immer bei dir sein und doch ist es eine Trennung, denn Himmel und Erde sind ineinander verflochten und doch getrennt.|So werde ich immer bei dir sein und doch ist es eine Trennung, denn Himmel und Erde sind ineinander verflochten und doch getrennt.
koenigsgaukler_1_f000037|Nun nehme ich Abschied von dir.|Nun nehme ich Abschied von dir.
koenigsgaukler_1_f000038|Es ist ein harter Weg, den du wandern wirst.|Es ist ein harter Weg, den du wandern wirst.
koenigsgaukler_1_f000039|Nicht oft werden solche Seelen in den Kelch der Lotosblume gesenkt.|Nicht oft werden solche Seelen in den Kelch der Lotosblume gesenkt.
koenigsgaukler_1_f000040|Denn du wirst ein Königsgaukler sein und du wirst sehr, sehr traurig werden, wenn du das begreifst, und doch wirst du sehr froh werden, denn dein Weg ist ein Weg, auf dem die Dinge ineinander übergehen.|Denn du wirst ein Königsgaukler sein und du wirst sehr, sehr traurig werden, wenn du das begreifst, und doch wirst du sehr froh werden, denn dein Weg ist ein Weg, auf dem die Dinge ineinander übergehen.
koenigsgaukler_1_f000041|Der Erhabene segne deinen Pfad.|Der Erhabene segne deinen Pfad.
koenigsgaukler_1_f000042|Mehr als andere braucht dein Pfad den Segen des Erhabenen, denn er ist der Pfad der Königsgaukler.|Mehr als andere braucht dein Pfad den Segen des Erhabenen, denn er ist der Pfad der Königsgaukler.
koenigsgaukler_1_f000043|Die Lotosblume drehte und drehte sich.|Die Lotosblume drehte und drehte sich.
koenigsgaukler_1_f000044|Zahllose Fäden kamen aus ihr hervor und klammerten sich immer fester und fester an den Boden der Erde, der mehr Dornen als Rosen trägt und auf dem Mantao nun leben und seinen Pfad wandern sollte.|Zahllose Fäden kamen aus ihr hervor und klammerten sich immer fester und fester an den Boden der Erde, der mehr Dornen als Rosen trägt und auf dem Mantao nun leben und seinen Pfad wandern sollte.
koenigsgaukler_1_f000045|Da neigte sich der Engel und nahm Abschied von Mantao, dem Königsgaukler.|Da neigte sich der Engel und nahm Abschied von Mantao, dem Königsgaukler.
koenigsgaukler_1_f000046|Einer der vielen Fäden aber, die sich von der Lotosblume zur Erde spannen, zog Mantao zu seinem Elternpaar hin.|Einer der vielen Fäden aber, die sich von der Lotosblume zur Erde spannen, zog Mantao zu seinem Elternpaar hin.
koenigsgaukler_1_f000047|Es waren arme Leute und sie gehörten zur verachteten Kaste der Paria.|Es waren arme Leute und sie gehörten zur verachteten Kaste der Paria.
koenigsgaukler_1_f000048|Aber seine Mutter glaubte, daß sie einen Königssohn geboren habe.|Aber seine Mutter glaubte, daß sie einen Königssohn geboren habe.
koenigsgaukler_1_f000049|Als ich diesen Knaben gebar, sagte sie zu ihrem Manne, war es mir, als sähe ich eine der Lotosblumen, in deren Schoß die Engel die Seelen der Kinder tragen, und mir war,|Als ich diesen Knaben gebar, sagte sie zu ihrem Manne, war es mir, als sähe ich eine der Lotosblumen, in deren Schoß die Engel die Seelen der Kinder tragen, und mir war,
koenigsgaukler_1_f000050|als sei die Lotosblume dieses Kindes größer und schöner als sonst die Blüten der Kinderseelen sind.|als sei die Lotosblume dieses Kindes größer und schöner als sonst die Blüten der Kinderseelen sind.
koenigsgaukler_1_f000051|Es ist ein Königssohn, den ich geboren habe.|Es ist ein Königssohn, den ich geboren habe.
koenigsgaukler_1_f000052|Das meinen alle Mütter, sagte der Mann und lachte, ich bin kein König und du bist eine Paria.|Das meinen alle Mütter, sagte der Mann und lachte, ich bin kein König und du bist eine Paria.
koenigsgaukler_1_f000053|Vielleicht wird er ein Gaukler werden an einem Königshof.|Vielleicht wird er ein Gaukler werden an einem Königshof.
koenigsgaukler_1_f000054|Bald darauf kam die Pest in den kleinen Ort, in dem Mantaos Eltern lebten.|Bald darauf kam die Pest in den kleinen Ort, in dem Mantaos Eltern lebten.
koenigsgaukler_1_f000055|Sie war ein grausiger Gast.|Sie war ein grausiger Gast.
koenigsgaukler_1_f000056|Dürr und hager wie ein Gerippe ging sie mit hüpfenden Schritten durch die Gassen und rief die Menschen zum Totentanz mit ihrer wimmernden Flöte.|Dürr und hager wie ein Gerippe ging sie mit hüpfenden Schritten durch die Gassen und rief die Menschen zum Totentanz mit ihrer wimmernden Flöte.
koenigsgaukler_1_f000057|Alles versteckte sich vor ihr, denn wen sie ansah aus ihren hohlen Augen, der mußte ihr folgen, bis er leblos niederfiel.|Alles versteckte sich vor ihr, denn wen sie ansah aus ihren hohlen Augen, der mußte ihr folgen, bis er leblos niederfiel.
koenigsgaukler_1_f000058|Sie sah nicht alle an, denn auch sie ist ein Gesandter des Erhabenen und sieht nur jene, die sie sehen darf.|Sie sah nicht alle an, denn auch sie ist ein Gesandter des Erhabenen und sieht nur jene, die sie sehen darf.
koenigsgaukler_1_f000059|Als ihr aber gar zu viele folgen mußten, da sammelten sich die Letzten und verließen das Dorf und gingen hinaus auf die Landstraße, viele, viele Tage weit, um einen Ort zu suchen, durch dessen Gassen die Pest nicht tanzte.|Als ihr aber gar zu viele folgen mußten, da sammelten sich die Letzten und verließen das Dorf und gingen hinaus auf die Landstraße, viele, viele Tage weit, um einen Ort zu suchen, durch dessen Gassen die Pest nicht tanzte.
koenigsgaukler_1_f000060|Unter diesen Letzten waren auch Mantaos Eltern.|Unter diesen Letzten waren auch Mantaos Eltern.
koenigsgaukler_1_f000061|Der Mann schob einen kleinen Karren vor sich her mit seinen wenigen Habseligkeiten und die Frau trug das Kind auf den Armen, von dem sie glaubte, daß es ein Königssohn wäre.|Der Mann schob einen kleinen Karren vor sich her mit seinen wenigen Habseligkeiten und die Frau trug das Kind auf den Armen, von dem sie glaubte, daß es ein Königssohn wäre.
koenigsgaukler_1_f000062|Aber die Pest tanzte ihnen nach und sie rief zuerst den Mann, bis er ihr folgte und leblos niederfiel.|Aber die Pest tanzte ihnen nach und sie rief zuerst den Mann, bis er ihr folgte und leblos niederfiel.
koenigsgaukler_1_f000063|Da ließ die Frau den Karren stehen und ging allein weiter mit ihrem Kinde.|Da ließ die Frau den Karren stehen und ging allein weiter mit ihrem Kinde.
koenigsgaukler_1_f000064|Am Tage darauf aber sah die Pest sie an und sie setzte sich an den Grabenrand, um zu sterben.|Am Tage darauf aber sah die Pest sie an und sie setzte sich an den Grabenrand, um zu sterben.
koenigsgaukler_1_f000065|Sie drückte ihr Kind noch einmal an sich und bat die anderen, sie mögen es mit sich nehmen und pflegen.|Sie drückte ihr Kind noch einmal an sich und bat die anderen, sie mögen es mit sich nehmen und pflegen.
koenigsgaukler_1_f000066|Aber alles fürchtete sich vor der Pest und der Frau, die sie gezeichnet hatte, und sie ließen die Sterbende allein mit dem Kind in ihren Armen.|Aber alles fürchtete sich vor der Pest und der Frau, die sie gezeichnet hatte, und sie ließen die Sterbende allein mit dem Kind in ihren Armen.
koenigsgaukler_1_f000067|Da streckte die arme Frau flehentlich ihre Hände der Pest entgegen und bat: Nimm mich dem Kinde nicht weg, das ohne mich verhungert, laß mich leben.|Da streckte die arme Frau flehentlich ihre Hände der Pest entgegen und bat: Nimm mich dem Kinde nicht weg, das ohne mich verhungert, laß mich leben.
koenigsgaukler_1_f000068|Die Pest sah plötzlich anders aus als sonst.|Die Pest sah plötzlich anders aus als sonst.
koenigsgaukler_1_f000069|Sie war kein dürres, hageres Gerippe mehr mit hohlen Augen – und sie neigte sich freundlich zu der Frau im Straßengraben.|Sie war kein dürres, hageres Gerippe mehr mit hohlen Augen - und sie neigte sich freundlich zu der Frau im Straßengraben.
koenigsgaukler_1_f000070|Das kann ich nicht, sagte sie traurig, ich muß rufen, wie es mir befohlen wurde.|Das kann ich nicht, sagte sie traurig, ich muß rufen, wie es mir befohlen wurde.
koenigsgaukler_1_f000071|Aber dein Kind wird nicht verhungern, du wirst es noch lebend einem anderen in die Arme geben.|Aber dein Kind wird nicht verhungern, du wirst es noch lebend einem anderen in die Arme geben.
koenigsgaukler_1_f000072|Dich aber werde ich dann rufen, so sanft wie ich noch niemand gerufen habe.|Dich aber werde ich dann rufen, so sanft wie ich noch niemand gerufen habe.
koenigsgaukler_1_f000073|Und die Pest neigte in Liebe und Frieden ihr Haupt und ging von dannen.|Und die Pest neigte in Liebe und Frieden ihr Haupt und ging von dannen.
koenigsgaukler_1_f000074|Seht ihr, Leben und Tod haben oft ein verschiedenes Angesicht und die Pest war barmherziger als die Menschen.|Seht ihr, Leben und Tod haben oft ein verschiedenes Angesicht und die Pest war barmherziger als die Menschen.
koenigsgaukler_1_f000075|Als die Frau aber wieder aufsah, da erblickte sie auf jener Stelle, auf der die Pest gestanden hatte, einen alten Mann in der ärmlichen Kleidung der Bettelmönche und mit einem spitzen sonderbaren Hut auf dem Kopf, wie ihn die Lamas in Tibet tragen.|Als die Frau aber wieder aufsah, da erblickte sie auf jener Stelle, auf der die Pest gestanden hatte, einen alten Mann in der ärmlichen Kleidung der Bettelmönche und mit einem spitzen sonderbaren Hut auf dem Kopf, wie ihn die Lamas in Tibet tragen.
koenigsgaukler_1_f000076|Gib mir dein Kind, sagte er, ich will es in meine Heimat, in die heiligen Berge von Tibet tragen, und will es großziehen in aller Weisheit des Erhabenen.|Gib mir dein Kind, sagte er, ich will es in meine Heimat, in die heiligen Berge von Tibet tragen, und will es großziehen in aller Weisheit des Erhabenen.
koenigsgaukler_1_f000077|Da gab ihm die Frau ihr Kind.|Da gab ihm die Frau ihr Kind.
koenigsgaukler_1_f000078|Es ist ein Königssohn, sagte sie.|Es ist ein Königssohn, sagte sie.
koenigsgaukler_1_f000079|Das weiß ich, sagte der Mann aus Tibet.|Das weiß ich, sagte der Mann aus Tibet.
koenigsgaukler_1_f000080|Wenn du das weißt, will ich dir gerne mein Kind geben, sagte die Frau, und die guten Götter unseres Hauses mögen es schützen.|Wenn du das weißt, will ich dir gerne mein Kind geben, sagte die Frau, und die guten Götter unseres Hauses mögen es schützen.
koenigsgaukler_1_f000081|Unser Haus ist verlassen, aber es waren freundliche kleine Götter, die darinnen lebten, und sicher sind sie mit uns gezogen und stehen neben meinem Kinde.|Unser Haus ist verlassen, aber es waren freundliche kleine Götter, die darinnen lebten, und sicher sind sie mit uns gezogen und stehen neben meinem Kinde.
koenigsgaukler_1_f000082|Siehst du nicht, daß ein großer, schöner Engel neben deinem Kinde steht? fragte der alte Mann aus Tibet.|Siehst du nicht, daß ein großer, schöner Engel neben deinem Kinde steht? fragte der alte Mann aus Tibet.
koenigsgaukler_1_f000083|Aber die Frau hatte die Augen geschlossen und atmete nicht mehr.|Aber die Frau hatte die Augen geschlossen und atmete nicht mehr.
koenigsgaukler_1_f000084|Die Pest hatte sie gerufen, ganz so wie sie es versprach, so sanft, wie sie noch niemand gerufen hatte.|Die Pest hatte sie gerufen, ganz so wie sie es versprach, so sanft, wie sie noch niemand gerufen hatte.
koenigsgaukler_1_f000085|Der alte Mann aber nahm das kleine Kind auf seine Arme und trug es so behutsam und vorsichtig, wie nur je eine Mutter ein Kind im Arm getragen hat, in seine einsame Heimat, in die heiligen Berge von Tibet.|Der alte Mann aber nahm das kleine Kind auf seine Arme und trug es so behutsam und vorsichtig, wie nur je eine Mutter ein Kind im Arm getragen hat, in seine einsame Heimat, in die heiligen Berge von Tibet.
koenigsgaukler_1_f000086|Sie wanderten Tage und Nächte und neben ihnen ging der Engel, der die Seele des Kindes über den Sternenteppich zur Lotosblume getragen hatte.|Sie wanderten Tage und Nächte und neben ihnen ging der Engel, der die Seele des Kindes über den Sternenteppich zur Lotosblume getragen hatte.
koenigsgaukler_1_f000087|Und der alte Mann aus Tibet und der Engel redeten miteinander über Mantao, den Königsgaukler.|Und der alte Mann aus Tibet und der Engel redeten miteinander über Mantao, den Königsgaukler.
koenigsgaukler_2_f000001|Die Königin der Ferne.|Die Königin der Ferne.
koenigsgaukler_2_f000002|Nun müßt ihr euch denken, ihr habet viele Jahre mit Mantao und dem alten Manne zusammen gelebt, oben auf der Hochebene von Tibet, die nur selten eines Menschen Fuß betritt.|Nun müßt ihr euch denken, ihr habet viele Jahre mit Mantao und dem alten Manne zusammen gelebt, oben auf der Hochebene von Tibet, die nur selten eines Menschen Fuß betritt.
koenigsgaukler_2_f000003|Es ist ein rauhes einsames Land, Eis und Schnee kommen und gehen auf ihm und die wilden Winde singen ihre Klagelieder in seinen Klüften.|Es ist ein rauhes einsames Land, Eis und Schnee kommen und gehen auf ihm und die wilden Winde singen ihre Klagelieder in seinen Klüften.
koenigsgaukler_2_f000004|In die kleine Hütte der beiden Menschen aber schauten keine Augen als die Augen der Sonne, des Mondes und der Sterne und keine anderen Gäste sahen sie um sich, als die Tiere der Wildnis, die Mantaos Jugendgespielen waren.|In die kleine Hütte der beiden Menschen aber schauten keine Augen als die Augen der Sonne, des Mondes und der Sterne und keine anderen Gäste sahen sie um sich, als die Tiere der Wildnis, die Mantaos Jugendgespielen waren.
koenigsgaukler_2_f000005|Die Bergziegen schenkten ihnen ihre Milch und die Waldbienen ihren Honig, aus Brüderlichkeit und um den Segen Brahmas.|Die Bergziegen schenkten ihnen ihre Milch und die Waldbienen ihren Honig, aus Brüderlichkeit und um den Segen Brahmas.
koenigsgaukler_2_f000006|Keine Menschen hatte Mantao kennen gelernt, aber in alle Tiefen der Natur hatte ihn der alte Mann aus Tibet eingeführt, er kannte den mühsamen Gang der pilgernden Käfer, deren schwachen Beinen ein Sandkorn groß und erhaben schien|Keine Menschen hatte Mantao kennen gelernt, aber in alle Tiefen der Natur hatte ihn der alte Mann aus Tibet eingeführt, er kannte den mühsamen Gang der pilgernden Käfer, deren schwachen Beinen ein Sandkorn groß und erhaben schien
koenigsgaukler_2_f000007|und er kannte den Flug der Adler, die im gleitenden Schlag ihrer Schwingen die Berge umkreisten, so hoch, daß ihre Gipfel ihnen klein und gering vorkamen.|und er kannte den Flug der Adler, die im gleitenden Schlag ihrer Schwingen die Berge umkreisten, so hoch, daß ihre Gipfel ihnen klein und gering vorkamen.
koenigsgaukler_2_f000008|Brahma ist in beiden, sagte der alte Mann aus Tibet und nahm seine sonderbare spitze Mütze ab vor den Käfern im Staube und vor den Adlern im Äther, siehe, beider Wege mußt du kennen und lieben und beider Wege wirst du wandern auf dem Pfad deines Lebens|Brahma ist in beiden, sagte der alte Mann aus Tibet und nahm seine sonderbare spitze Mütze ab vor den Käfern im Staube und vor den Adlern im Äther, siehe, beider Wege mußt du kennen und lieben und beider Wege wirst du wandern auf dem Pfad deines Lebens
koenigsgaukler_2_f000009|den Weg der Mühsamen und den Weg der Großen, die über den Bergesgipfeln kreisen.|den Weg der Mühsamen und den Weg der Großen, die über den Bergesgipfeln kreisen.
koenigsgaukler_2_f000010|Denn du bist Mantao, der Königsgaukler, und wirst wandern den Weg des Erhabenen.|Denn du bist Mantao, der Königsgaukler, und wirst wandern den Weg des Erhabenen.
koenigsgaukler_2_f000011|Mantao schaute auf die Käfer und auf die Adler und er sah, wie die Sandkörner klein waren und groß erschienen und wie die Berge groß waren und klein erschienen und er lernte erkennen|Mantao schaute auf die Käfer und auf die Adler und er sah, wie die Sandkörner klein waren und groß erschienen und wie die Berge groß waren und klein erschienen und er lernte erkennen
koenigsgaukler_2_f000012|wie die Dinge ineinander übergehen dem, der auf Großes und Kleines schaut mit den gleichen Augen der Andacht.|wie die Dinge ineinander übergehen dem, der auf Großes und Kleines schaut mit den gleichen Augen der Andacht.
koenigsgaukler_2_f000013|Als nun Mantao ein schöner Jüngling geworden war, ohne noch zu wissen, was Schönheit ist, und ohne noch zu ahnen, was es heißt, anders als ein Kind zu sein, da rief ihn der alte Mann zu sich und sagte zu ihm|Als nun Mantao ein schöner Jüngling geworden war, ohne noch zu wissen, was Schönheit ist, und ohne noch zu ahnen, was es heißt, anders als ein Kind zu sein, da rief ihn der alte Mann zu sich und sagte zu ihm
koenigsgaukler_2_f000014|Siehe, du bist nun groß und schön geworden, ich aber bin sehr alt und sehr müde.|Siehe, du bist nun groß und schön geworden, ich aber bin sehr alt und sehr müde.
koenigsgaukler_2_f000015|Es ist nun an der Zeit, daß du deinen Weg wanderst und daß ich von dir gehe.|Es ist nun an der Zeit, daß du deinen Weg wanderst und daß ich von dir gehe.
koenigsgaukler_2_f000016|Da erschrak Mantao, denn er liebte den alten Mann über alles.|Da erschrak Mantao, denn er liebte den alten Mann über alles.
koenigsgaukler_2_f000017|Laß mich mit dir gehen, bat er und zum ersten Male überkam ihn das Gefühl, was es heißt, kein Kind mehr zu sein.|Laß mich mit dir gehen, bat er und zum ersten Male überkam ihn das Gefühl, was es heißt, kein Kind mehr zu sein.
koenigsgaukler_2_f000018|Nimm mich mit dir dahin, wo du hingehst.|Nimm mich mit dir dahin, wo du hingehst.
