weihnachtsabend_01_f000001|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.
weihnachtsabend_01_f000023|seinen Gang steif, seine Augen rot, seine dünnen Lippen blau, und klang aus seiner krächzenden Stimme heraus.|seinen Gang steif, seine Augen rot, seine dünnen Lippen blau, und klang aus seiner krächzenden Stimme heraus.
weihnachtsabend_01_f000024|Ein frostiger Reif lag auf seinem Haupt, auf seinen Augenbrauen, auf den starken kurzen Haaren seines Bartes.|Ein frostiger Reif lag auf seinem Haupt, auf seinen Augenbrauen, auf den starken kurzen Haaren seines Bartes.
weihnachtsabend_01_f000025|Er schleppte seine eigene niedere Temperatur immer mit sich herum; in den Hundstagen kühlte er sein Comptoir wie mit Eis; zur Weihnachtszeit wärmte er es nicht um einen Grad.|Er schleppte seine eigene niedere Temperatur immer mit sich herum; in den Hundstagen kühlte er sein Comptoir wie mit Eis; zur Weihnachtszeit wärmte er es nicht um einen Grad.
weihnachtsabend_01_f000026|Aeußere Hitze und Kälte wirkten wenig auf Scrooge. Keine Wärme konnte ihn wärmen, keine Kälte ihn frösteln machen.|Aeußere Hitze und Kälte wirkten wenig auf Scrooge. Keine Wärme konnte ihn wärmen, keine Kälte ihn frösteln machen.
weihnachtsabend_01_f000027|Kein Wind war schneidender als er, kein fallender  Schnee mehr auf seinen Zweck bedacht, kein schlagender Regen einer Bitte weniger zugänglich.|Kein Wind war schneidender als er, kein fallender  Schnee mehr auf seinen Zweck bedacht, kein schlagender Regen einer Bitte weniger zugänglich.
weihnachtsabend_01_f000028|Schlechtes Wetter konnte ihm nichts anhaben. Der ärgste Regen, Schnee oder Hagel konnten sich nur in einer Art rühmen, besser zu sein als er:|Schlechtes Wetter konnte ihm nichts anhaben. Der ärgste Regen, Schnee oder Hagel konnten sich nur in einer Art rühmen, besser zu sein als er:
weihnachtsabend_01_f000029|Sie gaben oft im Ueberfluß, und das that Scrooge nie.|Sie gaben oft im Ueberfluß, und das that Scrooge nie.
weihnachtsabend_01_f000030|Niemals trat ihm jemand auf der Straße entgegen, um mit freundlichem Gesicht zu ihm zu sagen: Mein lieber Scrooge, wie gehtes, wann werden Sie mich einmal besuchen?|Niemals trat ihm jemand auf der Straße entgegen, um mit freundlichem Gesicht zu ihm zu sagen: Mein lieber Scrooge, wie gehtes, wann werden Sie mich einmal besuchen?
weihnachtsabend_01_f000031|Kein Bettler sprach ihn um eine Kleinigkeit an, kein Kind frug ihn, welche Zeit es sei, kein Mann und kein Weib hat ihn je in seinem Leben um den Weg gefragt.|Kein Bettler sprach ihn um eine Kleinigkeit an, kein Kind frug ihn, welche Zeit es sei, kein Mann und kein Weib hat ihn je in seinem Leben um den Weg gefragt.
weihnachtsabend_01_f000032|Selbst der Hund des Blinden schien ihn zu kennen, und wenn er ihn kommen sah, zupfte er seinen Herrn,|Selbst der Hund des Blinden schien ihn zu kennen, und wenn er ihn kommen sah, zupfte er seinen Herrn,
weihnachtsabend_01_f000033|daß er in ein Haus trete und wedelte dann mit dem Schwanze, als wollte er sagen:|daß er in ein Haus trete und wedelte dann mit dem Schwanze, als wollte er sagen:
weihnachtsabend_01_f000034|kein Auge ist besser, als ein böses Auge, blinder Herr.|kein Auge ist besser, als ein böses Auge, blinder Herr.
weihnachtsabend_01_f000035|Doch was kümmerte das Scrooge? Gerade das gefiel ihm.|Doch was kümmerte das Scrooge? Gerade das gefiel ihm.
weihnachtsabend_01_f000036|Allein seinen Weg durch die gedrängten Pfade des Lebens zu gehen, jedem menschlichen Gefühl zu sagen: bleibe mir fern, das war das, was Scrooge gefiel.|Allein seinen Weg durch die gedrängten Pfade des Lebens zu gehen, jedem menschlichen Gefühl zu sagen: bleibe mir fern, das war das, was Scrooge gefiel.
weihnachtsabend_01_f000037|Einmal, es war von allen guten Tagen im Jahre der beste, der Christabend, saß der alte Scrooge in seinem Comptoir.|Einmal, es war von allen guten Tagen im Jahre der beste, der Christabend, saß der alte Scrooge in seinem Comptoir.
weihnachtsabend_01_f000038|Es war draußen schneidend kalt und nebelig und er konnte hören, wie die Leute im Hofe draußen prustend auf und nieder gingen,|Es war draußen schneidend kalt und nebelig und er konnte hören, wie die Leute im Hofe draußen prustend auf und nieder gingen,
weihnachtsabend_01_f000039|die Hände zusammenschlugen und mit den Füßen stampften, um sich zu erwärmen.|die Hände zusammenschlugen und mit den Füßen stampften, um sich zu erwärmen.
weihnachtsabend_01_f000040|Es hatte eben erst Drei geschlagen, war aber schon ganz finster.|Es hatte eben erst Drei geschlagen, war aber schon ganz finster.
weihnachtsabend_01_f000041|Den ganzen Tag über war es nicht hell geworden und aus den Fenstern der benachbarten Comptoirs erblickte man Lichter, wie rote Flecken auf der dicken, braunen Luft.|Den ganzen Tag über war es nicht hell geworden und aus den Fenstern der benachbarten Comptoirs erblickte man Lichter, wie rote Flecken auf der dicken, braunen Luft.
weihnachtsabend_01_f000042|Der Nebel drang durch jede Spalte und durch jedes Schlüsselloch und war draußen so dick, daß die gegenüber stehenden Häuser des sehr kleinen Hofes wie ihre eignen Geister aussahen.|Der Nebel drang durch jede Spalte und durch jedes Schlüsselloch und war draußen so dick, daß die gegenüber stehenden Häuser des sehr kleinen Hofes wie ihre eignen Geister aussahen.
weihnachtsabend_01_f000043|Wenn man die trübe, dicke Wolke, alles verfinsternd, heruntersinken sah, hätte man meinen können, die Natur wohne dicht nebenan und braue en gros.|Wenn man die trübe, dicke Wolke, alles verfinsternd, heruntersinken sah, hätte man meinen können, die Natur wohne dicht nebenan und braue en gros.
weihnachtsabend_01_f000044|Die Thür von Scrooges Comptoir stand offen, damit er seinen Commis beaufsichtigen könne, welcher in einem unheimlich feuchten,|Die Thür von Scrooges Comptoir stand offen, damit er seinen Commis beaufsichtigen könne, welcher in einem unheimlich feuchten,
weihnachtsabend_01_f000045|kleinen Raume, einer Art Burgverließ, Briefe kopierte.|kleinen Raume, einer Art Burgverließ, Briefe kopierte.
weihnachtsabend_01_f000046|Scrooge hatte nur ein sehr kleines Feuer, aber des Dieners Feuer war um so viel kleiner, daß es wie eine einzige Kohle aussah.|Scrooge hatte nur ein sehr kleines Feuer, aber des Dieners Feuer war um so viel kleiner, daß es wie eine einzige Kohle aussah.
weihnachtsabend_01_f000047|Er konnte aber nicht nachlegen, denn Scrooge hatte den Kohlenkasten in seinem Zimmer und allemal, wenn der Diener,|Er konnte aber nicht nachlegen, denn Scrooge hatte den Kohlenkasten in seinem Zimmer und allemal, wenn der Diener,
weihnachtsabend_01_f000048|mit der Kohlenschaufel in der Hand, hereinkam, meinte der Herr, es würde wohl nötig sein, daß sie sich trennten,|mit der Kohlenschaufel in der Hand, hereinkam, meinte der Herr, es würde wohl nötig sein, daß sie sich trennten,
weihnachtsabend_01_f000049|worauf der Diener seinen weißen Shawl umband und versuchte, sich an dem Lichte zu wärmen, was, da er ein Mann von nicht zu starker Einbildungskraft war, immer fehlschlug.|worauf der Diener seinen weißen Shawl umband und versuchte, sich an dem Lichte zu wärmen, was, da er ein Mann von nicht zu starker Einbildungskraft war, immer fehlschlug.
weihnachtsabend_01_f000050|Fröhliche Weihnachten, Onkel, Gott erhalte Sie! rief eine heitere Stimme.|Fröhliche Weihnachten, Onkel, Gott erhalte Sie! rief eine heitere Stimme.
weihnachtsabend_01_f000051|Es war die Stimme von Scrooges Neffen, der ihm so schnell auf den Hals kam, daß dieser Gruß die erste Ankündigung seiner Annäherung war.|Es war die Stimme von Scrooges Neffen, der ihm so schnell auf den Hals kam, daß dieser Gruß die erste Ankündigung seiner Annäherung war.
weihnachtsabend_01_f000052|Pah, sagte Scrooge, dummes Zeug!|Pah, sagte Scrooge, dummes Zeug!
weihnachtsabend_01_f000053|Der Neffe war vom schnellen Laufen so warm geworden, daß er über und über glühte; sein Gesicht war rot und hübsch, seine Augen glänzten und sein Atem rauchte.|Der Neffe war vom schnellen Laufen so warm geworden, daß er über und über glühte; sein Gesicht war rot und hübsch, seine Augen glänzten und sein Atem rauchte.
weihnachtsabend_01_f000054|Weihnachten dummes Zeug, Onkel? sagte Scrooges Neffe, das kann nicht Ihr Ernst sein.|Weihnachten dummes Zeug, Onkel? sagte Scrooges Neffe, das kann nicht Ihr Ernst sein.
weihnachtsabend_01_f000055|Es ist mein Ernst, sagte Scrooge. Fröhliche Weihnachten? Was für ein Recht hast du, fröhlich zu sein? was für einen Grund, fröhlich zu sein? Du bist arm genug.|Es ist mein Ernst, sagte Scrooge. Fröhliche Weihnachten? Was für ein Recht hast du, fröhlich zu sein? was für einen Grund, fröhlich zu sein? Du bist arm genug.
weihnachtsabend_01_f000056|Nun, antwortete der Neffe heiter, was für ein Recht haben Sie, grämlich zu sein? was für einen Grund, mürrisch zu sein? Sie sind reich genug.|Nun, antwortete der Neffe heiter, was für ein Recht haben Sie, grämlich zu sein? was für einen Grund, mürrisch zu sein? Sie sind reich genug.
weihnachtsabend_01_f000057|Scrooge, der im Augenblick keine bessere Antwort bereit hatte, sagte noch einmal Pah! und brummte ein Dummes Zeug! hinterher.|Scrooge, der im Augenblick keine bessere Antwort bereit hatte, sagte noch einmal Pah! und brummte ein Dummes Zeug! hinterher.
weihnachtsabend_01_f000058|Seien Sie nicht bös, Onkel, sagte der Neffe.|Seien Sie nicht bös, Onkel, sagte der Neffe.
weihnachtsabend_01_f000059|Was soll ich anders sein, antwortete der Onkel, wenn ich in einer Welt voll solcher Narren lebe? Fröhliche Weihnachten!|Was soll ich anders sein, antwortete der Onkel, wenn ich in einer Welt voll solcher Narren lebe? Fröhliche Weihnachten!
weihnachtsabend_01_f000060|Der Henker hole die fröhlichen Weihnachten! Was ist Weihnachten für dich anders, als ein Tag, wo du Rechnungen bezahlen sollst,|Der Henker hole die fröhlichen Weihnachten! Was ist Weihnachten für dich anders, als ein Tag, wo du Rechnungen bezahlen sollst,
weihnachtsabend_01_f000061|ohne Geld zu haben, ein Tag, wo du dich um ein Jahr älter und nicht um eine Stunde reicher findest, ein Tag,|ohne Geld zu haben, ein Tag, wo du dich um ein Jahr älter und nicht um eine Stunde reicher findest, ein Tag,
weihnachtsabend_01_f000062|wo du deine Bücher abschließest und in jedem Posten durch ein volles Dutzend von Monaten ein Deficit siehst?|wo du deine Bücher abschließest und in jedem Posten durch ein volles Dutzend von Monaten ein Deficit siehst?
weihnachtsabend_01_f000063|Wenn es nach mir ginge, sagte Scrooge heftig, so müßte jeder Narr, der mit seinem fröhlichen Weihnachten herumläuft,|Wenn es nach mir ginge, sagte Scrooge heftig, so müßte jeder Narr, der mit seinem fröhlichen Weihnachten herumläuft,
weihnachtsabend_01_f000064|mit seinem eigenen Pudding gekocht und mit einem Pfahl von Stecheiche im Herzen begraben werden.|mit seinem eigenen Pudding gekocht und mit einem Pfahl von Stecheiche im Herzen begraben werden.
weihnachtsabend_01_f000065|Onkel! sagte der Neffe.|Onkel! sagte der Neffe.
weihnachtsabend_01_f000066|Neffe! antwortete der Onkel heftig, feiere du Weihnachten nach deiner Art und laß es mich nach meiner feiern.|Neffe! antwortete der Onkel heftig, feiere du Weihnachten nach deiner Art und laß es mich nach meiner feiern.
weihnachtsabend_01_f000067|Feiern! wiederholte Scrooges Neffe; aber Sie feiern es nicht.|Feiern! wiederholte Scrooges Neffe; aber Sie feiern es nicht.
weihnachtsabend_01_f000068|Laß mich ungeschoren, sagte Scrooge. Mag es dir Nutzen bringen! viel genützt hat es dir schon.|Laß mich ungeschoren, sagte Scrooge. Mag es dir Nutzen bringen! viel genützt hat es dir schon.
weihnachtsabend_01_f000069|Es giebt viel Dinge, die mir hätten nützen können und die ich nicht benutzt habe, das weiß ich, antwortete der Neffe, und Weihnachten ist eins von denen.|Es giebt viel Dinge, die mir hätten nützen können und die ich nicht benutzt habe, das weiß ich, antwortete der Neffe, und Weihnachten ist eins von denen.
weihnachtsabend_01_f000070|Aber ich weiß gewiß, daß ich Weihnachten, wenn es gekommen ist, abgesehen von der Verehrung, die wir seinem heiligen Namen und Ursprung schuldig sind,|Aber ich weiß gewiß, daß ich Weihnachten, wenn es gekommen ist, abgesehen von der Verehrung, die wir seinem heiligen Namen und Ursprung schuldig sind,
weihnachtsabend_01_f000071|immer als eine gute Zeit betrachtet habe, als eine liebe Zeit, als die Zeit der Vergebung und Barmherzigkeit,|immer als eine gute Zeit betrachtet habe, als eine liebe Zeit, als die Zeit der Vergebung und Barmherzigkeit,
weihnachtsabend_01_f000072|als die einzige Zeit, die ich in dem ganzen langen Jahreskalender kenne, wo die Menschen einträchtig ihre verschlossenen Herzen aufthun und die andern Menschen betrachten,|als die einzige Zeit, die ich in dem ganzen langen Jahreskalender kenne, wo die Menschen einträchtig ihre verschlossenen Herzen aufthun und die andern Menschen betrachten,
weihnachtsabend_01_f000073|als wenn sie wirklich Reisegefährten nach dem Grabe wären und nicht eine ganz andere Art von Geschöpfen, die einen ganz andern Weg gehen.|als wenn sie wirklich Reisegefährten nach dem Grabe wären und nicht eine ganz andere Art von Geschöpfen, die einen ganz andern Weg gehen.
weihnachtsabend_01_f000074|Und daher, Onkel, ob es mir gleich niemals ein Stück Gold oder Silber in die Tasche gebracht hat, glaube ich doch,|Und daher, Onkel, ob es mir gleich niemals ein Stück Gold oder Silber in die Tasche gebracht hat, glaube ich doch,
weihnachtsabend_01_f000075|es hat mir Gutes gethan und es wird mir Gutes thun, und ich sage: Gott segne es!|es hat mir Gutes gethan und es wird mir Gutes thun, und ich sage: Gott segne es!
weihnachtsabend_01_f000076|Der Diener in dem Burgverließe draußen applaudierte unwillkürlich;|Der Diener in dem Burgverließe draußen applaudierte unwillkürlich;
weihnachtsabend_01_f000077|aber den Augenblick darauf fühlte er auch die Unschicklichkeit seines Betragens, schürte die Kohlen und verlöschte den letzten kleinen Funken auf immer.|aber den Augenblick darauf fühlte er auch die Unschicklichkeit seines Betragens, schürte die Kohlen und verlöschte den letzten kleinen Funken auf immer.
weihnachtsabend_01_f000078|Wenn Sie mich noch einen einzigen Laut hören lassen, sagte Scrooge, so feiern Sie Ihre Weihnachten mit dem Verlust Ihrer Stelle.|Wenn Sie mich noch einen einzigen Laut hören lassen, sagte Scrooge, so feiern Sie Ihre Weihnachten mit dem Verlust Ihrer Stelle.
weihnachtsabend_01_f000079|Du bist ein ganz gewaltiger Redner, fügte er hinzu, sich zu seinem Neffen wendend. Es wundert mich, daß du nicht ins Parlament kommst.|Du bist ein ganz gewaltiger Redner, fügte er hinzu, sich zu seinem Neffen wendend. Es wundert mich, daß du nicht ins Parlament kommst.
weihnachtsabend_01_f000080|Seien Sie nicht bös, Onkel. Essen Sie morgen mit uns.|Seien Sie nicht bös, Onkel. Essen Sie morgen mit uns.
weihnachtsabend_01_f000081|Scrooge sagte, daß er ihn erst verdammt sehen wollte, ja wahrhaftig, er sprach sich ganz deutlich aus.|Scrooge sagte, daß er ihn erst verdammt sehen wollte, ja wahrhaftig, er sprach sich ganz deutlich aus.
weihnachtsabend_01_f000082|Aber warum? rief Scrooges Neffe, warum?|Aber warum? rief Scrooges Neffe, warum?
weihnachtsabend_01_f000083|Warum hast du dich verheiratet? sagte Scrooge.|Warum hast du dich verheiratet? sagte Scrooge.
weihnachtsabend_01_f000084|Weil ich mich verliebte.|Weil ich mich verliebte.
weihnachtsabend_01_f000085|Weil er sich verliebte! brummte Scrooge, als ob das das einzige Ding in der Welt wäre, noch lächerlicher als eine fröhliche Weihnacht. Guten Nachmittag!|Weil er sich verliebte! brummte Scrooge, als ob das das einzige Ding in der Welt wäre, noch lächerlicher als eine fröhliche Weihnacht. Guten Nachmittag!
weihnachtsabend_01_f000086|Aber, Onkel, Sie haben mich ja auch nie vorher besucht. Warum soll es da ein Grund sein, mich jetzt nicht zu besuchen?|Aber, Onkel, Sie haben mich ja auch nie vorher besucht. Warum soll es da ein Grund sein, mich jetzt nicht zu besuchen?
weihnachtsabend_01_f000087|Guten Nachmittag! sagte Scrooge.|Guten Nachmittag! sagte Scrooge.
weihnachtsabend_01_f000088|Ich brauche nichts von Ihnen, ich verlange nichts von Ihnen, warum können wir nicht gute Freunde sein?|Ich brauche nichts von Ihnen, ich verlange nichts von Ihnen, warum können wir nicht gute Freunde sein?
weihnachtsabend_01_f000089|Guten Nachmittag! sagte Scrooge.|Guten Nachmittag! sagte Scrooge.
weihnachtsabend_01_f000090|Ich bedaure wirklich von Herzen, Sie so hartnäckig zu finden.|Ich bedaure wirklich von Herzen, Sie so hartnäckig zu finden.
weihnachtsabend_01_f000091|Wir haben nie einen Zank miteinander gehabt, an dem ich schuld gewesen wäre.|Wir haben nie einen Zank miteinander gehabt, an dem ich schuld gewesen wäre.
weihnachtsabend_01_f000092|Aber ich habe den Versuch gemacht, Weihnachten zu Ehren und ich will meine Weihnachtsstimmung bis zuletzt behalten. Fröhliche Weihnachten, Onkel!|Aber ich habe den Versuch gemacht, Weihnachten zu Ehren und ich will meine Weihnachtsstimmung bis zuletzt behalten. Fröhliche Weihnachten, Onkel!
weihnachtsabend_01_f000093|Guten Nachmittag! sagte Scrooge.|Guten Nachmittag! sagte Scrooge.
weihnachtsabend_01_f000094|Und ein glückliches Neujahr!|Und ein glückliches Neujahr!
weihnachtsabend_01_f000095|Guten Nachmittag! sagte Scrooge.|Guten Nachmittag! sagte Scrooge.
weihnachtsabend_01_f000096|Aber doch verließ der Neffe das Zimmer ohne ein böses  Wort.|Aber doch verließ der Neffe das Zimmer ohne ein böses  Wort.
weihnachtsabend_01_f000097|An der Hausthür blieb er noch stehen, um mit dem Glückwunsche des Tages den Diener zu begrüßen, der bei aller Kälte doch noch wärmer als Scrooge war,|An der Hausthür blieb er noch stehen, um mit dem Glückwunsche des Tages den Diener zu begrüßen, der bei aller Kälte doch noch wärmer als Scrooge war,
weihnachtsabend_01_f000098|denn er gab den Gruß freundlich zurück.|denn er gab den Gruß freundlich zurück.
weihnachtsabend_01_f000099|Das ist auch so ein Kerl, brummte Scrooge, der es hörte.|Das ist auch so ein Kerl, brummte Scrooge, der es hörte.
weihnachtsabend_01_f000100|Mein Diener, mit fünfzehn Schilling die Woche und Frau und Kindern, spricht von fröhlichen Weihnachten. Ich gehe nach Bedlam.|Mein Diener, mit fünfzehn Schilling die Woche und Frau und Kindern, spricht von fröhlichen Weihnachten. Ich gehe nach Bedlam.
weihnachtsabend_01_f000101|Der Diener hatte, indem er den Neffen hinausließ, zwei andere Personen eingelassen.|Der Diener hatte, indem er den Neffen hinausließ, zwei andere Personen eingelassen.
weihnachtsabend_01_f000102|Es waren zwei behäbige, wohlansehnliche Herren, die jetzt, den Hut in der Hand, in Scrooges Comptoir standen. Sie hatten Bücher und Papiere in der Hand und verbeugten sich.|Es waren zwei behäbige, wohlansehnliche Herren, die jetzt, den Hut in der Hand, in Scrooges Comptoir standen. Sie hatten Bücher und Papiere in der Hand und verbeugten sich.
weihnachtsabend_01_f000103|Scrooge und Marley, glaube ich, sagte einer der Herren, indem er auf seine Liste sah. Habe ich die Ehre, mit Mister Scrooge oder mit Mister Marley zu sprechen?|Scrooge und Marley, glaube ich, sagte einer der Herren, indem er auf seine Liste sah. Habe ich die Ehre, mit Mister Scrooge oder mit Mister Marley zu sprechen?
weihnachtsabend_01_f000104|Mister Marley ist seit sieben Jahren tot, antwortete Scrooge. Er starb heute vor sieben Jahren.|Mister Marley ist seit sieben Jahren tot, antwortete Scrooge. Er starb heute vor sieben Jahren.
weihnachtsabend_01_f000105|Wir zweifeln nicht, daß sein überlebender Compagnon ganz seine Freigebigkeit besitzen wird, sagte der Herr, indem er sein Beglaubigungsschreiben hinreichte.|Wir zweifeln nicht, daß sein überlebender Compagnon ganz seine Freigebigkeit besitzen wird, sagte der Herr, indem er sein Beglaubigungsschreiben hinreichte.
weihnachtsabend_01_f000106|Er hatte auch ganz recht, denn es waren zwei verwandte Seelen gewesen.|Er hatte auch ganz recht, denn es waren zwei verwandte Seelen gewesen.
weihnachtsabend_01_f000107|Bei dem ominösen Wort Freigebigkeit runzelte Scrooge die Stirn, schüttelte den Kopf und gab das Papier zurück.|Bei dem ominösen Wort Freigebigkeit runzelte Scrooge die Stirn, schüttelte den Kopf und gab das Papier zurück.
weihnachtsabend_01_f000108|An diesem festlichen Tage des Jahres, Mister Scrooge, sagte der Herr, eine Feder ergreifend, ist es mehr als gewöhnlich wünschenswert,|An diesem festlichen Tage des Jahres, Mister Scrooge, sagte der Herr, eine Feder ergreifend, ist es mehr als gewöhnlich wünschenswert,
weihnachtsabend_01_f000109|einigermaßen wenigstens für die Armut zu sorgen, die zu dieser Zeit in großer Bedrängnis ist.|einigermaßen wenigstens für die Armut zu sorgen, die zu dieser Zeit in großer Bedrängnis ist.
weihnachtsabend_01_f000110|Vielen Tausenden fehlen selbst die notwendigsten Bedürfnisse, Hunderttausenden die notdürftigsten Bequemlichkeiten des Lebens.|Vielen Tausenden fehlen selbst die notwendigsten Bedürfnisse, Hunderttausenden die notdürftigsten Bequemlichkeiten des Lebens.
weihnachtsabend_01_f000111|Giebt es keine Gefängnisse? fragte Scrooge.|Giebt es keine Gefängnisse? fragte Scrooge.
weihnachtsabend_01_f000112|Ueberfluß von Gefängnissen, sagte der Herr, die Feder wieder hinlegend.|Ueberfluß von Gefängnissen, sagte der Herr, die Feder wieder hinlegend.
weihnachtsabend_01_f000113|Und die Union-Armenhäuser? fragte Scrooge. Bestehen sie noch?|Und die Union-Armenhäuser? fragte Scrooge. Bestehen sie noch?
