maedchenvommoorhof_1_f000001|Es ist in einem Thingsaal, weit draußen auf dem Lande.|Es ist in einem Thingsaal, weit draußen auf dem Lande.
maedchenvommoorhof_1_f000072|Sie steht wie versteinert, sie weint nicht einmal mehr.|Sie steht wie versteinert, sie weint nicht einmal mehr.
maedchenvommoorhof_1_f000073|Die Augen erstarren ihr im Kopfe.|Die Augen erstarren ihr im Kopfe.
maedchenvommoorhof_1_f000074|Es ist also seine Absicht, sich um seines Weibes willen freizuschwören.|Es ist also seine Absicht, sich um seines Weibes willen freizuschwören.
maedchenvommoorhof_1_f000075|Aber wenn er auch einen schweren Stand mit ihr haben sollte, deshalb darf er doch nicht seiner Seele Seligkeit preisgeben.|Aber wenn er auch einen schweren Stand mit ihr haben sollte, deshalb darf er doch nicht seiner Seele Seligkeit preisgeben.
maedchenvommoorhof_1_f000076|Es gibt nichts Furchtbareres als einen Meineid.|Es gibt nichts Furchtbareres als einen Meineid.
maedchenvommoorhof_1_f000077|Es ist etwas Geheimnisvolles und Gräßliches um diese Sünde.|Es ist etwas Geheimnisvolles und Gräßliches um diese Sünde.
maedchenvommoorhof_1_f000078|Es gibt keine Gnade, keine Vergebung für sie.|Es gibt keine Gnade, keine Vergebung für sie.
maedchenvommoorhof_1_f000079|Die Tore des Abgrundes öffnen sich von selbst, wenn der Name des Meineidigen genannt wird.|Die Tore des Abgrundes öffnen sich von selbst, wenn der Name des Meineidigen genannt wird.
maedchenvommoorhof_1_f000080|Wenn sie jetzt die Blicke zu seinem Gesicht erhoben hätte, sie hätte gefürchtet, es schon mit irgendeinem Zeichen der Verdammnis gebrandmarkt zu sehen, ihm aufgeprägt von Gottes Zorn.|Wenn sie jetzt die Blicke zu seinem Gesicht erhoben hätte, sie hätte gefürchtet, es schon mit irgendeinem Zeichen der Verdammnis gebrandmarkt zu sehen, ihm aufgeprägt von Gottes Zorn.
maedchenvommoorhof_1_f000081|Während sie so dasteht und immer größere Angst sich ihrer bemächtigt, hat der Richter dem Beklagten gezeigt, wie er die Finger auf die Bibel zu legen hat.|Während sie so dasteht und immer größere Angst sich ihrer bemächtigt, hat der Richter dem Beklagten gezeigt, wie er die Finger auf die Bibel zu legen hat.
maedchenvommoorhof_1_f000082|Dann schlägt der Richter im Gesetzbuch nach, um die Eidesformel zu finden.|Dann schlägt der Richter im Gesetzbuch nach, um die Eidesformel zu finden.
maedchenvommoorhof_1_f000083|Als sie ihn die Finger auf das Buch legen sieht, macht sie noch einen Schritt zum Richterstuhl hin; und es sieht aus, als wollte sie sich über den Tisch beugen und seine Hand fortziehen.|Als sie ihn die Finger auf das Buch legen sieht, macht sie noch einen Schritt zum Richterstuhl hin; und es sieht aus, als wollte sie sich über den Tisch beugen und seine Hand fortziehen.
maedchenvommoorhof_1_f000084|Aber noch wird sie von einer letzten Hoffnung zurückgehalten.|Aber noch wird sie von einer letzten Hoffnung zurückgehalten.
maedchenvommoorhof_1_f000085|Sie glaubt, daß er jetzt im letzten Augenblick noch vom Schwur abstehen werde.|Sie glaubt, daß er jetzt im letzten Augenblick noch vom Schwur abstehen werde.
maedchenvommoorhof_1_f000086|Der Richter hat die Seite im Gesetzbuch gefunden, nach der er gesucht hat; und jetzt beginnt er, den Eid laut und deutlich vorzusagen.|Der Richter hat die Seite im Gesetzbuch gefunden, nach der er gesucht hat; und jetzt beginnt er, den Eid laut und deutlich vorzusagen.
maedchenvommoorhof_1_f000087|Dann macht er eine Pause, damit der Beklagte seine Worte nachsprechen könne.|Dann macht er eine Pause, damit der Beklagte seine Worte nachsprechen könne.
maedchenvommoorhof_1_f000088|Und der Beklagte fängt wirklich an, sie nachzusprechen; aber er macht einen kleinen Fehler, so daß der Richter von vorn anfangen muß.|Und der Beklagte fängt wirklich an, sie nachzusprechen; aber er macht einen kleinen Fehler, so daß der Richter von vorn anfangen muß.
maedchenvommoorhof_1_f000089|Jetzt kann sie keinen Schimmer von Hoffnung mehr haben.|Jetzt kann sie keinen Schimmer von Hoffnung mehr haben.
maedchenvommoorhof_1_f000090|Jetzt weiß sie, daß er falsch schwören, daß er Gottes Zorn für das zukünftige Leben auf sich herabschwören will.|Jetzt weiß sie, daß er falsch schwören, daß er Gottes Zorn für das zukünftige Leben auf sich herabschwören will.
maedchenvommoorhof_1_f000091|Sie steht da und ringt in ihrer Hilflosigkeit die Hände.|Sie steht da und ringt in ihrer Hilflosigkeit die Hände.
maedchenvommoorhof_1_f000092|Und es ist alles ihre Schuld, weil sie ihn verklagt hat.|Und es ist alles ihre Schuld, weil sie ihn verklagt hat.
maedchenvommoorhof_1_f000093|Aber sie war ja ohne Arbeit, sie hatte gehungert und gefroren.|Aber sie war ja ohne Arbeit, sie hatte gehungert und gefroren.
maedchenvommoorhof_1_f000094|Das Kind lag im Sterben.|Das Kind lag im Sterben.
maedchenvommoorhof_1_f000095|An wen sonst hätte sie sich um Hilfe wenden sollen?|An wen sonst hätte sie sich um Hilfe wenden sollen?
maedchenvommoorhof_1_f000096|Nie hätte sie auch geglaubt, daß er eine so schreckliche Sünde begehen könnte.|Nie hätte sie auch geglaubt, daß er eine so schreckliche Sünde begehen könnte.
maedchenvommoorhof_1_f000097|Jetzt hat der Richter den Eid noch einmal vorgesprochen.|Jetzt hat der Richter den Eid noch einmal vorgesprochen.
maedchenvommoorhof_1_f000098|In wenigen Augenblicken wird die Tat vollbracht sein.|In wenigen Augenblicken wird die Tat vollbracht sein.
maedchenvommoorhof_1_f000099|Jene Tat, von der es keine Umkehr gibt, die niemals gutgemacht, niemals ausgelöscht werden kann.|Jene Tat, von der es keine Umkehr gibt, die niemals gutgemacht, niemals ausgelöscht werden kann.
maedchenvommoorhof_1_f000100|Gerade als der Beklagte anfängt, den Eid nachzusprechen, stürzt sie vor, schleudert seine ausgestreckte Hand beiseite und reißt die Bibel an sich.|Gerade als der Beklagte anfängt, den Eid nachzusprechen, stürzt sie vor, schleudert seine ausgestreckte Hand beiseite und reißt die Bibel an sich.
maedchenvommoorhof_1_f000101|Ein furchtbares Entsetzen hat ihr endlich Mut gegeben.|Ein furchtbares Entsetzen hat ihr endlich Mut gegeben.
maedchenvommoorhof_1_f000102|Er darf seine Seele nicht verschwören. Er darf nicht.|Er darf seine Seele nicht verschwören. Er darf nicht.
maedchenvommoorhof_1_f000103|Der Gerichtsdiener eilt sogleich herbei, sie zur Ordnung zu rufen und ihr die Bibel abzunehmen.|Der Gerichtsdiener eilt sogleich herbei, sie zur Ordnung zu rufen und ihr die Bibel abzunehmen.
maedchenvommoorhof_1_f000104|Sie hat ungeheure Angst vor allem, was mit dem Gericht zusammenhängt, und sie glaubt, daß, was sie jetzt getan hat, sie auf die Festung bringen werde.|Sie hat ungeheure Angst vor allem, was mit dem Gericht zusammenhängt, und sie glaubt, daß, was sie jetzt getan hat, sie auf die Festung bringen werde.
maedchenvommoorhof_1_f000105|Aber sie gibt die Bibel nicht her.|Aber sie gibt die Bibel nicht her.
maedchenvommoorhof_1_f000106|Was es auch kosten möge, er darf den Eid nicht ablegen.|Was es auch kosten möge, er darf den Eid nicht ablegen.
maedchenvommoorhof_1_f000107|Auch er, der schwören will, läuft herbei, um das Buch zu ergreifen; aber sie leistet auch ihm Widerstand.|Auch er, der schwören will, läuft herbei, um das Buch zu ergreifen; aber sie leistet auch ihm Widerstand.
maedchenvommoorhof_1_f000108|Du darfst den Eid nicht schwören! ruft sie. Du darfst nicht!|Du darfst den Eid nicht schwören! ruft sie. Du darfst nicht!
maedchenvommoorhof_1_f000109|Was jetzt vorgeht, erweckt natürlich das größte Staunen.|Was jetzt vorgeht, erweckt natürlich das größte Staunen.
maedchenvommoorhof_1_f000110|Die Versammelten drängen zum Richtertisch, die Geschworenen erheben sich, der Protokollführer springt auf, das Tintenfaß in der Hand, damit es nicht umgestürzt werde.|Die Versammelten drängen zum Richtertisch, die Geschworenen erheben sich, der Protokollführer springt auf, das Tintenfaß in der Hand, damit es nicht umgestürzt werde.
maedchenvommoorhof_1_f000111|Da ruft der Richter mit lauter, zorniger Stimme: Ruhe! und alle die Menschen bleiben regungslos stehen.|Da ruft der Richter mit lauter, zorniger Stimme: Ruhe! und alle die Menschen bleiben regungslos stehen.
maedchenvommoorhof_1_f000112|Was fällt dir ein?|Was fällt dir ein?
maedchenvommoorhof_1_f000113|Was hast du mit der Bibel zu schaffen? fragt der Richter die Klägerin mit harter und strenger Stimme.|Was hast du mit der Bibel zu schaffen? fragt der Richter die Klägerin mit harter und strenger Stimme.
maedchenvommoorhof_1_f000114|Nachdem sie ihrer Angst in einer Tat der Verzweiflung Luft gemacht hat, ist ihre Beklommenheit gewichen, so daß sie antworten kann: Er darf den Eid nicht ablegen!|Nachdem sie ihrer Angst in einer Tat der Verzweiflung Luft gemacht hat, ist ihre Beklommenheit gewichen, so daß sie antworten kann: Er darf den Eid nicht ablegen!
maedchenvommoorhof_1_f000115|Sei still und gib das Buch zurück! ruft der Richter.|Sei still und gib das Buch zurück! ruft der Richter.
maedchenvommoorhof_1_f000116|Aber sie gehorcht nicht, sondern umklammert das Buch mit beiden Händen.|Aber sie gehorcht nicht, sondern umklammert das Buch mit beiden Händen.
maedchenvommoorhof_1_f000117|Er darf den Eid nicht ablegen! ruft sie mit ungezügelter Heftigkeit.|Er darf den Eid nicht ablegen! ruft sie mit ungezügelter Heftigkeit.
maedchenvommoorhof_1_f000118|Ist es dir so sehr darum zu tun, den Prozeß zu gewinnen?|Ist es dir so sehr darum zu tun, den Prozeß zu gewinnen?
maedchenvommoorhof_1_f000119|fragt der Richter in immer schärferem Ton.|fragt der Richter in immer schärferem Ton.
maedchenvommoorhof_1_f000120|Ich will die Klage zurückziehen! ruft sie mit lauter, schneidender Stimme.|Ich will die Klage zurückziehen! ruft sie mit lauter, schneidender Stimme.
maedchenvommoorhof_1_f000121|Ich will ihn nicht zwingen, zu schwören!|Ich will ihn nicht zwingen, zu schwören!
maedchenvommoorhof_1_f000122|Was schreist du da? fragt der Richter.|Was schreist du da? fragt der Richter.
maedchenvommoorhof_1_f000123|Hast du den Verstand verloren?|Hast du den Verstand verloren?
maedchenvommoorhof_1_f000124|Sie ringt heftig nach Atem und versucht sich zu beruhigen.|Sie ringt heftig nach Atem und versucht sich zu beruhigen.
maedchenvommoorhof_1_f000125|Sie hört selbst, wie sie schreit.|Sie hört selbst, wie sie schreit.
maedchenvommoorhof_1_f000126|Der Richter muß wohl glauben, daß sie toll geworden sei, weil sie, was sie will, nicht in ruhigen Worten sagen kann.|Der Richter muß wohl glauben, daß sie toll geworden sei, weil sie, was sie will, nicht in ruhigen Worten sagen kann.
maedchenvommoorhof_1_f000127|Noch einmal kämpft sie mit sich selbst, um Macht über ihre Stimme zu erlangen, und diesmal gelingt es ihr.|Noch einmal kämpft sie mit sich selbst, um Macht über ihre Stimme zu erlangen, und diesmal gelingt es ihr.
maedchenvommoorhof_1_f000128|Sie sagt langsam, ernst, laut, während sie dem Richter gerade ins Gesicht sieht:  Ich will die Klage zurückziehen.|Sie sagt langsam, ernst, laut, während sie dem Richter gerade ins Gesicht sieht:  Ich will die Klage zurückziehen.
maedchenvommoorhof_1_f000129|Er ist der Vater des Kindes.|Er ist der Vater des Kindes.
maedchenvommoorhof_1_f000130|Aber ich hab’ ihn noch lieb.|Aber ich hab ihn noch lieb.
maedchenvommoorhof_1_f000131|Ich will nicht, daß er falsch schwört!|Ich will nicht, daß er falsch schwört!
