le_pays_des_fourrures_1_10_f000001|Un retour sur le passé.|Un retour sur le passé.
le_pays_des_fourrures_1_10_f000012|Quelques attelages de chiens furent remplacés, et, au moment du départ, Jasper Hobson trouva ses traîneaux rangés en bon ordre à la porte de l'enceinte.|Quelques attelages de chiens furent remplacés, et, au moment du départ, Jasper Hobson trouva ses traîneaux rangés en bon ordre à la porte de l'enceinte.
le_pays_des_fourrures_1_10_f000013|Les adieux furent faits. Chacun remercia le sergent Felton, qui s'était montré fort hospitalier dans cette circonstance.|Les adieux furent faits. Chacun remercia le sergent Felton, qui s'était montré fort hospitalier dans cette circonstance.
le_pays_des_fourrures_1_10_f000014|Mrs.Paulina Barnett ne fut pas la dernière à lui exprimer sa reconnaissance.|Mrs.Paulina Barnett ne fut pas la dernière à lui exprimer sa reconnaissance.
le_pays_des_fourrures_1_10_f000015|Une vigoureuse poignée de main que le sergent donna à son beau-frère Long termina la cérémonie des adieux.|Une vigoureuse poignée de main que le sergent donna à son beau-frère Long termina la cérémonie des adieux.
le_pays_des_fourrures_1_10_f000016|Chaque couple monta dans le traîneau qui lui fut assigné, et, cette fois, Mrs.|Chaque couple monta dans le traîneau qui lui fut assigné, et, cette fois, Mrs.
le_pays_des_fourrures_1_10_f000017|Paulina Barnett et le lieutenant occupaient le même véhicule. Madge et le sergent Long les suivaient.|Paulina Barnett et le lieutenant occupaient le même véhicule. Madge et le sergent Long les suivaient.
le_pays_des_fourrures_1_10_f000018|D'après le conseil que lui avait donné le chef indien, Jasper Hobson résolut de gagner la côte américaine par le chemin le plus court,|D'après le conseil que lui avait donné le chef indien, Jasper Hobson résolut de gagner la côte américaine par le chemin le plus court,
le_pays_des_fourrures_1_10_f000019|en coupant droit entre le Fort-Confidence et le littoral.|en coupant droit entre le Fort-Confidence et le littoral.
le_pays_des_fourrures_1_10_f000020|Après avoir consulté ses cartes, qui ne donnaient que fort approximativement la configuration du territoire, il lui parut bon de descendre la vallée de la Coppermine,|Après avoir consulté ses cartes, qui ne donnaient que fort approximativement la configuration du territoire, il lui parut bon de descendre la vallée de la Coppermine,
le_pays_des_fourrures_1_10_f000021|cours d'eau assez important qui va se jeter dans le golfe du Couronnement.|cours d'eau assez important qui va se jeter dans le golfe du Couronnement.
le_pays_des_fourrures_1_10_f000022|Entre le Fort-Confidence et l'embouchure de la rivière, la distance est au plus d'un degré et demi, -- soit quatre-vingt-cinq à quatre-vingt-dix milles.|Entre le Fort-Confidence et l'embouchure de la rivière, la distance est au plus d'un degré et demi, -- soit quatre-vingt-cinq à quatre-vingt-dix milles.
le_pays_des_fourrures_1_10_f000023|La profonde échancrure qui forme le golfe se termine au nord par le cap Krusenstern, et, depuis ce cap, la côte court franchement à l'ouest,|La profonde échancrure qui forme le golfe se termine au nord par le cap Krusenstern, et, depuis ce cap, la côte court franchement à l'ouest,
le_pays_des_fourrures_1_10_f000024|jusqu'au moment où elle s'élève au-dessus du soixante-dixième parallèle par la pointe Bathurst.|jusqu'au moment où elle s'élève au-dessus du soixante-dixième parallèle par la pointe Bathurst.
le_pays_des_fourrures_1_10_f000025|Jasper Hobson modifia donc la route qu'il avait suivie jusqu'alors, et il se dirigea dans l'est, de manière à gagner, en quelques heures, le cours d'eau par la droite ligne.|Jasper Hobson modifia donc la route qu'il avait suivie jusqu'alors, et il se dirigea dans l'est, de manière à gagner, en quelques heures, le cours d'eau par la droite ligne.
le_pays_des_fourrures_1_10_f000026|La rivière fut atteinte, le lendemain, 3 juin, dans l'après-midi.|La rivière fut atteinte, le lendemain, 3 juin, dans l'après-midi.
le_pays_des_fourrures_1_10_f000027|La Coppermine, aux eaux pures et rapides, alors dégagée de glaces, coulait à pleins bords dans une large vallée, arrosée par un grand nombre de rios capricieux, mais facilement guéables.|La Coppermine, aux eaux pures et rapides, alors dégagée de glaces, coulait à pleins bords dans une large vallée, arrosée par un grand nombre de rios capricieux, mais facilement guéables.
le_pays_des_fourrures_1_10_f000028|Le tirage des traîneaux s'opéra donc assez rapidement.|Le tirage des traîneaux s'opéra donc assez rapidement.
le_pays_des_fourrures_1_10_f000029|Pendant que leur attelage les entraînait, Jasper Hobson racontait à sa compagne l'histoire de ce pays qu'ils traversaient.|Pendant que leur attelage les entraînait, Jasper Hobson racontait à sa compagne l'histoire de ce pays qu'ils traversaient.
le_pays_des_fourrures_1_10_f000030|Une véritable intimité, une sincère amitié, autorisée par leur situation et leur âge, existait entre le lieutenant Hobson et la voyageuse.|Une véritable intimité, une sincère amitié, autorisée par leur situation et leur âge, existait entre le lieutenant Hobson et la voyageuse.
le_pays_des_fourrures_1_10_f000031|Mrs. Paulina Barnett aimait à s'instruire, et, ayant l'instinct des découvertes, elle aimait à entendre parler des découvreurs.|Mrs. Paulina Barnett aimait à s'instruire, et, ayant l'instinct des découvertes, elle aimait à entendre parler des découvreurs.
le_pays_des_fourrures_1_10_f000032|Jasper Hobson, qui connaissait par coeur son Amérique septentrionale, put complètement satisfaire la curiosité de sa compagne.|Jasper Hobson, qui connaissait par coeur son Amérique septentrionale, put complètement satisfaire la curiosité de sa compagne.
le_pays_des_fourrures_1_10_f000033|Il y a quatre-vingt-dix ans environ, lui dit-il, tout ce territoire traversé par la rivière Coppermine était inconnu, et c'est aux agents de la Compagnie de la baie d'Hudson que l'on doit sa découverte.|Il y a quatre-vingt-dix ans environ, lui dit-il, tout ce territoire traversé par la rivière Coppermine était inconnu, et c'est aux agents de la Compagnie de la baie d'Hudson que l'on doit sa découverte.
le_pays_des_fourrures_1_10_f000034|Seulement, madame, ainsi que cela arrive presque toujours dans le domaine scientifique, c'est en cherchant une chose qu'on en découvre une autre.|Seulement, madame, ainsi que cela arrive presque toujours dans le domaine scientifique, c'est en cherchant une chose qu'on en découvre une autre.
le_pays_des_fourrures_1_10_f000035|Colomb cherchait l'Asie, et il trouva l'Amérique.|Colomb cherchait l'Asie, et il trouva l'Amérique.
le_pays_des_fourrures_1_10_f000036|-- Et que cherchaient donc les agents de la Compagnie? demanda Mrs. Paulina Barnett. Était-ce ce fameux passage du Nord-Ouest?|-- Et que cherchaient donc les agents de la Compagnie? demanda Mrs. Paulina Barnett. Était-ce ce fameux passage du Nord-Ouest?
le_pays_des_fourrures_1_10_f000037|-- Non, madame, répondit le jeune lieutenant, non. Il y a un siècle, la Compagnie n'avait point intérêt à ce que l'on employât cette nouvelle voie de communication, qui eût été plus profitable à ses concurrents qu'à elle-même.|-- Non, madame, répondit le jeune lieutenant, non. Il y a un siècle, la Compagnie n'avait point intérêt à ce que l'on employât cette nouvelle voie de communication, qui eût été plus profitable à ses concurrents qu'à elle-même.
le_pays_des_fourrures_1_10_f000038|On prétend même qu'en 1741, un certain Christophe Middleton, chargé d'explorer ces parages, fut publiquement accusé d'avoir reçu cinq mille livres de la Compagnie pour déclarer que la communication par mer entre les deux océans n'existait pas et ne pouvait exister.|On prétend même qu'en 1741, un certain Christophe Middleton, chargé d'explorer ces parages, fut publiquement accusé d'avoir reçu cinq mille livres de la Compagnie pour déclarer que la communication par mer entre les deux océans n'existait pas et ne pouvait exister.
le_pays_des_fourrures_1_10_f000039|-- Ceci n'est point à la gloire de la célèbre Compagnie, répondit Mrs. Paulina Barnett.|-- Ceci n'est point à la gloire de la célèbre Compagnie, répondit Mrs. Paulina Barnett.
le_pays_des_fourrures_1_10_f000040|-- Je ne la défends pas sur ce point, reprit Jasper Hobson.|-- Je ne la défends pas sur ce point, reprit Jasper Hobson.
le_pays_des_fourrures_1_10_f000041|J'ajouterai même que le parlement blâma sévèrement ses agissements, quand, en 1746, il promit une prime de vingt mille livres à quiconque découvrirait le passage en question.|J'ajouterai même que le parlement blâma sévèrement ses agissements, quand, en 1746, il promit une prime de vingt mille livres à quiconque découvrirait le passage en question.
le_pays_des_fourrures_1_10_f000042|Aussi vit- on, en cette année même, deux intrépides voyageurs, William Moor et Francis Smith, s'élever jusqu'à la baie Repulse, dans l'espoir de reconnaître la communication tant désirée.|Aussi vit- on, en cette année même, deux intrépides voyageurs, William Moor et Francis Smith, s'élever jusqu'à la baie Repulse, dans l'espoir de reconnaître la communication tant désirée.
le_pays_des_fourrures_1_10_f000043|Toutefois, ils ne réussirent pas dans leur entreprise, et, après une absence qui dura un an et demi, ils durent revenir en Angleterre.|Toutefois, ils ne réussirent pas dans leur entreprise, et, après une absence qui dura un an et demi, ils durent revenir en Angleterre.
le_pays_des_fourrures_1_10_f000044|-- Mais d'autres capitaines, audacieux et convaincus, ne s'élancèrent-ils pas aussitôt sur leurs traces? demanda Mrs. Paulina Barnett.|-- Mais d'autres capitaines, audacieux et convaincus, ne s'élancèrent-ils pas aussitôt sur leurs traces? demanda Mrs. Paulina Barnett.
le_pays_des_fourrures_1_10_f000045|-- Non, madame, et, pendant trente ans encore, malgré l'importance de la récompense promise par le parlement, aucune tentative ne fut faite pour reprendre l'exploration géographique de cette portion du continent américain,|-- Non, madame, et, pendant trente ans encore, malgré l'importance de la récompense promise par le parlement, aucune tentative ne fut faite pour reprendre l'exploration géographique de cette portion du continent américain,
le_pays_des_fourrures_1_10_f000046|ou plutôt de l'Amérique anglaise, -- car c'est le nom qu'il convient de lui conserver.|ou plutôt de l'Amérique anglaise, -- car c'est le nom qu'il convient de lui conserver.
le_pays_des_fourrures_1_10_f000047|Ce ne fut qu'en 1769 qu'un agent de la Compagnie tenta de reprendre les travaux de Moor et de Smith.|Ce ne fut qu'en 1769 qu'un agent de la Compagnie tenta de reprendre les travaux de Moor et de Smith.
le_pays_des_fourrures_1_10_f000048|-- La Compagnie était donc revenue de ses idées étroites et égoïstes, monsieur Jasper?|-- La Compagnie était donc revenue de ses idées étroites et égoïstes, monsieur Jasper?
le_pays_des_fourrures_1_10_f000049|-- Non, madame, pas encore. Samuel Hearne, -- c'est le nom de cet agent, -- n'avait d'autre mission que de reconnaître la situation d'une mine de cuivre,|-- Non, madame, pas encore. Samuel Hearne, -- c'est le nom de cet agent, -- n'avait d'autre mission que de reconnaître la situation d'une mine de cuivre,
le_pays_des_fourrures_1_10_f000050|que les coureurs indigènes avaient signalée.|que les coureurs indigènes avaient signalée.
le_pays_des_fourrures_1_10_f000051|Ce fut le 6 novembre 1769 que cet agent quitta le fort du Prince- de-Galles, situé sur la rivière Churchill, près de la côte occidentale de la baie d'Hudson.|Ce fut le 6 novembre 1769 que cet agent quitta le fort du Prince- de-Galles, situé sur la rivière Churchill, près de la côte occidentale de la baie d'Hudson.
le_pays_des_fourrures_1_10_f000052|Samuel Hearne s'avança hardiment dans le nord-ouest; mais le froid devint si rigoureux que, ses vivres épuisés, il dut retourner au fort du Prince-de-Galles.|Samuel Hearne s'avança hardiment dans le nord-ouest; mais le froid devint si rigoureux que, ses vivres épuisés, il dut retourner au fort du Prince-de-Galles.
le_pays_des_fourrures_1_10_f000053|Heureusement, ce n'était point un homme à se décourager.|Heureusement, ce n'était point un homme à se décourager.
le_pays_des_fourrures_1_10_f000054|Le 23 février de l'année suivante, il repartit, emmenant quelques Indiens à sa suite.|Le 23 février de l'année suivante, il repartit, emmenant quelques Indiens à sa suite.
le_pays_des_fourrures_1_10_f000055|Les fatigues de ce second voyage furent extrêmes. Le gibier et le poisson, sur lesquels comptait Samuel Hearne, manquèrent souvent.|Les fatigues de ce second voyage furent extrêmes. Le gibier et le poisson, sur lesquels comptait Samuel Hearne, manquèrent souvent.
le_pays_des_fourrures_1_10_f000056|Il lui arriva même une fois de rester sept jours sans manger autre chose que des fruits sauvages, des morceaux de vieux cuir et des os brûlés.|Il lui arriva même une fois de rester sept jours sans manger autre chose que des fruits sauvages, des morceaux de vieux cuir et des os brûlés.
le_pays_des_fourrures_1_10_f000057|Force fut encore à ce voyageur intrépide de revenir à la factorerie sans avoir obtenu aucun résultat.|Force fut encore à ce voyageur intrépide de revenir à la factorerie sans avoir obtenu aucun résultat.
le_pays_des_fourrures_1_10_f000058|Mais il ne se rebuta pas. Il partit une troisième fois, le 7 décembre 1770, et, après dix-neuf mois de luttes, le 13 juillet 1772, il découvrit la Coppermine-River,|Mais il ne se rebuta pas. Il partit une troisième fois, le 7 décembre 1770, et, après dix-neuf mois de luttes, le 13 juillet 1772, il découvrit la Coppermine-River,
le_pays_des_fourrures_1_10_f000059|qu'il descendit jusqu'à son embouchure, et là, il prétendit avoir vu la mer libre.|qu'il descendit jusqu'à son embouchure, et là, il prétendit avoir vu la mer libre.
le_pays_des_fourrures_1_10_f000060|C'était la première fois que la côte septentrionale de l'Amérique était atteinte.|C'était la première fois que la côte septentrionale de l'Amérique était atteinte.
le_pays_des_fourrures_1_10_f000061|-- Mais le passage du nord-ouest, c'est-à-dire cette communication directe entre l'Atlantique et le Pacifique, n'était point découvert? demanda Mrs. Paulina Barnett.|-- Mais le passage du nord-ouest, c'est-à-dire cette communication directe entre l'Atlantique et le Pacifique, n'était point découvert? demanda Mrs. Paulina Barnett.
le_pays_des_fourrures_1_10_f000062|-- Non, madame, répondit le lieutenant, et que de marins aventureux le cherchèrent depuis lors!|-- Non, madame, répondit le lieutenant, et que de marins aventureux le cherchèrent depuis lors!
le_pays_des_fourrures_1_10_f000063|Phipps en 1773, James Cook et Clerke de 1776 à 1779, Kotzebue de 1815 à 1818, Ross, Parry, Franklin et tant d'autres se dévouèrent à cette tâche difficile,|Phipps en 1773, James Cook et Clerke de 1776 à 1779, Kotzebue de 1815 à 1818, Ross, Parry, Franklin et tant d'autres se dévouèrent à cette tâche difficile,
le_pays_des_fourrures_1_10_f000064|mais inutilement, et il faut arriver au découvreur de notre temps, à l'intrépide Mac Clure, pour trouver le seul homme qui ait réellement passé d'un océan à l'autre en traversant la mer polaire.|mais inutilement, et il faut arriver au découvreur de notre temps, à l'intrépide Mac Clure, pour trouver le seul homme qui ait réellement passé d'un océan à l'autre en traversant la mer polaire.
le_pays_des_fourrures_1_10_f000065|-- En effet, monsieur Jasper, répondit Mrs. Paulina Barnett, et c'est un fait géographique dont, nous autres Anglais, nous devons être fiers!|-- En effet, monsieur Jasper, répondit Mrs. Paulina Barnett, et c'est un fait géographique dont, nous autres Anglais, nous devons être fiers!
le_pays_des_fourrures_1_10_f000066|Mais, dites-moi, la Compagnie de la baie d'Hudson, revenue enfin à des idées plus généreuses, n'a-t-elle donc encouragé aucun autre voyageur depuis Samuel Hearne?|Mais, dites-moi, la Compagnie de la baie d'Hudson, revenue enfin à des idées plus généreuses, n'a-t-elle donc encouragé aucun autre voyageur depuis Samuel Hearne?
le_pays_des_fourrures_1_10_f000067|-- Elle l'a fait, madame, et c'est grâce à elle que le capitaine Franklin a pu exécuter son voyage de 1819 à 1822, précisément entre la rivière de Hearne et le cap Turnagain.|-- Elle l'a fait, madame, et c'est grâce à elle que le capitaine Franklin a pu exécuter son voyage de 1819 à 1822, précisément entre la rivière de Hearne et le cap Turnagain.
le_pays_des_fourrures_1_10_f000068|Cette exploration ne s'opéra pas sans fatigues et sans souffrances. Plusieurs fois la nourriture manqua complètement aux voyageurs. Deux Canadiens, assassinés par leurs camarades, furent dévorés...|Cette exploration ne s'opéra pas sans fatigues et sans souffrances. Plusieurs fois la nourriture manqua complètement aux voyageurs. Deux Canadiens, assassinés par leurs camarades, furent dévorés...
le_pays_des_fourrures_1_10_f000069|Malgré tant de tortures, le capitaine Franklin n'en parcourut pas moins un espace de cinq mille cinq cent cinquante milles sur cette portion,|Malgré tant de tortures, le capitaine Franklin n'en parcourut pas moins un espace de cinq mille cinq cent cinquante milles sur cette portion,
le_pays_des_fourrures_1_10_f000070|inconnue jusqu'à lui, du littoral du North-Amérique.|inconnue jusqu'à lui, du littoral du North-Amérique.
le_pays_des_fourrures_1_10_f000071|-- C'était un homme d'une rare énergie! ajouta Mrs.|-- C'était un homme d'une rare énergie! ajouta Mrs.
le_pays_des_fourrures_1_10_f000072|Paulina Barnett, et il l'a bien prouvé quand, malgré tout ce qu'il avait déjà souffert, il s'élança de nouveau à la conquête du pôle Nord.|Paulina Barnett, et il l'a bien prouvé quand, malgré tout ce qu'il avait déjà souffert, il s'élança de nouveau à la conquête du pôle Nord.
le_pays_des_fourrures_1_10_f000073|-- Oui, répondit Jasper Hobson, et l'audacieux explorateur a trouvé sur le théâtre même de ses découvertes une cruelle mort!|-- Oui, répondit Jasper Hobson, et l'audacieux explorateur a trouvé sur le théâtre même de ses découvertes une cruelle mort!
le_pays_des_fourrures_1_10_f000074|Mais il est bien prouvé, maintenant, que tous les compagnons de Franklin n'ont pas péri avec lui.|Mais il est bien prouvé, maintenant, que tous les compagnons de Franklin n'ont pas péri avec lui.
le_pays_des_fourrures_1_10_f000075|Beaucoup de ces malheureux errent certainement encore au milieu de ces solitudes glacées! Ah!|Beaucoup de ces malheureux errent certainement encore au milieu de ces solitudes glacées! Ah!
le_pays_des_fourrures_1_10_f000076|vraiment, je ne puis songer à cet abandon terrible sans un serrement de coeur!|vraiment, je ne puis songer à cet abandon terrible sans un serrement de coeur!
le_pays_des_fourrures_1_10_f000077|Un jour, madame, ajouta le lieutenant avec une émotion et une assurance singulières, un jour je fouillerai ces terres inconnues sur lesquelles s'est accomplie la funeste catastrophe, et...|Un jour, madame, ajouta le lieutenant avec une émotion et une assurance singulières, un jour je fouillerai ces terres inconnues sur lesquelles s'est accomplie la funeste catastrophe, et...
le_pays_des_fourrures_1_10_f000078|-- Et ce jour-là, répondit Mrs. Paulina Barnett en serrant la main du lieutenant, ce jour-là je serai votre compagne d'exploration.|-- Et ce jour-là, répondit Mrs. Paulina Barnett en serrant la main du lieutenant, ce jour-là je serai votre compagne d'exploration.
le_pays_des_fourrures_1_10_f000079|Oui! cette idée m'est venue plus d'une fois, ainsi qu'à vous, monsieur Jasper, et mon coeur s'émeut comme le vôtre à la pensée que des compatriotes,|Oui! cette idée m'est venue plus d'une fois, ainsi qu'à vous, monsieur Jasper, et mon coeur s'émeut comme le vôtre à la pensée que des compatriotes,
le_pays_des_fourrures_1_10_f000080|des Anglais, attendent peut-être un secours...|des Anglais, attendent peut-être un secours...
le_pays_des_fourrures_1_10_f000081|-- Qui viendra trop tard pour la plupart de ces infortunés, madame, mais qui viendra pour quelques-uns, soyez-en sûre!|-- Qui viendra trop tard pour la plupart de ces infortunés, madame, mais qui viendra pour quelques-uns, soyez-en sûre!
le_pays_des_fourrures_1_10_f000082|-- Dieu vous entende, monsieur Hobson! répondit Mrs.|-- Dieu vous entende, monsieur Hobson! répondit Mrs.
le_pays_des_fourrures_1_10_f000083|Paulina Barnett. J'ajouterai que les agents de la Compagnie, vivant à proximité du littoral, me semblent mieux placés que tous autres pour tenter de remplir ce devoir d'humanité.|Paulina Barnett. J'ajouterai que les agents de la Compagnie, vivant à proximité du littoral, me semblent mieux placés que tous autres pour tenter de remplir ce devoir d'humanité.
le_pays_des_fourrures_1_10_f000084|-- Je partage votre opinion, madame, répondit le lieutenant, car ces agents sont, de plus, accoutumés aux rigueurs des continents arctiques.|-- Je partage votre opinion, madame, répondit le lieutenant, car ces agents sont, de plus, accoutumés aux rigueurs des continents arctiques.
le_pays_des_fourrures_1_10_f000085|Ils l'ont souvent prouvé, d'ailleurs, en mainte circonstance.|Ils l'ont souvent prouvé, d'ailleurs, en mainte circonstance.
le_pays_des_fourrures_1_10_f000086|Ne sont-ce pas eux qui ont assisté le capitaine Black pendant son voyage de 1834, voyage qui nous a valu la découverte de la Terre du Roi Guillaume, cette terre sur laquelle s'est précisément accomplie la catastrophe de Franklin?|Ne sont-ce pas eux qui ont assisté le capitaine Black pendant son voyage de 1834, voyage qui nous a valu la découverte de la Terre du Roi Guillaume, cette terre sur laquelle s'est précisément accomplie la catastrophe de Franklin?
le_pays_des_fourrures_1_10_f000087|Est-ce que ce ne sont pas deux des nôtres, les courageux Dease et Simpson, que le gouverneur de la baie d'Hudson, en 1838, chargea spécialement d'explorer les rivages de la mer polaire, -- exploration pendant laquelle la terre Victoria fut reconnue pour la première fois?|Est-ce que ce ne sont pas deux des nôtres, les courageux Dease et Simpson, que le gouverneur de la baie d'Hudson, en 1838, chargea spécialement d'explorer les rivages de la mer polaire, -- exploration pendant laquelle la terre Victoria fut reconnue pour la première fois?
le_pays_des_fourrures_1_10_f000088|Je crois donc que l'avenir réserve à notre Compagnie la conquête définitive du continent arctique.|Je crois donc que l'avenir réserve à notre Compagnie la conquête définitive du continent arctique.
le_pays_des_fourrures_1_10_f000089|Peu à peu ses factoreries monteront vers le nord, -- refuge obligé des animaux à fourrure, -- et, un jour, un fort s'élèvera au pôle même, sur ce point mathématique où se croisent tous les méridiens du globe!|Peu à peu ses factoreries monteront vers le nord, -- refuge obligé des animaux à fourrure, -- et, un jour, un fort s'élèvera au pôle même, sur ce point mathématique où se croisent tous les méridiens du globe!
le_pays_des_fourrures_1_10_f000090|Pendant cette conversation et tant d'autres qui lui succédèrent, Jasper Hobson raconta ses propres aventures depuis qu'il était au service de la Compagnie,|Pendant cette conversation et tant d'autres qui lui succédèrent, Jasper Hobson raconta ses propres aventures depuis qu'il était au service de la Compagnie,
le_pays_des_fourrures_1_10_f000091|ses luttes avec les concurrents des agences rivales, ses tentatives d'exploration dans les territoires inconnus du nord et de l'ouest.|ses luttes avec les concurrents des agences rivales, ses tentatives d'exploration dans les territoires inconnus du nord et de l'ouest.
le_pays_des_fourrures_1_10_f000092|De son côté, Mrs. Paulina Barnett fit le récit de ses propres pérégrinations à travers les contrées intertropicales.|De son côté, Mrs. Paulina Barnett fit le récit de ses propres pérégrinations à travers les contrées intertropicales.
le_pays_des_fourrures_1_10_f000093|Elle dit tout ce qu'elle avait accompli et tout ce qu'elle comptait accomplir un jour.|Elle dit tout ce qu'elle avait accompli et tout ce qu'elle comptait accomplir un jour.
le_pays_des_fourrures_1_10_f000094|C'était entre le lieutenant et la voyageuse un agréable échange de récits qui charmait les longues heures du voyage.|C'était entre le lieutenant et la voyageuse un agréable échange de récits qui charmait les longues heures du voyage.
le_pays_des_fourrures_1_10_f000095|Pendant ce temps, les traîneaux, enlevés au galop des chiens, s'avançaient vers le nord.|Pendant ce temps, les traîneaux, enlevés au galop des chiens, s'avançaient vers le nord.
le_pays_des_fourrures_1_10_f000096|La vallée de la Coppermine s'élargissait sensiblement aux approches de la mer Arctique. Les collines latérales, moins abruptes, s'abaissaient peu à peu.|La vallée de la Coppermine s'élargissait sensiblement aux approches de la mer Arctique. Les collines latérales, moins abruptes, s'abaissaient peu à peu.
le_pays_des_fourrures_1_10_f000097|Certains bouquets d'arbres résineux rompaient çà et là la monotonie de ces paysages assez étranges.|Certains bouquets d'arbres résineux rompaient çà et là la monotonie de ces paysages assez étranges.
le_pays_des_fourrures_1_10_f000098|Quelques glaçons, charriés par la rivière, résistaient encore à l'action du soleil, mais leur nombre diminuait de jour en jour, et un canot,|Quelques glaçons, charriés par la rivière, résistaient encore à l'action du soleil, mais leur nombre diminuait de jour en jour, et un canot,
le_pays_des_fourrures_1_10_f000099|une chaloupe même eût descendu sans peine le courant de cette rivière, dont aucun barrage naturel, aucune agrégation de rocs ne gênait le cours.|une chaloupe même eût descendu sans peine le courant de cette rivière, dont aucun barrage naturel, aucune agrégation de rocs ne gênait le cours.
le_pays_des_fourrures_1_10_f000100|Le lit de la Coppermine était profond et large. Ses eaux, très limpides, alimentées par la fonte des neiges, coulaient assez vivement, sans jamais former de tumultueux rapides.|Le lit de la Coppermine était profond et large. Ses eaux, très limpides, alimentées par la fonte des neiges, coulaient assez vivement, sans jamais former de tumultueux rapides.
le_pays_des_fourrures_1_10_f000101|Son cours, d'abord très sinueux dans sa partie haute, tendait peu à peu à se rectifier et à se dessiner en droite ligne sur une étendue de plusieurs milles.|Son cours, d'abord très sinueux dans sa partie haute, tendait peu à peu à se rectifier et à se dessiner en droite ligne sur une étendue de plusieurs milles.
le_pays_des_fourrures_1_10_f000102|Quant aux rives, alors larges et plates, faites d'un sable fin et dur, tapissées en certains endroits d'une petite herbe sèche et courte,|Quant aux rives, alors larges et plates, faites d'un sable fin et dur, tapissées en certains endroits d'une petite herbe sèche et courte,
le_pays_des_fourrures_1_10_f000103|elles se prêtaient au glissage des traîneaux et au développement de la longue suite des attelages.|elles se prêtaient au glissage des traîneaux et au développement de la longue suite des attelages.
le_pays_des_fourrures_1_10_f000104|Pas de côtes, et, par conséquent, un tirage facile sur ce terrain nivelé.|Pas de côtes, et, par conséquent, un tirage facile sur ce terrain nivelé.
le_pays_des_fourrures_1_10_f000105|Le détachement s'avançait donc avec une grande rapidité.|Le détachement s'avançait donc avec une grande rapidité.
le_pays_des_fourrures_1_10_f000106|On allait nuit et jour, -- si toutefois cette expression peut s'appliquer à une contrée au-dessus de laquelle le soleil, traçant un cercle presque horizontal, disparaissait à peine.|On allait nuit et jour, -- si toutefois cette expression peut s'appliquer à une contrée au-dessus de laquelle le soleil, traçant un cercle presque horizontal, disparaissait à peine.
le_pays_des_fourrures_1_10_f000107|La nuit vraie ne durait pas deux heures sous cette latitude, et l'aube, à cette époque de l'année, succédait presque immédiatement au crépuscule.|La nuit vraie ne durait pas deux heures sous cette latitude, et l'aube, à cette époque de l'année, succédait presque immédiatement au crépuscule.
