novelle08_01_pirandello_f000001|Novelle per un anno di luigi pirandello|Novelle per un anno di luigi pirandello
novelle08_01_pirandello_f000014|Piccolissimo di statura, quasi senza collo, con quella faccia piatta, cuojacea, tutta rasa, e quelle pàlpebre gonfie come due borse|Piccolissimo di statura, quasi senza collo, con quella faccia piatta, cuojacea, tutta rasa, e quelle pàlpebre gonfie come due borse
novelle08_01_pirandello_f000015|che gli nascondevano le ciglia, e quei capelli lunghi, grigi, lisci e umidicci|che gli nascondevano le ciglia, e quei capelli lunghi, grigi, lisci e umidicci
novelle08_01_pirandello_f000016|che gli nascondevano gli orecchi, aveva l’aspetto d’una vecchia serva pettegola.|che gli nascondevano gli orecchi, aveva laspetto duna vecchia serva pettegola.
novelle08_01_pirandello_f000017|Ogni giorno, sul pomeriggio, scendeva su lo spiazzo davanti all’albergo|Ogni giorno, sul pomeriggio, scendeva su lo spiazzo davanti allalbergo
novelle08_01_pirandello_f000018|seguíto da un cameriere che gli recava un grosso fascio di riviste e di giornali o qualche libro;|seguíto da un cameriere che gli recava un grosso fascio di riviste e di giornali o qualche libro;
novelle08_01_pirandello_f000019|e, su una sedia di giunco a sdraio, s’immergeva per alcune ore nella lettura, all’ombra del maestoso faggio secolare che dominava la vetta.|e, su una sedia di giunco a sdraio, simmergeva per alcune ore nella lettura, allombra del maestoso faggio secolare che dominava la vetta.
novelle08_01_pirandello_f000020|Maestoso, per modo di dire, quel faggio: doveva essere ormai mortalmente seccato di star lassú, esposto a tutti i venti|Maestoso, per modo di dire, quel faggio: doveva essere ormai mortalmente seccato di star lassú, esposto a tutti i venti
novelle08_01_pirandello_f000021|e dava a veder chiaramente che non apprezzava l’altissimo onore e la fortuna|e dava a veder chiaramente che non apprezzava laltissimo onore e la fortuna
novelle08_01_pirandello_f000022|che gli toccava in quei giorni di riparare con le fronde copiose un cosí illustre personaggio.|che gli toccava in quei giorni di riparare con le fronde copiose un cosí illustre personaggio.
novelle08_01_pirandello_f000023|Si sarebbe detto che non se n’accorgeva nemmeno.|Si sarebbe detto che non se naccorgeva nemmeno.
novelle08_01_pirandello_f000024|Anche l’albergo pareva non si sentisse per nulla onorato d’ospitarlo|Anche lalbergo pareva non si sentisse per nulla onorato dospitarlo
novelle08_01_pirandello_f000025|e serbava tranquillamente l’aria umile e malinconica di vecchio convento abbandonato.|e serbava tranquillamente laria umile e malinconica di vecchio convento abbandonato.
novelle08_01_pirandello_f000026|Ma l’albergatore… ah, bisognava vederlo, l’albergatore: aveva subito assunto verso gli altri avventori un sussiego da diplomatico;|Ma lalbergatore ah, bisognava vederlo, lalbergatore: aveva subito assunto verso gli altri avventori un sussiego da diplomatico;
novelle08_01_pirandello_f000027|e i camerieri… anche i camerieri, bisognava vederli, s’erano messi a prestare i loro servizii con un’impagabile sprezzatura|e i camerieri anche i camerieri, bisognava vederli, serano messi a prestare i loro servizii con unimpagabile sprezzatura
novelle08_01_pirandello_f000028|per fare intender bene che non avrebbero potuto più che tanto occuparsi degli altri, intenti com’erano tutti agli ordini di quell’uno.|per fare intender bene che non avrebbero potuto più che tanto occuparsi degli altri, intenti comerano tutti agli ordini di quelluno.
novelle08_01_pirandello_f000029|Il giovane avvocato e dilettante giornalista Torello Scamozzi n’era addirittura stomacato;|Il giovane avvocato e dilettante giornalista Torello Scamozzi nera addirittura stomacato;
novelle08_01_pirandello_f000030|non tanto per sé, diceva, quanto per le signore.|non tanto per sé, diceva, quanto per le signore.
novelle08_01_pirandello_f000031|E minacciava di far le sue vendette su i molti giornali di cui si diceva collaboratore.|E minacciava di far le sue vendette su i molti giornali di cui si diceva collaboratore.
novelle08_01_pirandello_f000032|Ma le signore generosamente lo pregavano di non cimentarsi per loro.|Ma le signore generosamente lo pregavano di non cimentarsi per loro.
novelle08_01_pirandello_f000033|Erano quattro, le signore: cioè, le Gilli, mamma e figlia, Miss Green, inglesina alquanto attempatella, bionda e cerulea|Erano quattro, le signore: cioè, le Gilli, mamma e figlia, Miss Green, inglesina alquanto attempatella, bionda e cerulea
novelle08_01_pirandello_f000034|sempre fornita di mal di capo e d’antipirina, e la moglie del dottor Sandrocca, atassico e relegato perpetuamente su una sedia a ruote.|sempre fornita di mal di capo e dantipirina, e la moglie del dottor Sandrocca, atassico e relegato perpetuamente su una sedia a ruote.
novelle08_01_pirandello_f000035|Molto più saggio, cioè a dire più pratico, un altro giovane ospite, Leone Borisi|Molto più saggio, cioè a dire più pratico, un altro giovane ospite, Leone Borisi
novelle08_01_pirandello_f000036|lasciava allo Scamozzi il gusto di far cosí il paladino delle signore e specialmente della cara e vivacissima signorina Niní Gilli|lasciava allo Scamozzi il gusto di far cosí il paladino delle signore e specialmente della cara e vivacissima signorina Niní Gilli
novelle08_01_pirandello_f000037|e per conto suo s’era messo a spingere la sedia del dottor Sandrocca giú per i viottoli del monte|e per conto suo sera messo a spingere la sedia del dottor Sandrocca giú per i viottoli del monte
novelle08_01_pirandello_f000038|sotto gl’ippocàstani: a spinger la sedia con una mano e a cinger con l’altra la vita alla moglie del bravo dottore|sotto glippocàstani: a spinger la sedia con una mano e a cinger con laltra la vita alla moglie del bravo dottore
novelle08_01_pirandello_f000039|ch’era una brunotta ricciuta, dal nasino ritto e gli occhietti ardenti, simpaticissima.|chera una brunotta ricciuta, dal nasino ritto e gli occhietti ardenti, simpaticissima.
novelle08_01_pirandello_f000040|Oh, cosí, badiamo! innocentemente, quasi per distrazione, dietro le spalle del marito che rideva|Oh, cosí, badiamo! innocentemente, quasi per distrazione, dietro le spalle del marito che rideva
novelle08_01_pirandello_f000041|rideva e parlava e fumava la pipa, senza mai smettere un momento.|rideva e parlava e fumava la pipa, senza mai smettere un momento.
novelle08_01_pirandello_f000042|Capitulo Due  Il miracolo di far parlare l’illustre senatore Romualdo Reda lo aveva operato un nuovo ospite che|Capitulo Due  Il miracolo di far parlare lillustre senatore Romualdo Reda lo aveva operato un nuovo ospite che
novelle08_01_pirandello_f000043|a prima giunta, aveva fatto arricciare il nasino alle quattro signore e storcere il muso all’albergatore.|a prima giunta, aveva fatto arricciare il nasino alle quattro signore e storcere il muso allalbergatore.
novelle08_01_pirandello_f000044|Sciamannato, tutto gocciolante di sudore, col testone raso e la cotenna ridondante su la nuca|Sciamannato, tutto gocciolante di sudore, col testone raso e la cotenna ridondante su la nuca
novelle08_01_pirandello_f000045|le lenti che gli scivolavano sempre di traverso sul naso a gnocco, e quei grossi occhi biavi che pareva le andassero cercando per guardare|le lenti che gli scivolavano sempre di traverso sul naso a gnocco, e quei grossi occhi biavi che pareva le andassero cercando per guardare
novelle08_01_pirandello_f000046|obbligando il capo a certi buffi rigiramenti sul collo che facevano pensare a un bue smanioso sotto il giogo|obbligando il capo a certi buffi rigiramenti sul collo che facevano pensare a un bue smanioso sotto il giogo
novelle08_01_pirandello_f000047|il professor Dionisio Vernoni non era fatto in verità per attirar la confidenza.|il professor Dionisio Vernoni non era fatto in verità per attirar la confidenza.
novelle08_01_pirandello_f000048|Ma poi, a sentirlo parlare… Forse, dentro di sé|Ma poi, a sentirlo parlare Forse, dentro di sé
novelle08_01_pirandello_f000049|il professor Dionisio Vernoni soffriva dei vulcanici rimescolamenti delle sue tante passioni dentro il capace petto;|il professor Dionisio Vernoni soffriva dei vulcanici rimescolamenti delle sue tante passioni dentro il capace petto;
novelle08_01_pirandello_f000050|ma, per quel che poi se ne vedeva di fuori, faceva tanto ridere.|ma, per quel che poi se ne vedeva di fuori, faceva tanto ridere.
novelle08_01_pirandello_f000051|Ridere sopra tutto perché, con quella montagna di carne sudata addosso, era un incorreggibile idealista|Ridere sopra tutto perché, con quella montagna di carne sudata addosso, era un incorreggibile idealista
novelle08_01_pirandello_f000052|il professor Dionisio Vernoni: un idealista che, anche a costo d’essere scannato, non s’acquietava, non sapeva|il professor Dionisio Vernoni: un idealista che, anche a costo dessere scannato, non sacquietava, non sapeva
novelle08_01_pirandello_f000053|non voleva acquietarsi all’irritante rinunzia della scienza di fronte ai formidabili problemi dell’esistenza|non voleva acquietarsi allirritante rinunzia della scienza di fronte ai formidabili problemi dellesistenza
novelle08_01_pirandello_f000054|al comodo (egli diceva vigliacco) ripararsi del cosí detto pensiero filosofico entro i confini del conoscibile.|al comodo egli diceva vigliacco ripararsi del cosí detto pensiero filosofico entro i confini del conoscibile.
novelle08_01_pirandello_f000055|E cacciava di qua e di là con le due manacce le ostinatissime mosche che volevano attaccarglisi al faccione sudato.|E cacciava di qua e di là con le due manacce le ostinatissime mosche che volevano attaccarglisi al faccione sudato.
novelle08_01_pirandello_f000056|Vedendo sotto il faggio il senatore, ch’era stato suo maestro, tant’anni addietro|Vedendo sotto il faggio il senatore, chera stato suo maestro, tantanni addietro
novelle08_01_pirandello_f000057|all’Università (tutti i professori di parecchie Università erano stati suoi maestri|allUniversità tutti i professori di parecchie Università erano stati suoi maestri
novelle08_01_pirandello_f000058|perché aveva preso tre o quattro lauree, una dopo l’altra|perché aveva preso tre o quattro lauree, una dopo laltra
novelle08_01_pirandello_f000059|Dionisio Vernoni), tra lo stupore di tutti e l’indignazione dell’albergatore, gli era corso innanzi|Dionisio Vernoni, tra lo stupore di tutti e lindignazione dellalbergatore, gli era corso innanzi
novelle08_01_pirandello_f000060|gli s’era anzi precipitato addosso, gridando con le braccia levate:|gli sera anzi precipitato addosso, gridando con le braccia levate:
novelle08_01_pirandello_f000061|— Oh, lei qua, illustrissimo signor professore?|- Oh, lei qua, illustrissimo signor professore?
novelle08_01_pirandello_f000062|E quasi subito s’erano riaccese tra l’antico scolaro e il vecchio maestro le fervide discussioni rimaste famose per molti anni all’Università romana.|E quasi subito serano riaccese tra lantico scolaro e il vecchio maestro le fervide discussioni rimaste famose per molti anni allUniversità romana.
novelle08_01_pirandello_f000063|Fervide, da una parte sola, s’intende: da parte del Vernoni;|Fervide, da una parte sola, sintende: da parte del Vernoni;
novelle08_01_pirandello_f000064|perché il senatore rispondeva asciutto e mordace, con un frigido sogghignetto su le labbra|perché il senatore rispondeva asciutto e mordace, con un frigido sogghignetto su le labbra
novelle08_01_pirandello_f000065|il quale dava a vedere com’egli degnasse di qualche risposta quel suo strambo discepolo, solamente per pigliarselo a godere.|il quale dava a vedere comegli degnasse di qualche risposta quel suo strambo discepolo, solamente per pigliarselo a godere.
novelle08_01_pirandello_f000066|Lo avevano compreso bene tutti gli altri avventori, i quali a poco a poco s’erano fatti intorno a sentire.|Lo avevano compreso bene tutti gli altri avventori, i quali a poco a poco serano fatti intorno a sentire.
novelle08_01_pirandello_f000067|Ora, ogni dopo pranzo, si assisteva a quel duello intellettuale sotto il faggio, come a un vero spasso.|Ora, ogni dopo pranzo, si assisteva a quel duello intellettuale sotto il faggio, come a un vero spasso.
novelle08_01_pirandello_f000068|Tutti scoppiavano a ridere, di tratto in tratto, a certe argute risposte dell’illustre senatore|Tutti scoppiavano a ridere, di tratto in tratto, a certe argute risposte dellillustre senatore
novelle08_01_pirandello_f000069|mentre il Vernoni ora balzava in piedi con tanto d’occhi sbarrati|mentre il Vernoni ora balzava in piedi con tanto docchi sbarrati
novelle08_01_pirandello_f000070|ora, tutto sospeso, spalmava sul petto le due manacce come a trattenere una valanga di precipitose proteste.|ora, tutto sospeso, spalmava sul petto le due manacce come a trattenere una valanga di precipitose proteste.
novelle08_01_pirandello_f000071|La vecchia signora Gilli e Miss Green, però|La vecchia signora Gilli e Miss Green, però
novelle08_01_pirandello_f000072|trascinate spesso dalla foga appassionata con cui il professor Vernoni perorava in favore delle sue nobili e magnanime teorie|trascinate spesso dalla foga appassionata con cui il professor Vernoni perorava in favore delle sue nobili e magnanime teorie
novelle08_01_pirandello_f000073|approvavano involontariamente col capo.|approvavano involontariamente col capo.
novelle08_01_pirandello_f000074|Allora il senatore rispondeva con una certa vocetta agra di stizza.|Allora il senatore rispondeva con una certa vocetta agra di stizza.
novelle08_01_pirandello_f000075|E il Vernoni, o s’insaccava nelle spalle, o borbottava con amaro disdegno:|E il Vernoni, o sinsaccava nelle spalle, o borbottava con amaro disdegno:
novelle08_01_pirandello_f000076|— L’erba, dunque, eh? L’erba! Come se fossimo tante pecorelle… Niní Gilli,|- Lerba, dunque, eh? Lerba! Come se fossimo tante pecorelle Niní Gilli,
novelle08_01_pirandello_f000077|a queste parole, prorompeva in una irrefrenabile risata|a queste parole, prorompeva in una irrefrenabile risata
novelle08_01_pirandello_f000078|a cui tutti gli altri facevano eco, mentre il senatore guardava in giro come se non avesse inteso bene, e domandava:|a cui tutti gli altri facevano eco, mentre il senatore guardava in giro come se non avesse inteso bene, e domandava:
novelle08_01_pirandello_f000079|— L’erba? Perché, l’erba? Non capisco.|- Lerba? Perché, lerba? Non capisco.
novelle08_01_pirandello_f000080|— L’erba! L’erba! — raffermava, quasi piangendo dalla stizza, il Vernoni.|- Lerba! Lerba! - raffermava, quasi piangendo dalla stizza, il Vernoni.
novelle08_01_pirandello_f000081|— Qual è per le pecore la sola verità che esista? L’erba.|- Qual è per le pecore la sola verità che esista? Lerba.
novelle08_01_pirandello_f000082|L’erba che cresce loro sotto il mento.|Lerba che cresce loro sotto il mento.
novelle08_01_pirandello_f000083|Ma noi, vivaddio, possiamo guardare anche in sú, illustrissimo signor senatore! In sú, in sú|Ma noi, vivaddio, possiamo guardare anche in sú, illustrissimo signor senatore! In sú, in sú
novelle08_01_pirandello_f000084|le stelle! La vecchia signora Gilli e Miss Green tornavano ad approvare col capo, convintissime, questa volta.|le stelle! La vecchia signora Gilli e Miss Green tornavano ad approvare col capo, convintissime, questa volta.
novelle08_01_pirandello_f000085|E il senatore allora masticava: — Anche in sú, già, come dice Sallustio.|E il senatore allora masticava: - Anche in sú, già, come dice Sallustio.
novelle08_01_pirandello_f000086|— Come dice Sallustio, sissignore, — rimbeccava pronto il Vernoni.|- Come dice Sallustio, sissignore, - rimbeccava pronto il Vernoni.
novelle08_01_pirandello_f000087|— Ma anche guardando in giú, scusi… la talpa, signor senatore: guardiamo la talpa e seguiamo la logica della natura.|- Ma anche guardando in giú, scusi la talpa, signor senatore: guardiamo la talpa e seguiamo la logica della natura.
novelle08_01_pirandello_f000088|— Ah no! Il senatore Romualdo Reda, sentendo nominar la natura|- Ah no! Il senatore Romualdo Reda, sentendo nominar la natura
novelle08_01_pirandello_f000089|s’inquietava sul serio: scattava battendo ambo le mani su i braccioli: — Ma via! ma mi faccia il piacere! ma la sua logica|sinquietava sul serio: scattava battendo ambo le mani su i braccioli: - Ma via! ma mi faccia il piacere! ma la sua logica
novelle08_01_pirandello_f000090|caro Vernoni! Tanto per ridere… Lasciamo star la natura, per carità! — Scusi, scusi|caro Vernoni! Tanto per ridere Lasciamo star la natura, per carità! - Scusi, scusi
novelle08_01_pirandello_f000091|scusi, — s’affrettava allora a spiegare il Vernoni, ponendo avanti le mani.|scusi, - saffrettava allora a spiegare il Vernoni, ponendo avanti le mani.
novelle08_01_pirandello_f000092|— Che la natura abbia una logica, si può forse mettere in dubbio?|- Che la natura abbia una logica, si può forse mettere in dubbio?
novelle08_01_pirandello_f000093|Ma ne abbiamo una prova lampantissima, scusi, nella sua economia! Mi lasci dire|Ma ne abbiamo una prova lampantissima, scusi, nella sua economia! Mi lasci dire
novelle08_01_pirandello_f000094|illustrissimo signor professore! La talpa… Perché la talpa ha cosí debole l’organo visivo?|illustrissimo signor professore! La talpa Perché la talpa ha cosí debole lorgano visivo?
novelle08_01_pirandello_f000095|Ma perché deve star sottoterra! Logica della natura. E l’uomo?|Ma perché deve star sottoterra! Logica della natura. E luomo?
novelle08_01_pirandello_f000096|Scusi, perché deve poter vedere le stelle, l’uomo?|Scusi, perché deve poter vedere le stelle, luomo?
novelle08_01_pirandello_f000097|Una ragione ci dev’essere, scusi! Tutti restavano sospesi per un momento nell’attesa della risposta del signor senatore;|Una ragione ci devessere, scusi! Tutti restavano sospesi per un momento nellattesa della risposta del signor senatore;
novelle08_01_pirandello_f000098|ma questi socchiudeva gli occhi stanchi, enfiati, tentennava il capo|ma questi socchiudeva gli occhi stanchi, enfiati, tentennava il capo
novelle08_01_pirandello_f000099|apriva le labbra a un sorrisetto di sdegnosa commiserazione e lasciava tutti delusi recitando:|apriva le labbra a un sorrisetto di sdegnosa commiserazione e lasciava tutti delusi recitando:
novelle08_01_pirandello_f000100|— Gestit enim mens exilire ad magis generalia ut acquiescat: et post parvam moram fastidit experientiam.|- Gestit enim mens exilire ad magis generalia ut acquiescat: et post parvam moram fastidit experientiam.
novelle08_01_pirandello_f000101|Sed haec mala demum aucta sunt a dialectica ob pompas disputationum. — Bacone?|Sed haec mala demum aucta sunt a dialectica ob pompas disputationum. - Bacone?
novelle08_01_pirandello_f000102|— domandava il professor Dionisio Vernoni, asciugandosi il copioso sudore dalla fronte e dalla nuca. E il senatore: — Bacone.|- domandava il professor Dionisio Vernoni, asciugandosi il copioso sudore dalla fronte e dalla nuca. E il senatore: - Bacone.
novelle08_01_pirandello_f000103|Capitulo Tre  Se non che, una di quelle mattine, per tempissimo|Capitulo Tre  Se non che, una di quelle mattine, per tempissimo
novelle08_01_pirandello_f000104|tutti gli ospiti dell’albergo in vetta al monte furono destati all’improvviso dalle grida acutissime della signorina Niní Gilli e della madre.|tutti gli ospiti dellalbergo in vetta al monte furono destati allimprovviso dalle grida acutissime della signorina Niní Gilli e della madre.
novelle08_01_pirandello_f000105|Che cosa era accaduto?|Che cosa era accaduto?
novelle08_01_pirandello_f000106|Dapprima si disse che la cara Niní, essendosi recata sola, all’alba,|Dapprima si disse che la cara Niní, essendosi recata sola, allalba,
novelle08_01_pirandello_f000107|giú nelle macchie del Conventino, aveva fatto un brutto incontro. Brutto?|giú nelle macchie del Conventino, aveva fatto un brutto incontro. Brutto?
novelle08_01_pirandello_f000108|Come? Forse aggredita?|Come? Forse aggredita?
novelle08_01_pirandello_f000109|Ma non s’era sentito mai che nelle macchie del Conventino bazzicassero… ah,|Ma non sera sentito mai che nelle macchie del Conventino bazzicassero ah,
novelle08_01_pirandello_f000110|non si trattava di malandrini? E che incontro, allora?|non si trattava di malandrini? E che incontro, allora?
novelle08_01_pirandello_f000111|La cara Niní, o la Gillina come la chiamavano, era venuta sú dalle macchie di corsa|La cara Niní, o la Gillina come la chiamavano, era venuta sú dalle macchie di corsa
novelle08_01_pirandello_f000112|di corsa, scarmigliata, urlando, in preda a un terror pazzo.|di corsa, scarmigliata, urlando, in preda a un terror pazzo.
novelle08_01_pirandello_f000113|Adesso si dibatteva, sú in camera, in una terribile convulsione di nervi.|Adesso si dibatteva, sú in camera, in una terribile convulsione di nervi.
novelle08_01_pirandello_f000114|Ma che incontro era stato, insomma? Che le avevano fatto?|Ma che incontro era stato, insomma? Che le avevano fatto?
novelle08_01_pirandello_f000115|Le macchie del Conventino erano su la costa occidentale del monte: fittissime e intricate.|Le macchie del Conventino erano su la costa occidentale del monte: fittissime e intricate.
novelle08_01_pirandello_f000116|Macchie propriamente non erano, perché tutti quegl’ippocàstani là, sebbene rimasti sottili|Macchie propriamente non erano, perché tutti queglippocàstani là, sebbene rimasti sottili
novelle08_01_pirandello_f000117|erano ormai divenuti d’altissimo fusto e dritti come aghi: un bosco.|erano ormai divenuti daltissimo fusto e dritti come aghi: un bosco.
novelle08_01_pirandello_f000118|Si chiamavano del Conventino perché, in una breve radura in mezzo, era un piccolo convento antico, in rovina e abbandonato|Si chiamavano del Conventino perché, in una breve radura in mezzo, era un piccolo convento antico, in rovina e abbandonato
novelle08_01_pirandello_f000119|con la chiesuola da una parte, il cui interno misterioso s’intravedeva appena appena attraverso le fessure del portone imporrito.|con la chiesuola da una parte, il cui interno misterioso sintravedeva appena appena attraverso le fessure del portone imporrito.
novelle08_01_pirandello_f000120|Lo Scamozzi, pallido, costernatissimo, incitava il Borisi,|Lo Scamozzi, pallido, costernatissimo, incitava il Borisi,
novelle08_01_pirandello_f000121|incitava i camerieri a correr con lui, armati, giú nelle macchie, a vedere. Ma a vedere che cosa?|incitava i camerieri a correr con lui, armati, giú nelle macchie, a vedere. Ma a vedere che cosa?
novelle08_01_pirandello_f000122|Se ancora non si sapeva nulla di certo! Che diceva il senator Reda accorso in camera della signorina?|Se ancora non si sapeva nulla di certo! Che diceva il senator Reda accorso in camera della signorina?
novelle08_01_pirandello_f000123|Era anche medico il Reda, benché non avesse mai esercitato la professione.|Era anche medico il Reda, benché non avesse mai esercitato la professione.
novelle08_01_pirandello_f000124|Soltanto il professor Dionisio Vernoni si dichiarava pronto a seguire lo Scamozzi.|Soltanto il professor Dionisio Vernoni si dichiarava pronto a seguire lo Scamozzi.
novelle08_01_pirandello_f000125|Ma questi non se ne fidava, e fingeva di non udirlo e di non vederlo.|Ma questi non se ne fidava, e fingeva di non udirlo e di non vederlo.
novelle08_01_pirandello_f000126|Finalmente, ecco il Reda! Uh, lodato Dio, sorrideva… Ebbene? — Nulla, signori miei. Stiano tranquilli.|Finalmente, ecco il Reda! Uh, lodato Dio, sorrideva Ebbene? - Nulla, signori miei. Stiano tranquilli.
novelle08_01_pirandello_f000127|Una lieve psicosi passeggera. Crisi isterica, ecco. Passerà.|Una lieve psicosi passeggera. Crisi isterica, ecco. Passerà.
novelle08_01_pirandello_f000128|Ma il professor Dionisio Vernoni si fece avanti accigliato, rabbuffato: — Psicosi? — disse.|Ma il professor Dionisio Vernoni si fece avanti accigliato, rabbuffato: - Psicosi? - disse.
novelle08_01_pirandello_f000129|— Giú nelle macchie del Conventino?|- Giú nelle macchie del Conventino?
novelle08_01_pirandello_f000130|Se lei dice psicosi, io so di che si tratta! So tutto|Se lei dice psicosi, io so di che si tratta! So tutto
novelle08_01_pirandello_f000131|so tutto! La signorina Gilli ha veduto! La signorina Gilli ha sentito anche lei! Lo Scamozzi|so tutto! La signorina Gilli ha veduto! La signorina Gilli ha sentito anche lei! Lo Scamozzi
novelle08_01_pirandello_f000132|il Borisi, il dottor Sandrocca, la moglie, Miss Green si voltarono a guardarlo a bocca aperta: — Veduto… che cosa?|il Borisi, il dottor Sandrocca, la moglie, Miss Green si voltarono a guardarlo a bocca aperta: - Veduto che cosa?
novelle08_01_pirandello_f000133|— Ma non gli diano retta, per carità! — esclamò il senatore. — Allucinazione, è vero?|- Ma non gli diano retta, per carità! - esclamò il senatore. - Allucinazione, è vero?
novelle08_01_pirandello_f000134|— gridò allora il Vernoni, con aria beffarda e di sfida.|- gridò allora il Vernoni, con aria beffarda e di sfida.
novelle08_01_pirandello_f000135|— Psicosi… crisi isterica… E come spiega lei allora che anch’io, sissignore, anch’io|- Psicosi crisi isterica E come spiega lei allora che anchio, sissignore, anchio
novelle08_01_pirandello_f000136|l’altro giorno, verso sera, ho udito… sissignori, ho udito mentr’ero là solo|laltro giorno, verso sera, ho udito sissignori, ho udito mentrero là solo
novelle08_01_pirandello_f000137|nella macchia, presso il Conventino, una musica… una musica di paradiso|nella macchia, presso il Conventino, una musica una musica di paradiso
novelle08_01_pirandello_f000138|che partiva dalla chiesetta… organo e arpe… melodia divina! Non l’ho detto a nessuno;|che partiva dalla chiesetta organo e arpe melodia divina! Non lho detto a nessuno;
novelle08_01_pirandello_f000139|lo dico adesso perché son certo che la signorina Gilli, anche lei|lo dico adesso perché son certo che la signorina Gilli, anche lei
novelle08_01_pirandello_f000140|ha udito… Per vergogna sono stato zitto, vi giuro! perché ho avuto paura, sí! sí! paura|ha udito Per vergogna sono stato zitto, vi giuro! perché ho avuto paura, sí! sí! paura
novelle08_01_pirandello_f000141|e sono scappato via a gambe levate! — Oh la finisca, per favore, signor mio! — lo interruppe a questo punto l’albergatore|e sono scappato via a gambe levate! - Oh la finisca, per favore, signor mio! - lo interruppe a questo punto lalbergatore
novelle08_01_pirandello_f000142|notando l’effetto che quelle parole producevano sugli altri avventori.|notando leffetto che quelle parole producevano sugli altri avventori.
novelle08_01_pirandello_f000143|— Lei vuol rovinarmi! Ma scusi, sono pazzie! Non s’è mai detto nulla di simile;|- Lei vuol rovinarmi! Ma scusi, sono pazzie! Non sè mai detto nulla di simile;
novelle08_01_pirandello_f000144|nessuno ha mai udito nulla! Fortuna che c’è qui S. E… dico l’on.|nessuno ha mai udito nulla! Fortuna che cè qui S. E dico lon.
novelle08_01_pirandello_f000145|senatore… un luminare della scienza… e anche un altro egregio dottore, che… manco male, ride, guàrdino! ride|senatore un luminare della scienza e anche un altro egregio dottore, che manco male, ride, guàrdino! ride
novelle08_01_pirandello_f000146|e ha ragione… è proprio da ridere, caro signor dottore! Una semplicissima crisi nervosa… — Isterica, — corresse il senatore.|e ha ragione è proprio da ridere, caro signor dottore! Una semplicissima crisi nervosa - Isterica, - corresse il senatore.
novelle08_01_pirandello_f000147|— Ecco, isterica… e quando lo dice lui! — concluse l’albergatore.|- Ecco, isterica e quando lo dice lui! - concluse lalbergatore.
novelle08_01_pirandello_f000148|— Che musica! che organo! che arpe! Andiamo tutti insieme alla macchia… Farò servir loro laggiú la colazione… Un luogo delizioso|- Che musica! che organo! che arpe! Andiamo tutti insieme alla macchia Farò servir loro laggiú la colazione Un luogo delizioso
novelle08_01_pirandello_f000149|sicurissimo… Apriremo la chiesa… vedranno… — Ma l’organo c’è davvero?|sicurissimo Apriremo la chiesa vedranno - Ma lorgano cè davvero?
novelle08_01_pirandello_f000150|— domandò la signora Sandrocca.|- domandò la signora Sandrocca.
novelle08_01_pirandello_f000151|— Non c’è… cioè… sí, c’è e non c’è… — rispose, confuso, l’albergatore.|- Non cè cioè sí, cè e non cè - rispose, confuso, lalbergatore.
