zweiplaneten_01_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_01_lasswitz_f000012|die spärlichen Blätter eines Weidenbuschs zerstieben unter dem Schlag des mit rasender Geschwindigkeit hindurchfahrenden Schlangenleibes.|die spärlichen Blätter eines Weidenbuschs zerstieben unter dem Schlag des mit rasender Geschwindigkeit hindurchfahrenden Schlangenleibes.
zweiplaneten_01_lasswitz_f000013|Eilend entflieht eine einsame Schneeammer, erschrocken und brummend erhebt sich aus seinem Schlummer der Eisbär|Eilend entflieht eine einsame Schneeammer, erschrocken und brummend erhebt sich aus seinem Schlummer der Eisbär
zweiplaneten_01_lasswitz_f000014|dem soeben die Schlange das zottige Fell gestreift hat.|dem soeben die Schlange das zottige Fell gestreift hat.
zweiplaneten_01_lasswitz_f000015|Die Schlange kümmert sich nicht darum;|Die Schlange kümmert sich nicht darum;
zweiplaneten_01_lasswitz_f000016|während ihr Schweif über die nordische Sommerlandschaft hinjagt, hebt sie ihr Haupt hoch empor in die Luft, der Sonne entgegen.|während ihr Schweif über die nordische Sommerlandschaft hinjagt, hebt sie ihr Haupt hoch empor in die Luft, der Sonne entgegen.
zweiplaneten_01_lasswitz_f000017|Es ist kurz nach Mitternacht, eben hat der neunzehnte August begonnen.|Es ist kurz nach Mitternacht, eben hat der neunzehnte August begonnen.
zweiplaneten_01_lasswitz_f000018|Schräg fallen die Strahlen des Sonnenballs auf die Abhänge des Gebirges|Schräg fallen die Strahlen des Sonnenballs auf die Abhänge des Gebirges
zweiplaneten_01_lasswitz_f000019|das unter der Einwirkung des schon monatelang dauernden Tages sich mit reichlichem Pflanzenwuchs bedeckt hat.|das unter der Einwirkung des schon monatelang dauernden Tages sich mit reichlichem Pflanzenwuchs bedeckt hat.
zweiplaneten_01_lasswitz_f000020|Hinter jenen Höhen liegt der Nordpol des Erdballs.|Hinter jenen Höhen liegt der Nordpol des Erdballs.
zweiplaneten_01_lasswitz_f000021|Ihm entgegen stürmt die Schlange.|Ihm entgegen stürmt die Schlange.
zweiplaneten_01_lasswitz_f000022|Wo aber ist der Kopf des eilenden Ungetüms? Man sieht ihn nicht.|Wo aber ist der Kopf des eilenden Ungetüms? Man sieht ihn nicht.
zweiplaneten_01_lasswitz_f000023|Ihr dünner Leib verfließt in der Luft, die klar und durchsichtig über der Polarlandschaft liegt.|Ihr dünner Leib verfließt in der Luft, die klar und durchsichtig über der Polarlandschaft liegt.
zweiplaneten_01_lasswitz_f000024|Doch welch seltsame Erscheinung?|Doch welch seltsame Erscheinung?
zweiplaneten_01_lasswitz_f000025|Der Schlange stets voran schwebt, von der Sonne vergoldet, ein rundlicher Körper. Es ist ein großer Ballon.|Der Schlange stets voran schwebt, von der Sonne vergoldet, ein rundlicher Körper. Es ist ein großer Ballon.
zweiplaneten_01_lasswitz_f000026|Straff schwillt die feine Seide unter dem Druck des Wasserstoffgases, das sie erfüllt.|Straff schwillt die feine Seide unter dem Druck des Wasserstoffgases, das sie erfüllt.
zweiplaneten_01_lasswitz_f000027|In der Höhe von dreihundert Meter über dem Boden treibt ein starker, gleichmäßig wehender Südwind den Ballon dem Norden zu.|In der Höhe von dreihundert Meter über dem Boden treibt ein starker, gleichmäßig wehender Südwind den Ballon dem Norden zu.
zweiplaneten_01_lasswitz_f000028|Die Schlange aber ist das Schlepptau dieses Luftballons|Die Schlange aber ist das Schlepptau dieses Luftballons
zweiplaneten_01_lasswitz_f000029|der in günstiger Fahrt dem langersehnten Ziel menschlicher Wißbegier sich nähert, dem Nordpol der Erde.|der in günstiger Fahrt dem langersehnten Ziel menschlicher Wißbegier sich nähert, dem Nordpol der Erde.
zweiplaneten_01_lasswitz_f000030|Auf dem Boden nachschleppend reguliert es den Flug des Ballons.|Auf dem Boden nachschleppend reguliert es den Flug des Ballons.
zweiplaneten_01_lasswitz_f000031|Wenn er höher steigt, hemmt es ihn durch sein Gewicht, das er mit aufheben muß;|Wenn er höher steigt, hemmt es ihn durch sein Gewicht, das er mit aufheben muß;
zweiplaneten_01_lasswitz_f000032|wenn er sinkt, erleichtert es ihn, indem es in größerer Länge auf der Erde sich ausstreckt.|wenn er sinkt, erleichtert es ihn, indem es in größerer Länge auf der Erde sich ausstreckt.
zweiplaneten_01_lasswitz_f000033|Seine Reibung auf dem Boden bietet einen Widerstand und ermöglicht es damit den Luftschiffern|Seine Reibung auf dem Boden bietet einen Widerstand und ermöglicht es damit den Luftschiffern
zweiplaneten_01_lasswitz_f000034|durch Stellung eines Segels bis zu einem gewissen Grade von der Windrichtung abzuweichen.|durch Stellung eines Segels bis zu einem gewissen Grade von der Windrichtung abzuweichen.
zweiplaneten_01_lasswitz_f000035|Aber das Segel ist jetzt eingezogen.|Aber das Segel ist jetzt eingezogen.
zweiplaneten_01_lasswitz_f000036|Der Wind weht so günstig unmittelbar von Süden her, wie es die kühnen Nordpolfahrer nur wünschen können.|Der Wind weht so günstig unmittelbar von Süden her, wie es die kühnen Nordpolfahrer nur wünschen können.
zweiplaneten_01_lasswitz_f000037|Lange hatten sie an der Nordküste von Spitzbergen auf das Eintreten des Südwinds gewartet.|Lange hatten sie an der Nordküste von Spitzbergen auf das Eintreten des Südwinds gewartet.
zweiplaneten_01_lasswitz_f000038|Schon neigte sich der Polarsommer seinem Ende zu, und sie fürchteten unverrichteter Sache umkehren zu müssen|Schon neigte sich der Polarsommer seinem Ende zu, und sie fürchteten unverrichteter Sache umkehren zu müssen
zweiplaneten_01_lasswitz_f000039|wie der kühne Schwede Andrée bei seinem ersten Versuche.|wie der kühne Schwede Andree bei seinem ersten Versuche.
zweiplaneten_01_lasswitz_f000040|Da endlich, am siebzehnte August, setzte der Südwind ein.|Da endlich, am siebzehnte August, setzte der Südwind ein.
zweiplaneten_01_lasswitz_f000041|Der gefüllte Ballon erhob sich in die Lüfte;|Der gefüllte Ballon erhob sich in die Lüfte;
zweiplaneten_01_lasswitz_f000042|binnen zwei Tagen hatten sie tausend Kilometer in direkt nördlicher Richtung zurückgelegt.|binnen zwei Tagen hatten sie tausend Kilometer in direkt nördlicher Richtung zurückgelegt.
zweiplaneten_01_lasswitz_f000043|Der von Nansen entdeckte nordische Ozean war überflogen und neues Land erreicht, das sich ganz gegen Erwartung der Geographen hier vorfand.|Der von Nansen entdeckte nordische Ozean war überflogen und neues Land erreicht, das sich ganz gegen Erwartung der Geographen hier vorfand.
zweiplaneten_01_lasswitz_f000044|Schon entschwand das Supan-Kap auf Andrée-Land im Süden ihren Blicken.|Schon entschwand das Supan-Kap auf Andree-Land im Süden ihren Blicken.
zweiplaneten_01_lasswitz_f000045|Bald mußte es sich entscheiden, ob die beiden Expeditionen, die eine im Ballon|Bald mußte es sich entscheiden, ob die beiden Expeditionen, die eine im Ballon
zweiplaneten_01_lasswitz_f000046|die andere mit Schlitten unternommen, wirklich, wie ihre Führer meinten, den Pol selbst erreicht hätten.|die andere mit Schlitten unternommen, wirklich, wie ihre Führer meinten, den Pol selbst erreicht hätten.
zweiplaneten_01_lasswitz_f000047|Bei der Unsicherheit der Ortsbestimmung in diesen Breiten waren Zweifel darüber entstanden|Bei der Unsicherheit der Ortsbestimmung in diesen Breiten waren Zweifel darüber entstanden
zweiplaneten_01_lasswitz_f000048|die Aussicht vom Ballon war durch Nebel getrübt gewesen, der Schlittenexpedition fehlte ein weiterer Überblick.|die Aussicht vom Ballon war durch Nebel getrübt gewesen, der Schlittenexpedition fehlte ein weiterer Überblick.
zweiplaneten_01_lasswitz_f000049|Jetzt war durch die Mittel eines reichen Privatmanns, des Astronomen Friedrich Ell|Jetzt war durch die Mittel eines reichen Privatmanns, des Astronomen Friedrich Ell
zweiplaneten_01_lasswitz_f000050|eine deutsche Expedition ausgerüstet worden, die noch einmal mittels des Ballons den Pol untersuchen sollte.|eine deutsche Expedition ausgerüstet worden, die noch einmal mittels des Ballons den Pol untersuchen sollte.
zweiplaneten_01_lasswitz_f000051|Natürlich hatte man sich die Erfahrungen der früheren Expeditionen zunutze gemacht.|Natürlich hatte man sich die Erfahrungen der früheren Expeditionen zunutze gemacht.
zweiplaneten_01_lasswitz_f000052|Durch die internationale Vereinigung für Polarforschung war eine eigene Abteilung für wissenschaftliche Luftschiffahrt ins Leben gerufen worden.|Durch die internationale Vereinigung für Polarforschung war eine eigene Abteilung für wissenschaftliche Luftschiffahrt ins Leben gerufen worden.
zweiplaneten_01_lasswitz_f000053|Namentlich hatte man die Benutzung des Schleppseils ausgebildet und damit für die Leitung des Ballons wenigstens annähernd ein Mittel zur Lenkung gefunden|Namentlich hatte man die Benutzung des Schleppseils ausgebildet und damit für die Leitung des Ballons wenigstens annähernd ein Mittel zur Lenkung gefunden
zweiplaneten_01_lasswitz_f000054|wie es das Segelschiff im Widerstand des Wassers besitzt.|wie es das Segelschiff im Widerstand des Wassers besitzt.
zweiplaneten_01_lasswitz_f000055|Man hatte Metallzylinder konstruiert|Man hatte Metallzylinder konstruiert
zweiplaneten_01_lasswitz_f000056|in denen man bis auf zweihundertfünfzig Atmosphären Druck zusammengepreßten Wasserstoff mit sich führte|in denen man bis auf zweihundertfünfzig Atmosphären Druck zusammengepreßten Wasserstoff mit sich führte
zweiplaneten_01_lasswitz_f000057|um bei Dauerfahrten einen eingetretenen Gasverlust zu ersetzen.|um bei Dauerfahrten einen eingetretenen Gasverlust zu ersetzen.
zweiplaneten_01_lasswitz_f000058|Man hatte dem Korb eine Form gegeben, die es gestattete, ihn nach Bedarf gegen die äußere Luft abzuschließen.|Man hatte dem Korb eine Form gegeben, die es gestattete, ihn nach Bedarf gegen die äußere Luft abzuschließen.
zweiplaneten_01_lasswitz_f000059|Der neue Ballon ›Pol‹ war mit allen diesen fortgeschrittenen Einrichtungen ausgerüstet.|Der neue Ballon Pol war mit allen diesen fortgeschrittenen Einrichtungen ausgerüstet.
zweiplaneten_01_lasswitz_f000060|Außerdem hing unterhalb des Korbes zur Rettung im äußersten Notfall ein großer Fallschirm.|Außerdem hing unterhalb des Korbes zur Rettung im äußersten Notfall ein großer Fallschirm.
zweiplaneten_01_lasswitz_f000061|Unter einer Art Sattel, der einen sicheren Sitz gewährte, war an demselben für alle Fälle ein Proviantkorb befestigt.|Unter einer Art Sattel, der einen sicheren Sitz gewährte, war an demselben für alle Fälle ein Proviantkorb befestigt.
zweiplaneten_01_lasswitz_f000062|Der Direktor der Abteilung für wissenschaftliche Luftschiffahrt, Hugo Torm, hatte selbst die Leitung der Expedition unternommen.|Der Direktor der Abteilung für wissenschaftliche Luftschiffahrt, Hugo Torm, hatte selbst die Leitung der Expedition unternommen.
zweiplaneten_01_lasswitz_f000063|Ihn begleiteten der Astronom Grunthe und der Naturforscher Josef Saltner.|Ihn begleiteten der Astronom Grunthe und der Naturforscher Josef Saltner.
zweiplaneten_01_lasswitz_f000064|Saltner warf einen Blick auf Uhr und Barometer|Saltner warf einen Blick auf Uhr und Barometer
zweiplaneten_01_lasswitz_f000065|drückte auf den Momentverschluß des photographischen Apparats und notierte die Zeit und den Luftdruck.|drückte auf den Momentverschluß des photographischen Apparats und notierte die Zeit und den Luftdruck.
zweiplaneten_01_lasswitz_f000066|»Diese Gegend hätten wir glücklich in der Tasche«, murmelte er.|Diese Gegend hätten wir glücklich in der Tasche, murmelte er.
zweiplaneten_01_lasswitz_f000067|Dann streckte er die in hohen Filzstiefeln steckenden Füße so weit aus, als es der beschränkte Raum des Korbes zuließ|Dann streckte er die in hohen Filzstiefeln steckenden Füße so weit aus, als es der beschränkte Raum des Korbes zuließ
zweiplaneten_01_lasswitz_f000068|zwinkerte mit den lustigen Augen und sagte: »Meine Herren, ich bin schauderhaft müde.|zwinkerte mit den lustigen Augen und sagte: Meine Herren, ich bin schauderhaft müde.
zweiplaneten_01_lasswitz_f000069|Könnte man nicht jetzt ein kleines Schläfchen machen? Was meinen Sie, Kapitän?|Könnte man nicht jetzt ein kleines Schläfchen machen? Was meinen Sie, Kapitän?
zweiplaneten_01_lasswitz_f000070|»Tun Sie das«, antwortete Torm, »Sie sind an der Reihe. Aber beeilen Sie sich.|Tun Sie das, antwortete Torm, Sie sind an der Reihe. Aber beeilen Sie sich.
zweiplaneten_01_lasswitz_f000071|Wenn wir diesen Wind noch drei Stunden behalten –«.|Wenn wir diesen Wind noch drei Stunden behalten -.
zweiplaneten_01_lasswitz_f000072|Er unterbrach sich, um die nötigen Ablesungen zu machen.|Er unterbrach sich, um die nötigen Ablesungen zu machen.
zweiplaneten_01_lasswitz_f000073|»Wecken Sie mich gefälligst, sobald wir – am Pol sind –«.|Wecken Sie mich gefälligst, sobald wir - am Pol sind -.
zweiplaneten_01_lasswitz_f000074|Saltner sprach mit geschlossenen Augen, und beim letzten Wort war er schon sanft entschlummert.|Saltner sprach mit geschlossenen Augen, und beim letzten Wort war er schon sanft entschlummert.
zweiplaneten_01_lasswitz_f000075|»Es ist ein unheimliches Glück, das wir haben«, begann Torm.|Es ist ein unheimliches Glück, das wir haben, begann Torm.
zweiplaneten_01_lasswitz_f000076|»Wir fliegen im wahren Sinn des Worts auf das Ziel zu.|Wir fliegen im wahren Sinn des Worts auf das Ziel zu.
zweiplaneten_01_lasswitz_f000077|Ich habe für die letzten fünf Minuten wieder drei comma neun Kilometer notiert.|Ich habe für die letzten fünf Minuten wieder drei comma neun Kilometer notiert.
zweiplaneten_01_lasswitz_f000078|Könnten Sie eine genauere Bestimmung versuchen, wo wir sind?|Könnten Sie eine genauere Bestimmung versuchen, wo wir sind?
zweiplaneten_01_lasswitz_f000079|»Es wird sich machen lassen«, antwortete Grunthe, indem er nach dem Sextanten griff.|Es wird sich machen lassen, antwortete Grunthe, indem er nach dem Sextanten griff.
zweiplaneten_01_lasswitz_f000080|»Der Ballon geht sehr ruhig, und wir haben die Ortszeit ziemlich sicher.|Der Ballon geht sehr ruhig, und wir haben die Ortszeit ziemlich sicher.
zweiplaneten_01_lasswitz_f000081|Wir hatten den tiefsten Sonnenstand vor einer Stunde und sechsundzwanzig Minuten.|Wir hatten den tiefsten Sonnenstand vor einer Stunde und sechsundzwanzig Minuten.
zweiplaneten_01_lasswitz_f000082|« Er nahm die Sonnenhöhe mit größter Sorgfalt.| Er nahm die Sonnenhöhe mit größter Sorgfalt.
zweiplaneten_01_lasswitz_f000083|Dann rechnete er einige Zeit lang.|Dann rechnete er einige Zeit lang.
zweiplaneten_01_lasswitz_f000084|In vollkommener Stille lag die Landschaft, über welche die Luftschiffer eilten.|In vollkommener Stille lag die Landschaft, über welche die Luftschiffer eilten.
zweiplaneten_01_lasswitz_f000085|Ein weites Hochplateau, mit Moos und Flechten bedeckt, hier und da von Wasserlachen durchsetzt|Ein weites Hochplateau, mit Moos und Flechten bedeckt, hier und da von Wasserlachen durchsetzt
zweiplaneten_01_lasswitz_f000086|bildete den Fuß des Gebirges, dem sich der Ballon schnell näherte.|bildete den Fuß des Gebirges, dem sich der Ballon schnell näherte.
zweiplaneten_01_lasswitz_f000087|Man hörte nichts als das Ticken der Uhrwerke, von Zeit zu Zeit das regelmäßige Abschnurren des Aspirationsthermometers|Man hörte nichts als das Ticken der Uhrwerke, von Zeit zu Zeit das regelmäßige Abschnurren des Aspirationsthermometers
zweiplaneten_01_lasswitz_f000088|dazwischen die behaglichen Atemzüge des schlummernden Saltner.|dazwischen die behaglichen Atemzüge des schlummernden Saltner.
zweiplaneten_01_lasswitz_f000089|Es war freilich eine angenehmere Polarfahrt, als mit halbverhungerten Hunden die langsamen Schlitten über die Eistrümmer zu schleppen.|Es war freilich eine angenehmere Polarfahrt, als mit halbverhungerten Hunden die langsamen Schlitten über die Eistrümmer zu schleppen.
zweiplaneten_01_lasswitz_f000090|Grunthe sah von seiner Rechnung auf.|Grunthe sah von seiner Rechnung auf.
zweiplaneten_01_lasswitz_f000091|»Welche Breite haben Sie aus der Berechnung des zurückgelegten Weges? « fragte er Torm.|Welche Breite haben Sie aus der Berechnung des zurückgelegten Weges?  fragte er Torm.
zweiplaneten_01_lasswitz_f000092|»Achtundachtzig Grad fünfzig – einundfünfzig Minuten«, erwiderte dieser. »Wir sind weiter.|Achtundachtzig Grad fünfzig - einundfünfzig Minuten, erwiderte dieser. Wir sind weiter.
zweiplaneten_01_lasswitz_f000093|Grunthe machte eine Pause, indem er noch einmal kurz die Rechnung prüfte.|Grunthe machte eine Pause, indem er noch einmal kurz die Rechnung prüfte.
zweiplaneten_01_lasswitz_f000094|Dann sagte er bedachtsam, aber mit derselben Gleichmäßigkeit der Stimme:|Dann sagte er bedachtsam, aber mit derselben Gleichmäßigkeit der Stimme:
zweiplaneten_01_lasswitz_f000095|»Neunundachtzig Grad zwölf Minuten. »Nicht möglich!«.|Neunundachtzig Grad zwölf Minuten. Nicht möglich!.
zweiplaneten_01_lasswitz_f000096|»Ganz sicher«, erwiderte Grunthe ruhig und zog die Lippen ein|Ganz sicher, erwiderte Grunthe ruhig und zog die Lippen ein
zweiplaneten_01_lasswitz_f000097|so daß sein Mund unter dem dünnen Schnurrbart wie ein Gedankenstrich erschien.|so daß sein Mund unter dem dünnen Schnurrbart wie ein Gedankenstrich erschien.
zweiplaneten_01_lasswitz_f000098|Das war das Zeichen, daß keine Gewalt mehr imstande sei, an Grunthes unerschütterlichem Ausspruch etwas zu ändern.|Das war das Zeichen, daß keine Gewalt mehr imstande sei, an Grunthes unerschütterlichem Ausspruch etwas zu ändern.
zweiplaneten_01_lasswitz_f000099|»Dann haben wir keine neunzig Kilometer mehr bis zum Pol«, rief Torm lebhaft.|Dann haben wir keine neunzig Kilometer mehr bis zum Pol, rief Torm lebhaft.
zweiplaneten_01_lasswitz_f000100|»Neunundachtzigeinhalb«, sprach Grunthe.|Neunundachtzigeinhalb, sprach Grunthe.
zweiplaneten_01_lasswitz_f000101|»Dann sind wir in zwei Stunden dort.|Dann sind wir in zwei Stunden dort.
zweiplaneten_01_lasswitz_f000102|»In einer Stunde und zweiundfünfzig Minuten«, verbesserte Grunthe unerschütterlich|In einer Stunde und zweiundfünfzig Minuten, verbesserte Grunthe unerschütterlich
zweiplaneten_01_lasswitz_f000103|»wenn nämlich der Wind mit derselben Geschwindigkeit anhält.|wenn nämlich der Wind mit derselben Geschwindigkeit anhält.
zweiplaneten_01_lasswitz_f000104|»Ja – wenn«, so rief Torm lebhaft.|Ja - wenn, so rief Torm lebhaft.
zweiplaneten_01_lasswitz_f000105|»Nur noch zwei Stunden, Gott gebe es!«.|Nur noch zwei Stunden, Gott gebe es!.
zweiplaneten_01_lasswitz_f000106|»Sobald wir über jenen Bergrücken sind, werden wir den Pol sehen.|Sobald wir über jenen Bergrücken sind, werden wir den Pol sehen.
zweiplaneten_01_lasswitz_f000107|»Sie haben recht, Doktor! Sehen werden wir den Pol – ob auch erreichen? »Warum nicht? « fragte Grunthe.|Sie haben recht, Doktor! Sehen werden wir den Pol - ob auch erreichen? Warum nicht?  fragte Grunthe.
zweiplaneten_01_lasswitz_f000108|»Hinter den Bergen, der Himmel gefällt mir nicht – auf der Nordseite liegt jetzt seit Stunden die Sonne|Hinter den Bergen, der Himmel gefällt mir nicht - auf der Nordseite liegt jetzt seit Stunden die Sonne
zweiplaneten_01_lasswitz_f000109|es ist dort ein aufsteigender Luftstrom vorhanden –«. »Wir müssen abwarten.|es ist dort ein aufsteigender Luftstrom vorhanden -. Wir müssen abwarten.
zweiplaneten_01_lasswitz_f000110|»Da – da – sehen Sie – den herrlichen Absturz des Gletschers«, rief Torm.|Da - da - sehen Sie - den herrlichen Absturz des Gletschers, rief Torm.
zweiplaneten_01_lasswitz_f000111|»Wir fliegen gerade auf ihn zu; müssen wir nicht steigen? « fragte Grunthe.|Wir fliegen gerade auf ihn zu; müssen wir nicht steigen?  fragte Grunthe.
zweiplaneten_01_lasswitz_f000112|»Gewiß, dort müssen wir hinüber. Aufgepaßt! Schneiden Sie ab!«.|Gewiß, dort müssen wir hinüber. Aufgepaßt! Schneiden Sie ab!.
zweiplaneten_01_lasswitz_f000113|Zwei Säcke Ballast klappten herab. Der Ballon schoß in die Höhe.|Zwei Säcke Ballast klappten herab. Der Ballon schoß in die Höhe.
zweiplaneten_01_lasswitz_f000114|»Wie die Entfernung täuscht«, sagte Torm.|Wie die Entfernung täuscht, sagte Torm.
zweiplaneten_01_lasswitz_f000115|»Ich hätte die Wand für entfernter gehalten – es reicht noch nicht. Wir müssen noch mehr opfern. Er schnitt noch einen Sack ab.|Ich hätte die Wand für entfernter gehalten - es reicht noch nicht. Wir müssen noch mehr opfern. Er schnitt noch einen Sack ab.
zweiplaneten_01_lasswitz_f000116|»Wir dürfen nicht in die Schlucht geraten«, erklärte er, »kein Mensch weiß, in was für Wirbel wir da kommen. Aber was ist das? Der Ballon steigt nicht?|Wir dürfen nicht in die Schlucht geraten, erklärte er, kein Mensch weiß, in was für Wirbel wir da kommen. Aber was ist das? Der Ballon steigt nicht?
zweiplaneten_01_lasswitz_f000117|Es hilft nichts – noch mehr hinaus!«.|Es hilft nichts - noch mehr hinaus!.
zweiplaneten_01_lasswitz_f000118|Eine schwarze Felswand, welche den Gletscher in zwei Teile spaltete, erhob sich unmittelbar vor ihnen.|Eine schwarze Felswand, welche den Gletscher in zwei Teile spaltete, erhob sich unmittelbar vor ihnen.
zweiplaneten_01_lasswitz_f000119|Der Ballon schwebte in unheimlicher Nähe.|Der Ballon schwebte in unheimlicher Nähe.
zweiplaneten_01_lasswitz_f000120|Mit ängstlicher Erwartung verfolgten die beiden Männer den Flug ihres Aërostaten.|Mit ängstlicher Erwartung verfolgten die beiden Männer den Flug ihres Aerostaten.
zweiplaneten_01_lasswitz_f000121|Der Südwind war jetzt, zu ihrem Glück, hier in der unmittelbaren Nähe der Berge schwächer|Der Südwind war jetzt, zu ihrem Glück, hier in der unmittelbaren Nähe der Berge schwächer
zweiplaneten_01_lasswitz_f000122|sonst wären sie schon an die Felsen geschleudert worden.|sonst wären sie schon an die Felsen geschleudert worden.
zweiplaneten_01_lasswitz_f000123|Der Ballon befand sich nunmehr im Schatten der Berge; das Gas kühlte sich ab.|Der Ballon befand sich nunmehr im Schatten der Berge; das Gas kühlte sich ab.
zweiplaneten_01_lasswitz_f000124|Die Temperatur sank schnell tief unter den Gefrierpunkt.|Die Temperatur sank schnell tief unter den Gefrierpunkt.
zweiplaneten_01_lasswitz_f000125|Torm überlegte, ob er noch mehr Ballast auswerfen dürfe.|Torm überlegte, ob er noch mehr Ballast auswerfen dürfe.
zweiplaneten_01_lasswitz_f000126|Was er jetzt an Ballast verlor, das mußte er dann an Gas aufopfern, um den Ballon wieder zum Sinken zu bringen|Was er jetzt an Ballast verlor, das mußte er dann an Gas aufopfern, um den Ballon wieder zum Sinken zu bringen
zweiplaneten_01_lasswitz_f000127|und das Gas war sein größter Schatz, das Mittel, das ihn wieder aus dem Bereich des furchtbaren Nordens bringen sollte.|und das Gas war sein größter Schatz, das Mittel, das ihn wieder aus dem Bereich des furchtbaren Nordens bringen sollte.
zweiplaneten_01_lasswitz_f000128|Er wußte ja nicht, was ihn hinter den Bergen erwarte.|Er wußte ja nicht, was ihn hinter den Bergen erwarte.
zweiplaneten_01_lasswitz_f000129|Aber der Ballon stieg zu langsam.|Aber der Ballon stieg zu langsam.
zweiplaneten_01_lasswitz_f000130|Da – eine seitliche Strömung bewegt ihn – die Strahlen der Sonne, welche über den Sattel des Gletschers herüberlugt|Da - eine seitliche Strömung bewegt ihn - die Strahlen der Sonne, welche über den Sattel des Gletschers herüberlugt
zweiplaneten_01_lasswitz_f000131|treffen ihn wieder – das Gas dehnt sich aus, der Ballon steigt – tiefer und tiefer sinken die Eismassen unter ihm.|treffen ihn wieder - das Gas dehnt sich aus, der Ballon steigt - tiefer und tiefer sinken die Eismassen unter ihm.
zweiplaneten_01_lasswitz_f000132|»Hurrah!« rufen die beiden Luftschiffer wie aus einem Munde. »Was gibt's?|Hurrah! rufen die beiden Luftschiffer wie aus einem Munde. Was gibt's?
zweiplaneten_01_lasswitz_f000133|« fährt Saltner aus seinem Schlummer empor. »Sind wir da? »Wollen Sie den Nordpol sehen? »Wo? Wo?| fährt Saltner aus seinem Schlummer empor. Sind wir da? Wollen Sie den Nordpol sehen? Wo? Wo?
zweiplaneten_01_lasswitz_f000134|« Im Augenblick war Saltner in die Höhe gefahren.| Im Augenblick war Saltner in die Höhe gefahren.
zweiplaneten_01_lasswitz_f000135|»Sakri, das ist kalt«, rief er.|Sakri, das ist kalt, rief er.
zweiplaneten_01_lasswitz_f000136|»Wir sind über fünfhundert Meter gestiegen«, antwortete Torm.|Wir sind über fünfhundert Meter gestiegen, antwortete Torm.
zweiplaneten_01_lasswitz_f000137|Saltner hüllte sich in seinen Pelz, was die andern schon vorher getan hatten.|Saltner hüllte sich in seinen Pelz, was die andern schon vorher getan hatten.
zweiplaneten_01_lasswitz_f000138|»Wir sind jetzt fast in gleicher Höhe mit dem Kamm des Gebirges.|Wir sind jetzt fast in gleicher Höhe mit dem Kamm des Gebirges.
zweiplaneten_01_lasswitz_f000139|Sobald wir darüber hinwegsehen können, muß vor uns, etwa fünfzig Kilometer nach Norden, die Stelle liegen –«.|Sobald wir darüber hinwegsehen können, muß vor uns, etwa fünfzig Kilometer nach Norden, die Stelle liegen -.
zweiplaneten_01_lasswitz_f000140|»Wo die Erdachse geschmiert wird!« rief Saltner. »Ich bin verteufelt neugierig.|Wo die Erdachse geschmiert wird! rief Saltner. Ich bin verteufelt neugierig.
zweiplaneten_01_lasswitz_f000141|Na, den Champagner brauchen wir nicht erst kalt zu stellen.|Na, den Champagner brauchen wir nicht erst kalt zu stellen.
