mattiapascal_01_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.
mattiapascal_01_pirandello_f000058|dell'anno Mille Cinquecento Settantauno, una Vita e morte di Faustino Materucci, Benedettino di Polirone|dell'anno Mille Cinquecento Settantauno, una Vita e morte di Faustino Materucci, Benedettino di Polirone
mattiapascal_01_pirandello_f000059|che taluni chiamano beato, biografia edita a Mantova nel Mille Seicento Venticinque.|che taluni chiamano beato, biografia edita a Mantova nel Mille Seicento Venticinque.
mattiapascal_01_pirandello_f000060|Per l'umidità, le legature de' due volumi si erano fraternamente appiccicate.|Per l'umidità, le legature de' due volumi si erano fraternamente appiccicate.
mattiapascal_01_pirandello_f000061|Notare che nel libro secondo di quel trattato licenzioso si discorre a lungo della vita e delle avventure monacali.|Notare che nel libro secondo di quel trattato licenzioso si discorre a lungo della vita e delle avventure monacali.
mattiapascal_01_pirandello_f000062|Molti libri curiosi e piacevolissimi don Eligio Pellegrinotto, arrampicato tutto il giorno su una scala da lampionajo|Molti libri curiosi e piacevolissimi don Eligio Pellegrinotto, arrampicato tutto il giorno su una scala da lampionajo
mattiapascal_01_pirandello_f000063|ha pescato negli scaffali della biblioteca, Ogni qual volta ne trova uno, lo lancia dall'alto, con garbo, sul tavolone che sta in mezzo;|ha pescato negli scaffali della biblioteca, Ogni qual volta ne trova uno, lo lancia dall'alto, con garbo, sul tavolone che sta in mezzo;
mattiapascal_01_pirandello_f000064|la chiesetta ne rintrona;|la chiesetta ne rintrona;
mattiapascal_01_pirandello_f000065|un nugolo di polvere si leva, da cui due o tre ragni scappano via spaventati: io accorro dall'abside, scavalcando la cancellata;|un nugolo di polvere si leva, da cui due o tre ragni scappano via spaventati: io accorro dall'abside, scavalcando la cancellata;
mattiapascal_01_pirandello_f000066|do prima col libro stesso la caccia ai ragni su pe'l tavolone polveroso;|do prima col libro stesso la caccia ai ragni su pe'l tavolone polveroso;
mattiapascal_01_pirandello_f000067|poi apro il libro e mi metto a leggiucchiarlo.|poi apro il libro e mi metto a leggiucchiarlo.
mattiapascal_01_pirandello_f000068|Così, a poco a poco, ho fatto il gusto a siffatte letture.|Così, a poco a poco, ho fatto il gusto a siffatte letture.
mattiapascal_01_pirandello_f000069|Ora don Eligio mi dice che il mio libro dovrebbe esser condotto sul modello di questi ch'egli va scovando nella biblioteca|Ora don Eligio mi dice che il mio libro dovrebbe esser condotto sul modello di questi ch'egli va scovando nella biblioteca
mattiapascal_01_pirandello_f000070|aver cioè il loro particolar sapore.|aver cioè il loro particolar sapore.
mattiapascal_01_pirandello_f000071|Io scrollo le spalle e gli rispondo che non è fatica per me.|Io scrollo le spalle e gli rispondo che non è fatica per me.
mattiapascal_01_pirandello_f000072|E poi altro mi trattiene.|E poi altro mi trattiene.
mattiapascal_01_pirandello_f000073|Tutto sudato e impolverato, don Eligio scende dalla scala e viene a prendere una boccata d'aria nell'orticello che ha trovato modo di far sorgere qui dietro l'abside|Tutto sudato e impolverato, don Eligio scende dalla scala e viene a prendere una boccata d'aria nell'orticello che ha trovato modo di far sorgere qui dietro l'abside
mattiapascal_01_pirandello_f000074|riparato giro giro da stecchi e spuntoni.|riparato giro giro da stecchi e spuntoni.
mattiapascal_01_pirandello_f000075|— Eh, mio reverendo amico, — gli dico io, seduto sul murello|- Eh, mio reverendo amico, - gli dico io, seduto sul murello
mattiapascal_01_pirandello_f000076|col mento appoggiato al pomo del bastone, mentr'egli attende alle sue lattughe.|col mento appoggiato al pomo del bastone, mentr'egli attende alle sue lattughe.
mattiapascal_01_pirandello_f000077|— Non mi par più tempo, questo, di scriver libri, neppure per ischerzo.|- Non mi par più tempo, questo, di scriver libri, neppure per ischerzo.
mattiapascal_01_pirandello_f000078|In considerazione anche della letteratura, come per tutto il resto, io debbo ripetere il mio solito ritornello: Maledetto sia Copernico!|In considerazione anche della letteratura, come per tutto il resto, io debbo ripetere il mio solito ritornello: Maledetto sia Copernico!
mattiapascal_01_pirandello_f000079|— Oh oh oh, che c'entra Copernico! — esclama don Eligio, levandosi su la vita, col volto infocato sotto il cappellaccio di paglia.|- Oh oh oh, che c'entra Copernico! - esclama don Eligio, levandosi su la vita, col volto infocato sotto il cappellaccio di paglia.
mattiapascal_01_pirandello_f000080|— C'entra, don Eligio. Perché, quando la Terra non girava...|- C'entra, don Eligio. Perché, quando la Terra non girava...
mattiapascal_01_pirandello_f000081|— E dàlli! Ma se ha sempre girato!|- E dàlli! Ma se ha sempre girato!
mattiapascal_01_pirandello_f000082|— Non è vero. L'uomo non lo sapeva, e dunque era come se non girasse. Per tanti, anche adesso non gira.|- Non è vero. L'uomo non lo sapeva, e dunque era come se non girasse. Per tanti, anche adesso non gira.
mattiapascal_01_pirandello_f000083|L'ho detto l'altro giorno a un vecchio contadino, e sapete come m'ha risposto?|L'ho detto l'altro giorno a un vecchio contadino, e sapete come m'ha risposto?
mattiapascal_01_pirandello_f000084|ch'era una buona scusa per gli ubriachi.|ch'era una buona scusa per gli ubriachi.
mattiapascal_01_pirandello_f000085|Del resto, anche voi scusate, non potete mettere in dubbio che Giosuè fermò il Sole.|Del resto, anche voi scusate, non potete mettere in dubbio che Giosuè fermò il Sole.
mattiapascal_01_pirandello_f000086|Ma lasciamo star questo.|Ma lasciamo star questo.
mattiapascal_01_pirandello_f000087|Io dico che quando la Terra non girava, e l'uomo, vestito da greco o da romano|Io dico che quando la Terra non girava, e l'uomo, vestito da greco o da romano
mattiapascal_01_pirandello_f000088|vi faceva così bella figura e così altamente sentiva di sé e tanto si compiaceva della propria dignità|vi faceva così bella figura e così altamente sentiva di sé e tanto si compiaceva della propria dignità
mattiapascal_01_pirandello_f000089|credo bene che potesse riuscire accetta una narrazione minuta e piena d'oziosi particolari.|credo bene che potesse riuscire accetta una narrazione minuta e piena d'oziosi particolari.
mattiapascal_01_pirandello_f000090|Si legge o non si legge in Quintiliano, come voi m'avete insegnato, che la storia doveva esser fatta per raccontare e non per provare?|Si legge o non si legge in Quintiliano, come voi m'avete insegnato, che la storia doveva esser fatta per raccontare e non per provare?
mattiapascal_01_pirandello_f000091|— Non nego, — risponde don Eligio, — ma è vero altresì che non si sono mai scritti libri così minuti|- Non nego, - risponde don Eligio, - ma è vero altresì che non si sono mai scritti libri così minuti
mattiapascal_01_pirandello_f000092|anzi minuziosi in tutti i più riposti particolari, come dacché, a vostro dire, la Terra s'è messa a girare.|anzi minuziosi in tutti i più riposti particolari, come dacché, a vostro dire, la Terra s'è messa a girare.
mattiapascal_01_pirandello_f000093|— E va bene! Il signor conte si levò per tempo, alle ore otto e mezzo precise...|- E va bene! Il signor conte si levò per tempo, alle ore otto e mezzo precise...
mattiapascal_01_pirandello_f000094|La signora contessa indossò un abito lilla con una ricca fioritura di merletti alla gola...|La signora contessa indossò un abito lilla con una ricca fioritura di merletti alla gola...
mattiapascal_01_pirandello_f000095|Teresina si moriva di fame...|Teresina si moriva di fame...
mattiapascal_01_pirandello_f000096|Lucrezia spasimava d'amore...|Lucrezia spasimava d'amore...
mattiapascal_01_pirandello_f000097|Oh, santo Dio! e che volete che me n'importi?|Oh, santo Dio! e che volete che me n'importi?
mattiapascal_01_pirandello_f000098|Siamo o non siamo su un'invisibile trottolina, cui fa da ferza un fil di sole, su un granellino di sabbia impazzito che gira e gira e gira|Siamo o non siamo su un'invisibile trottolina, cui fa da ferza un fil di sole, su un granellino di sabbia impazzito che gira e gira e gira
mattiapascal_01_pirandello_f000099|senza saper perché, senza pervenir mai a destino, come se ci provasse gusto a girar così|senza saper perché, senza pervenir mai a destino, come se ci provasse gusto a girar così
mattiapascal_01_pirandello_f000100|per farci sentire ora un po' più di caldo, ora un po' più di freddo|per farci sentire ora un po' più di caldo, ora un po' più di freddo
mattiapascal_01_pirandello_f000101|e per farci morire – spesso con la coscienza d'aver commesso una sequela di piccole sciocchezze – dopo cinquanta o sessanta giri?|e per farci morire - spesso con la coscienza d'aver commesso una sequela di piccole sciocchezze - dopo cinquanta o sessanta giri?
mattiapascal_01_pirandello_f000102|Copernico, Copernico, don Eligio mio ha rovinato l'umanità, irrimediabilmente.|Copernico, Copernico, don Eligio mio ha rovinato l'umanità, irrimediabilmente.
mattiapascal_01_pirandello_f000103|Ormai noi tutti ci siamo a poco a poco adattati alla nuova concezione dell'infinita nostra piccolezza|Ormai noi tutti ci siamo a poco a poco adattati alla nuova concezione dell'infinita nostra piccolezza
mattiapascal_01_pirandello_f000104|a considerarci anzi men che niente nell'Universo|a considerarci anzi men che niente nell'Universo
mattiapascal_01_pirandello_f000105|con tutte le nostre belle scoperte e invenzioni e che valore dunque volete che abbiano le notizie|con tutte le nostre belle scoperte e invenzioni e che valore dunque volete che abbiano le notizie
mattiapascal_01_pirandello_f000106|non dico delle nostre miserie particolari, ma anche delle generali calamità?|non dico delle nostre miserie particolari, ma anche delle generali calamità?
mattiapascal_01_pirandello_f000107|Storie di vermucci ormai le nostre.|Storie di vermucci ormai le nostre.
mattiapascal_01_pirandello_f000108|Avete letto di quel piccolo disastro delle Antille? Niente.|Avete letto di quel piccolo disastro delle Antille? Niente.
mattiapascal_01_pirandello_f000109|La Terra, poverina, stanca di girare, come vuole quel canonico polacco, senza scopo|La Terra, poverina, stanca di girare, come vuole quel canonico polacco, senza scopo
mattiapascal_01_pirandello_f000110|ha avuto un piccolo moto d'impazienza, e ha sbuffato un po' di fuoco per una delle tante sue bocche.|ha avuto un piccolo moto d'impazienza, e ha sbuffato un po' di fuoco per una delle tante sue bocche.
mattiapascal_01_pirandello_f000111|Chi sa che cosa le aveva mosso quella specie di bile.|Chi sa che cosa le aveva mosso quella specie di bile.
mattiapascal_01_pirandello_f000112|Forse la stupidità degli uomini che non sono stati mai così nojosi come adesso.|Forse la stupidità degli uomini che non sono stati mai così nojosi come adesso.
mattiapascal_01_pirandello_f000113|Basta. Parecchie migliaja di vermucci abbrustoliti.|Basta. Parecchie migliaja di vermucci abbrustoliti.
mattiapascal_01_pirandello_f000114|E tiriamo innanzi. Chi ne parla più?|E tiriamo innanzi. Chi ne parla più?
mattiapascal_01_pirandello_f000115|Don Eligio Pellegrinotto mi fa però osservare che per quanti sforzi facciamo nel crudele intento di strappare|Don Eligio Pellegrinotto mi fa però osservare che per quanti sforzi facciamo nel crudele intento di strappare
mattiapascal_01_pirandello_f000116|di distruggere le illusioni che la provvida natura ci aveva create a fin di bene, non ci riusciamo.|di distruggere le illusioni che la provvida natura ci aveva create a fin di bene, non ci riusciamo.
mattiapascal_01_pirandello_f000117|Per fortuna, l'uomo si distrae facilmente. Questo è vero.|Per fortuna, l'uomo si distrae facilmente. Questo è vero.
mattiapascal_01_pirandello_f000118|Il nostro Comune, in certe notti segnate nel calendario, non fa accendere i lampioni, e spessose è nuvolo – ci lascia al bujo.|Il nostro Comune, in certe notti segnate nel calendario, non fa accendere i lampioni, e spessose è nuvolo - ci lascia al bujo.
mattiapascal_01_pirandello_f000119|Il che vuol dire, in fondo, che noi anche oggi crediamo che la luna non stia per altro nel cielo|Il che vuol dire, in fondo, che noi anche oggi crediamo che la luna non stia per altro nel cielo
mattiapascal_01_pirandello_f000120|che per farci lume di notte, come il sole di giorno, e le stelle per offrirci un magnifico spettacolo.|che per farci lume di notte, come il sole di giorno, e le stelle per offrirci un magnifico spettacolo.
mattiapascal_01_pirandello_f000121|Sicuro. E dimentichiamo spesso e volentieri di essere atomi infinitesimali per rispettarci e ammirarci a vicenda|Sicuro. E dimentichiamo spesso e volentieri di essere atomi infinitesimali per rispettarci e ammirarci a vicenda
mattiapascal_01_pirandello_f000122|e siamo capaci di azzuffarci per un pezzettino di terra o di dolerci di certe cose, che|e siamo capaci di azzuffarci per un pezzettino di terra o di dolerci di certe cose, che
mattiapascal_01_pirandello_f000123|ove fossimo veramente compenetrati di quello che siamo, dovrebbero parerci miserie incalcolabili.|ove fossimo veramente compenetrati di quello che siamo, dovrebbero parerci miserie incalcolabili.
mattiapascal_01_pirandello_f000124|Ebbene, in grazia di questa distrazione provvidenziale, oltre che per la stranezza del mio caso, io parlerò di me|Ebbene, in grazia di questa distrazione provvidenziale, oltre che per la stranezza del mio caso, io parlerò di me
mattiapascal_01_pirandello_f000125|ma quanto più brevemente mi sarà possibile, dando cioè soltanto quelle notizie che stimerò necessarie.|ma quanto più brevemente mi sarà possibile, dando cioè soltanto quelle notizie che stimerò necessarie.
mattiapascal_01_pirandello_f000126|Alcune di esse, certo, non mi faranno molto onore;|Alcune di esse, certo, non mi faranno molto onore;
mattiapascal_01_pirandello_f000127|ma io mi trovo ora in una condizione così eccezionale|ma io mi trovo ora in una condizione così eccezionale
mattiapascal_01_pirandello_f000128|che posso considerarmi come già fuori della vita, e dunque senza obblighi e senza scrupoli di sorta.|che posso considerarmi come già fuori della vita, e dunque senza obblighi e senza scrupoli di sorta.
mattiapascal_01_pirandello_f000129|Cominciamo.|Cominciamo.
mattiapascal_02_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Terzo.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Terzo.
mattiapascal_02_pirandello_f000002|La casa e la Talpa.|La casa e la Talpa.
mattiapascal_02_pirandello_f000003|Ho detto troppo presto, in principio, che ho conosciuto mio padre.|Ho detto troppo presto, in principio, che ho conosciuto mio padre.
mattiapascal_02_pirandello_f000004|Non l'ho conosciuto.|Non l'ho conosciuto.
mattiapascal_02_pirandello_f000005|Avevo quattr'anni e mezzo quand'egli morì.|Avevo quattr'anni e mezzo quand'egli morì.
mattiapascal_02_pirandello_f000006|Andato con un suo trabaccolo in Corsica, per certi negozii che vi faceva|Andato con un suo trabaccolo in Corsica, per certi negozii che vi faceva
mattiapascal_02_pirandello_f000007|non torno più, ucciso da una perniciosa, in tre giorni, a trentotto anni.|non torno più, ucciso da una perniciosa, in tre giorni, a trentotto anni.
mattiapascal_02_pirandello_f000008|Lasciò tuttavia nell'agiatezza la moglie e i due figli: Mattia (che sarei io, e fui) e Roberto, maggiore di me di due anni.|Lasciò tuttavia nell'agiatezza la moglie e i due figli: Mattia che sarei io, e fui e Roberto, maggiore di me di due anni.
mattiapascal_02_pirandello_f000009|Qualche vecchio del paese si compiace ancora di dare a credere che la ricchezza di mio padre (la quale pure non gli dovrebbe più dar ombra|Qualche vecchio del paese si compiace ancora di dare a credere che la ricchezza di mio padre la quale pure non gli dovrebbe più dar ombra
mattiapascal_02_pirandello_f000010|passata com'è da un pezzo in altre mani) avesse origini – diciamo così – misteriose.|passata com'è da un pezzo in altre mani avesse origini - diciamo così - misteriose.
mattiapascal_02_pirandello_f000011|Vogliono che se la fosse procacciata giocando a carte, a Marsiglia|Vogliono che se la fosse procacciata giocando a carte, a Marsiglia
mattiapascal_02_pirandello_f000012|col capitano d'un vapore mercantile inglese, il quale, dopo aver perduto tutto il denaro che aveva seco|col capitano d'un vapore mercantile inglese, il quale, dopo aver perduto tutto il denaro che aveva seco
mattiapascal_02_pirandello_f000013|e non doveva esser poco, si era anche giocato un grosso carico di zolfo imbarcato nella lontana Sicilia per conto d'un negoziante di Liverpool (sanno anche questo! e il nome?|e non doveva esser poco, si era anche giocato un grosso carico di zolfo imbarcato nella lontana Sicilia per conto d'un negoziante di Liverpool sanno anche questo! e il nome?
mattiapascal_02_pirandello_f000014|), d'un negoziante di Liverpool, che aveva noleggiato il vapore;|, d'un negoziante di Liverpool, che aveva noleggiato il vapore;
mattiapascal_02_pirandello_f000015|quindi, per disperazione, salpando, s'era annegato in alto mare.|quindi, per disperazione, salpando, s'era annegato in alto mare.
mattiapascal_02_pirandello_f000016|Così il vapore era approdato a Liverpool, alleggerito anche del peso del capitano.|Così il vapore era approdato a Liverpool, alleggerito anche del peso del capitano.
mattiapascal_02_pirandello_f000017|Fortuna che aveva per zavorra la malignità de' miei compaesani.|Fortuna che aveva per zavorra la malignità de' miei compaesani.
mattiapascal_02_pirandello_f000018|Possedevamo terre e case.|Possedevamo terre e case.
mattiapascal_02_pirandello_f000019|Sagace e avventuroso, mio padre non ebbe mai pe' suoi commerci stabile sede: sempre in giro con quel suo trabaccolo|Sagace e avventuroso, mio padre non ebbe mai pe' suoi commerci stabile sede: sempre in giro con quel suo trabaccolo
mattiapascal_02_pirandello_f000020|dove trovava meglio e più opportunamente comprava e subito rivendeva mercanzie d'ogni genere;|dove trovava meglio e più opportunamente comprava e subito rivendeva mercanzie d'ogni genere;
mattiapascal_02_pirandello_f000021|e perché non fosse tentato a imprese troppo grandi e rischiose|e perché non fosse tentato a imprese troppo grandi e rischiose
mattiapascal_02_pirandello_f000022|investiva a mano a mano i guadagni in terre e case, qui, nel proprio paesello|investiva a mano a mano i guadagni in terre e case, qui, nel proprio paesello
mattiapascal_02_pirandello_f000023|dove presto forse contava di riposarsi negli agi faticosamente acquistati, contento e in pace tra la moglie e i figliuoli.|dove presto forse contava di riposarsi negli agi faticosamente acquistati, contento e in pace tra la moglie e i figliuoli.
mattiapascal_02_pirandello_f000024|Così acquistò prima la terra delle Due Riviere ricca di olivi e di gelsi|Così acquistò prima la terra delle Due Riviere ricca di olivi e di gelsi
