tschun_01_f000001|Tschun war ein schmutziger kleiner chinesischer Junge.|Tschun war ein schmutziger kleiner chinesischer Junge.
tschun_01_f000028|Klein-Tschun dachte, es müsse herrlich sein, wie sie zu werden und alle Tage im Petang mitten in den Weihrauchwolken zu stehen.|Klein-Tschun dachte, es müsse herrlich sein, wie sie zu werden und alle Tage im Petang mitten in den Weihrauchwolken zu stehen.
tschun_01_f000029|Er vertraute diesen Wunsch seiner Mutter an, aber die antwortete, Priester dürften nicht heiraten und keine Kinder haben.|Er vertraute diesen Wunsch seiner Mutter an, aber die antwortete, Priester dürften nicht heiraten und keine Kinder haben.
tschun_01_f000030|Das stimmte Tschun sehr nachdenklich, denn auch der kleinste Chinesenmensch jeder Konfession weiß ja,|Das stimmte Tschun sehr nachdenklich, denn auch der kleinste Chinesenmensch jeder Konfession weiß ja,
tschun_01_f000031|daß man nur auf die Welt kommt, um selbst wieder einen Sohn zu haben, der die Verehrung der Ahnen fortsetzt.|daß man nur auf die Welt kommt, um selbst wieder einen Sohn zu haben, der die Verehrung der Ahnen fortsetzt.
tschun_01_f000032|An der rechten Seite des Hochaltars, etwas zurück und versteckt, waren Bänke, auf denen die Nonnen des Petang saßen.|An der rechten Seite des Hochaltars, etwas zurück und versteckt, waren Bänke, auf denen die Nonnen des Petang saßen.
tschun_01_f000033|Sie trugen einfache blaue Kleider und große weiße Hauben.|Sie trugen einfache blaue Kleider und große weiße Hauben.
tschun_01_f000034|Es war nie der geringste kleine Fleck auf den Hauben, und Tschun wunderte sich, wie man das wohl anfange,|Es war nie der geringste kleine Fleck auf den Hauben, und Tschun wunderte sich, wie man das wohl anfange,
tschun_01_f000035|denn seine eigenen Sachen wurden immer schmutzig, ohne daß er wußte wie und wo.|denn seine eigenen Sachen wurden immer schmutzig, ohne daß er wußte wie und wo.
tschun_01_f000036|Die Nonnen wohnten in einem eigenen Gebäude, das hinter hohen Mauern lag, jenseits des Petang.|Die Nonnen wohnten in einem eigenen Gebäude, das hinter hohen Mauern lag, jenseits des Petang.
tschun_01_f000037|Das Gebäude war einstöckig, aber sehr groß, mit Höfen und breiten, offenen Säulengängen.|Das Gebäude war einstöckig, aber sehr groß, mit Höfen und breiten, offenen Säulengängen.
tschun_01_f000038|Es war alles schneeweiß gestrichen, und die Säulen warfen duftige, bläuliche Schatten auf die Steinfliesen.|Es war alles schneeweiß gestrichen, und die Säulen warfen duftige, bläuliche Schatten auf die Steinfliesen.
tschun_01_f000039|In der Mitte des einen Hofes stand auf hohem Sockel eine Figur der heiligen Jungfrau mit einem hellblauen Mantel;|In der Mitte des einen Hofes stand auf hohem Sockel eine Figur der heiligen Jungfrau mit einem hellblauen Mantel;
tschun_01_f000040|ringsherum in regelmäßigen Beeten mit Kacheleinfassungen blühten dunkelrote Monatsrosen.|ringsherum in regelmäßigen Beeten mit Kacheleinfassungen blühten dunkelrote Monatsrosen.
tschun_01_f000041|Es war eine stille, friedliche Welt für sich – ganz anders als das übrige Peking.|Es war eine stille, friedliche Welt für sich - ganz anders als das übrige Peking.
tschun_01_f000042|Es war aber auch eine fleißige Welt, in der jeder sein reichliches Teil Arbeit hatte.|Es war aber auch eine fleißige Welt, in der jeder sein reichliches Teil Arbeit hatte.
tschun_01_f000043|Die Nonnen nahmen eine Menge kleiner chinesischer Kinder bei sich auf, von den allerärmsten, allerelendesten,|Die Nonnen nahmen eine Menge kleiner chinesischer Kinder bei sich auf, von den allerärmsten, allerelendesten,
tschun_01_f000044|die ohne sie in irgendeinem Winkel, an irgendeinem bitterkalten Wintertage sicher umgekommen wären.|die ohne sie in irgendeinem Winkel, an irgendeinem bitterkalten Wintertage sicher umgekommen wären.
tschun_01_f000045|Sie hüteten, pflegten und ernährten diese gelben, schlitzäugigen Geschöpfchen, als sei jedes kleine chinesische Menschenleben eine ganz wichtige Sache.|Sie hüteten, pflegten und ernährten diese gelben, schlitzäugigen Geschöpfchen, als sei jedes kleine chinesische Menschenleben eine ganz wichtige Sache.
tschun_01_f000046|Die größeren Kinder unterrichteten sie. Eine Schwester, die Teresa hieß, lehrte die Mädchen, wunderschöne Stickereien zu machen, Priestergewänder und Altardecken;|Die größeren Kinder unterrichteten sie. Eine Schwester, die Teresa hieß, lehrte die Mädchen, wunderschöne Stickereien zu machen, Priestergewänder und Altardecken;
tschun_01_f000047|aber auch Wäsche, gestickte Kleider, Tischdecken, sogar Maskenkostüme wurden da angefertigt, für die fremden Damen, die in Peking wohnen.|aber auch Wäsche, gestickte Kleider, Tischdecken, sogar Maskenkostüme wurden da angefertigt, für die fremden Damen, die in Peking wohnen.
tschun_01_f000048|Eine Schwester war Apothekerin, und jeden Tag kamen eine Menge Kranke und Krüppel zu ihr, um sich verbinden und Arzneien geben zu lassen.|Eine Schwester war Apothekerin, und jeden Tag kamen eine Menge Kranke und Krüppel zu ihr, um sich verbinden und Arzneien geben zu lassen.
tschun_01_f000049|Schreckliche Geschwüre, eiternde Beulen, vernachlässigte Wunden und Leiden aller Art bekam die Schwester täglich zu sehen,|Schreckliche Geschwüre, eiternde Beulen, vernachlässigte Wunden und Leiden aller Art bekam die Schwester täglich zu sehen,
tschun_01_f000050|und auf alles schaute sie mit derselben Güte und lächelnden Milde, als sei ihr das viele Häßliche nie widerlich, sondern nur ein bißchen trauriger als alles übrige.|und auf alles schaute sie mit derselben Güte und lächelnden Milde, als sei ihr das viele Häßliche nie widerlich, sondern nur ein bißchen trauriger als alles übrige.
tschun_01_f000051|Tschun wurde auch einmal von seiner Mutter zu der Schwester Apothekerin gebracht.|Tschun wurde auch einmal von seiner Mutter zu der Schwester Apothekerin gebracht.
tschun_01_f000052|Gegen der Mutter Warnung war er nämlich anderen größeren Nachbarkindern nachgelaufen, die einen großen Papierdrachen steigen lassen wollten;|Gegen der Mutter Warnung war er nämlich anderen größeren Nachbarkindern nachgelaufen, die einen großen Papierdrachen steigen lassen wollten;
tschun_01_f000053|dabei hatten sich seine Füße in der Schnur verwickelt, er war gefallen und mit dem Kopf gegen einen großen, spitzen Stein geschlagen.|dabei hatten sich seine Füße in der Schnur verwickelt, er war gefallen und mit dem Kopf gegen einen großen, spitzen Stein geschlagen.
tschun_01_f000054|Was weiter geschah, erinnerte er sich nicht genau. Er befand sich plötzlich zu Hause bei seiner Mutter,|Was weiter geschah, erinnerte er sich nicht genau. Er befand sich plötzlich zu Hause bei seiner Mutter,
tschun_01_f000055|und bald darauf ging sie mit ihm in das Kloster, und die Schwester Apothekerin verband ihm den Kopf in einem Zimmer,|und bald darauf ging sie mit ihm in das Kloster, und die Schwester Apothekerin verband ihm den Kopf in einem Zimmer,
tschun_01_f000056|wo es merkwürdig roch, und wo hinter Glasscheiben auf Gefächern an der Wand eine Menge Flaschen, Töpfe, Näpfe und große bunte Glasschalen standen.|wo es merkwürdig roch, und wo hinter Glasscheiben auf Gefächern an der Wand eine Menge Flaschen, Töpfe, Näpfe und große bunte Glasschalen standen.
tschun_01_f000057|Tschun konnte sich nicht erinnern, je früher im Hause der Nonnen gewesen zu sein, aber vielleicht blieb ihm dies eine Mal nur wegen des Loches im Kopf so deutlich als erstes Mal im Gedächtnis.|Tschun konnte sich nicht erinnern, je früher im Hause der Nonnen gewesen zu sein, aber vielleicht blieb ihm dies eine Mal nur wegen des Loches im Kopf so deutlich als erstes Mal im Gedächtnis.
tschun_01_f000058|Er mußte noch mehrmals zurückkehren, um den Verband erneuern zu lassen, und bei diesen Besuchen lernte er das ganze Kloster kennen.|Er mußte noch mehrmals zurückkehren, um den Verband erneuern zu lassen, und bei diesen Besuchen lernte er das ganze Kloster kennen.
tschun_01_f000059|Seine Mutter begleitete ihn jedesmal, obschon der Weg von ihrem Häuschen ganz kurz war und er recht gut hätte allein gehen können.|Seine Mutter begleitete ihn jedesmal, obschon der Weg von ihrem Häuschen ganz kurz war und er recht gut hätte allein gehen können.
tschun_01_f000060|Aber er erfuhr, daß seine Mutter früher, vor vielen Jahren, als sie noch jung war und unverheiratet, ganz bei den Nonnen gelebt hatte;|Aber er erfuhr, daß seine Mutter früher, vor vielen Jahren, als sie noch jung war und unverheiratet, ganz bei den Nonnen gelebt hatte;
tschun_01_f000061|er sah dort andere Frauen, die auch in dem Kloster erzogen worden waren und immer wieder gern auf ein Stündchen hingingen,|er sah dort andere Frauen, die auch in dem Kloster erzogen worden waren und immer wieder gern auf ein Stündchen hingingen,
tschun_01_f000062|und die den Schwestern erzählten, das Leben sei nie mehr so schön geworden, wie es damals bei ihnen gewesen.|und die den Schwestern erzählten, das Leben sei nie mehr so schön geworden, wie es damals bei ihnen gewesen.
tschun_01_f000063|Sie litten alle am Vergangenheitsheimweh, ohne es selbst zu wissen. Tschun hätte das noch gar nicht verstehen können, denn seine Welt war noch ganz Gegenwart.|Sie litten alle am Vergangenheitsheimweh, ohne es selbst zu wissen. Tschun hätte das noch gar nicht verstehen können, denn seine Welt war noch ganz Gegenwart.
tschun_01_f000064|Eines Tages, als Tschun wieder mit seiner Mutter nach dem Petang gegangen war, sah er ein paar grüne Sänften vor dem Eingangstor stehen.|Eines Tages, als Tschun wieder mit seiner Mutter nach dem Petang gegangen war, sah er ein paar grüne Sänften vor dem Eingangstor stehen.
tschun_01_f000065|Träger hockten herum und rauchten aus kleinen Pfeifen, und Reitknechte in bunten seidenen Röcken führten Pferde auf und ab,|Träger hockten herum und rauchten aus kleinen Pfeifen, und Reitknechte in bunten seidenen Röcken führten Pferde auf und ab,
tschun_01_f000066|die in der frischen Herbstluft dampften, wie Schüsseln schönen warmen Reises.|die in der frischen Herbstluft dampften, wie Schüsseln schönen warmen Reises.
tschun_01_f000067|Die Pferde trugen kleine Ledersättel auf dem Rücken, wie Tschun sie damals noch nicht kannte.|Die Pferde trugen kleine Ledersättel auf dem Rücken, wie Tschun sie damals noch nicht kannte.
tschun_01_f000068|Die Schwester Apothekerin erzählte, einige Herren und Damen von den fremden Gesandtschaften hätten den Bischof besucht und seien nun herübergekommen,|Die Schwester Apothekerin erzählte, einige Herren und Damen von den fremden Gesandtschaften hätten den Bischof besucht und seien nun herübergekommen,
tschun_01_f000069|um auch die Schule der Nonnen zu besehen.|um auch die Schule der Nonnen zu besehen.
tschun_01_f000070|Als Tschun mit seiner Mutter in die weiße Veranda heraustrat, standen die Fremden gerade da und verabschiedeten sich von der alten Oberin.|Als Tschun mit seiner Mutter in die weiße Veranda heraustrat, standen die Fremden gerade da und verabschiedeten sich von der alten Oberin.
tschun_01_f000071|Die Herren trugen hohe Stiefel aus gelbem Leder, das wie Spiegel glänzte, und Tschun wunderte sich sehr darob,|Die Herren trugen hohe Stiefel aus gelbem Leder, das wie Spiegel glänzte, und Tschun wunderte sich sehr darob,
tschun_01_f000072|denn er dachte, alle Menschen trügen sommers kleine chinesische Zeugschuhe mit dicken Filzsohlen und winters zum Reiten hohe Samtstiefel.|denn er dachte, alle Menschen trügen sommers kleine chinesische Zeugschuhe mit dicken Filzsohlen und winters zum Reiten hohe Samtstiefel.
tschun_01_f000073|Tschun war so beschäftigt mit den gelben Stiefeln, daß er die fremden Menschen selbst gar nicht sehr beachtete.|Tschun war so beschäftigt mit den gelben Stiefeln, daß er die fremden Menschen selbst gar nicht sehr beachtete.
tschun_01_f000074|Nur eine Dame fiel ihm auf, weil sie sich zu ihm beugte und sein Gesicht streichelte:|Nur eine Dame fiel ihm auf, weil sie sich zu ihm beugte und sein Gesicht streichelte:
tschun_01_f000075|und obschon es Spätherbst war, und alle Blüten längst erfroren waren, kam es Tschun vor, als dufte es plötzlich um ihn nach Blumen;|und obschon es Spätherbst war, und alle Blüten längst erfroren waren, kam es Tschun vor, als dufte es plötzlich um ihn nach Blumen;
tschun_01_f000076|daß die freundliche Dame aber statt glattem, schwarzem Haar krause rötliche Löckchen bis nahe an die Augen hängen hatte,|daß die freundliche Dame aber statt glattem, schwarzem Haar krause rötliche Löckchen bis nahe an die Augen hängen hatte,
tschun_01_f000077|empfand Tschun als etwas sehr Häßliches, und sie tat ihm darum sehr leid.|empfand Tschun als etwas sehr Häßliches, und sie tat ihm darum sehr leid.
tschun_01_f000078|Als die Fremden fort waren, erzählte die Oberin, der eine kleine, ältliche Herr sei derjenige Gesandte, der den Bischof, die Priester, die Nonnen und den ganzen Petang beschütze.|Als die Fremden fort waren, erzählte die Oberin, der eine kleine, ältliche Herr sei derjenige Gesandte, der den Bischof, die Priester, die Nonnen und den ganzen Petang beschütze.
tschun_01_f000079|Tschun konnte das nicht begreifen. Der Bischof, mit dem goldenen Kleid und der hohen glänzenden Mütze, von dem grauen, unscheinbaren Männchen beschützt?|Tschun konnte das nicht begreifen. Der Bischof, mit dem goldenen Kleid und der hohen glänzenden Mütze, von dem grauen, unscheinbaren Männchen beschützt?
tschun_01_f000080|Wahrscheinlich hatte sich die Oberin geirrt, und es war gerade umgekehrt.|Wahrscheinlich hatte sich die Oberin geirrt, und es war gerade umgekehrt.
tschun_01_f000081|Aber Tschun hatte nicht Zeit, sich lange bei den verwickelten Beziehungen zwischen Kirche und Staat aufzuhalten.|Aber Tschun hatte nicht Zeit, sich lange bei den verwickelten Beziehungen zwischen Kirche und Staat aufzuhalten.
tschun_01_f000082|Er stand in dem Lebensalter, da jeder Tag neue, erstaunliche Entdeckungen bringt – der erste Schnee, der im Gedächtnis weißer und glitzernder zurückbleibt als alle später erlebten Schneefälle,|Er stand in dem Lebensalter, da jeder Tag neue, erstaunliche Entdeckungen bringt - der erste Schnee, der im Gedächtnis weißer und glitzernder zurückbleibt als alle später erlebten Schneefälle,
tschun_01_f000083|die langen Karawanen zottig-brauner Kamele, die allherbstlich aus der Mongolei kommen, und denen er sich doch nicht erinnern konnte je früher in den Straßen ausgewichen zu sein;|die langen Karawanen zottig-brauner Kamele, die allherbstlich aus der Mongolei kommen, und denen er sich doch nicht erinnern konnte je früher in den Straßen ausgewichen zu sein;
tschun_01_f000084|dann die langausgedehnten Neujahrsfeste, vor deren Beginn er Verwandte und Nachbarn immerzu von Geld reden hörte und von der Notwendigkeit, Schulden zu bezahlen;|dann die langausgedehnten Neujahrsfeste, vor deren Beginn er Verwandte und Nachbarn immerzu von Geld reden hörte und von der Notwendigkeit, Schulden zu bezahlen;
tschun_01_f000085|und dann die Festzeit selbst, in der die Welt auf einmal mit bunten Bildern, Glückssprüchen und Laternen angefüllt zu sein schien,|und dann die Festzeit selbst, in der die Welt auf einmal mit bunten Bildern, Glückssprüchen und Laternen angefüllt zu sein schien,
tschun_01_f000086|wo von einem Haus zum anderen Bretter mit Geschenken getragen wurden, köstliche Süßigkeiten und große rosa Klatschrosen,|wo von einem Haus zum anderen Bretter mit Geschenken getragen wurden, köstliche Süßigkeiten und große rosa Klatschrosen,
tschun_01_f000087|oder künstlich verkrüppelte, blühende Pflaumenbäumchen, die rote Visitenkarte des Gebers auf all den Herrlichkeiten obenauf liegend;|oder künstlich verkrüppelte, blühende Pflaumenbäumchen, die rote Visitenkarte des Gebers auf all den Herrlichkeiten obenauf liegend;
tschun_01_f000088|eine Zeit, in der Feuerwerk abgebrannt und die ganzen Nächte hindurch geschossen wurde, während tagsüber geputzte Leute durch die Straßen gingen und Besuche austauschten,|eine Zeit, in der Feuerwerk abgebrannt und die ganzen Nächte hindurch geschossen wurde, während tagsüber geputzte Leute durch die Straßen gingen und Besuche austauschten,
tschun_01_f000089|bei denen man sich über zahllosen Tassen Tee und unter vielen Verbeugungen nach gegenseitigem Befinden erkundigte und sich Gutes wünschte.|bei denen man sich über zahllosen Tassen Tee und unter vielen Verbeugungen nach gegenseitigem Befinden erkundigte und sich Gutes wünschte.
tschun_01_f000090|Es gab unendlich viel zu sehen für Tschun, der sich so gern draußen herumtrieb;|Es gab unendlich viel zu sehen für Tschun, der sich so gern draußen herumtrieb;
tschun_01_f000091|aber in der ganzen festlichen Welt erschienen ihm als begünstigtste Wesen ein paar Nachbarskinder, die für einige Kupfermünzen Knallerbsen gekauft hatten und damit in der Straße um sich warfen.|aber in der ganzen festlichen Welt erschienen ihm als begünstigtste Wesen ein paar Nachbarskinder, die für einige Kupfermünzen Knallerbsen gekauft hatten und damit in der Straße um sich warfen.
tschun_01_f000092|Ob der Knallerbsen, und besonders, weil diese Kinder schon in die Schule gingen, erschienen sie Tschun als in der menschlichen Hierarchie weit über ihm stehend.|Ob der Knallerbsen, und besonders, weil diese Kinder schon in die Schule gingen, erschienen sie Tschun als in der menschlichen Hierarchie weit über ihm stehend.
tschun_01_f000093|Bald aber war er ihnen zu ebensolcher Höhe nachgewachsen, und als er sechs Jahre alt war, begann auch er eine vom Petang abhängige Schule zu besuchen.|Bald aber war er ihnen zu ebensolcher Höhe nachgewachsen, und als er sechs Jahre alt war, begann auch er eine vom Petang abhängige Schule zu besuchen.
tschun_01_f000094|Er war stolz darauf, denn abergläubische Ehrfurcht vor den Wissenschaften war ihm, wie jedem Chinesen, angeboren.|Er war stolz darauf, denn abergläubische Ehrfurcht vor den Wissenschaften war ihm, wie jedem Chinesen, angeboren.
tschun_01_f000095|Alle Morgen, nachdem zu Hause von der ganzen Familie der Frühtee und die beim vorüberziehenden Straßenhändler gekauften Kuchen verzehrt worden waren,|Alle Morgen, nachdem zu Hause von der ganzen Familie der Frühtee und die beim vorüberziehenden Straßenhändler gekauften Kuchen verzehrt worden waren,
tschun_01_f000096|wobei Tschun als Jüngster, wie sich’s schickt, zuletzt an die Reihe kam, wanderte er nun brav durch die schmutzigen Straßen zur Schule,|wobei Tschun als Jüngster, wie sichs schickt, zuletzt an die Reihe kam, wanderte er nun brav durch die schmutzigen Straßen zur Schule,
tschun_01_f000097|ohne sich durch die Lockungen all dessen, was es unterwegs zu begaffen gab, verleiten zu lassen.|ohne sich durch die Lockungen all dessen, was es unterwegs zu begaffen gab, verleiten zu lassen.
tschun_01_f000098|Der Weg zur Gelehrsamkeit ist lang, hatte Tschun sagen hören, da durfte man nicht gleich bei den ersten Schritten säumen.|Der Weg zur Gelehrsamkeit ist lang, hatte Tschun sagen hören, da durfte man nicht gleich bei den ersten Schritten säumen.
tschun_01_f000099|In dem Schulzimmer kauerte Tschun mit den kleinsten Schülern auf dem Kang, während die größeren auf Bänken an Tischen saßen.|In dem Schulzimmer kauerte Tschun mit den kleinsten Schülern auf dem Kang, während die größeren auf Bänken an Tischen saßen.
tschun_01_f000100|Chinesische Lehrer, die selbst von den fremden Priestern ausgebildet worden waren, unterrichteten die Knaben im Lesen und Schreiben der,|Chinesische Lehrer, die selbst von den fremden Priestern ausgebildet worden waren, unterrichteten die Knaben im Lesen und Schreiben der,
tschun_01_f000101|ach so schwierigen, chinesischen Schriftzüge, vor allem aber im Katechismus und der biblischen Geschichte.|ach so schwierigen, chinesischen Schriftzüge, vor allem aber im Katechismus und der biblischen Geschichte.
tschun_01_f000102|Den Methoden des chinesischen klassischen Unterrichts sich weise anpassend, bestanden die Aufgaben auch hier hauptsächlich nur im mechanischen Auswendiglernen.|Den Methoden des chinesischen klassischen Unterrichts sich weise anpassend, bestanden die Aufgaben auch hier hauptsächlich nur im mechanischen Auswendiglernen.
tschun_01_f000103|Dabei ging es aber sehr lebhaft her, denn all die Kinder lernten gleichzeitig und mit möglichst laut erhobener Stimme ihr Pensum und überhörten sich gegenseitig,|Dabei ging es aber sehr lebhaft her, denn all die Kinder lernten gleichzeitig und mit möglichst laut erhobener Stimme ihr Pensum und überhörten sich gegenseitig,
tschun_01_f000104|ehe sie dem Lehrer aufsagten;|ehe sie dem Lehrer aufsagten;
tschun_01_f000105|gegen den verwirrenden Lärm, der hierdurch auf der langen Straße zur Gelehrsamkeit herrschte, waren Lehrer und Schüler gleich unempfindlich.|gegen den verwirrenden Lärm, der hierdurch auf der langen Straße zur Gelehrsamkeit herrschte, waren Lehrer und Schüler gleich unempfindlich.
tschun_01_f000106|Am besten gefielen Tschun die Stunden in der biblischen Geschichte.|Am besten gefielen Tschun die Stunden in der biblischen Geschichte.
tschun_01_f000107|Die Patriarchen erschienen ihm bald wie alte Bekannte, chinesischen Familienchefs gleichend, waren sie Hohepriester und Herrscher zugleich.|Die Patriarchen erschienen ihm bald wie alte Bekannte, chinesischen Familienchefs gleichend, waren sie Hohepriester und Herrscher zugleich.
tschun_01_f000108|Abraham, den Isaak schlachtend, war Tschun ein geläufiger Begriff, denn Väter waren ja nun mal allgewaltige Wesen, Herren über Tod und Leben, auch in China – besonders in China.|Abraham, den Isaak schlachtend, war Tschun ein geläufiger Begriff, denn Väter waren ja nun mal allgewaltige Wesen, Herren über Tod und Leben, auch in China - besonders in China.
tschun_01_f000109|Und ebenso erschien es ihm nichts gar zu Absonderliches, daß sich Brüder fanden, die einen der Ihren, den jungen Joseph, wie ein kleines, lästig gewordenes Haustier verkauften.|Und ebenso erschien es ihm nichts gar zu Absonderliches, daß sich Brüder fanden, die einen der Ihren, den jungen Joseph, wie ein kleines, lästig gewordenes Haustier verkauften.
tschun_01_f000110|Denn wenn zwar das Christentum seiner eigenen Familie Kindertötung oder Verkauf ausschloß, so war es doch eben nur ein Christentum weniger Jahre.|Denn wenn zwar das Christentum seiner eigenen Familie Kindertötung oder Verkauf ausschloß, so war es doch eben nur ein Christentum weniger Jahre.
tschun_01_f000111|Dahinter aber lagen die Jahrtausende chinesischer Vergangenheit mit all ihren aufgespeicherten Anschauungen und Sitten.|Dahinter aber lagen die Jahrtausende chinesischer Vergangenheit mit all ihren aufgespeicherten Anschauungen und Sitten.
tschun_01_f000112|Und das hatte ja Tschun häufig erwähnen hören, daß bei den stets wiederkehrenden Hungersnöten noch heute alljährlich Tausende von Kindern in dem einen oder anderen Teil Chinas ausgesetzt,|Und das hatte ja Tschun häufig erwähnen hören, daß bei den stets wiederkehrenden Hungersnöten noch heute alljährlich Tausende von Kindern in dem einen oder anderen Teil Chinas ausgesetzt,
tschun_01_f000113|verkauft oder gar von den Ihrigen getötet wurden.|verkauft oder gar von den Ihrigen getötet wurden.
