l_ile_mysterieuse_1_01_f000001|Remontons-nous?|Remontons-nous?
l_ile_mysterieuse_1_01_f000033|Les passagers, après avoir reconnu que la mer était sous la nacelle, trouvant les dangers moins redoutables en haut qu'en bas, n'avaient pas hésité à jeter par-dessus le bord les objets même les plus utiles,|Les passagers, après avoir reconnu que la mer était sous la nacelle, trouvant les dangers moins redoutables en haut qu'en bas, n'avaient pas hésité à jeter par-dessus le bord les objets même les plus utiles,
l_ile_mysterieuse_1_01_f000034|et ils cherchaient à ne plus rien perdre de ce fluide, de cette âme de leur appareil, qui les soutenait au-dessus de l'abîme.|et ils cherchaient à ne plus rien perdre de ce fluide, de cette âme de leur appareil, qui les soutenait au-dessus de l'abîme.
l_ile_mysterieuse_1_01_f000035|La nuit se passa au milieu d'inquiétudes qui auraient été mortelles pour des âmes moins énergiques.|La nuit se passa au milieu d'inquiétudes qui auraient été mortelles pour des âmes moins énergiques.
l_ile_mysterieuse_1_01_f000036|Puis le jour reparut, et, avec le jour, l'ouragan marqua une tendance à se modérer.|Puis le jour reparut, et, avec le jour, l'ouragan marqua une tendance à se modérer.
l_ile_mysterieuse_1_01_f000037|Dès le début de cette journée du 24 mars, il y eut quelques symptômes d'apaisement.|Dès le début de cette journée du 24 mars, il y eut quelques symptômes d'apaisement.
l_ile_mysterieuse_1_01_f000038|À l'aube, les nuages, plus vésiculaires, étaient remontés dans les hauteurs du ciel.|À l'aube, les nuages, plus vésiculaires, étaient remontés dans les hauteurs du ciel.
l_ile_mysterieuse_1_01_f000039|En quelques heures, la trombe s'évasa et se rompit.|En quelques heures, la trombe s'évasa et se rompit.
l_ile_mysterieuse_1_01_f000040|Le vent, de l'état d'ouragan, passa au grand frais, c'est-à-dire que la vitesse de translation des couches atmosphériques diminua de moitié.|Le vent, de l'état d'ouragan, passa au grand frais, c'est-à-dire que la vitesse de translation des couches atmosphériques diminua de moitié.
l_ile_mysterieuse_1_01_f000041|C'était encore ce que les marins appellent une brise à trois ris, mais l'amélioration dans le trouble des éléments n'en fut pas moins considérable.|C'était encore ce que les marins appellent une brise à trois ris, mais l'amélioration dans le trouble des éléments n'en fut pas moins considérable.
l_ile_mysterieuse_1_01_f000042|Vers onze heures, la partie inférieure de l'air s'était sensiblement nettoyée.|Vers onze heures, la partie inférieure de l'air s'était sensiblement nettoyée.
l_ile_mysterieuse_1_01_f000043|L'atmosphère dégageait cette limpidité humide qui se voit, qui se sent même, après le passage des grands météores.|L'atmosphère dégageait cette limpidité humide qui se voit, qui se sent même, après le passage des grands météores.
l_ile_mysterieuse_1_01_f000044|Il ne semblait pas que l'ouragan fût allé plus loin dans l'ouest.|Il ne semblait pas que l'ouragan fût allé plus loin dans l'ouest.
l_ile_mysterieuse_1_01_f000045|Il paraissait s'être tué lui-même. Peut-être s'était-il écoulé en nappes électriques, après la rupture de la trombe, ainsi qu'il arrive quelquefois aux typhons de l'océan Indien.|Il paraissait s'être tué lui-même. Peut-être s'était-il écoulé en nappes électriques, après la rupture de la trombe, ainsi qu'il arrive quelquefois aux typhons de l'océan Indien.
l_ile_mysterieuse_1_01_f000046|Mais, vers cette heure-là aussi, on eût pu constater, de nouveau, que le ballon s'abaissait lentement, par un mouvement continu, dans les couches inférieures de l'air.|Mais, vers cette heure-là aussi, on eût pu constater, de nouveau, que le ballon s'abaissait lentement, par un mouvement continu, dans les couches inférieures de l'air.
l_ile_mysterieuse_1_01_f000047|Il semblait même qu'il se dégonflait peu à peu, et que son enveloppe s'allongeait en se distendant, passant de la forme sphérique à la forme ovoïde.|Il semblait même qu'il se dégonflait peu à peu, et que son enveloppe s'allongeait en se distendant, passant de la forme sphérique à la forme ovoïde.
l_ile_mysterieuse_1_01_f000048|Vers midi, l'aérostat ne planait plus qu'à une hauteur de deux mille pieds au-dessus de la mer.|Vers midi, l'aérostat ne planait plus qu'à une hauteur de deux mille pieds au-dessus de la mer.
l_ile_mysterieuse_1_01_f000049|Il jaugeait cinquante mille pieds cubes, et, grâce à sa capacité, il avait évidemment pu se maintenir longtemps dans l'air, soit qu'il eût atteint de grandes altitudes, soit qu'il se fût déplacé suivant une direction horizontale.|Il jaugeait cinquante mille pieds cubes, et, grâce à sa capacité, il avait évidemment pu se maintenir longtemps dans l'air, soit qu'il eût atteint de grandes altitudes, soit qu'il se fût déplacé suivant une direction horizontale.
l_ile_mysterieuse_1_01_f000050|En ce moment, les passagers jetèrent les derniers objets qui alourdissaient encore, la nacelle, les quelques vivres qu'ils avaient conservés,|En ce moment, les passagers jetèrent les derniers objets qui alourdissaient encore, la nacelle, les quelques vivres qu'ils avaient conservés,
l_ile_mysterieuse_1_01_f000051|tout, jusqu'aux menus ustensiles qui garnissaient leurs poches, et l'un d'eux, s'étant hissé sur le cercle auquel se réunissaient les cordes du filet,|tout, jusqu'aux menus ustensiles qui garnissaient leurs poches, et l'un d'eux, s'étant hissé sur le cercle auquel se réunissaient les cordes du filet,
l_ile_mysterieuse_1_01_f000052|chercha à lier solidement l'appendice inférieur de l'aérostat.|chercha à lier solidement l'appendice inférieur de l'aérostat.
l_ile_mysterieuse_1_01_f000053|Il était évident que les passagers ne pouvaient plus maintenir le ballon dans les zones élevées, et que le gaz leur manquait!|Il était évident que les passagers ne pouvaient plus maintenir le ballon dans les zones élevées, et que le gaz leur manquait!
l_ile_mysterieuse_1_01_f000054|Ils étaient donc perdus! en effet, ce n'était ni un continent, ni même une île, qui s'étendait au-dessous d'eux.|Ils étaient donc perdus! en effet, ce n'était ni un continent, ni même une île, qui s'étendait au-dessous d'eux.
l_ile_mysterieuse_1_01_f000055|L'espace n'offrait pas un seul point d'atterrissement, pas une surface solide sur laquelle leur ancre pût mordre.|L'espace n'offrait pas un seul point d'atterrissement, pas une surface solide sur laquelle leur ancre pût mordre.
l_ile_mysterieuse_1_01_f000056|C'était l'immense mer, dont les flots se heurtaient encore avec une incomparable violence!|C'était l'immense mer, dont les flots se heurtaient encore avec une incomparable violence!
l_ile_mysterieuse_1_01_f000057|C'était l'Océan sans limites visibles, même pour eux, qui le dominaient de haut et dont les regards s'étendaient alors sur un rayon de quarante milles!|C'était l'Océan sans limites visibles, même pour eux, qui le dominaient de haut et dont les regards s'étendaient alors sur un rayon de quarante milles!
l_ile_mysterieuse_1_01_f000058|C'était cette plaine liquide, battue sans merci, fouettée par l'ouragan, qui devait leur apparaître comme une chevauchée de lames échevelées,|C'était cette plaine liquide, battue sans merci, fouettée par l'ouragan, qui devait leur apparaître comme une chevauchée de lames échevelées,
l_ile_mysterieuse_1_01_f000059|sur lesquelles eût été jeté un vaste réseau de crêtes blanches!|sur lesquelles eût été jeté un vaste réseau de crêtes blanches!
l_ile_mysterieuse_1_01_f000060|Pas une terre en vue, pas un navire!|Pas une terre en vue, pas un navire!
l_ile_mysterieuse_1_01_f000061|Il fallait donc, à tout prix, arrêter le mouvement descensionnel, pour empêcher que l'aérostat ne vînt s'engloutir au milieu des flots.|Il fallait donc, à tout prix, arrêter le mouvement descensionnel, pour empêcher que l'aérostat ne vînt s'engloutir au milieu des flots.
l_ile_mysterieuse_1_01_f000062|Et c'était évidemment à cette urgente opération que s'employaient les passagers de la nacelle.|Et c'était évidemment à cette urgente opération que s'employaient les passagers de la nacelle.
l_ile_mysterieuse_1_01_f000063|Mais, malgré leurs efforts, le ballon s'abaissait toujours, en même temps qu'il se déplaçait avec une extrême vitesse, suivant la direction du vent,|Mais, malgré leurs efforts, le ballon s'abaissait toujours, en même temps qu'il se déplaçait avec une extrême vitesse, suivant la direction du vent,
l_ile_mysterieuse_1_01_f000064|c'est-à-dire du nord-est au sud-ouest.|c'est-à-dire du nord-est au sud-ouest.
l_ile_mysterieuse_1_01_f000065|Situation terrible, que celle de ces infortunés! Ils n'étaient évidemment plus maîtres de l'aérostat.|Situation terrible, que celle de ces infortunés! Ils n'étaient évidemment plus maîtres de l'aérostat.
l_ile_mysterieuse_1_01_f000066|Leurs tentatives ne pouvaient aboutir. L'enveloppe du ballon se dégonflait de plus en plus.|Leurs tentatives ne pouvaient aboutir. L'enveloppe du ballon se dégonflait de plus en plus.
l_ile_mysterieuse_1_01_f000067|Le fluide s'échappait sans qu'il fût aucunement possible de le retenir.|Le fluide s'échappait sans qu'il fût aucunement possible de le retenir.
l_ile_mysterieuse_1_01_f000068|La descente s'accélérait visiblement, et, à une heure après midi, la nacelle n'était pas suspendue à plus de six cents pieds au-dessus de l'Océan.|La descente s'accélérait visiblement, et, à une heure après midi, la nacelle n'était pas suspendue à plus de six cents pieds au-dessus de l'Océan.
l_ile_mysterieuse_1_01_f000069|C'est que, en effet, il était impossible d'empêcher la fuite du gaz, qui s'échappait librement par une déchirure de l'appareil.|C'est que, en effet, il était impossible d'empêcher la fuite du gaz, qui s'échappait librement par une déchirure de l'appareil.
l_ile_mysterieuse_1_01_f000070|En allégeant la nacelle de tous les objets qu'elle contenait, les passagers avaient pu prolonger, pendant quelques heures, leur suspension dans l'air.|En allégeant la nacelle de tous les objets qu'elle contenait, les passagers avaient pu prolonger, pendant quelques heures, leur suspension dans l'air.
l_ile_mysterieuse_1_01_f000071|Mais l'inévitable catastrophe ne pouvait qu'être retardée, et, si quelque terre ne se montrait pas avant la nuit, passagers, nacelle et ballon auraient définitivement disparu dans les flots.|Mais l'inévitable catastrophe ne pouvait qu'être retardée, et, si quelque terre ne se montrait pas avant la nuit, passagers, nacelle et ballon auraient définitivement disparu dans les flots.
l_ile_mysterieuse_1_01_f000072|La seule manoeuvre qu'il y eût à faire encore fut faite à ce moment.|La seule manoeuvre qu'il y eût à faire encore fut faite à ce moment.
l_ile_mysterieuse_1_01_f000073|Les passagers de l'aérostat étaient évidemment des gens énergiques, et qui savaient regarder la mort en face. On n'eût pas entendu un seul murmure s'échapper de leurs lèvres.|Les passagers de l'aérostat étaient évidemment des gens énergiques, et qui savaient regarder la mort en face. On n'eût pas entendu un seul murmure s'échapper de leurs lèvres.
l_ile_mysterieuse_1_01_f000074|Ils étaient décidés à lutter jusqu'à la dernière seconde, à tout faire pour retarder leur chute.|Ils étaient décidés à lutter jusqu'à la dernière seconde, à tout faire pour retarder leur chute.
l_ile_mysterieuse_1_01_f000075|La nacelle n'était qu'une sorte de caisse d'osier, impropre à flotter, et il n'y avait aucune possibilité de la maintenir à la surface de la mer, si elle y tombait.|La nacelle n'était qu'une sorte de caisse d'osier, impropre à flotter, et il n'y avait aucune possibilité de la maintenir à la surface de la mer, si elle y tombait.
l_ile_mysterieuse_1_01_f000076|À deux heures, l'aérostat était à peine à quatre cents pieds au- dessus des flots.|À deux heures, l'aérostat était à peine à quatre cents pieds au- dessus des flots.
l_ile_mysterieuse_1_01_f000077|En ce moment, une voix mâle -- la voix d'un homme dont le coeur était inaccessible à la crainte -- se fit entendre. À cette voix répondirent des voix non moins énergiques.|En ce moment, une voix mâle -- la voix d'un homme dont le coeur était inaccessible à la crainte -- se fit entendre. À cette voix répondirent des voix non moins énergiques.
l_ile_mysterieuse_1_01_f000078|Tout est-il jeté?|Tout est-il jeté?
l_ile_mysterieuse_1_01_f000079|-- Non! Il y a encore dix mille francs d'or! Un sac pesant tomba aussitôt à la mer.|-- Non! Il y a encore dix mille francs d'or! Un sac pesant tomba aussitôt à la mer.
l_ile_mysterieuse_1_01_f000080|Le ballon se relève-t-il? -- Un peu, mais il ne tardera pas à retomber!|Le ballon se relève-t-il? -- Un peu, mais il ne tardera pas à retomber!
l_ile_mysterieuse_1_01_f000081|-- Que reste-t-il à jeter au dehors? -- Rien! -- Si!... La nacelle!|-- Que reste-t-il à jeter au dehors? -- Rien! -- Si!... La nacelle!
l_ile_mysterieuse_1_01_f000082|-- Accrochons-nous au filet! et à la mer la nacelle!|-- Accrochons-nous au filet! et à la mer la nacelle!
l_ile_mysterieuse_1_01_f000083|C'était, en effet, le seul et dernier moyen d'alléger l'aérostat.|C'était, en effet, le seul et dernier moyen d'alléger l'aérostat.
l_ile_mysterieuse_1_01_f000084|Les cordes qui rattachaient la nacelle au cercle furent coupées, et l'aérostat, après sa chute, remonta de deux mille pieds.|Les cordes qui rattachaient la nacelle au cercle furent coupées, et l'aérostat, après sa chute, remonta de deux mille pieds.
l_ile_mysterieuse_1_01_f000085|Les cinq passagers s'étaient hissés dans le filet, au-dessus du cercle, et se tenaient dans le réseau des mailles, regardant l'abîme.|Les cinq passagers s'étaient hissés dans le filet, au-dessus du cercle, et se tenaient dans le réseau des mailles, regardant l'abîme.
l_ile_mysterieuse_1_01_f000086|On sait de quelle sensibilité statique sont doués les aérostats.|On sait de quelle sensibilité statique sont doués les aérostats.
l_ile_mysterieuse_1_01_f000087|Il suffit de jeter l'objet le plus léger pour provoquer un déplacement dans le sens vertical.|Il suffit de jeter l'objet le plus léger pour provoquer un déplacement dans le sens vertical.
l_ile_mysterieuse_1_01_f000088|L'appareil, flottant dans l'air, se comporte comme une balance d'une justesse mathématique.|L'appareil, flottant dans l'air, se comporte comme une balance d'une justesse mathématique.
l_ile_mysterieuse_1_01_f000089|On comprend donc que, lorsqu'il est délesté d'un poids relativement considérable, son déplacement soit important et brusque. C'est ce qui arriva dans cette occasion.|On comprend donc que, lorsqu'il est délesté d'un poids relativement considérable, son déplacement soit important et brusque. C'est ce qui arriva dans cette occasion.
l_ile_mysterieuse_1_01_f000090|Mais, après s'être un instant équilibré dans les zones supérieures, l'aérostat commença à redescendre.|Mais, après s'être un instant équilibré dans les zones supérieures, l'aérostat commença à redescendre.
l_ile_mysterieuse_1_01_f000091|Le gaz fuyait par la déchirure, qu'il était impossible de réparer.|Le gaz fuyait par la déchirure, qu'il était impossible de réparer.
l_ile_mysterieuse_1_01_f000092|Les passagers avaient fait tout ce qu'ils pouvaient faire. Aucun moyen humain ne pouvait les sauver désormais. Ils n'avaient plus à compter que sur l'aide de Dieu.|Les passagers avaient fait tout ce qu'ils pouvaient faire. Aucun moyen humain ne pouvait les sauver désormais. Ils n'avaient plus à compter que sur l'aide de Dieu.
l_ile_mysterieuse_1_01_f000093|À quatre heures, le ballon n'était plus qu'à cinq cents pieds de la surface des eaux.|À quatre heures, le ballon n'était plus qu'à cinq cents pieds de la surface des eaux.
l_ile_mysterieuse_1_01_f000094|Un aboiement sonore se fit entendre. Un chien accompagnait les passagers et se tenait accroché près de son maître dans les mailles du filet.|Un aboiement sonore se fit entendre. Un chien accompagnait les passagers et se tenait accroché près de son maître dans les mailles du filet.
l_ile_mysterieuse_1_01_f000095|Top a vu quelque chose! s'écria l'un des passagers.|Top a vu quelque chose! s'écria l'un des passagers.
l_ile_mysterieuse_1_01_f000096|Puis, aussitôt, une voix forte se fit entendre: Terre! terre!|Puis, aussitôt, une voix forte se fit entendre: Terre! terre!
l_ile_mysterieuse_1_01_f000097|Le ballon, que le vent ne cessait d'entraîner vers le sud-ouest, avait, depuis l'aube, franchi une distance considérable, qui se chiffrait par centaines de milles,|Le ballon, que le vent ne cessait d'entraîner vers le sud-ouest, avait, depuis l'aube, franchi une distance considérable, qui se chiffrait par centaines de milles,
l_ile_mysterieuse_1_01_f000098|et une terre assez élevée venait, en effet, d'apparaître dans cette direction.|et une terre assez élevée venait, en effet, d'apparaître dans cette direction.
l_ile_mysterieuse_1_01_f000099|Mais cette terre se trouvait encore à trente milles sous le vent.|Mais cette terre se trouvait encore à trente milles sous le vent.
l_ile_mysterieuse_1_01_f000100|Il ne fallait pas moins d'une grande heure pour l'atteindre, et encore à la condition de ne pas dériver.|Il ne fallait pas moins d'une grande heure pour l'atteindre, et encore à la condition de ne pas dériver.
l_ile_mysterieuse_1_01_f000101|Une heure! Le ballon ne se serait-il pas auparavant vidé de tout ce qu'il avait gardé de son fluide?|Une heure! Le ballon ne se serait-il pas auparavant vidé de tout ce qu'il avait gardé de son fluide?
l_ile_mysterieuse_1_01_f000102|Telle était la terrible question! Les passagers voyaient distinctement ce point solide, qu'il fallait atteindre à tout prix.|Telle était la terrible question! Les passagers voyaient distinctement ce point solide, qu'il fallait atteindre à tout prix.
l_ile_mysterieuse_1_01_f000103|Ils ignoraient ce qu'il était, île ou continent, car c'est à peine s'ils savaient vers quelle partie du monde l'ouragan les avait entraînés!|Ils ignoraient ce qu'il était, île ou continent, car c'est à peine s'ils savaient vers quelle partie du monde l'ouragan les avait entraînés!
l_ile_mysterieuse_1_01_f000104|Mais cette terre, qu'elle fût habitée ou qu'elle ne le fût pas, qu'elle dût être hospitalière ou non, il fallait y arriver!|Mais cette terre, qu'elle fût habitée ou qu'elle ne le fût pas, qu'elle dût être hospitalière ou non, il fallait y arriver!
l_ile_mysterieuse_1_01_f000105|Or, à quatre heures, il était visible que le ballon ne pouvait plus se soutenir.|Or, à quatre heures, il était visible que le ballon ne pouvait plus se soutenir.
l_ile_mysterieuse_1_02_f000001|Il rasait la surface de la mer. Déjà la crête des énormes lames avait plusieurs fois léché le bas du filet, l'alourdissant encore, et l'aérostat ne se soulevait plus qu'à demi, comme un oiseau qui a du plomb dans l'aile.|Il rasait la surface de la mer. Déjà la crête des énormes lames avait plusieurs fois léché le bas du filet, l'alourdissant encore, et l'aérostat ne se soulevait plus qu'à demi, comme un oiseau qui a du plomb dans l'aile.
l_ile_mysterieuse_1_02_f000002|Une demi-heure plus tard, la terre n'était plus qu'à un mille, mais le ballon, épuisé, flasque, distendu, chiffonné en gros plis, ne conservait plus de gaz que dans sa partie supérieure.|Une demi-heure plus tard, la terre n'était plus qu'à un mille, mais le ballon, épuisé, flasque, distendu, chiffonné en gros plis, ne conservait plus de gaz que dans sa partie supérieure.
l_ile_mysterieuse_1_02_f000003|Les passagers, accrochés au filet, pesaient encore trop pour lui, et bientôt, à demi plongés dans la mer, ils furent battus par les lames furieuses.|Les passagers, accrochés au filet, pesaient encore trop pour lui, et bientôt, à demi plongés dans la mer, ils furent battus par les lames furieuses.
l_ile_mysterieuse_1_02_f000004|L'enveloppe de l'aérostat fit poche alors, et le vent s'y engouffrant, le poussa comme un navire vent arrière.|L'enveloppe de l'aérostat fit poche alors, et le vent s'y engouffrant, le poussa comme un navire vent arrière.
l_ile_mysterieuse_1_02_f000005|Peut-être accosterait-il ainsi la côte!|Peut-être accosterait-il ainsi la côte!
l_ile_mysterieuse_1_02_f000006|Or, il n'en était qu'à deux encablures, quand des cris terribles, sortis de quatre poitrines à la fois, retentirent.|Or, il n'en était qu'à deux encablures, quand des cris terribles, sortis de quatre poitrines à la fois, retentirent.
l_ile_mysterieuse_1_02_f000007|Le ballon, qui semblait ne plus devoir se relever, venait de refaire encore un bond inattendu, après avoir été frappé d'un formidable coup de mer.|Le ballon, qui semblait ne plus devoir se relever, venait de refaire encore un bond inattendu, après avoir été frappé d'un formidable coup de mer.
l_ile_mysterieuse_1_02_f000008|Comme s'il eût été délesté subitement d'une nouvelle partie de son poids, il remonta à une hauteur de quinze cents pieds, et là il rencontra une sorte de remous du vent, qui, au lieu de le porter directement à la côte, lui fit suivre une direction presque parallèle.|Comme s'il eût été délesté subitement d'une nouvelle partie de son poids, il remonta à une hauteur de quinze cents pieds, et là il rencontra une sorte de remous du vent, qui, au lieu de le porter directement à la côte, lui fit suivre une direction presque parallèle.
l_ile_mysterieuse_1_02_f000009|Enfin, deux minutes plus tard, il s'en rapprochait obliquement, et il retombait définitivement sur le sable du rivage, hors de la portée des lames.|Enfin, deux minutes plus tard, il s'en rapprochait obliquement, et il retombait définitivement sur le sable du rivage, hors de la portée des lames.
l_ile_mysterieuse_1_02_f000010|Les passagers, s'aidant les uns les autres, parvinrent à se dégager des mailles du filet.|Les passagers, s'aidant les uns les autres, parvinrent à se dégager des mailles du filet.
