ritrattodeldiavolo_01_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.
ritrattodeldiavolo_01_barrili_f000024|Era nato a Prato vecchio, nella famiglia di messer Cristoforo Landino|Era nato a Prato vecchio, nella famiglia di messer Cristoforo Landino
ritrattodeldiavolo_01_barrili_f000025|e il nome patronimico lo aveva avuto da un frate di Casentino, guardiano al Sasso della Vernia, che l'aveva preso a ben volere|e il nome patronimico lo aveva avuto da un frate di Casentino, guardiano al Sasso della Vernia, che l'aveva preso a ben volere
ritrattodeldiavolo_01_barrili_f000026|e, vedendo la sua inclinazione all'arte del dipingere, lo aveva acconciato con Taddeo Gaddi|e, vedendo la sua inclinazione all'arte del dipingere, lo aveva acconciato con Taddeo Gaddi
ritrattodeldiavolo_01_barrili_f000027|nel tempo che questo valoroso scolaro di Giotto era a lavorare nel suo convento.|nel tempo che questo valoroso scolaro di Giotto era a lavorare nel suo convento.
ritrattodeldiavolo_01_barrili_f000028|Sotto la scuola di mastro Taddeo, il giovinetto Jacopo aveva profittato grandemente,|Sotto la scuola di mastro Taddeo, il giovinetto Jacopo aveva profittato grandemente,
ritrattodeldiavolo_01_barrili_f000029|sì nel disegno, sì nell'arte del colorire. Erano quelli i bei tempi della pittura.|sì nel disegno, sì nell'arte del colorire. Erano quelli i bei tempi della pittura.
ritrattodeldiavolo_01_barrili_f000030|Giotto, con nuova maniera, sciogliendo la figura umana dalle rigidezze dell'arte bisantina|Giotto, con nuova maniera, sciogliendo la figura umana dalle rigidezze dell'arte bisantina
ritrattodeldiavolo_01_barrili_f000031|aveva additata una strada su cui tutti i giovani si gittavano animosi, sperando di avanzare in eccellenza il maestro.|aveva additata una strada su cui tutti i giovani si gittavano animosi, sperando di avanzare in eccellenza il maestro.
ritrattodeldiavolo_01_barrili_f000032|E Jacopo, andato a Firenze con Taddeo Gaddi, non fece torto alle speranze che questi aveva concepite di lui|E Jacopo, andato a Firenze con Taddeo Gaddi, non fece torto alle speranze che questi aveva concepite di lui
ritrattodeldiavolo_01_barrili_f000033|dipingendo tra l'altre cose il tabernacolo della Madonna di Mercato Vecchio e le vòlte d'Orsanmichele|dipingendo tra l'altre cose il tabernacolo della Madonna di Mercato Vecchio e le vòlte d'Orsanmichele
ritrattodeldiavolo_01_barrili_f000034|che aveva ad essere il granaio del Comune.|che aveva ad essere il granaio del Comune.
ritrattodeldiavolo_01_barrili_f000035|Rimasto alcuni anni col Gaddi, come a provar le sue forze, e persuaso oramai di poter volare da sè|Rimasto alcuni anni col Gaddi, come a provar le sue forze, e persuaso oramai di poter volare da sè
ritrattodeldiavolo_01_barrili_f000036|Jacopo era tornato nel suo Casentino, e in Pratovecchio|Jacopo era tornato nel suo Casentino, e in Pratovecchio
ritrattodeldiavolo_01_barrili_f000037|in Poppi e in altri luoghi della valle medesima, aveva dato mano a molte opere di cui s'era vantaggiata la sua fama, non così la sua borsa.|in Poppi e in altri luoghi della valle medesima, aveva dato mano a molte opere di cui s'era vantaggiata la sua fama, non così la sua borsa.
ritrattodeldiavolo_01_barrili_f000038|Dopo di che, adescato da più ragguardevoli offerte, si era ridotto a stabile dimora in Arezzo, che allora si governava da sè medesima|Dopo di che, adescato da più ragguardevoli offerte, si era ridotto a stabile dimora in Arezzo, che allora si governava da sè medesima
ritrattodeldiavolo_01_barrili_f000039|col consiglio di sessanta cittadini dei più ricchi e più onorati, alla cura dei quali era commesso tutto il reggimento.|col consiglio di sessanta cittadini dei più ricchi e più onorati, alla cura dei quali era commesso tutto il reggimento.
ritrattodeldiavolo_01_barrili_f000040|Mastro Jacopo non era solamente pittore, ma pizzicava eziandio d'architetto.|Mastro Jacopo non era solamente pittore, ma pizzicava eziandio d'architetto.
ritrattodeldiavolo_01_barrili_f000041|E perchè in Arezzo scarseggiavano le acque, fin dal tempo dei Goti|E perchè in Arezzo scarseggiavano le acque, fin dal tempo dei Goti
ritrattodeldiavolo_01_barrili_f000042|che avevano guasti i condotti onde l'acqua scendeva dal poggio di Pori in città, fu commesso a mastro Jacopo di ricondurvela.|che avevano guasti i condotti onde l'acqua scendeva dal poggio di Pori in città, fu commesso a mastro Jacopo di ricondurvela.
ritrattodeldiavolo_01_barrili_f000043|Il che egli fece a sua lode, portandola per nuovi canali fin sotto le mura|Il che egli fece a sua lode, portandola per nuovi canali fin sotto le mura
ritrattodeldiavolo_01_barrili_f000044|ad una fonte detta allora dei Guinicelli, e poscia, corrottamente, dei Veneziani.|ad una fonte detta allora dei Guinicelli, e poscia, corrottamente, dei Veneziani.
ritrattodeldiavolo_01_barrili_f000045|Ma questo sono notizie che importano poco al soggetto.|Ma questo sono notizie che importano poco al soggetto.
ritrattodeldiavolo_01_barrili_f000046|Passiamo, dunque, senza fermarci troppo sull'architettura di mastro Jacopo|Passiamo, dunque, senza fermarci troppo sull'architettura di mastro Jacopo
ritrattodeldiavolo_01_barrili_f000047|e raccontiamo ai lettori che da molti anni il degno artefice aveva messo su famiglia|e raccontiamo ai lettori che da molti anni il degno artefice aveva messo su famiglia
ritrattodeldiavolo_01_barrili_f000048|e viveva felice, come può esserlo un uomo in questa valle di lagrime, che non è tutta una Val di Chiana, pur troppo.|e viveva felice, come può esserlo un uomo in questa valle di lagrime, che non è tutta una Val di Chiana, pur troppo.
ritrattodeldiavolo_01_barrili_f000049|Intanto, seminava dei suoi affreschi tutte le chiese di Arezzo, facendo prova di una maniera e dì una pratica maravigliosa.|Intanto, seminava dei suoi affreschi tutte le chiese di Arezzo, facendo prova di una maniera e dì una pratica maravigliosa.
ritrattodeldiavolo_01_barrili_f000050|Un'altra fortuna era toccata a mastro Jacopo;|Un'altra fortuna era toccata a mastro Jacopo;
ritrattodeldiavolo_01_barrili_f000051|quella io vo' dire di mostrare ad un altro, e con frutto, i principii di quell'arte che a lui aveva insegnata il Gaddi.|quella io vo' dire di mostrare ad un altro, e con frutto, i principii di quell'arte che a lui aveva insegnata il Gaddi.
ritrattodeldiavolo_01_barrili_f000052|Ai giorni nostri i pittori non fanno più scuola, o non si rodono di avere dei buoni discepoli, come una volta.|Ai giorni nostri i pittori non fanno più scuola, o non si rodono di avere dei buoni discepoli, come una volta.
ritrattodeldiavolo_01_barrili_f000053|Ogni artista lavora per sè, gelosamente tappato nel suo studio, quasi temendo che altri gli rubi il tocco, o l'impasto dei colori.|Ogni artista lavora per sè, gelosamente tappato nel suo studio, quasi temendo che altri gli rubi il tocco, o l'impasto dei colori.
ritrattodeldiavolo_01_barrili_f000054|Ma in quei tempi di vita rigogliosa per l'arte, era una festa aver gente dattorno|Ma in quei tempi di vita rigogliosa per l'arte, era una festa aver gente dattorno
ritrattodeldiavolo_01_barrili_f000055|e un pittore non si teneva per maestro, se non aveva una mezza dozzina di scolari|e un pittore non si teneva per maestro, se non aveva una mezza dozzina di scolari
ritrattodeldiavolo_01_barrili_f000056|uno dei quali, uno almeno, di più facile ingegno e di più pronta volontà|uno dei quali, uno almeno, di più facile ingegno e di più pronta volontà
ritrattodeldiavolo_01_barrili_f000057|seguitasse la maniera, serbasse le tradizioni del principale e facesse onore alla scuola.|seguitasse la maniera, serbasse le tradizioni del principale e facesse onore alla scuola.
ritrattodeldiavolo_01_barrili_f000058|Di questi scolari, o garzoni, o fattori (come si dicevano in quel tempo che lo studio d'un pittore si chiamava bottega) mastro Jacopo ne aveva parecchi;|Di questi scolari, o garzoni, o fattori come si dicevano in quel tempo che lo studio d'un pittore si chiamava bottega mastro Jacopo ne aveva parecchi;
ritrattodeldiavolo_01_barrili_f000059|ma uno solo meritava il nome di discepolo, e si domandava Spinello, figlio ad un certo Luca Spinelli, fiorentino|ma uno solo meritava il nome di discepolo, e si domandava Spinello, figlio ad un certo Luca Spinelli, fiorentino
ritrattodeldiavolo_01_barrili_f000060|che era andato forse vent'anni addietro ad abitare in Arezzo, quando|che era andato forse vent'anni addietro ad abitare in Arezzo, quando
ritrattodeldiavolo_01_barrili_f000061|una volta fra l'altre erano stati discacciati da Firenze i Ghibellini.|una volta fra l'altre erano stati discacciati da Firenze i Ghibellini.
ritrattodeldiavolo_01_barrili_f000062|Arezzo, se nol sapete, era ghibellina nell'anima.|Arezzo, se nol sapete, era ghibellina nell'anima.
ritrattodeldiavolo_01_barrili_f000063|Spinello Spinelli era un bel giovinottino, nato pittore come Giotto, e inclinato fin da fanciullo ad operare nel disegno tali miracoli|Spinello Spinelli era un bel giovinottino, nato pittore come Giotto, e inclinato fin da fanciullo ad operare nel disegno tali miracoli
ritrattodeldiavolo_01_barrili_f000064|che non si sarebbero creduti possibili senza la disciplina di ottimi maestri.|che non si sarebbero creduti possibili senza la disciplina di ottimi maestri.
ritrattodeldiavolo_01_barrili_f000065|Jacopo di Casentino, veduti i suoi tocchi in penna, lo aveva voluto a bottega. E Spinello non si era fatto pregare;|Jacopo di Casentino, veduti i suoi tocchi in penna, lo aveva voluto a bottega. E Spinello non si era fatto pregare;
ritrattodeldiavolo_01_barrili_f000066|che anzi, moriva dalla voglia di andarci, specie dopo che aveva veduta e ammirata nel Duomo vecchio la più bell'opera di mastro Jacopo.|che anzi, moriva dalla voglia di andarci, specie dopo che aveva veduta e ammirata nel Duomo vecchio la più bell'opera di mastro Jacopo.
ritrattodeldiavolo_01_barrili_f000067|Ora, la più bell'opera di mastro Jacopo, che Spinello potesse ammirare nel Duomo vecchio|Ora, la più bell'opera di mastro Jacopo, che Spinello potesse ammirare nel Duomo vecchio
ritrattodeldiavolo_01_barrili_f000068|non era già il ritratto di papa Innocenzo VI, come qualcuno potrebbe credere a tutta prima.|non era già il ritratto di papa Innocenzo VI, come qualcuno potrebbe credere a tutta prima.
ritrattodeldiavolo_01_barrili_f000069|La più bell'opera di mastro Jacopo era madonna Fiordalisa, a lui nata in Firenze, quando egli stava laggiù, ai servigi del Gaddi.|La più bell'opera di mastro Jacopo era madonna Fiordalisa, a lui nata in Firenze, quando egli stava laggiù, ai servigi del Gaddi.
ritrattodeldiavolo_01_barrili_f000070|Dico Fiordalisa, per non ingenerar confusione.|Dico Fiordalisa, per non ingenerar confusione.
ritrattodeldiavolo_01_barrili_f000071|Ma i toscani d'allora non sentivano nessuna ripugnanza a dire madonna Fiordaliso|Ma i toscani d'allora non sentivano nessuna ripugnanza a dire madonna Fiordaliso
ritrattodeldiavolo_01_barrili_f000072|in quella stessa guisa che non ne sentivano a dire madonna Fiore|in quella stessa guisa che non ne sentivano a dire madonna Fiore
ritrattodeldiavolo_01_barrili_f000073|madonna Belcolore, e via di questo passo, concordando un nome mascolino con un nome femminile.|madonna Belcolore, e via di questo passo, concordando un nome mascolino con un nome femminile.
ritrattodeldiavolo_01_barrili_f000074|Del resto, la grazia e l'eleganza femminile c'erano tutte, nel viso di madonna|Del resto, la grazia e l'eleganza femminile c'erano tutte, nel viso di madonna
ritrattodeldiavolo_01_barrili_f000075|spiravano da ogni parte della sua bella persona, e le desinenze non ci avevano nulla a vedere.|spiravano da ogni parte della sua bella persona, e le desinenze non ci avevano nulla a vedere.
ritrattodeldiavolo_01_barrili_f000076|Fiordalisa, nata a Firenze, era in Arezzo da pochi mesi;|Fiordalisa, nata a Firenze, era in Arezzo da pochi mesi;
ritrattodeldiavolo_01_barrili_f000077|ma fin dai primi giorni del suo arrivo colà, era stata veduta, notata e riconosciuta come un miracolo di bellezza.|ma fin dai primi giorni del suo arrivo colà, era stata veduta, notata e riconosciuta come un miracolo di bellezza.
ritrattodeldiavolo_01_barrili_f000078|È facile che si nasconda un grand'uomo, in mezzo alla moltitudine, e che rimanga ignoto, in una città nuova per lui;|È facile che si nasconda un grand'uomo, in mezzo alla moltitudine, e che rimanga ignoto, in una città nuova per lui;
ritrattodeldiavolo_01_barrili_f000079|ma non c'è caso che si nasconda egualmente una bella ragazza.|ma non c'è caso che si nasconda egualmente una bella ragazza.
ritrattodeldiavolo_01_barrili_f000080|Il primo che l'ha vista, poniamo anche di sbieco, ne passa parola ad un altro|Il primo che l'ha vista, poniamo anche di sbieco, ne passa parola ad un altro
ritrattodeldiavolo_01_barrili_f000081|e questi ad un terzo, anche prima di averla intravveduta lui;|e questi ad un terzo, anche prima di averla intravveduta lui;
ritrattodeldiavolo_01_barrili_f000082|donde avviene che fin dal primo giorno che è stata annunziata la selvaggina|donde avviene che fin dal primo giorno che è stata annunziata la selvaggina
ritrattodeldiavolo_01_barrili_f000083|un centinaio di bracchi da punta sieno sguinzagliati alla macchia.|un centinaio di bracchi da punta sieno sguinzagliati alla macchia.
ritrattodeldiavolo_01_barrili_f000084|Ora, i giovinotti d'Arezzo non s'erano mica indugiati per istrada;|Ora, i giovinotti d'Arezzo non s'erano mica indugiati per istrada;
ritrattodeldiavolo_01_barrili_f000085|avevano scoperto subito la bella fiorentina, l'avevano scovata, levata|avevano scoperto subito la bella fiorentina, l'avevano scovata, levata
ritrattodeldiavolo_01_barrili_f000086|come i suoi concittadini avrebbero levato il grillo dal buco, la mattina dell'Ascensione.|come i suoi concittadini avrebbero levato il grillo dal buco, la mattina dell'Ascensione.
ritrattodeldiavolo_01_barrili_f000087|Fiordalisa non esciva di casa che i dì di festa, per andare nel Duomo vecchio agli uffizi divini.|Fiordalisa non esciva di casa che i dì di festa, per andare nel Duomo vecchio agli uffizi divini.
ritrattodeldiavolo_01_barrili_f000088|Ma tanto bastava perchè la vedessero tutti, e perchè ci fossero di gran capannelli sul sagrato del Duomo, quando ella doveva passare.|Ma tanto bastava perchè la vedessero tutti, e perchè ci fossero di gran capannelli sul sagrato del Duomo, quando ella doveva passare.
ritrattodeldiavolo_01_barrili_f000089|Spinello Spinelli l'aveva vista a quel modo, come tutti gli altri.|Spinello Spinelli l'aveva vista a quel modo, come tutti gli altri.
ritrattodeldiavolo_01_barrili_f000090|Era un giovinotto allegro, che portava il cervello sopra la berretta.|Era un giovinotto allegro, che portava il cervello sopra la berretta.
ritrattodeldiavolo_01_barrili_f000091|Ma da quel giorno che vide madonna Fiordalisa, incominciò a pensare con qualche rammarico alla sua condizione|Ma da quel giorno che vide madonna Fiordalisa, incominciò a pensare con qualche rammarico alla sua condizione
ritrattodeldiavolo_01_barrili_f000092|che non gli permetteva di passare avanti a tutti i suoi giovani rivali.|che non gli permetteva di passare avanti a tutti i suoi giovani rivali.
ritrattodeldiavolo_01_barrili_f000093|Vi ho già detto che era figlio d'un fuoruscito fiorentino.|Vi ho già detto che era figlio d'un fuoruscito fiorentino.
ritrattodeldiavolo_01_barrili_f000094|Luca Spinelli esercitava un'arte, a Firenze, e ci aveva anche quattro sassi al sole;|Luca Spinelli esercitava un'arte, a Firenze, e ci aveva anche quattro sassi al sole;
ritrattodeldiavolo_01_barrili_f000095|ma l'arte era nulla, senza clientela, e di quei quattro sassi gliene avevano fatto vento i Guelfi, dopo averlo sbandito dalla città.|ma l'arte era nulla, senza clientela, e di quei quattro sassi gliene avevano fatto vento i Guelfi, dopo averlo sbandito dalla città.
ritrattodeldiavolo_01_barrili_f000096|Non dissimilmente avrebbero adoperato i Ghibellini, se a loro fosse toccato di poter bandire i Guelfi;|Non dissimilmente avrebbero adoperato i Ghibellini, se a loro fosse toccato di poter bandire i Guelfi;
ritrattodeldiavolo_01_barrili_f000097|non c'era dunque da gridare all'ingiustizia. A quei tempi si usava così.|non c'era dunque da gridare all'ingiustizia. A quei tempi si usava così.
ritrattodeldiavolo_01_barrili_f000098|Oggi, la Dio grazia, abbiamo un pochettino di progresso, e certe cose non si fanno più; ci si restringe a desiderarle.|Oggi, la Dio grazia, abbiamo un pochettino di progresso, e certe cose non si fanno più; ci si restringe a desiderarle.
ritrattodeldiavolo_01_barrili_f000099|Ma se Spinello non era ricco, aveva tuttavia una gran forza per sè; era giovine e innamorato morto.|Ma se Spinello non era ricco, aveva tuttavia una gran forza per sè; era giovine e innamorato morto.
ritrattodeldiavolo_01_barrili_f000100|Madonna Fiordalisa era la figlia d'un pittore.|Madonna Fiordalisa era la figlia d'un pittore.
ritrattodeldiavolo_01_barrili_f000101|Vedete come il destino aveva disposte le fila! Anche lui era un pittore, o almeno poteva diventarlo;|Vedete come il destino aveva disposte le fila! Anche lui era un pittore, o almeno poteva diventarlo;
ritrattodeldiavolo_01_barrili_f000102|poichè l'inclinazione c'era, ed anche una certa pratica naturale.|poichè l'inclinazione c'era, ed anche una certa pratica naturale.
ritrattodeldiavolo_01_barrili_f000103|Fino allora, egli aveva disegnato per capriccio: da quel giorno incominciò a disegnare per passione.|Fino allora, egli aveva disegnato per capriccio: da quel giorno incominciò a disegnare per passione.
ritrattodeldiavolo_01_barrili_f000104|Si fa così bene quel che si fa, quando si pensa ad una bella donna! Sopra tutto|Si fa così bene quel che si fa, quando si pensa ad una bella donna! Sopra tutto
ritrattodeldiavolo_01_barrili_f000105|poi, quando si capisce che é l'unica via per giungere a lei!|poi, quando si capisce che é l'unica via per giungere a lei!
ritrattodeldiavolo_01_barrili_f000106|Mastro Jacopo lavorava allora nella chiesa di San Domenico|Mastro Jacopo lavorava allora nella chiesa di San Domenico
ritrattodeldiavolo_01_barrili_f000107|e più propriamente in una parte della chiesa, cioè a dire nella cappella di San Cristofano|e più propriamente in una parte della chiesa, cioè a dire nella cappella di San Cristofano
ritrattodeldiavolo_01_barrili_f000108|ritraendovi al naturale il beato Masuolo, profeta minimo, il quale, ne' suoi tempi, predisse molte disavventure agli Aretini.|ritraendovi al naturale il beato Masuolo, profeta minimo, il quale, ne' suoi tempi, predisse molte disavventure agli Aretini.
ritrattodeldiavolo_01_barrili_f000109|L'opera gli era commessa da un mercante de' Fei, che aveva molto a lodarsi del Santo, per esserne stato liberato dal carcere.|L'opera gli era commessa da un mercante de' Fei, che aveva molto a lodarsi del Santo, per esserne stato liberato dal carcere.
ritrattodeldiavolo_01_barrili_f000110|E mastro Jacopo aveva per l'appunto rappresentato il Santo nell'atto di fare quel miracolo|E mastro Jacopo aveva per l'appunto rappresentato il Santo nell'atto di fare quel miracolo
ritrattodeldiavolo_01_barrili_f000111|che oggi si farebbe con uno sbruffo ai guardiani, o con un buco nel muro.|che oggi si farebbe con uno sbruffo ai guardiani, o con un buco nel muro.
ritrattodeldiavolo_01_barrili_f000112|Spinello, come potete argomentare, andò in San Domenico|Spinello, come potete argomentare, andò in San Domenico
ritrattodeldiavolo_01_barrili_f000113|incominciò a piantarsi davanti alla cappella di San Cristofano e diventò un grande ammiratore dei miracoli del beato Masuolo|incominciò a piantarsi davanti alla cappella di San Cristofano e diventò un grande ammiratore dei miracoli del beato Masuolo
ritrattodeldiavolo_01_barrili_f000114|o almeno di quel tanto che se ne poteva scorgere attraverso le commessure del tavolato.|o almeno di quel tanto che se ne poteva scorgere attraverso le commessure del tavolato.
ritrattodeldiavolo_01_barrili_f000115|Mastro Jacopo non tardò ad avvedersi di quella curiosità e chiese al giovanotto se per caso volesse vedere l'affresco prima del mercante che gli aveva data la commissione.|Mastro Jacopo non tardò ad avvedersi di quella curiosità e chiese al giovanotto se per caso volesse vedere l'affresco prima del mercante che gli aveva data la commissione.
ritrattodeldiavolo_01_barrili_f000116|--Maisì, messere; --rispose Spinello, facendosi un coraggio pari alla gravità del caso.|--Maisì, messere; --rispose Spinello, facendosi un coraggio pari alla gravità del caso.
ritrattodeldiavolo_01_barrili_f000117|--Il mercante vi pagherà l'opera vostra una volta sola;|--Il mercante vi pagherà l'opera vostra una volta sola;
ritrattodeldiavolo_01_barrili_f000118|io l'ammirerò quante volte vi piacerà di lasciarmela vedere prima d'ogni altro. --Ecco una ragione che mi capacita;|io l'ammirerò quante volte vi piacerà di lasciarmela vedere prima d'ogni altro. --Ecco una ragione che mi capacita;
ritrattodeldiavolo_01_barrili_f000119|--disse mastro Jacopo, facendo bocca da ridere.|--disse mastro Jacopo, facendo bocca da ridere.
ritrattodeldiavolo_01_barrili_f000120|--Ma ti piacerà poi da senno, il mio beato Masuolo? Vieni sul ponte e sia come ti pare. Spinello non se lo fece dire due volte;|--Ma ti piacerà poi da senno, il mio beato Masuolo? Vieni sul ponte e sia come ti pare. Spinello non se lo fece dire due volte;
ritrattodeldiavolo_01_barrili_f000121|salì sul ponte, osservò la composizione e rimase a bocca aperta, com'era naturale che facesse|salì sul ponte, osservò la composizione e rimase a bocca aperta, com'era naturale che facesse
ritrattodeldiavolo_01_barrili_f000122|e per la bontà intrinseca del dipinto e per il desiderio che aveva di entrare nella grazia dell'artefice.|e per la bontà intrinseca del dipinto e per il desiderio che aveva di entrare nella grazia dell'artefice.
ritrattodeldiavolo_01_barrili_f000123|--Per caso,--gli disse mastro Jacopo a un tratto; --anche tu saresti pittore. --Mainò, messere;|--Per caso,--gli disse mastro Jacopo a un tratto; --anche tu saresti pittore. --Mainò, messere;
ritrattodeldiavolo_01_barrili_f000124|--rispose Spinello, chinando umilmente la fronte;|--rispose Spinello, chinando umilmente la fronte;
ritrattodeldiavolo_01_barrili_f000125|--ma sarei felice di diventarlo, sotto la vostra disciplina. --Perchè no?|--ma sarei felice di diventarlo, sotto la vostra disciplina. --Perchè no?
ritrattodeldiavolo_01_barrili_f000126|Vediamo anzi tutto che cosa sai fare. Un O, come Giotto? Una linea come Apelle? --Ohimè, maestro, assai meno.|Vediamo anzi tutto che cosa sai fare. Un O, come Giotto? Una linea come Apelle? --Ohimè, maestro, assai meno.
ritrattodeldiavolo_01_barrili_f000127|Disegno alla meglio, o alla peggio, come vi parrà meglio, senza ombra di studio. --Bene! To' i pennelli e la sinopia; --gli disse mastro Jacopo.|Disegno alla meglio, o alla peggio, come vi parrà meglio, senza ombra di studio. --Bene! To' i pennelli e la sinopia; --gli disse mastro Jacopo.
ritrattodeldiavolo_01_barrili_f000128|--Vai là, al muro, dove non è ancora stata messa la calce fresca, e segna un contorno. Spinello non domandava altro.|--Vai là, al muro, dove non è ancora stata messa la calce fresca, e segna un contorno. Spinello non domandava altro.
ritrattodeldiavolo_01_barrili_f000129|Ma, per sicuro che fosse di non far troppo male, non poteva difendersi da un certo rimescolamento|Ma, per sicuro che fosse di non far troppo male, non poteva difendersi da un certo rimescolamento
ritrattodeldiavolo_01_barrili_f000130|dovendo operare così sotto gli occhi del maestro.|dovendo operare così sotto gli occhi del maestro.
ritrattodeldiavolo_01_barrili_f000131|Se gli fosse riuscito di far bene alla prima, che fortuna! Basta, il giovinotto pensò a madonna Fiordalisa|Se gli fosse riuscito di far bene alla prima, che fortuna! Basta, il giovinotto pensò a madonna Fiordalisa
ritrattodeldiavolo_01_barrili_f000132|afferrò il pennello, lo intinse nel vaso e si mise all'opera, tratteggiando sulla parete una mezza figura di San Giovanni.|afferrò il pennello, lo intinse nel vaso e si mise all'opera, tratteggiando sulla parete una mezza figura di San Giovanni.
ritrattodeldiavolo_01_barrili_f000133|L'aveva attaccata alla brava e la tirò via alla lesta, per non aversi a pentire, e perchè il pennello non avesse a tremargli fra le dita.|L'aveva attaccata alla brava e la tirò via alla lesta, per non aversi a pentire, e perchè il pennello non avesse a tremargli fra le dita.
