novelle11_01_pirandello_f000001|Novelle per un anno di Luigi Pirandello|Novelle per un anno di Luigi Pirandello
novelle11_01_pirandello_f000027|E bestemmiava come un turco e minacciava di fulminare questi e quelli, se un’oliva|E bestemmiava come un turco e minacciava di fulminare questi e quelli, se unoliva
novelle11_01_pirandello_f000028|che fosse un’oliva, gli fosse mancata, quasi le avesse prima contate tutte a una a una sugli alberi;|che fosse unoliva, gli fosse mancata, quasi le avesse prima contate tutte a una a una sugli alberi;
novelle11_01_pirandello_f000029|o se non fosse ogni mucchio di concime della stessa misura degli altri.|o se non fosse ogni mucchio di concime della stessa misura degli altri.
novelle11_01_pirandello_f000030|Col cappellaccio bianco, in maniche di camicia, spettorato, affocato in volto e tutto sgocciolante di sudore, correva di qua e di là|Col cappellaccio bianco, in maniche di camicia, spettorato, affocato in volto e tutto sgocciolante di sudore, correva di qua e di là
novelle11_01_pirandello_f000031|girando gli occhi lupigni e stropicciandosi con rabbia le guance rase|girando gli occhi lupigni e stropicciandosi con rabbia le guance rase
novelle11_01_pirandello_f000032|su cui la barba prepotente rispuntava quasi sotto la raschiatura del rasojo.|su cui la barba prepotente rispuntava quasi sotto la raschiatura del rasojo.
novelle11_01_pirandello_f000033|Ora, alla fine della terza giornata, tre dei contadini che avevano abbacchiato|Ora, alla fine della terza giornata, tre dei contadini che avevano abbacchiato
novelle11_01_pirandello_f000034|entrando nel palmento per deporvi le scale e le canne, restarono alla vista della bella giara nuova|entrando nel palmento per deporvi le scale e le canne, restarono alla vista della bella giara nuova
novelle11_01_pirandello_f000035|spaccata in due, come se qualcuno, con un taglio netto, prendendo tutta l’ampiezza della pancia, ne avesse staccato tutto il lembo davanti.|spaccata in due, come se qualcuno, con un taglio netto, prendendo tutta lampiezza della pancia, ne avesse staccato tutto il lembo davanti.
novelle11_01_pirandello_f000036|— Guardate! guardate! — Chi sarà stato?|- Guardate! guardate! - Chi sarà stato?
novelle11_01_pirandello_f000037|— Oh, mamma mia! E chi lo sente ora Don Lollò?|- Oh, mamma mia! E chi lo sente ora Don Lollò?
novelle11_01_pirandello_f000038|La giara nuova, peccato! Il primo, più spaurito di tutti, propose di raccostar subito la porta e andare via zitti zitti|La giara nuova, peccato! Il primo, più spaurito di tutti, propose di raccostar subito la porta e andare via zitti zitti
novelle11_01_pirandello_f000039|lasciando fuori, appoggiate al muro, le scale e le canne. Ma il secondo: — Siete pazzi? Con don Lollò?|lasciando fuori, appoggiate al muro, le scale e le canne. Ma il secondo: - Siete pazzi? Con don Lollò?
novelle11_01_pirandello_f000040|Sarebbe capace di credere che gliel’abbiamo rotta noi.|Sarebbe capace di credere che glielabbiamo rotta noi.
novelle11_01_pirandello_f000041|Fermi qua tutti! Uscí davanti al palmento e, facendosi portavoce delle mani, chiamò: — Don Lollò! Ah|Fermi qua tutti! Uscí davanti al palmento e, facendosi portavoce delle mani, chiamò: - Don Lollò! Ah
novelle11_01_pirandello_f000042|Don Lollòoo! Eccolo là sotto la costa con gli scaricatori del concime: gesticolava al solito furiosamente|Don Lollòoo! Eccolo là sotto la costa con gli scaricatori del concime: gesticolava al solito furiosamente
novelle11_01_pirandello_f000043|dandosi di tratto in tratto con ambo le mani una rincalcata al cappellaccio bianco.|dandosi di tratto in tratto con ambo le mani una rincalcata al cappellaccio bianco.
novelle11_01_pirandello_f000044|Arrivava talvolta, a forza di quelle rincalcate, a non poterselo più strappare dalla nuca e dalla fronte.|Arrivava talvolta, a forza di quelle rincalcate, a non poterselo più strappare dalla nuca e dalla fronte.
novelle11_01_pirandello_f000045|Già nel cielo si spegnevano gli ultimi fuochi del crepuscolo|Già nel cielo si spegnevano gli ultimi fuochi del crepuscolo
novelle11_01_pirandello_f000046|e tra la pace che scendeva su la campagna con le ombre della sera e la dolce frescura, avventavano i gesti di quell’uomo sempre infuriato.|e tra la pace che scendeva su la campagna con le ombre della sera e la dolce frescura, avventavano i gesti di quelluomo sempre infuriato.
novelle11_01_pirandello_f000047|— Don Lollò! Ah, Don Lollòoo! Quando venne su e vide lo scempio, parve volesse impazzire.|- Don Lollò! Ah, Don Lollòoo! Quando venne su e vide lo scempio, parve volesse impazzire.
novelle11_01_pirandello_f000048|Si scagliò prima contro quei tre;|Si scagliò prima contro quei tre;
novelle11_01_pirandello_f000049|ne afferrò uno per la gola e lo impiccò al muro gridando:|ne afferrò uno per la gola e lo impiccò al muro gridando:
novelle11_01_pirandello_f000050|— Sangue della Madonna, me la pagherete! Afferrato a sua volta dagli altri due|- Sangue della Madonna, me la pagherete! Afferrato a sua volta dagli altri due
novelle11_01_pirandello_f000051|stravolti nelle facce terrigne e bestiali, rivolse contro se stesso la rabbia furibonda, sbatacchiò a terra il cappellaccio|stravolti nelle facce terrigne e bestiali, rivolse contro se stesso la rabbia furibonda, sbatacchiò a terra il cappellaccio
novelle11_01_pirandello_f000052|si percosse le guance, pestando i piedi e sbraitando a modo di quelli che piangono un parente morto:|si percosse le guance, pestando i piedi e sbraitando a modo di quelli che piangono un parente morto:
novelle11_01_pirandello_f000053|— La giara nuova! Quattr’onze di giara! Non incignata ancora! Voleva sapere chi gliel’avesse rotta! Possibile che si fosse rotta da sé?|- La giara nuova! Quattronze di giara! Non incignata ancora! Voleva sapere chi glielavesse rotta! Possibile che si fosse rotta da sé?
novelle11_01_pirandello_f000054|Qualcuno per forza doveva averla rotta, per infamità o per invidia! Ma quando? Ma come?|Qualcuno per forza doveva averla rotta, per infamità o per invidia! Ma quando? Ma come?
novelle11_01_pirandello_f000055|Non gli si vedeva segno di violenza! Che fosse arrivata rotta dalla fabbrica?|Non gli si vedeva segno di violenza! Che fosse arrivata rotta dalla fabbrica?
novelle11_01_pirandello_f000056|Ma che! Sonava come una campana! Appena i contadini videro che la prima furia gli era caduta, cominciarono ad esortarlo a calmarsi.|Ma che! Sonava come una campana! Appena i contadini videro che la prima furia gli era caduta, cominciarono ad esortarlo a calmarsi.
novelle11_01_pirandello_f000057|La giara si poteva sanare. Non era poi rotta malamente. Un pezzo solo.|La giara si poteva sanare. Non era poi rotta malamente. Un pezzo solo.
novelle11_01_pirandello_f000058|Un bravo conciabrocche l’avrebbe rimessa su, nuova.|Un bravo conciabrocche lavrebbe rimessa su, nuova.
novelle11_01_pirandello_f000059|C’era giusto Zi’ Dima Licasi, che aveva scoperto un mastice miracoloso|Cera giusto Zi Dima Licasi, che aveva scoperto un mastice miracoloso
novelle11_01_pirandello_f000060|di cui serbava gelosamente il segreto: un mastice, che neanche il martello ci poteva, quando aveva fatto presa.|di cui serbava gelosamente il segreto: un mastice, che neanche il martello ci poteva, quando aveva fatto presa.
novelle11_01_pirandello_f000061|Ecco, se don Lollò voleva, domani, alla punta dell’alba|Ecco, se don Lollò voleva, domani, alla punta dellalba
novelle11_01_pirandello_f000062|Zi’ Dima Licasi sarebbe venuto lí e, in quattro e quattr’otto, la giara, meglio di prima.|Zi Dima Licasi sarebbe venuto lí e, in quattro e quattrotto, la giara, meglio di prima.
novelle11_01_pirandello_f000063|Don Lollò diceva di no, a quelle esortazioni: ch’era tutto inutile; che non c’era più rimedio;|Don Lollò diceva di no, a quelle esortazioni: chera tutto inutile; che non cera più rimedio;
novelle11_01_pirandello_f000064|ma alla fine si lasciò persuadere, e il giorno appresso, all’alba, puntuale|ma alla fine si lasciò persuadere, e il giorno appresso, allalba, puntuale
novelle11_01_pirandello_f000065|si presentò a Primosole Zi’ Dima Licasi con la cesta degli attrezzi dietro le spalle.|si presentò a Primosole Zi Dima Licasi con la cesta degli attrezzi dietro le spalle.
novelle11_01_pirandello_f000066|Era un vecchio sbilenco, dalle giunture storpie e nodose, come un ceppo antico di olivo saraceno.|Era un vecchio sbilenco, dalle giunture storpie e nodose, come un ceppo antico di olivo saraceno.
novelle11_01_pirandello_f000067|Per cavargli una parola di bocca ci voleva l’uncino.|Per cavargli una parola di bocca ci voleva luncino.
novelle11_01_pirandello_f000068|Mutria o tristezza radicate in quel suo corpo deforme;|Mutria o tristezza radicate in quel suo corpo deforme;
novelle11_01_pirandello_f000069|o anche sconfidenza che nessuno potesse capire e apprezzare giustamente il suo merito d’inventore non ancora patentato.|o anche sconfidenza che nessuno potesse capire e apprezzare giustamente il suo merito dinventore non ancora patentato.
novelle11_01_pirandello_f000070|Voleva che parlassero i fatti, Zi’ Dima Licasi.|Voleva che parlassero i fatti, Zi Dima Licasi.
novelle11_01_pirandello_f000071|Doveva poi guardarsi davanti e dietro, perché non gli rubassero il segreto.|Doveva poi guardarsi davanti e dietro, perché non gli rubassero il segreto.
novelle11_01_pirandello_f000072|— Fatemi vedere codesto mastice — gli disse per prima cosa Don Lollò, dopo averlo squadrato a lungo con diffidenza.|- Fatemi vedere codesto mastice - gli disse per prima cosa Don Lollò, dopo averlo squadrato a lungo con diffidenza.
novelle11_01_pirandello_f000073|Zi’ Dima negò col capo, pieno di dignità. — All’opera si vede. — Ma verrà bene?|Zi Dima negò col capo, pieno di dignità. - Allopera si vede. - Ma verrà bene?
novelle11_01_pirandello_f000074|Zi’ Dima posò a terra la cesta;|Zi Dima posò a terra la cesta;
novelle11_01_pirandello_f000075|ne cavò un grosso fazzoletto di cotone rosso, logoro e tutto avvoltolato;|ne cavò un grosso fazzoletto di cotone rosso, logoro e tutto avvoltolato;
novelle11_01_pirandello_f000076|prese a svolgerlo pian piano, tra l’attenzione e la curiosità di tutti|prese a svolgerlo pian piano, tra lattenzione e la curiosità di tutti
novelle11_01_pirandello_f000077|e quando alla fine venne fuori un pajo d’occhiali col sellino e le stanghette rotte e legate con lo spago, lui sospirò e gli altri risero.|e quando alla fine venne fuori un pajo docchiali col sellino e le stanghette rotte e legate con lo spago, lui sospirò e gli altri risero.
novelle11_01_pirandello_f000078|Zi’ Dima non se ne curò; si pulí le dita prima di pigliare gli occhiali; se li inforcò;|Zi Dima non se ne curò; si pulí le dita prima di pigliare gli occhiali; se li inforcò;
novelle11_01_pirandello_f000079|poi si mise a esaminare con molta gravità la giara tratta sull’aja. Disse: — Verrà bene.|poi si mise a esaminare con molta gravità la giara tratta sullaja. Disse: - Verrà bene.
novelle11_01_pirandello_f000080|— Col mastice solo però — mise per patto lo Zirafa — non mi fido. Ci voglio anche i punti.|- Col mastice solo però - mise per patto lo Zirafa - non mi fido. Ci voglio anche i punti.
novelle11_01_pirandello_f000081|— Me ne vado — rispose senz’altro Zi’ Dima, rizzandosi e rimettendosi la cesta dietro le spalle.|- Me ne vado - rispose senzaltro Zi Dima, rizzandosi e rimettendosi la cesta dietro le spalle.
novelle11_01_pirandello_f000082|Don Lollò lo acchiappò per un braccio. — Dove?|Don Lollò lo acchiappò per un braccio. - Dove?
novelle11_01_pirandello_f000083|Messere e porco, cosí trattate?|Messere e porco, cosí trattate?
novelle11_01_pirandello_f000084|Ma guarda un po’ che arie da Carlomagno! Scannato miserabile e pezzo d’asino, ci devo metter olio|Ma guarda un po che arie da Carlomagno! Scannato miserabile e pezzo dasino, ci devo metter olio
novelle11_01_pirandello_f000085|io, là dentro, e l’olio trasuda! Un miglio di spaccatura, col mastice solo? Ci voglio i punti. Mastice e punti. Comando io.|io, là dentro, e lolio trasuda! Un miglio di spaccatura, col mastice solo? Ci voglio i punti. Mastice e punti. Comando io.
novelle11_01_pirandello_f000086|Zi’ Dima chiuse gli occhi, strinse le labbra e scosse il capo.|Zi Dima chiuse gli occhi, strinse le labbra e scosse il capo.
novelle11_01_pirandello_f000087|Tutti cosí! Gli era negato il piacere di fare un lavoro pulito|Tutti cosí! Gli era negato il piacere di fare un lavoro pulito
novelle11_01_pirandello_f000088|filato coscienziosamente a regola d’arte, e di dare una prova della virtú del suo mastice.|filato coscienziosamente a regola darte, e di dare una prova della virtú del suo mastice.
novelle11_01_pirandello_f000089|— Se la giara — disse — non suona di nuovo come una campana… — Non sento niente, — lo interruppe Don Lollò.|- Se la giara - disse - non suona di nuovo come una campana - Non sento niente, - lo interruppe Don Lollò.
novelle11_01_pirandello_f000090|— I punti! Pago mastice e punti. Quanto vi debbo dare?|- I punti! Pago mastice e punti. Quanto vi debbo dare?
novelle11_01_pirandello_f000091|— Se col mastice solo… — Càzzica che testa! — esclamò lo Zirafa. — Come parlo?|- Se col mastice solo - Càzzica che testa! - esclamò lo Zirafa. - Come parlo?
novelle11_01_pirandello_f000092|V’ho detto che ci voglio i punti.|Vho detto che ci voglio i punti.
novelle11_01_pirandello_f000093|C’intenderemo a lavoro finito: non ho tempo da perdere con voi.|Cintenderemo a lavoro finito: non ho tempo da perdere con voi.
novelle11_01_pirandello_f000094|E se ne andò a badare ai suoi uomini.|E se ne andò a badare ai suoi uomini.
novelle11_01_pirandello_f000095|Zi’ Dima si mise all’opera gonfio d’ira e di dispetto.|Zi Dima si mise allopera gonfio dira e di dispetto.
novelle11_01_pirandello_f000096|E l’ira e il dispetto gli crebbero ad ogni foro che praticava col trapano nella giara|E lira e il dispetto gli crebbero ad ogni foro che praticava col trapano nella giara
novelle11_01_pirandello_f000097|e nel lembo spaccato per farvi passare il fil di ferro della cucitura.|e nel lembo spaccato per farvi passare il fil di ferro della cucitura.
novelle11_01_pirandello_f000098|Accompagnava il frullo della saettella con grugniti a mano a mano più frequenti e più forti;|Accompagnava il frullo della saettella con grugniti a mano a mano più frequenti e più forti;
novelle11_01_pirandello_f000099|e il viso gli diventava più verde dalla bile e gli occhi più aguzzi e accesi di stizza.|e il viso gli diventava più verde dalla bile e gli occhi più aguzzi e accesi di stizza.
novelle11_01_pirandello_f000100|Finita quella prima operazione, scagliò con rabbia il trapano nella cesta;|Finita quella prima operazione, scagliò con rabbia il trapano nella cesta;
novelle11_01_pirandello_f000101|applicò il lembo staccato alla giara per provare se i fori erano a egual distanza e in corrispondenza tra loro|applicò il lembo staccato alla giara per provare se i fori erano a egual distanza e in corrispondenza tra loro
novelle11_01_pirandello_f000102|poi con le tenaglie fece del fil di ferro tanti pezzetti quanti erano i punti che doveva dare|poi con le tenaglie fece del fil di ferro tanti pezzetti quanti erano i punti che doveva dare
novelle11_01_pirandello_f000103|e chiamò per ajuto uno dei contadini che abbacchiavano.|e chiamò per ajuto uno dei contadini che abbacchiavano.
novelle11_01_pirandello_f000104|— Coraggio, Zi’ Dima! — gli disse quello, vedendogli la faccia alterata.|- Coraggio, Zi Dima! - gli disse quello, vedendogli la faccia alterata.
novelle11_01_pirandello_f000105|Zi’ Dima alzò la mano a un gesto rabbioso.|Zi Dima alzò la mano a un gesto rabbioso.
novelle11_01_pirandello_f000106|Aprí la scatola di latta che conteneva il mastice, e lo levò al cielo, scotendolo, come per offrirlo a Dio|Aprí la scatola di latta che conteneva il mastice, e lo levò al cielo, scotendolo, come per offrirlo a Dio
novelle11_01_pirandello_f000107|visto che gli uomini non volevano riconoscerne le virtú: poi col dito cominciò a spalmarlo tutt’in giro al lembo staccato e lungo la spaccatura;|visto che gli uomini non volevano riconoscerne le virtú: poi col dito cominciò a spalmarlo tuttin giro al lembo staccato e lungo la spaccatura;
novelle11_01_pirandello_f000108|prese le tenaglie e i pezzetti di fil di ferro preparati avanti, e si cacciò dentro la pancia aperta della giara|prese le tenaglie e i pezzetti di fil di ferro preparati avanti, e si cacciò dentro la pancia aperta della giara
novelle11_01_pirandello_f000109|ordinando al contadino di applicare il lembo alla giara, cosí come aveva fatto lui poc’anzi.|ordinando al contadino di applicare il lembo alla giara, cosí come aveva fatto lui pocanzi.
novelle11_01_pirandello_f000110|Prima di cominciare a dare i punti: — Tira! — disse dall’interno della giara al contadino.|Prima di cominciare a dare i punti: - Tira! - disse dallinterno della giara al contadino.
novelle11_01_pirandello_f000111|— Tira con tutta la tua forza! Vedi se si stacca più?|- Tira con tutta la tua forza! Vedi se si stacca più?
novelle11_01_pirandello_f000112|Malanno a chi non ci crede! Picchia, picchia! Suona, sí o no, come una campana anche con me qua dentro?|Malanno a chi non ci crede! Picchia, picchia! Suona, sí o no, come una campana anche con me qua dentro?
novelle11_01_pirandello_f000113|Va’, va’ a dirlo al tuo padrone! — Chi è sopra comanda, Zi’ Dima|Va, va a dirlo al tuo padrone! - Chi è sopra comanda, Zi Dima
novelle11_01_pirandello_f000114|— sospirò il contadino — e chi è sotto si danna! Date i punti, date i punti.|- sospirò il contadino - e chi è sotto si danna! Date i punti, date i punti.
novelle11_01_pirandello_f000115|E Zi’ Dima si mise a far passare ogni pezzetto di fil di ferro attraverso i due fori accanto,|E Zi Dima si mise a far passare ogni pezzetto di fil di ferro attraverso i due fori accanto,
novelle11_01_pirandello_f000116|l’uno di qua e l’altro di là della saldatura;|luno di qua e laltro di là della saldatura;
novelle11_01_pirandello_f000117|e con le tanaglie ne attorceva i due capi.|e con le tanaglie ne attorceva i due capi.
novelle11_01_pirandello_f000118|Ci volle un’ora a passarli tutti.|Ci volle unora a passarli tutti.
novelle11_01_pirandello_f000119|I sudori, giú a fontana, dentro la giara.|I sudori, giú a fontana, dentro la giara.
novelle11_01_pirandello_f000120|Lavorando, si lagnava della sua mala sorte.|Lavorando, si lagnava della sua mala sorte.
novelle11_01_pirandello_f000121|E il contadino, di fuori, a confortarlo.|E il contadino, di fuori, a confortarlo.
novelle11_01_pirandello_f000122|— Ora ajutami a uscirne, — disse alla fine Zi’ Dima.|- Ora ajutami a uscirne, - disse alla fine Zi Dima.
novelle11_01_pirandello_f000123|Ma quanto larga di pancia, tanto quella giara era stretta di collo.|Ma quanto larga di pancia, tanto quella giara era stretta di collo.
novelle11_01_pirandello_f000124|Zi’ Dima, nella rabbia, non ci aveva fatto caso.|Zi Dima, nella rabbia, non ci aveva fatto caso.
novelle11_01_pirandello_f000125|Ora, prova e riprova, non trovava più il modo di uscirne.|Ora, prova e riprova, non trovava più il modo di uscirne.
novelle11_01_pirandello_f000126|E il contadino invece di dargli ajuto, eccolo là, si torceva dalle risa.|E il contadino invece di dargli ajuto, eccolo là, si torceva dalle risa.
novelle11_01_pirandello_f000127|Imprigionato, imprigionato lí, nella giara da lui stesso sanata e che ora – non c’era via di mezzo – per farlo uscire|Imprigionato, imprigionato lí, nella giara da lui stesso sanata e che ora - non cera via di mezzo - per farlo uscire
novelle11_01_pirandello_f000128|doveva essere rotta daccapo e per sempre.|doveva essere rotta daccapo e per sempre.
novelle11_01_pirandello_f000129|Alle risa, alle grida, sopravvenne Don Lollò.|Alle risa, alle grida, sopravvenne Don Lollò.
novelle11_01_pirandello_f000130|Zi’ Dima, dento la giara, era come un gatto inferocito. Fatemi uscire! — urlava.|Zi Dima, dento la giara, era come un gatto inferocito. Fatemi uscire! - urlava.
novelle11_01_pirandello_f000131|— Corpo di Dio, voglio uscire! Subito! Datemi ajuto! Don Lollò rimase dapprima come stordito.|- Corpo di Dio, voglio uscire! Subito! Datemi ajuto! Don Lollò rimase dapprima come stordito.
novelle11_01_pirandello_f000132|Non sapeva crederci.|Non sapeva crederci.
novelle11_01_pirandello_f000133|— Ma come? là dentro? s’è cucito là dentro?|- Ma come? là dentro? sè cucito là dentro?
novelle11_01_pirandello_f000134|S’accostò alla giara e gridò al vecchio: — Ajuto? E che ajuto posso darvi io? Vecchiaccio stolido, ma come?|Saccostò alla giara e gridò al vecchio: - Ajuto? E che ajuto posso darvi io? Vecchiaccio stolido, ma come?
novelle11_01_pirandello_f000135|non dovevate prender prima le misure?|non dovevate prender prima le misure?
novelle11_01_pirandello_f000136|Su, provate: fuori un braccio… cosí! e la testa… su… no, piano! Che! giú… aspettate! cosí no! giú, giú…|Su, provate: fuori un braccio cosí! e la testa su no, piano! Che! giú aspettate! cosí no! giú, giú
novelle11_01_pirandello_f000137|Ma come avete fatto? E la giara, adesso?|Ma come avete fatto? E la giara, adesso?
novelle11_01_pirandello_f000138|Calma! Calma! Calma! — si mise a raccomandare tutt’intorno, come se la calma stessero per perderla gli altri e non lui.|Calma! Calma! Calma! - si mise a raccomandare tuttintorno, come se la calma stessero per perderla gli altri e non lui.
novelle11_01_pirandello_f000139|— Mi fuma la testa! Calma! Questo è caso nuovo… La mula! Picchiò con le nocche delle dita su la giara.|- Mi fuma la testa! Calma! Questo è caso nuovo La mula! Picchiò con le nocche delle dita su la giara.
novelle11_01_pirandello_f000140|Sonava davvero come una campana.|Sonava davvero come una campana.
novelle11_01_pirandello_f000141|— Bella! Rimessa a nuovo… Aspettate! — disse al prigioniero.|- Bella! Rimessa a nuovo Aspettate! - disse al prigioniero.
novelle11_01_pirandello_f000142|— Va’ a sellarmi la mula! — ordinò al contadino;|- Va a sellarmi la mula! - ordinò al contadino;
novelle11_01_pirandello_f000143|e, grattandosi con tutte le dita la fronte|e, grattandosi con tutte le dita la fronte
novelle11_01_pirandello_f000144|seguitò a dire tra sé: «Ma vedete un po’ che mi capita! Questa non è giara! quest’è ordigno del diavolo!|seguitò a dire tra sé: Ma vedete un po che mi capita! Questa non è giara! questè ordigno del diavolo!
novelle11_01_pirandello_f000145|Fermo! Fermo lí!» E accorse a regger la giara|Fermo! Fermo lí! E accorse a regger la giara
novelle11_01_pirandello_f000146|in cui Zi’ Dima, furibondo, si dibatteva come una bestia in trappola.|in cui Zi Dima, furibondo, si dibatteva come una bestia in trappola.
novelle11_01_pirandello_f000147|— Caso nuovo, caro mio, che deve risolvere l’avvocato! Io non mi fido.|- Caso nuovo, caro mio, che deve risolvere lavvocato! Io non mi fido.
novelle11_01_pirandello_f000148|La mula! La mula! Vado e torno, abbiate pazienza! Nell’interesse vostro… Intanto, piano! calma! Io mi guardo i miei.|La mula! La mula! Vado e torno, abbiate pazienza! Nellinteresse vostro Intanto, piano! calma! Io mi guardo i miei.
novelle11_01_pirandello_f000149|E prima di tutto, per salvare il mio diritto, faccio il mio dovere.|E prima di tutto, per salvare il mio diritto, faccio il mio dovere.
novelle11_01_pirandello_f000150|Ecco: vi pago il lavoro, vi pago la giornata. Cinque lire. Vi bastano?|Ecco: vi pago il lavoro, vi pago la giornata. Cinque lire. Vi bastano?
novelle11_01_pirandello_f000151|— Non voglio nulla! — gridò Zi’ Dima. — Voglio uscire. — Uscirete. Ma io, intanto, vi pago. Qua, cinque lire.|- Non voglio nulla! - gridò Zi Dima. - Voglio uscire. - Uscirete. Ma io, intanto, vi pago. Qua, cinque lire.
novelle11_01_pirandello_f000152|Le cavò dal taschino del panciotto e le buttò nella giara.|Le cavò dal taschino del panciotto e le buttò nella giara.
novelle11_01_pirandello_f000153|Poi domandò, premuroso: — Avete fatto colazione?|Poi domandò, premuroso: - Avete fatto colazione?
novelle11_01_pirandello_f000154|Pane e companatico, subito! Non ne volete?|Pane e companatico, subito! Non ne volete?
novelle11_01_pirandello_f000155|Buttatelo ai cani! A me basta che ve l’abbia dato. Ordinò che gli si désse;|Buttatelo ai cani! A me basta che ve labbia dato. Ordinò che gli si désse;
novelle11_01_pirandello_f000156|montò in sella, e via di galoppo per la città.|montò in sella, e via di galoppo per la città.
novelle11_01_pirandello_f000157|Chi lo vide, credette che andasse a chiudersi da sé in manicomio, tanto e in cosí strano modo gesticolava.|Chi lo vide, credette che andasse a chiudersi da sé in manicomio, tanto e in cosí strano modo gesticolava.
novelle11_01_pirandello_f000158|Per fortuna, non gli toccò di fare anticamera nello studio dell’avvocato;|Per fortuna, non gli toccò di fare anticamera nello studio dellavvocato;
