kleine_lord_01_f000001|Erstes Kapitel|Erstes Kapitel
kleine_lord_01_f000026|bis er älter wurde und man ihm dann sagte, weshalb sie keine Besuche erhielten.|bis er älter wurde und man ihm dann sagte, weshalb sie keine Besuche erhielten.
kleine_lord_01_f000027|Er erfuhr dann, daß seine Mama eine Waise war und ganz allein in der Welt gestanden hatte, ehe sie Papas Frau geworden.|Er erfuhr dann, daß seine Mama eine Waise war und ganz allein in der Welt gestanden hatte, ehe sie Papas Frau geworden.
kleine_lord_01_f000028|Sie war sehr hübsch und hatte als Gesellschafterin bei einer reichen alten Frau gelebt, die nicht gütig gegen sie gewesen war.|Sie war sehr hübsch und hatte als Gesellschafterin bei einer reichen alten Frau gelebt, die nicht gütig gegen sie gewesen war.
kleine_lord_01_f000029|Eines Tages hatte Kapitän Cedrik Errol, der Besuch bei der Dame machte, sie die Treppe hinaufeilen sehen mit schweren dicken Thränentropfen an den langen Wimpern,|Eines Tages hatte Kapitän Cedrik Errol, der Besuch bei der Dame machte, sie die Treppe hinaufeilen sehen mit schweren dicken Thränentropfen an den langen Wimpern,
kleine_lord_01_f000030|und dabei hatte sie so unschuldig und traurig und wunderlieblich ausgesehen, daß der Kapitän es nicht mehr hatte vergessen können.|und dabei hatte sie so unschuldig und traurig und wunderlieblich ausgesehen, daß der Kapitän es nicht mehr hatte vergessen können.
kleine_lord_01_f000031|Dann waren mancherlei merkwürdige Dinge geschehen, sie hatten einander kennen gelernt und hatten sich sehr lieb und wurden schließlich Mann und Frau,|Dann waren mancherlei merkwürdige Dinge geschehen, sie hatten einander kennen gelernt und hatten sich sehr lieb und wurden schließlich Mann und Frau,
kleine_lord_01_f000032|obwohl diese Heirat ihnen die Mißbilligung verschiedener Personen zuzog.|obwohl diese Heirat ihnen die Mißbilligung verschiedener Personen zuzog.
kleine_lord_01_f000033|Am meisten erzürnt darüber war der Vater des Kapitäns, der in England lebte und ein sehr reicher und vornehmer Herr von leidenschaftlicher Gemütsart und einer heftigen Voreingenommenheit gegen Amerika und die Amerikaner war.|Am meisten erzürnt darüber war der Vater des Kapitäns, der in England lebte und ein sehr reicher und vornehmer Herr von leidenschaftlicher Gemütsart und einer heftigen Voreingenommenheit gegen Amerika und die Amerikaner war.
kleine_lord_01_f000034|Kapitän Cedrik war der dritte Sohn und hatte also für sein Teil wenig Aussichten auf die äußerst bedeutenden Güter und Titel seines Hauses.|Kapitän Cedrik war der dritte Sohn und hatte also für sein Teil wenig Aussichten auf die äußerst bedeutenden Güter und Titel seines Hauses.
kleine_lord_01_f000035|Die Natur verteilt ihre Güter jedoch nicht nach dem Erstgeburtsrecht, und es kommt vor, daß dritte Söhne Dinge besitzen, die den beiden älteren versagt sind.|Die Natur verteilt ihre Güter jedoch nicht nach dem Erstgeburtsrecht, und es kommt vor, daß dritte Söhne Dinge besitzen, die den beiden älteren versagt sind.
kleine_lord_01_f000036|Cedrik Errol hatte ein hübsches Gesicht, eine kräftige, schlanke, elastische Gestalt, ein helles Lachen und eine weiche, fröhliche Stimme;|Cedrik Errol hatte ein hübsches Gesicht, eine kräftige, schlanke, elastische Gestalt, ein helles Lachen und eine weiche, fröhliche Stimme;
kleine_lord_01_f000037|er war tapfer, freimütig und hatte das beste Herz von der Welt, und es war, als ob ihm ein Zauber verliehen sei, der alle Menschen zu ihm zog und an ihn fesselte.|er war tapfer, freimütig und hatte das beste Herz von der Welt, und es war, als ob ihm ein Zauber verliehen sei, der alle Menschen zu ihm zog und an ihn fesselte.
kleine_lord_01_f000038|Bei seinen älteren Brüdern war dem nicht so; der eine wie der andre war weder hübsch noch begabt, noch gutherzig.|Bei seinen älteren Brüdern war dem nicht so; der eine wie der andre war weder hübsch noch begabt, noch gutherzig.
kleine_lord_01_f000039|Als Knaben in der Schule zu Eton machten sie sich sehr unbeliebt; auf der Universität betrieben sie keinerlei Studien, vergeudeten Zeit und Geld und gewannen wenig Freunde.|Als Knaben in der Schule zu Eton machten sie sich sehr unbeliebt; auf der Universität betrieben sie keinerlei Studien, vergeudeten Zeit und Geld und gewannen wenig Freunde.
kleine_lord_01_f000040|Was der Vater an ihnen erlebte, waren Enttäuschungen und Demütigungen;|Was der Vater an ihnen erlebte, waren Enttäuschungen und Demütigungen;
kleine_lord_01_f000041|der Erbe seines edlen Namens machte demselben keine Ehre und versprach, nichts zu werden, als ein selbstischer,|der Erbe seines edlen Namens machte demselben keine Ehre und versprach, nichts zu werden, als ein selbstischer,
kleine_lord_01_f000042|verschwenderischer unbedeutender Mensch ohne jegliche ritterliche Tugend.|verschwenderischer unbedeutender Mensch ohne jegliche ritterliche Tugend.
kleine_lord_01_f000043|Es war sehr bitter für den alten Herrn, daß der Sohn, welcher die unbedeutende Stellung des Jüngsten einnahm und nur ein sehr mäßiges Vermögen erhalten konnte,|Es war sehr bitter für den alten Herrn, daß der Sohn, welcher die unbedeutende Stellung des Jüngsten einnahm und nur ein sehr mäßiges Vermögen erhalten konnte,
kleine_lord_01_f000044|alles besaß, was an Talent, Liebenswürdigkeit, Kraft und äußerer Erscheinung in seiner Familie zu entdecken war.|alles besaß, was an Talent, Liebenswürdigkeit, Kraft und äußerer Erscheinung in seiner Familie zu entdecken war.
kleine_lord_01_f000045|Zuweilen haßte er den frischen jungen Gesellen beinahe, der sich unterfing, alle die guten Dinge zu besitzen,|Zuweilen haßte er den frischen jungen Gesellen beinahe, der sich unterfing, alle die guten Dinge zu besitzen,
kleine_lord_01_f000046|die doch mit Fug und Recht zu dem großen Titel und dem herrlichen Besitztum gehört hätten, und doch hing sein stolzes,|die doch mit Fug und Recht zu dem großen Titel und dem herrlichen Besitztum gehört hätten, und doch hing sein stolzes,
kleine_lord_01_f000047|eigenwilliges altes Herz insgeheim unendlich an seinem Jüngsten.|eigenwilliges altes Herz insgeheim unendlich an seinem Jüngsten.
kleine_lord_01_f000048|In einem derartigen Anfall von Gereiztheit war's, daß er ihn auf eine Reise nach Amerika geschickt hatte;|In einem derartigen Anfall von Gereiztheit war's, daß er ihn auf eine Reise nach Amerika geschickt hatte;
kleine_lord_01_f000049|Cedrik sollte ihm eine Zeitlang aus den Augen kommen, damit er nicht durch den immerwährenden Vergleich sich über das Treiben der beiden Aeltesten,|Cedrik sollte ihm eine Zeitlang aus den Augen kommen, damit er nicht durch den immerwährenden Vergleich sich über das Treiben der beiden Aeltesten,
kleine_lord_01_f000050|die ihm gerade damals wieder viel zu schaffen machten, noch mehr aufzuregen brauchte.|die ihm gerade damals wieder viel zu schaffen machten, noch mehr aufzuregen brauchte.
kleine_lord_01_f000051|Aber kaum war der Sohn ein halbes Jahr fort, als der alte Herr Sehnsucht nach ihm empfand und ihm den Befehl zur Heimkehr sandte.|Aber kaum war der Sohn ein halbes Jahr fort, als der alte Herr Sehnsucht nach ihm empfand und ihm den Befehl zur Heimkehr sandte.
kleine_lord_01_f000052|Dieser Brief kreuzte sich mit einem des jungen Mannes, in dem dieser dem Vater von seiner Liebe zu der hübschen Amerikanerin und seiner Absicht,|Dieser Brief kreuzte sich mit einem des jungen Mannes, in dem dieser dem Vater von seiner Liebe zu der hübschen Amerikanerin und seiner Absicht,
kleine_lord_01_f000053|dieselbe zu heiraten, sprach, was den Grafen in fürchterliche Wut versetzte.|dieselbe zu heiraten, sprach, was den Grafen in fürchterliche Wut versetzte.
kleine_lord_01_f000054|Wie entsetzlich seine Zornesausbrüche auch sein lebenlang, gewesen waren, so schrankenlos hatte er noch nie getobt,|Wie entsetzlich seine Zornesausbrüche auch sein lebenlang, gewesen waren, so schrankenlos hatte er noch nie getobt,
kleine_lord_01_f000055|wie nach dem Empfang von Kapitän Cedriks Brief, und sein Kammerdiener, der eben im Zimmer war, machte sich auf einen Schlaganfall gefaßt.|wie nach dem Empfang von Kapitän Cedriks Brief, und sein Kammerdiener, der eben im Zimmer war, machte sich auf einen Schlaganfall gefaßt.
kleine_lord_01_f000056|Eine Stunde lang raste er wie ein wildes Tier, dann setzte er sich hin und schrieb an seinen Sohn.|Eine Stunde lang raste er wie ein wildes Tier, dann setzte er sich hin und schrieb an seinen Sohn.
kleine_lord_01_f000057|Er verbot ihm, je wieder den Fuß in die Nähe seiner alten Heimat zu setzen oder an Vater und Brüder ein Wort zu schreiben;|Er verbot ihm, je wieder den Fuß in die Nähe seiner alten Heimat zu setzen oder an Vater und Brüder ein Wort zu schreiben;
kleine_lord_01_f000058|er könne leben, wie es ihm behage, und sterben, wo es ihm gefällig sei, von seiner Familie sei er für alle Zeiten geschieden und Hilfe oder Unterstützung habe er von seiten seines Vaters nie und nimmer zu gewärtigen.|er könne leben, wie es ihm behage, und sterben, wo es ihm gefällig sei, von seiner Familie sei er für alle Zeiten geschieden und Hilfe oder Unterstützung habe er von seiten seines Vaters nie und nimmer zu gewärtigen.
kleine_lord_01_f000059|Der Kapitän war tief betrübt über diesen Brief. Er hing an England und er liebte das schöne Heim, in dem er geboren war;|Der Kapitän war tief betrübt über diesen Brief. Er hing an England und er liebte das schöne Heim, in dem er geboren war;
kleine_lord_01_f000060|er hatte sogar den übellaunischen, despotischen Vater lieb und hatte dessen Kümmernisse im stillen immer mitempfunden,|er hatte sogar den übellaunischen, despotischen Vater lieb und hatte dessen Kümmernisse im stillen immer mitempfunden,
kleine_lord_01_f000061|aber er war sich vollkommen klar, daß er von nun an nichts mehr von ihm zu erwarten hatte.|aber er war sich vollkommen klar, daß er von nun an nichts mehr von ihm zu erwarten hatte.
kleine_lord_01_f000062|Erst wußte er kaum, was anfangen, denn er war ja nicht zur Arbeit erzogen und hatte keine Ahnung von Geschäften, dafür aber Mut und Entschlossenheit;|Erst wußte er kaum, was anfangen, denn er war ja nicht zur Arbeit erzogen und hatte keine Ahnung von Geschäften, dafür aber Mut und Entschlossenheit;
kleine_lord_01_f000063|er gab seine Stellung in der englischen Armee auf, fand, nach mancher Mühsal, Beschäftigung in New York und heiratete.|er gab seine Stellung in der englischen Armee auf, fand, nach mancher Mühsal, Beschäftigung in New York und heiratete.
kleine_lord_01_f000064|Der Unterschied zwischen seinem einstigen und jetzigen Leben war groß, allein er war jung und glücklich und hoffte, bei harter Arbeit eine Zukunft zu haben.|Der Unterschied zwischen seinem einstigen und jetzigen Leben war groß, allein er war jung und glücklich und hoffte, bei harter Arbeit eine Zukunft zu haben.
kleine_lord_01_f000065|Er bewohnte ein kleines Häuschen in einer ruhigen abgelegenen Straße, und dort kam sein Junge zur Welt und alles war einfach und bescheiden,|Er bewohnte ein kleines Häuschen in einer ruhigen abgelegenen Straße, und dort kam sein Junge zur Welt und alles war einfach und bescheiden,
kleine_lord_01_f000066|aber fröhlich und freundlich, so daß er es nie einen Moment bereute, die hübsche Gesellschafterin der reichen alten Dame geheiratet zu haben,|aber fröhlich und freundlich, so daß er es nie einen Moment bereute, die hübsche Gesellschafterin der reichen alten Dame geheiratet zu haben,
kleine_lord_01_f000067|einzig, weil sie ein süßes Geschöpf war und ihn lieb hatte und er sie.|einzig, weil sie ein süßes Geschöpf war und ihn lieb hatte und er sie.
kleine_lord_01_f000068|Sie war aber auch wirklich und wahrhaftig ein süßes Geschöpf, und ihr kleiner Junge glich Mutter und Vater,|Sie war aber auch wirklich und wahrhaftig ein süßes Geschöpf, und ihr kleiner Junge glich Mutter und Vater,
kleine_lord_01_f000069|und wenn er auch in einem armseligen, weltentlegenen Häuschen geboren war, schien es doch nie ein glücklicheres Kind auf der Welt gegeben zu haben.|und wenn er auch in einem armseligen, weltentlegenen Häuschen geboren war, schien es doch nie ein glücklicheres Kind auf der Welt gegeben zu haben.
kleine_lord_01_f000070|In erster Linie war er allezeit gesund und munter, machte also keinerlei Sorge und Mühe, dann hatte er so ein liebes,|In erster Linie war er allezeit gesund und munter, machte also keinerlei Sorge und Mühe, dann hatte er so ein liebes,
kleine_lord_01_f000071|reines Gemüt und war so ein herziger kleiner Mensch, daß jedermann Freude an ihm haben mußte, und zu dem allen war er so schön,|reines Gemüt und war so ein herziger kleiner Mensch, daß jedermann Freude an ihm haben mußte, und zu dem allen war er so schön,
kleine_lord_01_f000072|daß man ihn immerfort anstaunen mußte wie ein wunderbares Bild.|daß man ihn immerfort anstaunen mußte wie ein wunderbares Bild.
kleine_lord_01_f000073|Statt als ein kahlköpfiges Baby auf der Bildfläche zu erscheinen, hielt er seinen Einzug als Weltbürger mit einer Fülle weichen,|Statt als ein kahlköpfiges Baby auf der Bildfläche zu erscheinen, hielt er seinen Einzug als Weltbürger mit einer Fülle weichen,
kleine_lord_01_f000074|seidigen, golden schimmernden Haares, das sich nach sechs Monaten in leichten Locken um sein Köpfchen krauste;|seidigen, golden schimmernden Haares, das sich nach sechs Monaten in leichten Locken um sein Köpfchen krauste;
kleine_lord_01_f000075|er hatte große braune Augen, lange Wimpern und ein herziges kleines Gesicht, ferner so kräftige Glieder,|er hatte große braune Augen, lange Wimpern und ein herziges kleines Gesicht, ferner so kräftige Glieder,
kleine_lord_01_f000076|daß er mit neun Monaten plötzlich auf seinen kerzengeraden strammen Beinchen zu wandeln anfing, und dabei war er ein so gesittetes Baby,|daß er mit neun Monaten plötzlich auf seinen kerzengeraden strammen Beinchen zu wandeln anfing, und dabei war er ein so gesittetes Baby,
kleine_lord_01_f000077|daß es eine Lust war, seine Bekanntschaft zu machen.|daß es eine Lust war, seine Bekanntschaft zu machen.
kleine_lord_01_f000078|Er schien davon auszugehen, daß jeder Mensch sein Freund sei, und sprach jemand mit ihm, wenn er in seinem Kinderwagen auf der Straße war,|Er schien davon auszugehen, daß jeder Mensch sein Freund sei, und sprach jemand mit ihm, wenn er in seinem Kinderwagen auf der Straße war,
kleine_lord_01_f000079|so pflegte er den Unbekannten erst ganz ernsthaft aus seinen braunen Augen anzuschauen, worauf dann sofort ein sonniges Lächeln folgte.|so pflegte er den Unbekannten erst ganz ernsthaft aus seinen braunen Augen anzuschauen, worauf dann sofort ein sonniges Lächeln folgte.
kleine_lord_01_f000080|Daher kam es denn auch, daß in der ganzen Nachbarschaft keine Menschenseele war – nicht einmal der Spezereihändler an der Ecke,|Daher kam es denn auch, daß in der ganzen Nachbarschaft keine Menschenseele war - nicht einmal der Spezereihändler an der Ecke,
kleine_lord_01_f000081|und der war anerkannt der gröbste Mensch unter Gottes Sonne – die nicht eine Freude daran gehabt hätte,|und der war anerkannt der gröbste Mensch unter Gottes Sonne - die nicht eine Freude daran gehabt hätte,
kleine_lord_01_f000082|ihn zu sehen und mit ihm zu sprechen, und mit jedem Monat, den er älter wurde, ward er hübscher und lebendiger.|ihn zu sehen und mit ihm zu sprechen, und mit jedem Monat, den er älter wurde, ward er hübscher und lebendiger.
kleine_lord_01_f000083|Als er groß genug war, mit seiner Kinderfrau auszugehen in einem kurzen, weißen Röckchen, mit einem großen,|Als er groß genug war, mit seiner Kinderfrau auszugehen in einem kurzen, weißen Röckchen, mit einem großen,
kleine_lord_01_f000084|weißen Hut auf dem lockigen Haar, erregte er allgemeines Aufsehen, und die Wärterin hatte der Mama die längsten Geschichten zu erzählen von Damen,|weißen Hut auf dem lockigen Haar, erregte er allgemeines Aufsehen, und die Wärterin hatte der Mama die längsten Geschichten zu erzählen von Damen,
kleine_lord_01_f000085|die ihre Wagen hatten anhalten lassen und ausgestiegen waren, um mit ihm zu sprechen, und die ganz entzückt gewesen waren,|die ihre Wagen hatten anhalten lassen und ausgestiegen waren, um mit ihm zu sprechen, und die ganz entzückt gewesen waren,
kleine_lord_01_f000086|als er in seiner harmlosen, unbefangenen Art mit ihnen geplaudert hatte, als ob er sie von jeher gekannt.|als er in seiner harmlosen, unbefangenen Art mit ihnen geplaudert hatte, als ob er sie von jeher gekannt.
kleine_lord_01_f000087|Diese seltsam unbefangene Art und Weise, mit jedermann Freundschaft zu schließen, gab ihm einen ganz eigenartigen Reiz.|Diese seltsam unbefangene Art und Weise, mit jedermann Freundschaft zu schließen, gab ihm einen ganz eigenartigen Reiz.
kleine_lord_01_f000088|Er war eine offne, rückhaltslos vertrauende Natur, und sein warmes kleines Herz wollte, daß es allen so wohl zu Mute sein solle,|Er war eine offne, rückhaltslos vertrauende Natur, und sein warmes kleines Herz wollte, daß es allen so wohl zu Mute sein solle,
kleine_lord_01_f000089|wie ihm selbst, das war's, was ihn die Empfindungen derer, die um ihn waren, so merkwürdig schnell verstehen ließ.|wie ihm selbst, das war's, was ihn die Empfindungen derer, die um ihn waren, so merkwürdig schnell verstehen ließ.
kleine_lord_01_f000090|Vielleicht hatte sich dieser Zug auch mehr entwickelt, weil er immer mit Vater und Mutter lebte, die liebevoll, gütig und voll echter Herzensbildung waren;|Vielleicht hatte sich dieser Zug auch mehr entwickelt, weil er immer mit Vater und Mutter lebte, die liebevoll, gütig und voll echter Herzensbildung waren;
kleine_lord_01_f000091|nie hörte er zu Hause ein unhöfliches oder rauhes Wort:|nie hörte er zu Hause ein unhöfliches oder rauhes Wort:
kleine_lord_01_f000092|von jeher wurde er mit Liebe und Zärtlichkeit behandelt und umgeben, und so strömte sein Kinderherz auch von Liebe und Wärme für andre über.|von jeher wurde er mit Liebe und Zärtlichkeit behandelt und umgeben, und so strömte sein Kinderherz auch von Liebe und Wärme für andre über.
kleine_lord_01_f000093|Immer hatte er sein Mütterchen mit süßen Schmeichelnamen nennen hören, und deshalb sprach auch er nie anders mit ihr und von ihr;|Immer hatte er sein Mütterchen mit süßen Schmeichelnamen nennen hören, und deshalb sprach auch er nie anders mit ihr und von ihr;
kleine_lord_01_f000094|immer hatte er gesehen, daß sein Papa sie ängstlich behütete und für sie sorgte, und so lernte auch er ganz von selbst für sie sorgen.|immer hatte er gesehen, daß sein Papa sie ängstlich behütete und für sie sorgte, und so lernte auch er ganz von selbst für sie sorgen.
kleine_lord_01_f000095|Und als er nun wußte, daß sein Papa nicht wiederkommen werde, und sah, wie traurig sie war, da entstand unbewußt in seinem kleinen Herzen das Gefühl,|Und als er nun wußte, daß sein Papa nicht wiederkommen werde, und sah, wie traurig sie war, da entstand unbewußt in seinem kleinen Herzen das Gefühl,
kleine_lord_01_f000096|daß er nun alles thun müsse, um sie glücklich zu machen.|daß er nun alles thun müsse, um sie glücklich zu machen.
kleine_lord_01_f000097|Er war ja noch ein kleines Kind, aber dies Gefühl lebte in ihm, wenn er auf ihre Kniee kletterte und sie küßte und sein lockiges Köpfchen an ihre Wange drückte,|Er war ja noch ein kleines Kind, aber dies Gefühl lebte in ihm, wenn er auf ihre Kniee kletterte und sie küßte und sein lockiges Köpfchen an ihre Wange drückte,
kleine_lord_01_f000098|oder wenn er ihr sein Spielzeug und seine Bilderbücher zum Ansehen brachte oder sich schweigend und regungslos neben sie kauerte, wenn sie auf dem Sofa lag.|oder wenn er ihr sein Spielzeug und seine Bilderbücher zum Ansehen brachte oder sich schweigend und regungslos neben sie kauerte, wenn sie auf dem Sofa lag.
kleine_lord_01_f000099|Er war noch nicht alt genug, um andre Trostesmittel zu finden, aber er that sein Bestes, und er selbst hatte keine Vorstellung davon,|Er war noch nicht alt genug, um andre Trostesmittel zu finden, aber er that sein Bestes, und er selbst hatte keine Vorstellung davon,
kleine_lord_01_f000100|wie wohl sein stilles Thun dem armen, vereinsamten Herzen that.|wie wohl sein stilles Thun dem armen, vereinsamten Herzen that.
kleine_lord_01_f000101|O Mary! hörte er seine Mama einmal zu der alten Dienerin sagen, ich bin überzeugt, er will mir auf seine Weise helfen und mich trösten.|O Mary! hörte er seine Mama einmal zu der alten Dienerin sagen, ich bin überzeugt, er will mir auf seine Weise helfen und mich trösten.
kleine_lord_01_f000102|Zuweilen sieht er mich an mit großen, verwunderten Augen voll tiefster Liebe, als ob ich ihm im Innersten leid thäte, und dann kommt er und streichelt mich oder zeigt mir etwas.|Zuweilen sieht er mich an mit großen, verwunderten Augen voll tiefster Liebe, als ob ich ihm im Innersten leid thäte, und dann kommt er und streichelt mich oder zeigt mir etwas.
kleine_lord_01_f000103|Er ist so merkwürdig reif; ich bin überzeugt, er denkt so weit.|Er ist so merkwürdig reif; ich bin überzeugt, er denkt so weit.
kleine_lord_01_f000104|Als er heranwuchs, hatte er eine Menge wunderlicher Einfälle, die höchst ergötzlich waren, und wußte seine Mama so gut zu unterhalten, daß sie gar nicht nach andrer Gesellschaft verlangte;|Als er heranwuchs, hatte er eine Menge wunderlicher Einfälle, die höchst ergötzlich waren, und wußte seine Mama so gut zu unterhalten, daß sie gar nicht nach andrer Gesellschaft verlangte;
kleine_lord_01_f000105|sie gingen miteinander spazieren und schwatzten und spielten zusammen.|sie gingen miteinander spazieren und schwatzten und spielten zusammen.
kleine_lord_01_f000106|Er war noch ein ganz kleiner Bursche, als er lesen lernte, und hernach lag er abends auf dem Teppich vor dem Kamin und las vor – Kindergeschichten,|Er war noch ein ganz kleiner Bursche, als er lesen lernte, und hernach lag er abends auf dem Teppich vor dem Kamin und las vor - Kindergeschichten,
kleine_lord_01_f000107|zuweilen auch große Bücher, wie erwachsene Leute sie lesen, und hier und da sogar die Zeitung, und dabei hörte Mary in ihrer Küche Missis Errol manchmal hell auflachen über seine wunderlichen Bemerkungen:|zuweilen auch große Bücher, wie erwachsene Leute sie lesen, und hier und da sogar die Zeitung, und dabei hörte Mary in ihrer Küche Missis Errol manchmal hell auflachen über seine wunderlichen Bemerkungen:
kleine_lord_01_f000108|Und, meiner Seel', sagte Mary zu dem Spezereihändler, so verstockt könnte keiner sein, daß er nicht lachen müßte über unsern Jungen, wenn er so altklug schwatzt.|Und, meiner Seel', sagte Mary zu dem Spezereihändler, so verstockt könnte keiner sein, daß er nicht lachen müßte über unsern Jungen, wenn er so altklug schwatzt.
kleine_lord_01_f000109|In der Nacht, wo der neue Präsident ernannt worden ist, kommt der Junge zu mir in die Küch', stellt sich vors Feuer,|In der Nacht, wo der neue Präsident ernannt worden ist, kommt der Junge zu mir in die Küch', stellt sich vors Feuer,
